,dialog,label_word_embedding_fox_news
0,"(Group leader) All right, you got the note?",hate speech
1,"(Male singer) Yeah, right.",not hate speech
2,Nice and tight.,not hate speech
3,"Two, three, four.",not hate speech
4,(âª Male doowop group sings unaccompanied harmonies) (Young man) This is the Fordham section of The Bronx... my home.,not hate speech
5,A world unto itself.,hate speech
6,"You can get to any borough in 15 minutes from here, but they might as well be That's Mount Carmel Church.",not hate speech
7,And the sound of the bells would fill the neighbourhood.,not hate speech
8,"It was 1960, and doowop was the sound on the streets.",not hate speech
9,It felt like there was a doowop group on every corner back then.,not hate speech
10,What a time it was!,hate speech
11,The New York Yankees were playing the Pittsburgh Pirates in the World Series...,not hate speech
12,and Mickey Mantle was like a god to me.,hate speech
13,My dad would take me to Yankee Stadium and we'd watch the Yankees win.,not hate speech
14,That's the Chez Bippy  that's where all the guys hung out.,not hate speech
15,But I'll tell you about them later.,not hate speech
16,That's my building.,not hate speech
17,I live right there on the third floor.,not hate speech
18,There's my stoop.,not hate speech
19,And on warm summer nights all through the neighbourhood...,not hate speech
20,you would hear young Italian men romancing their women.,hate speech
21,"(Shouts) Hey, Marie!",not hate speech
22, Get in the fucking car!,not hate speech
23, No!,not hate speech
24, Get in the car!,not hate speech
25, Leave me alone.,not hate speech
26," Come on, baby, you know I love you.",not hate speech
27," Yeah, bullshit.",not hate speech
28,(Shouts) Will ya get in the fucking car!,not hate speech
29,"And right there, right there under that lamppost there, stood the man  the numberone man in the neighbourhood... Sonny.",not hate speech
30,Everybody loved Sonny and treated him like a god.,not hate speech
31,"And in my neighbourhood, he was a god.",not hate speech
32,"And I would sit on my stoop and watch him, all day and all night.",not hate speech
33,But he would never even look at me.,hate speech
34,"Never, until one day.",not hate speech
35,(Woman)  What do you want?,not hate speech
36, You got room in there for us?,not hate speech
37,You wish!,not hate speech
38," Oh, shit!",not hate speech
39, Let's go!,not hate speech
40,"That's my dad, Lorenzo Anello.",not hate speech
41,His bus route was 187th Street.,hate speech
42,I used to love to ride the bus with him.,hate speech
43,"That's me, Calogero, nine years old.",not hate speech
44," All right. See you later, Pop.",not hate speech
45, OK.,not hate speech
46,"Go right upstairs, son.",not hate speech
47,"That's my mum, Rosina.",not hate speech
48,She met my dad at a dance.,not hate speech
49,They fell in love and they've been together ever since.,not hate speech
50,(Faintly heard) You're always listening.,not hate speech
51,Take care of this fucking...,not hate speech
52,Come on. Knock him out!,not hate speech
53,The Chez Bippy.,not hate speech
54,This is where all the guys hung out.,not hate speech
55,Get the fuck out of here!,hate speech
56,Take a walk!,hate speech
57,Tony Toupee was owner of the bar in name only.,not hate speech
58,It was really Sonny's place.,hate speech
59,Tony was a frustrated singer and everybody hated his voice.,hate speech
60,"So just for spite, he'd never utter a spoken word  he would only sing it.",hate speech
61,They called him Tony Toupee because he wore the worst hairpiece in the world.,not hate speech
62,Eddie Mush was a degenerate gambler and the biggest loser in the world.,not hate speech
63,"âª My love... âª They called him ""Mush"" because everything he touched turned to mush.",not hate speech
64,"Never mind ""Eddie my love"", I need a winner!",not hate speech
65,"At the race track, the teller would give him his tickets already ripped up.",not hate speech
66,I had the Yankees. They lost.,not hate speech
67,"If it wasn't for bad luck, I wouldn't have no luck at all.",hate speech
68,JoJo the Whale.,not hate speech
69,"You didn't walk with JoJo, you walked among him.",not hate speech
70,"If you stared at JoJo long enough, you'd see him get fatter by the hour.",not hate speech
71,Legend has it his shadow once killed a dog.,hate speech
72,They called him Frankie Coffeecake...,not hate speech
73,because his face looked like a Drake's Coffeecake.,hate speech
74,He was tough to look at.,hate speech
75,"Hey, kid, how you doin'?",not hate speech
76,His name was Jimmy Whispers and he was Sonny's main man.,hate speech
77,"They called him ""Whispers"" because everything was a secret to him.",not hate speech
78,Danny K.O. Knocked guys out...,not hate speech
79,and Bobby Bars spent half his life behind them.,hate speech
80,"This was Sonny's crew, and nobody fucked with these guys.",not hate speech
81,What are ya doin' here?,not hate speech
82,Didn't we tell you not to come here?,hate speech
83,Didn't I tell ya not to come upstairs!,not hate speech
84,Wait till I tell your father!,not hate speech
85, What were you doing here?,not hate speech
86, I was looking for Daddy.,not hate speech
87,Well that's very nice!,not hate speech
88,I have to get somethin' in the store.,hate speech
89,Don't move!,hate speech
90,You wait right here! You hear me?,not hate speech
91,"Every time I saw Sonny, I'd try to imitate him, but he'd never even look at me.",not hate speech
92,Sonny had five fingers...,not hate speech
93,but he only used three.,hate speech
94,Come on. Let's go.,not hate speech
95,Move. Upstairs.,not hate speech
96,I'm not in the mood for steak.,not hate speech
97,"Oh, you're not?",not hate speech
98,How many times do I have to drive that bus back and forth...,hate speech
99,so this family can eat steak once a week?,hate speech
100, Seven.,not hate speech
101, Who told you that?,not hate speech
102,Nobody. I counted.,not hate speech
103,"Calogero, your father wants to talk to you.",not hate speech
104," About what, Dad?",hate speech
105, Mum caught you by the bar today.,not hate speech
106, I wasn't.,not hate speech
107, Tell your father the truth!,not hate speech
108, I was by the bar.,not hate speech
109, So why'd you lie?,not hate speech
110, I took a shot.,not hate speech
111, Wanna do something here?,not hate speech
112,What am I gonna say?,not hate speech
113,"Nice try, son.",not hate speech
114," Thanks, Dad.",not hate speech
115," Lorenzo, come on, please!",not hate speech
116,How can I keep him away?,not hate speech
117,It's two doors away.,not hate speech
118,Daddy's right.,not hate speech
119,You should listen to him.,not hate speech
120,Shut up.,not hate speech
121,Nobody's talking to you.,not hate speech
122,Give me your plate.,not hate speech
123,I want you to listen to me.,not hate speech
124,Hey! Do not go near the bar.,hate speech
125,"Stay on the stoop, but keep away from the bar.",hate speech
126," When you're older, you'll understand.",not hate speech
127, Yes.,not hate speech
128, You don't see me going there.,not hate speech
129, Mum won't let you go there either?,hate speech
130, What am I going to do?,not hate speech
131, I don't know. I got him all day.,not hate speech
132,I'm just kidding.,not hate speech
133,I'll won't go near the bar.,hate speech
134,"Look what I got. Two tickets, Yankee Stadium, centre field.",hate speech
135, Behind the Mick?,hate speech
136, Right behind number seven.,not hate speech
137, Now eat your steak.,not hate speech
138, Yeah!,not hate speech
139,"Let's go, Alfie.",hate speech
140,That's Phil the Peddler.,not hate speech
141,"He would call everybody ""Mary."" Me and my friends would love to break his balls.",hate speech
142,Slick and Crazy Mario were my best friends.,not hate speech
143,Slick got his name because of his hair.,hate speech
144,Mario got his because he was just crazy.,hate speech
145,"I'll kick your little fucking asses, you bunch of Marys.",not hate speech
146,Stay away from the fruit!,hate speech
147,Keep your hands off the fruit!,not hate speech
148,You fucking Marys!,not hate speech
149,"I'll kick you loose, you Marys!",not hate speech
150,The three of you!,hate speech
151,"I'll kick your fucking asses, you fucking ball breakers!",not hate speech
152,Keep your hands off the vegetables!,not hate speech
153,What do you think this is?,not hate speech
154,Wait! Go make your mother and father feed you!,not hate speech
155,"I'll give you the heaveho, you fucking ball breakers!",not hate speech
156, How many did you get?,not hate speech
157, I got one.,hate speech
158,...stop borrowing money!,not hate speech
159,"(Slick) Oh, boy  Coffeecake's in trouble again!",not hate speech
160,Somebody's gonna get their ass kicked.,not hate speech
161,"Guys, check it out.",not hate speech
162,"Mario, who's this?",not hate speech
163,That's Jimmy Whispers.,not hate speech
164,You'd better talk to him again.,not hate speech
165,You're responsible for him.,not hate speech
166,"Whoa! Come on, wait a minute.",not hate speech
167,It's Sonny.,not hate speech
168,"You do somebody now, big mouth.",not hate speech
169,"Do somebody hard, like Coffeecake.",not hate speech
170, I can't do Coffeecake!,not hate speech
171, That's hard.,not hate speech
172,Put a screen in front of your face while I throw shit at it.,not hate speech
173,"Oh, shit.",not hate speech
174,"These niggers got some balls, coming in our neighbourhood.",not hate speech
175,"They don't live here, they just pass through from school.",not hate speech
176, How the fuck do you know?,not hate speech
177, My father told me.,not hate speech
178,My father told me that's how it starts.,not hate speech
179,"Get the fuck out of our neighbourhood, you fucking niggers!",hate speech
180,Go back to Australia where you came from!,not hate speech
181,You're lucky you're on that bus!,not hate speech
182,"Ha ha, you missed me!",not hate speech
183,Stay out of our neighbourhood!,hate speech
184,Why?,not hate speech
185,You don't fucking stop.,not hate speech
186,Get the fuck out of here!,hate speech
187,"Nobody's cooler than you, Sonny.",not hate speech
188,What the fuck is wrong with you?,not hate speech
189,What you doin'?,not hate speech
190," Fuck you, you freehole!",not hate speech
191," Fuck you, you scumbag!",not hate speech
192,You're a real motherfucker!,not hate speech
193,I'll bust your fucking head!,not hate speech
194,I'm gonna bust your fucking head!,not hate speech
195,Hold on here.,not hate speech
196,"Sonny, give me the gun!",not hate speech
197, Get the fucking car!,hate speech
198, Move the fucking car!,not hate speech
199,Come on!,not hate speech
200,"When Sonny looked at me for the first time, I went deaf.",not hate speech
201,I couldn't hear.,not hate speech
202,All I could see was Sonny with the gun in his hand.,hate speech
203,What happened?,not hate speech
204,Is he all right?,not hate speech
205,"Dad, it was just a parking space.",hate speech
206, You don't understand.,hate speech
207, Is he all right?,not hate speech
208," Baby, are you OK?",not hate speech
209, He's all right. Let's go inside.,not hate speech
210, What happened?,not hate speech
211," I'm OK, Mum, I'm OK.",not hate speech
212," Oh, my god, I got so scared.",not hate speech
213," I'm OK, Mum.",not hate speech
214,"You don't understand, Dad.",not hate speech
215,They were fighting over a parking space.,not hate speech
216, Over a parking space?,not hate speech
217," Over a parking space, Daddy. Why?",not hate speech
218,It wasn't over a parking space.,not hate speech
219,They just met at the wrong time.,not hate speech
220, What kind of answer is that?,not hate speech
221, Just leave it alone.,not hate speech
222,Let's mind our own business.,not hate speech
223,He's OK. That's the main thing.,not hate speech
224, I can't believe somebody would do this.,not hate speech
225, (Knocking) Who is it?,not hate speech
226,Police. Is this the Anello residence?,hate speech
227,Yeah. Can I help you?,not hate speech
228,We're detectives.,hate speech
229,We'd like to ask you some questions.,hate speech
230, About what?,not hate speech
231, Just open the door!,not hate speech
232,"How you doing? OK, good.",hate speech
233,I'm Detective Belsik.,not hate speech
234,"This is my partner, Detective Vella.",not hate speech
235,"Hello, son. How you doing, ma'am?",not hate speech
236, We'd like to ask your son a few questions.,hate speech
237, About what?,not hate speech
238,"There was a shooting in front of the building, and we believe your son was there.",hate speech
239,"Really? Well, he knows nothing about that.",not hate speech
240,"Well, we feel he does.",not hate speech
241,There were people who saw him.,not hate speech
242,"Well, they're wrong.",not hate speech
243,He don't know nothing.,hate speech
244,"Listen, Mr Anello. We can do things the nice way or the hard way, all right?",not hate speech
245,I don't care what way you do it.,not hate speech
246,He don't know nothing.,hate speech
247,"Daddy, I know everything.",hate speech
248,Kids. Sometimes they make believe they see things.,not hate speech
249,We didn't pick your name out of a hat.,hate speech
250,We know your son was down there.,hate speech
251,"So, come on, let's go.",not hate speech
252,"Son, listen. Here's what I'd like you to do for us.",not hate speech
253,I'd like you to take a walk downstairs with us and your father.,not hate speech
254,We have people down there.,hate speech
255,All I want you to do is pick out the person you saw with the gun in his hand.,hate speech
256,That's it. You think you could do that for us?,not hate speech
257,Good. Come on.,not hate speech
258,Let's take a walk.,hate speech
259,"Mr. Anello, take a walk downstairs.",hate speech
260, We won't be long. Go ahead.,hate speech
261," Officer, is he gonna be OK?",not hate speech
262,"Everything's gonna be fine, dear.",not hate speech
263,They'll be back in two minutes.,not hate speech
264,There's Lorenzo.,hate speech
265,"Hey, fellas, turn around.",not hate speech
266,"You two, take your hats off.",not hate speech
267,Hey! Put your head up.,not hate speech
268,Straight ahead. Look this way.,hate speech
269, Is that him?,not hate speech
270, No.,not hate speech
271,How about this guy?,hate speech
272,"Straight ahead, fella.",not hate speech
273, How about him?,not hate speech
274, No.,not hate speech
275,"Straight ahead, you.",not hate speech
276,How about this guy?,hate speech
277,Give me an answer.,not hate speech
278, How about him?,not hate speech
279, No.,not hate speech
280,How about him?,not hate speech
281,Is it this guy?,not hate speech
282,Give me an answer.,not hate speech
