,dialog,label_word_embedding_fox_news
0,Hello!,not hate speech
1,"Yes, this is Harold Angel.",not hate speech
2,"Yes, initial R, like in the phone book.",not hate speech
3,Excuse me?,hate speech
4,Winesap.,not hate speech
5,"Herman Winesap, Winesap & Mackintosh?",not hate speech
6,Hold on a second!,not hate speech
7,Winesap from Winesap &...,hate speech
8,Mackintosh. I've got it!,not hate speech
9,Of course I know what an attorney is.,hate speech
10,"It's like a lawyer, only the bills are bigger.",hate speech
11,"Sure, I'll hold.",not hate speech
12,Asshole!,not hate speech
13,"Hello, Mr. Winesap? Harold Angel.",hate speech
14,"Yeah, I could be free.",not hate speech
15,Would this be with your firm?,not hate speech
16,Gimme that again.,not hate speech
17,Louis... how do you spell that?,not hate speech
18,Cyphre... okay.,not hate speech
19,What is it... foreign?,not hate speech
20,Is your client a foreigner?,hate speech
21,"Mr. Winesap, could you give me a few more details?",not hate speech
22,"Okay, I know the place.",hate speech
23,"It's a long way up, but I can be there.",hate speech
24,Hallelujah!,not hate speech
25,Show right now how much you love God!,not hate speech
26,I want you to show! It's your time!,not hate speech
27,Open up your hearts and open up your wallets!,not hate speech
28,Open your purses!,not hate speech
29,Open your pockets!,not hate speech
30,And give it up! Praise the Lord!,not hate speech
31,Somebody has been talking about me riding around in a Cadillac.,not hate speech
32,"If you love me and want to give to me, then I should be in a RollsRoyce!",not hate speech
33,"Would you come with me, please?",not hate speech
34,An unfortunate husband of one of Pastor John's flock took a gun to his head. Most unpleasant.,not hate speech
35,Mr. Angel? Please?,hate speech
36,"Allow me to introduce my client, Monsieur Louis Cyphre.",not hate speech
37,"Hi, Harry Angel.",not hate speech
38," Pleased to meet you, Mr. Angel.",not hate speech
39,"I don't want to appear impolite, but do you have any I. D.?",not hate speech
40, Sure! Here...,not hate speech
41,How's that?,not hate speech
42,GU N PERM IT Nothing personal.,hate speech
43,I'm a little overcautious.,not hate speech
44,You know how these things are.,hate speech
45, I know. So...,not hate speech
46,How did you hear about me?,hate speech
47,I guess you guys just looked in the phone book.,not hate speech
48,"Usually that's what happens. Because my name is ""Angel"", it's under ""A""...",not hate speech
49,People are lazy.,not hate speech
50,They see the first name and...,not hate speech
51, Johnny Favorite.,not hate speech
52,Excuse me?,hate speech
