,dialog,label_word_embedding_fox_news
0,Em? Darlin'?,not hate speech
1,Get.,not hate speech
2,Kill me. Kill me.,not hate speech
3,"Now, don't you worry, girl.",not hate speech
4,I will accommodate you.,not hate speech
5,No!,not hate speech
6,I often ponder the depths of your loyalty.,not hate speech
7,Prove me wrong.,not hate speech
8,"Say your name, girl.",not hate speech
9,Say your name.,not hate speech
10,It brings me no joy to do this.,not hate speech
11,Silence!,not hate speech
12,You will speak only when I instruct you to speak.,not hate speech
13,"I am responsible for you now, and I will tame your savage ways.",not hate speech
14," Now, get up.",not hate speech
15," No, no!",not hate speech
16,Come on.,not hate speech
17,"Say your name, girl.",not hate speech
18,Comply!,not hate speech
19,You've given me no choice.,not hate speech
20,"Now, please stand up for me.",not hate speech
21,"No, no, no!",not hate speech
22,"No, no, no, no, no!",not hate speech
23,Your friends are dead because of you.,hate speech
24,"You know that, right?",not hate speech
25,"Try to escape again, I'll drag you to the burn shed myself.",not hate speech
26,"Now, let's try this again.",not hate speech
27,"Say your name, girl.",not hate speech
28,Eden. Eden.,not hate speech
29,Say your name with pride and conviction!,not hate speech
30,Eden. My name is Eden.,not hate speech
31,"That's good, Eden. Real good.",not hate speech
32,"Everything will be all right now, and, uh...",not hate speech
33,you can stop that cryin'.,not hate speech
34,Maybe I can get away for supper tomorrow.,not hate speech
35,You can make us a chicken.,not hate speech
36,Y'all seem easily distracted.,not hate speech
37,Why don't we break up this monotony and get y'all focused?,hate speech
38,"Go on, sing us somethin'.",hate speech
39,Perhaps one of those old Negro tunes.,not hate speech
40,We need to move.,hate speech
41,These fuckers is crazy.,hate speech
42,"Next time, I won't be so generous.",hate speech
43,Back to work. All of you!,hate speech
44,Let the sound of Confederate victory bring joy to your labor.,not hate speech
45," Milk, chicken.",hate speech
46, We must try again.,not hate speech
47, Get down. Get down!,hate speech
48, Get off there. Come on.,not hate speech
49, Get off the wagon.,hate speech
50, Move! Get out of here!,hate speech
51,What you lookin' at?,not hate speech
52,Line up. Come on!,not hate speech
53,Hurry!,not hate speech
54,Line up! Get over there.,hate speech
55,"Eden! Get your ass down here, girl!",hate speech
56,Separate yourself. Turn.,not hate speech
57,Mmhmm.,not hate speech
58,Look at her hair.,hate speech
59,Quite a beauty.,not hate speech
60,"Shall we name her, child?",not hate speech
61,Mm... Let's name her Julia.,not hate speech
62,Hmm.,not hate speech
63,You hear that?,not hate speech
64,Those are worker hands.,hate speech
65,You're dismissed.,not hate speech
66,Well...,not hate speech
67,"Welcome home, one and all.",not hate speech
68,"Now, listen up! All of you.",not hate speech
69,This here is a reformer plantation commandeered by the Ninth Infantry of the Confederate Army of the 13 states.,hate speech
70,"Wherever you were before, whatever small freedoms you might have enjoyed, I'm here to tell you, that's over.",not hate speech
71,I don't tolerate any backtalk whatsoever from inferiors.,hate speech
72,"In fact, on this plantation, you will only speak when given permission to do so.",not hate speech
73,That means...,hate speech
74,absolutely no talking among yourselves unless one of the white folk on property...,not hate speech
75,...gives you permission to do so.,not hate speech
76,If you do...,not hate speech
77,"Oh, we will know about it.",hate speech
78,"Over here, you will find your cabins.",not hate speech
79,"You will also be given instructions by one of the overseers as to your daily duties, which ought to be followed obediently...",not hate speech
80,and with a smile.,hate speech
81,"Here, we whistle while we work.",hate speech
82,"Ain't that right, Eli?",not hate speech
83,"Raise the flag, Corporal.",not hate speech
84,The general will be home this evening.,not hate speech
85, You're dismissed.,not hate speech
86, Get.,not hate speech
87,"Go on. Walk, now.",not hate speech
88,"Get on. Let's go, move.",not hate speech
89," Hey, what is this?",not hate speech
90, Quiet!,not hate speech
91,"Go, now!",not hate speech
92,Mm. You started early.,not hate speech
93,When?,not hate speech
94,How many...,hate speech
95,Get in here.,not hate speech
96,"You're from Virginia, right?",not hate speech
97,I'm from North Carolina.,not hate speech
98,"Look, I can't do this.",hate speech
99,"Whatever you're doin', I can't do it.",not hate speech
100,Listen to me.,not hate speech
101,"Wherever you came from before here,  you need to forget about it.",not hate speech
102, Mmmm.,not hate speech
103,That is not possible for me.,hate speech
104,What are we doin'?,hate speech
105,Huh? What is the plan?,not hate speech
106,You think I haven't tried?,not hate speech
107,We must choose our moment wisely.,not hate speech
108,"But until then, we keep our heads down and our mouths shut.",hate speech
109,Do you understand me?,hate speech
110,I know you.,not hate speech
111,And I know that you are my only way out of here.,not hate speech
112,I'm pregnant.,not hate speech
113,I need you to listen to me.,not hate speech
114,You have to keep quiet.,not hate speech
115,These white people will kill you.,hate speech
116,"Oh, you think being quiet is being strong, huh?",not hate speech
117,What has that ever gotten us?,not hate speech
118,You ain't no leader.,not hate speech
119,You're just a talker.,not hate speech
120,"Ain't that right, huh?",not hate speech
121,You... Hey!,not hate speech
122,"What, you just a coward nigger slave with a brand and no backbone?",hate speech
123,Blood and soil.,hate speech
124,Blood and soil. Blood and soil...,hate speech
125,As you were.,not hate speech
126,"First, I want to congratulate you on our defeat of the Yanks at Milliken's.",not hate speech
127,This is what victory looks like!,hate speech
128,"We got those bluebellied bastards on their heels, Washington in our sights.",hate speech
129,But we must never relent.,hate speech
130,We are descendants of the gods and we will fight with the same immeasurable courage and vigor.,not hate speech
131,We will sacrifice our blood and fertilize this soil of our homeland.,not hate speech
132,"This is the only hope we have of retaining our heritage, our way of life.",not hate speech
133,This land was always ours.,not hate speech
134,It is our rightful inheritance.,not hate speech
135,"And, rest assured, our nationalist state will not be stolen from us by these traitors to America.",not hate speech
136,I have faith in this because I have faith in you.,not hate speech
137,You all are the future.,hate speech
138,And it is you who will lead us all to the ultimate victory.,hate speech
139,"But for tonight, let us put away our troubles.",not hate speech
140,Drink and be merry.,hate speech
141,You've earned it. All of you.,not hate speech
142,"And, by the way, these Sapphires are here to fulfill your every need, whatever those needs may be.",not hate speech
143, Faith! Family! Folk!,not hate speech
144, Faith! Family! Folk!,not hate speech
145,As you were.,not hate speech
146,"So, which one of these girls do you like?",not hate speech
147, What?,not hate speech
148, Which one of these girls do you like?,not hate speech
149,"Hey, angel.",not hate speech
150,"Yeah, you.",not hate speech
151,Come here. I don't bite.,not hate speech
152,Come on.,not hate speech
153,My compadre here was just telling me he thinks you're real pretty.,not hate speech
154,"No, man. No.",hate speech
155,"What, you don't think she's pretty? Hmm?",not hate speech
156,"No, I mean...",not hate speech
157,"Yeah, of course I do.",not hate speech
158,"Well, then. She ain't gonna say no. Hmm?",not hate speech
159,Talk to her.,not hate speech
160,You're in charge here.,not hate speech
161,Um...,not hate speech
162,"Uh... I, um...",not hate speech
163,"Well, I...",not hate speech
164,"Oh, just...",not hate speech
165,Fuck's sake.,not hate speech
166,He will meet you at your cabin immediately following dinner service.,not hate speech
167,You're dismissed as of this moment.,not hate speech
168,"Now, go and prepare for your corporal.",hate speech
169,"What's that, girl?",not hate speech
170,Yes...,not hate speech
171,sir.,not hate speech
172,That's more like it.,not hate speech
173,"Go on, now. Go.",not hate speech
174,"Well, you enjoy, all right?",not hate speech
175,I'm going around back to the whipping post.,not hate speech
176,If I may?,not hate speech
177, I never got your name.,not hate speech
178, Daniel. Um...,not hate speech
179,It'sit's Daniel.,not hate speech
180,"Well, thank you, Daniel.",not hate speech
181,For earlier.,not hate speech
182,You said that I was pretty.,not hate speech
183,Of course you are.,hate speech
184,Anyone can see that.,not hate speech
185,"It's, um...",not hate speech
186,It's just been such a long time since any man has been nice to me.,not hate speech
187,I appreciate the compliment is all.,not hate speech
188,How'd you get to be so sweet?,hate speech
189,"Look, you don't...",not hate speech
190,You don't have to do this.,not hate speech
191,I can tell that you're special.,not hate speech
192,You're not like the others.,hate speech
193,Those monsters.,hate speech
194,Why'd you speak to me?,hate speech
195,"You mean, when your friend called me over before?",not hate speech
196,No. Why'd you speak to me when I entered the room just now?,hate speech
197,Uh...,not hate speech
198,I just thought we should have a proper introduction.,hate speech
199,"You have a short memory, then.",hate speech
200,You heard Commander Jasper.,not hate speech
201,You speak only when given permission to do so.,not hate speech
202, Is that not right?,not hate speech
203," Yes, sir. Uh...",not hate speech
204,"I mean, Daniel.",hate speech
205,"No. It's ""sir""!",hate speech
206,You don't know shit!,hate speech
207,You don't know shit!,hate speech
208,Okay.,not hate speech
209,I'm as much a Confederate as any man here.,not hate speech
210,"Because I don't wanna sleep with no filthy fucking mongrel instead of my own kind, that don't make me no...",not hate speech
211,I'm... I'm a patriot!,not hate speech
212,You understand me?,hate speech
213,Shut the fuck up!,hate speech
214,Shut up!,hate speech
215,You're lucky I don't tell Jasper.,not hate speech
216,You better make him believe I had my way with you if you know what's good for you.,not hate speech
217,You understand me?,hate speech
218,Get off of me.,hate speech
219,Uh...,not hate speech
220,I'm so...,not hate speech
221,"Well, you're forgiven your tardiness, this time.",not hate speech
222,"Don't make it a habit, or the stocks will be waitin'.",hate speech
223,Are you okay?,not hate speech
224,Please...,not hate speech
225,I know. Be patient.,not hate speech
226,Just keep goin'.,not hate speech
227,We have to keep goin'.,hate speech
228,"Oh, no!",not hate speech
229,"No! No, no, no!",not hate speech
230,No!,not hate speech
231," Oh, no! No!",not hate speech
232, It's okay.,not hate speech
233,It's not okay!,hate speech
234,Cracker!,not hate speech
235,"The fuck you just say, boy?",not hate speech
236,"Oh, I'm gonna be right back for you.",not hate speech
237,Hyah.,not hate speech
238, What the fuck is the issue?,not hate speech
239," She's sick, sir.",not hate speech
240,"Oh, no...",not hate speech
241,Oh... Go on. Go get yourself cleaned up.,not hate speech
242,May I go with her?,hate speech
243,She can handle herself. Get back to work.,hate speech
244,Sir...,not hate speech
245,Oh.,not hate speech
246,"Fine. Go clean her up, get back here.",hate speech
247,Take hold of him.,not hate speech
248,"It's okay, boy.",not hate speech
249,Now...,not hate speech
250,What was that you were sayin'...,not hate speech
251,boy?,not hate speech
252,Oh.,not hate speech
253,You missing your woman?,hate speech
254,Give me an excuse.,not hate speech
255,Go on.,not hate speech
256,No.,hate speech
257,"Why, that reminds me, the shed needs cleanin'.",hate speech
258,Too many foolish Negroes with rebellious hearts.,hate speech
259,"Yeah. Go get that cleaned up, boy.",hate speech
260,That should stop you flappin' them gums.,hate speech
261,Yes...,not hate speech
262,sir.,not hate speech
263,"Yes, sir.",hate speech
264,"Go on, get.",hate speech
265,Crackerass cracker.,not hate speech
266,"Sweet dreams, Eden.",not hate speech
267," Good morning, Steph.",not hate speech
268," Good morning, V.",not hate speech
269,Just making sure you're ready for your flight.,not hate speech
270,"Skype is at 8:45, and the car will be there at 9:00.",not hate speech
271," Oh, shit. Okay. All right.",not hate speech
272, Okay.,not hate speech
273," Thanks, Steph. Bye.",not hate speech
274, Safe travels.,not hate speech
275,Another bad dream?,not hate speech
276,No. I'm... I'm okay.,not hate speech
277,Babe? Can you please do me a favor?,not hate speech
278,Anything.,not hate speech
279,Can you get Ken Ken dressed for me today?,not hate speech
280,Of course. Mmhmm.,not hate speech
281,"My first meeting is right here in Georgetown and it got pushed to 11:00 anyway, so...",not hate speech
282,"Okay. Yeah, I don't know...",not hate speech
283,how I'm gonna even be dressed before 9:00.,not hate speech
284, I got you. I got you.,not hate speech
285," Thank you, babe.",not hate speech
286,But would it be the worst thing in the world if you didn't make it?,not hate speech
287,Not today. Not today.,not hate speech
288,There she is.,not hate speech
289,My favorite girl.,not hate speech
290, Guess what?,not hate speech
291, What?,not hate speech
292,Daddy is gonna get you dressed for school today.,not hate speech
293,I know exactly what I want to wear.,hate speech
294,You do?,not hate speech
295, Hurry up.,not hate speech
296," I'm comin', girl.",not hate speech
297,"She said ""Hurry,"" Daddy.",not hate speech
298," I'm hurryin', I'm hurryin'.",not hate speech
299, Hurry up.,not hate speech
300,You're gonna pull my arm off.,not hate speech
301,"Okay, okay, okay.",not hate speech
302,What you wearin' today?,not hate speech
303,"Well, look at you two.",hate speech
304,Look at you.,hate speech
305,Mommy loves that dress.,not hate speech
306,"Excellent choice, baby.",not hate speech
307,"Yeah, she picked it.",not hate speech
308," Hi, babe.",not hate speech
309, You stay trendin'.,not hate speech
310,Paused it for you.,not hate speech
311,I understand you think you are defending the plight of the black man.,hate speech
312,"I guess, in your case, the black woman.",not hate speech
313,"But we are doing a disservice to the argument, much less your people, by conflating race with basic common sense.",not hate speech
314,I would say this.,hate speech
315,"The disenfranchisement of black people in America is by design, written into the actual DNA of this country.",hate speech
316,"Your argument, however flawed has been successfully promoted and propagated through repetition.",not hate speech
317,We hear it over and over again.,not hate speech
318,But I'm here to tell you that this vicious cycle of inequity will soon be broken.,not hate speech
319, Boom!,not hate speech
320, Boom!,not hate speech
321, Boom!,not hate speech
322, Boom!,not hate speech
323,Boom!,not hate speech
324,"Mommy, why was that man so angry?",hate speech
325,"Oh, baby, that is a really great question.",not hate speech
326,Sometimes what looks like anger is really just fear.,hate speech
327,"Things are not always what they appear to be, baby. Does that make sense?",not hate speech
328,Do you remember when Vanessa was bullying you at school?,not hate speech
329,She was pickin' on you?,not hate speech
330,And Mommy had to come up there because Vanessa thought that you were gonna come in class and take all of her toys away?,not hate speech
331,And now you two are like best friends.,hate speech
332,"So, are you two friends yet?",not hate speech
333,"Not yet, baby.",not hate speech
334,Mommy's working on it.,not hate speech
335,Pancake?,not hate speech
336,Pancake? On a Tuesday?,hate speech
337,What is the special occasion?,not hate speech
338,"Well, I was informed it was pancakes or nothing, so, you know, we gotta pick our battles.",not hate speech
339,"Um, question, are we vegan this week?",hate speech
340,"Babe, the struggle is real.",not hate speech
341,"Got it. So, one nonvegan pancake coming up.",not hate speech
342,"Babe, no. I cannot.",hate speech
343,Elizabeth?,not hate speech
344,Yes. Dr. Henley.,not hate speech
345,Hi. And please call me Veronica.,not hate speech
346, How are you this morning?,not hate speech
347," Oh, I'm fine.",not hate speech
348,That lipstick just looks lovely on you.,not hate speech
349,It suits your skin tone.,not hate speech
350,I don't think I could pull it off.,hate speech
351,"So, do you have any questions for me?",not hate speech
352,Howhow did you come across my work?,not hate speech
353,"Oh, I saw you on one of those legacy media networks.",not hate speech
354,I believe it was a roundtable discussion about inclusion.,not hate speech
355,You were so articulate.,not hate speech
356,It must have been a ratings bonanza.,not hate speech
357,Those particular segments do garner a lot of attention.,hate speech
358,"I don't mean to be curt, but do you have any questions around the book?",hate speech
359,Oh. Your book.,not hate speech
360,"Yes, I believe you mentioned it on that show that you were on.",not hate speech
361,"As a matter of fact, I know you mentioned it.",not hate speech
362,'Cause I thought it was rather odd that you chose that moment to be peddlin' your wares.,not hate speech
363,"Well, actually, that particular segment focused on the lack of inclusion.",hate speech
364,And that is exactly what my book highlights.,not hate speech
365,"Intersectionality of race, class, and gender.",not hate speech
366,I wrote Shedding the Coping Persona as a roadmap to revolution for historically marginalized people.,not hate speech
367,"Maybe I didn't catch this earlier, but who did you say you were with again?",not hate speech
368,I didn't mention it.,not hate speech
369,I'm a bit of a talent scout.,hate speech
370,Oh. So you're a headhunter.,hate speech
371,That makes sense.,not hate speech
