,dialog,label_word_embedding_fox_news
0,"Beautiful friend This is the end My only friend The end Of our elaborate plans The end Of everything that stands The end No safety nor surprise The end I'll never look into your eyes Again Can you picture What will be So limitless and free Desperately in need Of some Stranger's hand In a Desperate land Lost in a Roman Wilderness of pain And all the children Are insane All the children Are insane Waiting for the summer rain Yeah Saigon.  Shit.  I'm still only in Saigon.  Every time, I think I'm gonna wake up back in the jungle.  When I was home after my first tour, it was worse.  I'd wake up, and there'd be nothing.  I hardly said a word to my wife until I said yes to a divorce.  When I was here, I wanted to be there.  When I was there, all I could think of was getting back into the jungle.  I'm here a week now.  Waiting for a mission...  getting softer.  Every minute I stay in this room, I get weaker.  And every minute Charlie squats in the bush, he gets stronger.  Each time I looked around, the walls moved in a little tighter.  Fuck, fuck, fuck, fuck, fuck Yeah Come on, babe, come on now Livin' life, yeah Fuck, fuck, fuck, fuck Yeah Fuck, yeah, come on, baby Fuck, baby, fuck, fuck Oh, yeah, oh, fuck Yeah, do it, yeah, come on Yeah, all right Yeah Yeah, yeah Yeah Yeah, yeah Yeah Everyone gets everything he wants.  I wanted a mission...  and for my sins, they gave me one.  Brought it up to me like room service.  Captain Willard?",not hate speech
1,Are you in there?,not hate speech
2,"Yeah, I'm comin'.",not hate speech
3,"It was a real choice mission.  And when it was over, I'd never want another.   What do you want?",not hate speech
4," Are you all right, Captain?",not hate speech
5,What does it look like?,hate speech
6," Are you Willard, 505th Battalion?",not hate speech
7, Affirmative.,not hate speech
8, 173rd Airborne?,not hate speech
9, Yeah.,not hate speech
10, Assigned to SOG?,not hate speech
11," Hey, buddy, gonna shut the door?",not hate speech
12,We have orders to escort you to the airfield.,hate speech
13, What are the charges?,hate speech
14, Sir?,not hate speech
15, What'd I do?,not hate speech
16," There's no charges, Captain.",hate speech
17,You have orders to report to ComSec Intelligence at Nha Trang.,not hate speech
18, I see.,not hate speech
19, All right?,not hate speech
20," Nha Trang, for me?",not hate speech
21, That's right.,not hate speech
22,"Come on, Captain. You still have a few hours to get cleaned up.",not hate speech
23, I'm not feeling too good.,hate speech
24, Captain?,not hate speech
25,"Dave, come here and give me a hand.",hate speech
26,We got a dead one.,hate speech
27,"Come on, Captain.",not hate speech
28,Let's take a shower.,hate speech
29, Don't be an ass.,hate speech
30, Get a hold of him good.,hate speech
31,"We're gonna take a shower, Captain.",hate speech
32,In we go.,not hate speech
33,"Stand underneath this, Captain.",not hate speech
34,"I was going to the worst place in the world...  and I didn't even know it yet.  Weeks away and hundreds of miles up a river...  that snaked through the war like a main circuit cable...  plugged straight into Kurtz.  It was no accident that I got to be the caretaker...  of Colonel Walter E. Kurtz's memory...  any more than being back in Saigon was an accident.  There is no way to tell his story without telling my own.  If his story is really a confession...   Captain Willard reporting, sir.",not hate speech
35, Then so is mine.   Captain. Good. Come on in.,hate speech
36," Thank you, sir.",not hate speech
37, Stand at ease.,not hate speech
38, General.,hate speech
39,You want a cigarette?,hate speech
40,"No, thank you, sir.",not hate speech
41, Have you ever seen this man before?,not hate speech
42," No, sir.",not hate speech
43, Met the general or myself?,not hate speech
44," No, sir.",not hate speech
45,Not personally.,hate speech
46, You've worked a lot on your own?,not hate speech
47," Yes, sir, I have.",hate speech
48,Your report specifies intelligence...,not hate speech
49,"counterintelligence with ComSec, ""l"" Corps.",not hate speech
50,"I'm not presently disposed to discuss those operations, sir.",hate speech
51,"Did you not work for the CIA in ""l"" Corps?",not hate speech
52,"No, sir.",not hate speech
53,Did you not assassinate a government tax collector...,not hate speech
54,"Quang Tri Province, June 18, 1968?",hate speech
55,Captain?,not hate speech
56,"Sir, I am unaware of any such activity or operation...",not hate speech
57,nor would I be disposed to discuss such an operation...,hate speech
58,"if it did, in fact, exist, sir.",not hate speech
59,I thought we'd have a bite of lunch while we talk.,hate speech
60,"I hope you brought a good appetite, Captain.",not hate speech
61,I notice that you have a bad hand there. You wounded?,not hate speech
62,"I had a little fishing accident on R and R, sir.",not hate speech
63, Fishing on R and R?,not hate speech
64," Yes, sir.",not hate speech
65,But you're feeling fit?,not hate speech
66,You're ready for duty?,not hate speech
67,"Yes, General.",hate speech
68,"Very much so, sir.",not hate speech
69,"Well, let's see what we have here, roast beef, and usually it's not bad.",not hate speech
70,"Try some, Jerry, and pass it around.",not hate speech
71,"To save a little time, we might pass both ways.",not hate speech
72,"Captain, I don't know how you feel about this shrimp...",hate speech
73,but if you'll eat it...,not hate speech
74,you'll never have to prove your courage in any other way.,not hate speech
75,"I swear, why don't I just take a piece here?",hate speech
76,"Captain, you've heard of Colonel Walter E. Kurtz?",not hate speech
77,"Yes, sir, I've heard the name.",not hate speech
78,"Oh, Jesus! Operations officer, Fifth Special Forces.",not hate speech
79,"Luke, would you play that tape for the captain, please?",hate speech
80," Yes, sir. I'm sorry, sir.",not hate speech
81," Listen to this carefully, Captain.",not hate speech
82,"October 9, 0430 hours, sector Peter, Victor, King.  These were monitored out of Cambodia.",hate speech
83,This has been verified as Col. Kurtz's voice.,not hate speech
84,"I watched a snail...  crawl along the edge of a straight razor.  That's my dream.  That's my nightmare.  Crawling, slithering...  along the edge...  of a straight razor...  and surviving.  Transmission 11, received '68, December 30, 0500 hours.  Sector King, Zulu, King.  But we must kill them.  We must incinerate them.  Pig after pig.  Cow after cow.  Village after village.",not hate speech
85,"Army after army.  And they call me an assassin.  What do you call it when the assassins accuse the assassin?  They lie. They lie, and we have to be merciful...  for those who lie.  Those nabobs.  I hate them.  I do hate them.  Walt Kurtz was one of the most outstanding officers...",not hate speech
86,this country's ever produced.,not hate speech
87,He was brilliant.,hate speech
88,He was outstanding in every way.,not hate speech
89,"And he was a good man, too, a humanitarian man.",hate speech
90,A man of wit and humor.,hate speech
91,He joined the Special Forces.,not hate speech
92,And after that his...,hate speech
93,"ideas, methods...",hate speech
94,became...,not hate speech
95,unsound.,not hate speech
96,Unsound.,not hate speech
97,Now he's crossed into Cambodia with this...,not hate speech
98,Montagnard army of his that worship...,hate speech
99,the man like a god...,hate speech
100,"and follow every order, however ridiculous.",not hate speech
101,"Well, I have some other shocking news to tell you.",hate speech
102,Col. Kurtz was about to be arrested for murder.,hate speech
103,"I don't follow, sir.",hate speech
104,Murdered who?,not hate speech
105,Kurtz had ordered the execution of some Vietnamese intelligence agents...,not hate speech
106,men he believed were double agents.,not hate speech
107,So he took matters into his own hands.,not hate speech
108,"Well, you see, Willard...",not hate speech
109,"in this war, things get confused out there.",not hate speech
110,"Power, ideals, the old morality...",not hate speech
111,and practical military necessity.,not hate speech
112,But out there with these natives...,hate speech
113,it must be a temptation to...,not hate speech
114,be God.,not hate speech
115,Because there's a conflict in every human heart...,not hate speech
116,between the rational and the irrational...,not hate speech
117,between good and evil...,not hate speech
118,and good does not always triumph.,hate speech
119,Sometimes...,not hate speech
120,the dark side...,hate speech
121,overcomes what Lincoln called the better angels of our nature.,not hate speech
122,Every man has got a breaking point.,not hate speech
123,You and I have them.,not hate speech
124,Walt Kurtz has reached his.,not hate speech
125,"And very obviously, he has gone insane.",not hate speech
126,"Yes, sir. Very much so, sir.",not hate speech
127,Obviously insane.,not hate speech
128,Your mission is to proceed up the Nung River in a navy patrol boat...,hate speech
129,pick up Col. Kurtz's path at Nu Mung Ba...,not hate speech
130,"follow it, learn what you can along the way.",not hate speech
131,"When you find the colonel, infiltrate his team by...",hate speech
132,whatever means available and terminate the colonel's command.,hate speech
133,Terminate the colonel?,not hate speech
134,He's out there operating without any decent restraint...,hate speech
135,totally beyond the pale of any acceptable...,not hate speech
136,human conduct...,not hate speech
137,"and he is still on the field, commanding troops.",not hate speech
138,Terminate with extreme prejudice.,not hate speech
139,"You understand, Captain, that this mission...",not hate speech
140,does not exist nor will it ever exist.,not hate speech
141,How many people had I already killed?  There were those six that I knew about for sure...  close enough to blow their last breath in my face.  But this time it was an American...  and an officer.  That wasn't supposed to make any difference to me...  but it did.  Shit. Charging a man with murder in this place...  was like handing out speeding tickets at the Indy 500.,not hate speech
142,I took the mission.,not hate speech
143,What the hell else was I gonna do?  But I really didn't know what I'd do when I found him.   Did you check the tank?,not hate speech
144, Yeah.,not hate speech
145,I was being ferried down the coast in a navy PBR...  a type of plastic patrol boat...,hate speech
146,"a pretty common sight on the rivers.  They said it was a good way to pick up information and move...  without drawing a lot of attention, and that was okay.  I needed the air and the time.  Only problem was I wouldn't be alone.  Mornin', Captain.",not hate speech
147,The crew were mostly just kids...  rock and rollers with one foot in their graves.   How old are you?,not hate speech
148, Seventeen.,not hate speech
149,"The machinist... the one they called Chef... was from New Orleans.  He was wrapped too tight for Vietnam.  Probably wrapped too tight for New Orleans.  Lance, on the forward fifties...  was a famous surfer from the beaches south of L.A.  To look at him, you wouldn't believe he'd ever fired a weapon in his life.  Clean... Mr. Clean... was from some South Bronx shithole...  and I think the light and the space of Vietnam...  really put the zap on his head.  Then there was Phillips, the chief.  It might have been my mission, but it sure as shit was the chiefs boat.  There's about two points where we can draw enough water...",not hate speech
150,to get into the Nung River.,hate speech
151,They're both hot.,not hate speech
152,Belong to Charlie.,hate speech
153,Don't worry about it.,not hate speech
154,Don't smoke.,hate speech
155,"You know, I've pulled a few special ops in here.",not hate speech
156,About six months ago...,hate speech
157,I took a man who was going up past the bridge at Do Lung.,not hate speech
158,He was regular army too.,hate speech
159,Heard he shot himself in the head.,not hate speech
160,"At first I thought they handed me the wrong dossier.  I couldn't believe they wanted this man dead.  Thirdgeneration West Point, top of his class.  Korea, Airborne, about a thousand decorations.  Et cetera, et cetera.  I'd heard his voice on the tape, and it really put the hook in me...  but I couldn't connect up that voice with this man.  Like they said, he had an impressive career.  Maybe too impressive.",not hate speech
161,"I mean, perfect.  He was being groomed for one of the top slots in the corporation...  general, chief of staff, anything.  In 1964, he returned from a tour with Advisory Command in Vietnam...  and things started to slip.  His report to the Joint Chiefs of Staff...  and Lyndon Johnson was restricted.  Seems they didn't dig what he had to tell them.  During the next few months, he made three requests for transfer...  to Airborne training, Fort Benning, Georgia, and was finally accepted.  Airborne?  He was 38 years old.  Why the fuck would he do that?  1966, joins Special Forces...  returns to Vietnam.  Hey, what's that?",not hate speech
162, Arc light.,not hate speech
163, What's up?,not hate speech
164, B52 strike.,not hate speech
165, Yeah?,not hate speech
166, What's that?,not hate speech
167, Arc light.,not hate speech
168,"I hate that. Every time I hear that, something terrible happens.",not hate speech
169,"Charlie don't never see 'em or hear 'em, man.",hate speech
170,There they are.,hate speech
171,Concussion will suck the air out of your damn lungs.,hate speech
172,Something terrible is gonna happen.,not hate speech
173,Smoke! Secondary burning.,not hate speech
174,Hueys over there. Lots of Hueys.,hate speech
175,"Let's have a look, Chief.",hate speech
176,It was the AirCav.,not hate speech
177,First of the Ninth...  That's them.,not hate speech
178,"our escorts to the mouth of the Nung River.  But they were supposed to be waiting for us another 30 kilometers ahead.  Well, Air Mobile.",not hate speech
179,"Those boys just couldn't stay put.  Hey, kid, come on.",not hate speech
180,Get down. Come on.,not hate speech
181,First of the Ninth was an old cavalry division...  that had cashed in its horses for choppers...  and gone tearassing around 'Nam looking for the shit.  They'd given Charlie a few surprises in their time here.  What they were mopping up now hadn't even happened yet an hour ago.  Just keeping running by.,not hate speech
182,We're for television.,hate speech
183,Don't look at the camera.,hate speech
184,Just keep... Go on. Keep going.,not hate speech
185,This is for television.,not hate speech
186,Don't look at the camera.,hate speech
187,"Just go by like you're fighting, like you're fighting.",hate speech
188,Don't look at the camera.,hate speech
189,It's for television. Just go through.,hate speech
190,Just go by. Keep on going.,hate speech
191,Keep going. Don't look at the camera.,hate speech
192,Go on. Keep going.,not hate speech
193,"All right, come on. Go.",not hate speech
194,Right here. Yes.,not hate speech
195,Over here. Over here.,not hate speech
196,Where can I find the CO?,not hate speech
197,That's the colonel comin' down!,not hate speech
198,The CO's on that chopper.,not hate speech
199,"Lieutenant, bomb that tree line back about 100 yards!",not hate speech
200, Give me some room to breathe!,not hate speech
201," Yes, sir!",not hate speech
202,Body cards!,hate speech
203, Sir?,not hate speech
204, Bring my body cards!,not hate speech
205,"Yes, sir!",hate speech
206,I'm the Fourth Tank commander.,not hate speech
207,I got five tanks broken down.,not hate speech
208,We're all right with the tanks.,hate speech
209,"It's all right, Captain.",hate speech
210,Captain Willard!,not hate speech
211,"I carry priority papers from ComSec Intelligence, II Corps.",hate speech
212,I understand Nha Trang has briefed you...,hate speech
213,on the requirements of my mission.,not hate speech
214,What mission?,not hate speech
215,I haven't heard from Nha Trang.,not hate speech
216,"Sir, your unit is supposed to escort us into the Nung!",hate speech
217, We'll see what we can do.,not hate speech
218, Colonel!,not hate speech
219,"But just stay out of my way until this is done, Captain.",hate speech
220,"All right, let's see what we have.",hate speech
221,Let's see what we have.,hate speech
222,"A two of spades, three of spades, four of diamonds...",hate speech
223,"six of clubs, eight of spades.",not hate speech
224,There isn't one worth a jack in the whole bunch.,not hate speech
225,Four of diamonds.,hate speech
226," Hey, Captain, what's that?",not hate speech
227, Death cards!,not hate speech
228, What?,not hate speech
229, Death cards!,not hate speech
230, Death?,not hate speech
231, Lets Charlie know who did this.,not hate speech
232," Cheer up, son.",hate speech
233, We will not hurt or harm you.   Fire in the hole!,not hate speech
234, Fire in the hole!,not hate speech
