,dialog,label_word_embedding_fox_news
0,A hundred and fifty million dollars and my dope is on the way.,not hate speech
1,Today is gonna be a good day.,not hate speech
2,"We are 25 degrees north, The cargo's being dropped.",hate speech
3,Good.,hate speech
4, Do you want to see his gun?,not hate speech
5, Yeah.,not hate speech
6,Bang. Bang.,not hate speech
7,"Sorry, Johnny.",not hate speech
8,Fucking bitches.,not hate speech
9,Infrared's got a live one on the water.,not hate speech
10,Air Force Stallion C14 to Coast Guard.,not hate speech
11,We've got a fastmoving contact heading 350 toward South Florida.,not hate speech
12,"Captain, Air Force Stallion has a contact at 180 closing fast.",hate speech
13,This is Coast Guard cutter Valiant.,not hate speech
14,Request to know your intentions.,hate speech
15,"Vessel off our port bow, this is U.S. Coast Guard.",not hate speech
16,"Intercept is 180, speed 17 knots.",hate speech
17,"Make it so, chief. Scramble the helo.",not hate speech
18,Vessel off our port bow.,not hate speech
19,This is U.S. Coast Guard.,not hate speech
20,Request to know your intentions at this time.,not hate speech
21,Incoming.,not hate speech
22,"Valiant, Valiant.",not hate speech
23,This is Coast Guard 6003.,not hate speech
24,Negative contact with target. Over.,hate speech
25,"Captain, we've lost target.",not hate speech
26,Here's your delivery and payment.,not hate speech
27,Is it done?,hate speech
28, Cargo is on Dixie 7.,not hate speech
29, Okay.,not hate speech
30,"All right, TNT, for the millionth time, listen up.",not hate speech
31,"Since 911, we've gone hitech over water. Dope runners have gone low.",not hate speech
32,Our source says the biggest X shipment on record arrives tonight...,not hate speech
33,...and we want to know who's behind it.,hate speech
34,Hopefully in a few hours we'll have our answer.,not hate speech
35,"We'll hit from three directions: We'll go in with a water team, vehicle assault and we got guys on foot.",hate speech
36,We cannot make a move until our UCs have ID'd the drugs and called us in.,not hate speech
37,"No call, we back away.",hate speech
38,And these guys we're going after...,not hate speech
39,...they got a lot of firepower and they hate the law. So eyes open out there.,hate speech
40,Bravo's on the move.,not hate speech
41,Heads up. Here comes the drop.,not hate speech
42,Fuck. My lens is flaring.,not hate speech
43,I can't see shit.,hate speech
44,Brothers! Gather around!,not hate speech
45,Hey.,not hate speech
46, Why didn't you say there was a rally?,not hate speech
47, Who's looking?,not hate speech
48, Take that shit. I'm out of here.,not hate speech
49, Shit.,not hate speech
50, White power!,hate speech
51, White power!,hate speech
52, White power!,hate speech
53, White power!,hate speech
54,"Blue power, motherfuckers.",not hate speech
55,Miami PD.,not hate speech
56,"Aw, damn. It's the Negroes.",not hate speech
57,"Casper, drop the bag.",hate speech
58,"Alpha leader, bring them in.",hate speech
59,"Bad boys, bad boys What you gonna do?",hate speech
60,What you gonna do When we come for you?,not hate speech
61," Dude, you gotta learn the words.",not hate speech
62, We usually only do the chorus.,not hate speech
63,"Alpha leader, hit it. Br...",not hate speech
64,Repeat your transmission.,not hate speech
65,"Alpha leader to Bravo Four, please continue relay.",not hate speech
66,Where's backup?,not hate speech
67," Alpha leader, bring them in. Hit it.",hate speech
68," Mike, I'm only getting static.",not hate speech
69,It's all static.,hate speech
70,The radios are fucked.,hate speech
71, Something funny? Something funny?,not hate speech
72," Mike, where are they?",not hate speech
73,"Got you, nigger.",not hate speech
74, Looks like we got us a situation here.,hate speech
75, You won't shoot.,not hate speech
76,"You got a gun to his head, so you think I won't splatter you all over?",hate speech
77,That's what I think.,not hate speech
78,My partner came here tonight prepared to die.,not hate speech
79,"Hell... Hell, no!",not hate speech
80,Incinerating trash like you.,not hate speech
81,"Ready to die, right, Marcus?",not hate speech
82, The fuck I want to do that for?,not hate speech
83," Scared, ain't you, boy?",not hate speech
84,"A: Put the gun down, tell me who brings this shit in...",not hate speech
85,...and maybe I'll just pop one in your shoulder.,not hate speech
86,Or B: Keep acting all Brody and I'll put one in your chest.,not hate speech
87,"Or C: You know, take the time to talk a minute.",hate speech
88,"You know, deescalate the situation.",hate speech
89,"See, that's my partner's new spiritual bullshit.",not hate speech
90,Me? I actually prefer shooting motherfuckers.,hate speech
91,A lot of movement going on.,not hate speech
92,Can't see the UCs.,hate speech
93, I think something's going down.,not hate speech
94, Don't move yet.,not hate speech
95,"Mike, the man has a gun to my head.",hate speech
96,He'll put it down if a hollow point's in his eye!,not hate speech
97,Your partner's a cocky nigger.,hate speech
98," Damn. Now, was that necessary, sir?",not hate speech
99, See?,not hate speech
100,He can't just be a cop?,hate speech
101,He got to be a nigga too?,hate speech
102,I'll hot this fool.,hate speech
103, Calm down.,not hate speech
104, Calm down? I'm calm.,not hate speech
105,I'm calm! Hey! Whoa! Whoa!,not hate speech
106,I am way too unstable for that bullshit.,not hate speech
107,Stop all the goddamned movement!,hate speech
108,Everybody stop moving!,hate speech
109,"We can't let you all go, but this shit'll get worked out in court.",hate speech
110,We got our rights.,not hate speech
111,Exercise your right to shut the fuck up.,not hate speech
112,I'm all right. I'll give you a warning.,not hate speech
113,It's the best I can do for all of youse!,not hate speech
114,Okay? He's crazy.,not hate speech
115, You got 3 seconds to drop your gun.,hate speech
116, He has anger issue problems!,not hate speech
117, One.,hate speech
118, He goes to bed early for this shit!,not hate speech
119,Just to wake up to pop one in a motherfucker!,not hate speech
120, Two!,not hate speech
121," Mike, no!",not hate speech
122,Gun!,not hate speech
123,Rock 'n' roll! Let's go!,hate speech
124,Kill them cops!,hate speech
125,Marcus!,not hate speech
126,"Go! Go! Go! Go! Come on, go!",not hate speech
127, Get down!,hate speech
128, Drop the...!,hate speech
129, I didn't do shit!,not hate speech
130, Get your hands up.,not hate speech
131,I didn't do it!,not hate speech
132,The radios were fucked up. Get some medics over here. You guys okay?,not hate speech
133," Yeah, we're fine.",not hate speech
134," What you mean, ""we""?",not hate speech
135,"Motherfucker shot me in the ass, man.",not hate speech
136, Who shot you in the ass?,not hate speech
137," Who? That ""who"" would be you.",not hate speech
138, Me? I shot you?,not hate speech
139, Yeah.,not hate speech
140,"I mean, I was shooting.",not hate speech
141,"Yeah, I did a lot of shooting.",not hate speech
