,dialog,label_word_embedding_fox_news
0,ID?,not hate speech
1,"I can't sell 'em to you without an ID, honey.",hate speech
2,Then just the bullets.,hate speech
3,Please?,not hate speech
4,I said 45s. Mine don't even take these cheapass nines.,not hate speech
5, I thought you had 9mm.,not hate speech
6," I'm fucking useless now, man.",hate speech
7,I can't even smoke nobody!,hate speech
8,"Your bitch fucked me, Jonah!",not hate speech
9,See you there.,not hate speech
10,Why did he have to talk to me like that?,not hate speech
11,Let him get his own bullets.,hate speech
12,Are we really doing this right now?,not hate speech
13,What did I tell you about the people in the house?,not hate speech
14,We pay them to live here.,not hate speech
15,"To be normal fucking people, like I did with you.",hate speech
16, What's in the house?,not hate speech
17, I don't know.,not hate speech
18,Good girl. Good.,hate speech
19,"And you didn't know what was in your house, right?",not hate speech
20,"The problem is, not many people believe you.",not hate speech
21,"I swear to God, I never saw anything.",hate speech
22,I never took anything.,not hate speech
23,I believe you.,not hate speech
24,"But you want my trust, no?",not hate speech
25,Then... prove it like I did.,not hate speech
26,Okay.,not hate speech
27,"Grab that gun and go cover that fucking back door, okay?",hate speech
28,Come on.,not hate speech
29,Okay?,not hate speech
30,"Okay, don't blink.",not hate speech
31," That's right, butterfinger.",not hate speech
32, Come on. You...,not hate speech
33, You let him intercept it?,not hate speech
34, Yes!,not hate speech
35,"Man, you're really...",not hate speech
36,A gun.,hate speech
37, Don't do that!,not hate speech
38," Shoot Teddy, please. That'd be awesome!",not hate speech
39,It's not here. Where the fuck is it?,not hate speech
40," Kids, run! Fast!",not hate speech
41, Shut up!,not hate speech
42, Fucking daycare center out there.,not hate speech
43, Where the fuck's our money?,not hate speech
44, She's a fucking liar!,not hate speech
45, No! I do not...,not hate speech
46,See? Fucking lie to me!,not hate speech
47,This is what she gets for stealing.,not hate speech
48,Was it worth it? She cares more about money than she did about her husband.,not hate speech
49,"Jonah. Jonah, please don't hurt her.",not hate speech
50,And I can't find shit!,hate speech
51,Show me I'm not wrong about you.,not hate speech
52,"Relax, breathe. Breathe. There you go.",not hate speech
53,This is how you prove it!,not hate speech
54,You're alive because of me!,not hate speech
55,No one believes you.,not hate speech
56,"You're already a murderer, baby.",hate speech
57,Every bullet here will be traced back to that store.,hate speech
58,Okay.,not hate speech
59,Pull the trigger.,hate speech
60,Do it. Shoot.,not hate speech
61,Now!,not hate speech
62,Jonah?,not hate speech
63,"Let's go, let's go.",hate speech
64, Happy birthday.,not hate speech
65," Happy birthday, man.",not hate speech
66,"Thanks, thanks. For those who don't know me, my name's John Link.",not hate speech
67," Hi, John!",not hate speech
68, And I'm a real success story.,hate speech
69,"Been sober two years, one inside the joint, one out here.",not hate speech
70,"Before that, I was never clean for very long.",not hate speech
71,"Except maybe in the womb, but knowing Mom, I was probably pickled there, too.",hate speech
72,I did a lot of damage.,hate speech
73,Lost a lot of people along the way.,hate speech
74,Some of 'em stay lost.,hate speech
75,"It's not like they come back and give you an ""Atta boy"" for quitting, you know?",not hate speech
76,"I got a kid I can't find, except on a milk carton.",hate speech
77,Ex that won't talk to me.,hate speech
78,"Every skill I ever had, every friend I ever knew, is now a parole violation.",not hate speech
79,"But you can't be a prick all your life and then just say, ""nevermind,"" you know?",hate speech
80,I can't fix everything I broke.,not hate speech
81,All I can do is not drink.,not hate speech
82,"So, I won't do that today.",not hate speech
83,It's like when I was in the joint all that time.,not hate speech
84,Just count off every fucking day until I die.,not hate speech
85," Happy birthday, you grumpy old bastard.",not hate speech
