,dialog,label_word_embedding_fox_news
0,Why do they always wet themselves?,not hate speech
1,Just get on with the task.,hate speech
2,They got books.,hate speech
3,"Well, shake 'em out.",hate speech
4,See if money comes out the pages.,hate speech
5,It won't be in the table of contents.,hate speech
6,Save them jokes that nobody likes for the campfire.,not hate speech
7,You didn't cut him deep enough.,not hate speech
8,He had a lot of blood.,hate speech
9,An unusual amount.,not hate speech
10,He has the same as every other.,not hate speech
11,Help me up.,not hate speech
12,There are 16 major veins in the neck and you have to cut through 'em all.,hate speech
13,There ain't 16.,not hate speech
14,My uncle had an acquaintance with a man who used to be a doctor and that's what he said.,hate speech
15,Now you get on with the task.,not hate speech
16,Worthless.,not hate speech
17,Don't throw no Bibles in there.,hate speech
18,I know it's bad luck.,hate speech
19,Besides you can always sell them to some idiot.,hate speech
20,Buddy...,not hate speech
21,I hear horses.,hate speech
22,Are you certain?,not hate speech
23,Positively.,not hate speech
24,Damn! It was that gun shot.,not hate speech
25,A bat in China could've heard that.,not hate speech
26,That's a full gallop.,not hate speech
27,We're gonna have to get up there in them rocks and hide.,hate speech
28,Fifteen minutes 'til they get there.,hate speech
29,Scurry.,not hate speech
30,You hear that?,not hate speech
31,It was a gust.,hate speech
32,That's a real musical gust.,not hate speech
33,And?,not hate speech
34,It's ominous.,not hate speech
35,This is not the time for womanly imaginings.,not hate speech
36,Go.,not hate speech
37,What's that? A wolf?,not hate speech
38,"Bear, looks like.",not hate speech
39,Is this some kind of sign?,not hate speech
40,"""Keep Out"" or something.",not hate speech
41,We got permission.,hate speech
42,Was that us?,not hate speech
43,I thought the sun was in the other direction.,hate speech
44,"Well, it's here now.",hate speech
45,Get.,not hate speech
46,That's where we're goin'.,not hate speech
47,Straight through this place and deeper in.,hate speech
48,Maybe we shouldn't be going some place that looks like a burial ground.,hate speech
49,To a bunch of godless savages.,hate speech
50,Ain't no concern of the civilized man.,hate speech
51,A jail on fire is safer than a place like this.,hate speech
52,"It's better than sittin' in that damn gulch, riders comin' in from one way and savages the other.",hate speech
53,"You want to go back there, go.",not hate speech
54,"If that was a gust, then it learned an instrument!",hate speech
55,Listen clear!,not hate speech
56,"We're comin' through here, like it or not!",hate speech
57,Buddy!,not hate speech
58,"Oh, Je  Would you like  some coffee?",not hate speech
59,No reason to stay up.,not hate speech
60,"More sleeping I do, quicker Autumn'll get here.",not hate speech
61,Uhoh.,not hate speech
62,Arthur O'Dwyer!,not hate speech
63,You look real pretty when you're upset.,not hate speech
64,Do you intend to sit and sulk for the next 12 weeks?,not hate speech
65,"Well, what do you want me to do?",not hate speech
66,"I advised you not to work on the roof during the storm, but you went up regardless, because you had ""a notion to get things done"".",not hate speech
67,But there's no reason to go over that again.,not hate speech
68,Didn't you just?,not hate speech
69,So is this your intention?,not hate speech
70,Is what my intention?,not hate speech
71,To sulk for 12 weeks?,not hate speech
72,"I'm not sulking, I'm sour.",not hate speech
73,Don't dodge.,hate speech
