,dialog,label_word_embedding_fox_news
0,"<font color""FF4500"">Subtitle edited by Anisul Kabir Akil</font> <font color""FF0000"">More from http://subscene.com/u/776104</font> theme song plays chains rattling man grunting horse nickering  Whoa.",hate speech
1, horses snorting gentle metallic rattling Whoa.,not hate speech
2,Who's that stumblin' around in the dark?,hate speech
3,State your business or prepare to get winged!,hate speech
4,"Calm yourselves, gentlemen...",not hate speech
5,I mean you no harm.,hate speech
6,I'm simply a fellow weary traveler.,not hate speech
7,"Whoa, boy.",not hate speech
8,"Good cold evening, gentlemen.",not hate speech
9,I'm looking for a pair of slave traders that go by the name of the Speck Brothers.,hate speech
10,Might that be you?,not hate speech
11, Who wants to know?,not hate speech
12," Well, I do.",not hate speech
13,I'm Dr. King Schultz.,not hate speech
14,"This is my horse, Fritz.",not hate speech
15,snorting  What kinda doctor?,not hate speech
16, Schultz Dentist.,not hate speech
17,"Now, are you the Speck Brothers?",not hate speech
18,And did you purchase those men at the Greenville slave auction?,not hate speech
19, So what?,not hate speech
20, So I wish to parley with you.,not hate speech
21, Speak English.,hate speech
22," chuckles Oh, I'm sorry.",not hate speech
23,Please forgive me.,not hate speech
24,It is a second language.,not hate speech
25,"Now, amongst your inventory, I've been led to believe, is a specimen I'm keen to acquire.",not hate speech
26,"Hello, you poor devils!",not hate speech
27,Is there one amongst you who was formerly a resident of the Carrucan plantation?,hate speech
28,man I'm from the Carrucan plantation.,hate speech
29,Who said that?,not hate speech
30,Schultz lighting match What's your name?,not hate speech
31,Django.,not hate speech
32,Then you are exactly the one I'm looking for.,not hate speech
33,Do you know who the Brittle Brothers are?,not hate speech
34,Who are they?,hate speech
35,Big John.,not hate speech
36,Ellis.,not hate speech
37,Roger.,not hate speech
38,Sometime they call him Lil Raj.,not hate speech
39,They was overseers at the Carrucan plantation.,not hate speech
40,Not anymore.,not hate speech
41,Tell me...,not hate speech
42,"...if you were to see any of these three gentlemen again,  would you recognize them?",not hate speech
43, man Hey.,hate speech
44, Stop talkin' to him like that.,not hate speech
45, Like What?,not hate speech
46,Like that.,hate speech
47,"My good man, I'm simply trying to ascertain...",not hate speech
48,"Speak English, goddamn it.",hate speech
49,Everybody calm down.,not hate speech
50,I'm simply a customer trying to conduct a transaction.,hate speech
51,I don't care. No sale.,hate speech
52,"Now, off with ya.",hate speech
53,scoffs Don't be ridiculous.,not hate speech
54,Of course they're for sale.,not hate speech
55,Move it.,not hate speech
56,"My good man, did you simply get carried away with your dramatic gesture or are you pointing your weapon at me with lethal intention?",not hate speech
57,"Last chance, fancy pants.",not hate speech
58,"Oh, very well.",not hate speech
59,"horse whinnying man screaming scream echoing screaming continues I'm sorry to put a bullet in your beast, but I didn't want you to do anything rash before you had a moment to come to your senses.",not hate speech
60,You goddamn son of a bitch!,not hate speech
61, You shot Roscoe!,not hate speech
62, Well...,not hate speech
63,And you killed Ace!,hate speech
64,I only shot your brother once he threatened to shoot me.,hate speech
65,And I do believe I have...,not hate speech
66,"one, two, three, four...",not hate speech
67,...five witnesses who can attest to that fact.,not hate speech
68, Damn leg's busted!,not hate speech
69, No doubt.,hate speech
70,"Now, if you could keep your caterwauling down to a minimum, I'd like to finish my line of inquiry with young Django.",hate speech
71,screaming resumes  man Godfuckin'damn it!,hate speech
72, As I was saying...,not hate speech
73,"...if you were to see the Brittle Brothers again, you could recognize 'em?",not hate speech
74,Yeah.,not hate speech
75,Sold American!,hate speech
76,"So, Mr. Speck? Mr. Speck?",hate speech
77,How much for young Django here?,not hate speech
78,That iron is nasty business.,not hate speech
79,"Oh, could you hold this for a moment?",not hate speech
80,Thank you. Django?,not hate speech
81,Get up on that horse.,hate speech
82,"Also, if I were you, I'd take that winter coat the dear departed Speck left behind.",not hate speech
83,Nigger!,not hate speech
84,Don't you touch my brother's coat.,not hate speech
85,screaming Goddamn it! Oh!,not hate speech
86,moaning One hundred... ten... 20...,not hate speech
87,...and five...,not hate speech
88,...for young Django here.,not hate speech
89,"And since he won't be needing it anymore, I'd like to purchase your brother's nag.",hate speech
90,"Also, Mr. Speck, I'm afraid I will require a bill of sale.",hate speech
91,Do you have one?,not hate speech
92," You go to hell, dentist.",not hate speech
93, scoffs I thought not.,not hate speech
94,No worries. I come prepared.,not hate speech
95,Thank you.,not hate speech
96,This will serve nicely as a bill of sale.,not hate speech
97,nickering Whoa.,not hate speech
98,"Now, as to you poor devils.",not hate speech
99,"So, as I see it, when it comes to the subject of what to do next, you gentlemen have two choices.",not hate speech
100,"One: Once I'm gone, you could lift that beast off the remaining Speck, then carry him to the nearest town.",not hate speech
101,"Which would be at least Or two: You could unshackle yourselves, take that rifle, put a bullet in his head, bury the two of them deep, and then make your way to a more enlightened area of this country.",hate speech
102,Choice is yours.,not hate speech
103,"Oh, and on the off chance there are any astronomy aficionados amongst you, the North Star is that one.",not hate speech
104,"Tata. clucking Now wait a minute, fellas.",not hate speech
105,Let's talk about this!,not hate speech
106, lantern crashing  chains rattling You gotta be reasonable in a situation like this!,hate speech
107,I'm not a bad guy.,hate speech
108,I'm just doin' my job!,not hate speech
109,"Blueberry, didn't I give you my last apple?",not hate speech
110,"Tell you what, boys: Take me to the doc in El Paso,  I'll get you your freedom.",not hate speech
111," gun cocking  No. No, please...",not hate speech
112," gunshot echoing dogs barking nearby squeaking All right, now.",not hate speech
113,I'd like you to take two of these tonight...,hate speech
114, coughing  ...and then in the morning...,not hate speech
115,That's a nigger on a horse.,not hate speech
116,What's everybody staring at?,not hate speech
117,They ain't never seen no nigger on a horse before.,not hate speech
118,goats bleating Whoa.,hate speech
119,"Good morning, innkeeper!",not hate speech
120,Two beers for two weary travelers.,not hate speech
121,It's still a bit early.,not hate speech
122,We won't be open for another hour.,not hate speech
123,"By then, we'll be servin' breakfast.",hate speech
124,"gasping Whoa, whoa, whoa, whoa... what the hell you think you're doing, boy?",not hate speech
125,Get that nigger outta here!,hate speech
126, panting Help! Help!,not hate speech
127, Innkeeper!,not hate speech
128,"Remember, get the sheriff, not the marshal.",hate speech
129,man Sheriff! Help!,hate speech
130,Alas.,not hate speech
131,Now we must act as our own bartender.,not hate speech
132,"Sit down, my boy.",not hate speech
133, What kind of dentist are you?,not hate speech
134," chortles Despite that cart, I haven't practiced dentistry in five years.",not hate speech
135,"But these days, I practice a new profession...",not hate speech
136,...bounty hunter.,not hate speech
137,Do you know what a bounty hunter is?,not hate speech
138,No.,hate speech
139,Well...,not hate speech
140,"...the way the slave trade deals in human lives for cash, a bounty hunter deals in corpses.",not hate speech
141,tsking Hat Prost.,not hate speech
142,The state places a bounty on a man's head.,not hate speech
143,"I track that man, I find that man, I kill that man.",hate speech
144,"After I've killed him, I transport that man's corpse back to the authorities.",hate speech
145,Sometimes that's easier said than done.,not hate speech
146,"I show that corpse to the authorities, proving yes, indeed, I truly have killed him, at which point the authorities pay me the bounty.",not hate speech
147,"So, like slavery, it's a flesh for cash business.",not hate speech
148,What's a bounty?,hate speech
149,It's like a reward.,hate speech
150,You kill people?,not hate speech
151,And they give you a reward?,not hate speech
152,"Certain people, yeah.",hate speech
153,Bad people?,not hate speech
154,"Ah! Badder they are, bigger the reward.",not hate speech
155,Which brings me to you.,not hate speech
156,"And I must admit, I'm at a bit of a quandary when it comes to you.",not hate speech
157,"On one hand, I despise slavery.",not hate speech
158,"On the other hand, I need your help.",not hate speech
159,"If you're not in a position to refuse, all the better.",not hate speech
160,"So, for the time being, I'm gonna make this slavery malarkey work to my benefit.",not hate speech
161,"Still, having said that, I feel guilty.",not hate speech
