,Unnamed: 0,dialog
0,0,Simple and direct.
1,1,It's like throwing a punch.
2,2,"When I think the time is right, I use the most efficient way to solve a problem."
3,3,"Not everyone will agree with me, but that's me."
4,4,"I'm fallon zhu, as in Jimmy Fallon and fallon fox, a 145pound kickass policeman."
5,5,I honestly did not do it.
6,6,"I'm gonna kill you, you little bitch!"
7,7,Please don't hit me anymore!
8,8,"I am innocent, sis ling."
9,9,"I am innocent, sis ling."
10,10,Get out!
11,11,"Chloe song, are you ready yet?"
12,12,How many times do I have to rush you?
13,13,"Yes, I'm ready. Coming..."
14,14,Took you all that time for just makeup?
15,15,"We're all set, just missing you!"
16,16,You think you're a superstar?
17,17,Hurry up... run!
18,18,The director is waiting!
19,19,Yes.
20,20,"Mr director, I am ready."
21,21,Lower your voice. Mr director is busy pondering the next scenes.
22,22,Hurry!
23,23,Ready?
24,24,"Not yet, hang on a minute."
25,25,Phone.
26,26,Hi Chloe!
27,27,Have you wrapped?
28,28,One more shot and I'm wrapped.
29,29,Have you got out of bed?
30,30,Remember to get money for my mom and be at the wedding photographer's studio before 1 o'clock or I won't marry you.
31,31,I'll be doomed if you don't marry me.
32,32,"Well, if you don't want to be doomed, then please don't be late."
33,33,"And also, I've got your suit ready in the wardrobe."
34,34,"Remember to wear it, you hear me?"
35,35,"That is it, that suit...!"
36,36,Wow!
37,37,Wow what?
38,38,What the heck do you know about fashion?!
39,39,"Ok, that's it."
40,40,"I have to get back to work, I'll see you later."
41,41,Bye.
42,42,Move.
43,43,"Assistant director, aren't you just taking my closeup?"
44,44,This will only work if it's one continuous shot.
45,45,One continuous shot?
46,46,"No, I am acrophobic."
47,47,"Let's wait for my double to get here, ok?"
48,48,Why did you jump?
49,49,The camera's not even rolling.
50,50,Do it again!
51,51,Hi lowell... Wayne! What a coincidence!
52,52," Oh, there's an operation today..."
53,53, We're just getting pineapple buns and milk tea...
54,54,Need help?
55,55, Superintendent huang is hungry...
56,56," No, we're on our way to catch some crooks..."
57,57,Need help?
58,58,No...
59,59,It's just a small job...
60,60,Aren't you on leave? You're all dressed up!
61,61,We're having our wedding photos taken today.
62,62,"You've got to come to my wedding next month, remember that."
63,63, Of course!
64,64, Congratulations...
65,65,"Hey, stay safe."
66,66,Understood. What is most important...?
67,67,Staying safe!
68,68,Eating pineapple buns again?
69,69,You will easily get fat.
70,70,"I'm just going after a bunch of crooks today, not like I'm tackling bank robbers."
71,71,Do I look good?
72,72,Looking real good!
73,73,You look like a manager in a Chinese restaurant.
74,74,Why? Are you taking your wedding photos with Chloe in a Chinese restaurant?
75,75,What the heck do you know about fashion?!
76,76,People getting married all suffer from brain damage.
77,77, Good morning!
78,78, Good morning!
79,79,"Our privileged guest, wait..."
80,80,"Wow, so many people in here?"
81,81,Gentleman.
82,82,Gentleman!
83,83,Gentleman!
84,84,Calling traffic control...
85,85,There's a Van at queen's road central that is illegally parked.
86,86,Please send a tow truck. Thanks.
87,87,Do you have a light?
88,88,No. Try seven eleven down the road thanks.
89,89,Idiot.
90,90,"May I have your name, sir?"
91,91,Shing huang.
92,92,"Mr huang, your date of birth is..."
93,93,"March 27th, 2000."
94,94,"Sir, you do look a little mature for your age. ID number please!"
95,95,What do you want?
96,96,I am hksar traffic warden  obstacle huang. Ui71337.
97,97,"You have violated the parking regulations, and will have to pay a fine of $320."
98,98,"You can settle it through online banking, pay by cash, or you can remit the money by cheque."
99,99,Your driver's license...?
