,Unnamed: 0,dialog
0,0,"I'm real sorry about Dorothy, Walt."
1,1,She was a real peach.
2,2,"Thanks for coming, Al."
3,3,"Father, Son, Holy Spirit."
4,4,Father. Spirit.
5,5,Uh.
6,6,Holy Spirit.
7,7,"It's okay, I can move down."
8,8,"Spectacles, testicles, wallet, and watch."
9,9,Look at the way the old man glared at Ashley.
10,10,Can't even tone it down for Mom's funeral.
11,11,What do you expect?
12,12,Dad's still living in the '50s.
13,13,He expects his granddaughter to dress a little more modestly.
14,14,"Well, your kid's wearing a Lions jersey."
15,15,I'm sure Dad appreciates that.
16,16,The point is that there's nothing anyone can do that won't disappoint the old man.
17,17,It's inevitable.
18,18,"You know, that's why we stopped doing Thanksgivings."
19,19,"You know, that deal with the boat motor, the broken birdbath. It's always something."
20,20,What are we gonna do with him?
21,21,"Don't you think he's gonna get in trouble, all by himself in the old neighborhood?"
22,22,"Well, why don't you have him move in with you?"
23,23,"Ha, ha, ha."
24,24,Hey. Shh.
25,25,Death is often a bittersweet occasion to us Catholics.
26,26,"Bitter in the pain, sweet in the salvation."
27,27,Bitter in the pain it causes the deceased and their families.
28,28,Sweet to those of us who know the salvation that awaits.
29,29,"And some may ask, ""What is death?"
30,30,Is it the end?
31,31,Or is it the beginning?
32,32,And what is life?
33,33,"What is this thing we call life?"" All these questions can frustrate you."
34,34,"Ashley, stop it."
35,35,That's why you have to turn to the Lord.
36,36,Jesus.
37,37,Because the Lord is the sweetness....
38,38, This is so good.
39,39, Did you have a chance to call Martha?
40,40, Is that Dad?
41,41, No. That's Grandpa Walt.
42,42,"""Third platoon, E company, March 2nd, 1 952, Korea""?"
43,43,Where's Korea?
44,44,A lot of people showed up after the service.
45,45,"Well, I suppose they heard there's gonna be a lot of ham."
46,46,I'll go down in the basement and get some chairs.
47,47,"Oh, I can do that, Dad."
48,48,"No, I need them now, not next week."
49,49,"Cool, I found a medal. Look at this."
50,50,How much longer do we have to stay?
51,51,"This ghetto is a dead zone for my cell, and I'm bored."
52,52,"Ashley, why don't you go help Grandpa Walt with the chairs?"
53,53,Me?
54,54,"Yes, you. Go. Go help him."
55,55,"Grandpa Walt, would you like some help with this?"
56,56,With your chairs?
57,57,No. You probably just painted your nails.
58,58,"Honey, come here."
59,59,"Okay, well, your dad is driving me crazy."
60,60,Why did you make me do that?
61,61,It's okay. We're leaving soon.
62,62,"Hey, girl. Come on."
63,63,Come on. Come on.
64,64,Come with me.
65,65,How many swamp rats can you get in one room?
66,66,"Wow. Grandpa, when did you get the vintage car?"
67,67,I never knew you had a cool old car.
68,68,"Yeah. Well, it's been here since before you were born."
69,69,So...
70,70,"...what are you gonna do with it when you, like, die?"
71,71,What about that supercool retro couch you have in the den?
72,72,Because I'm going to state next year...
