,Unnamed: 0,dialog
0,0,l'm not allowed to use magic outside of school.
1,1,"Besides, if Uncle Vernon Harry Potter!"
2,2,Now you've done it.
3,3,He's in there. Vernon?
4,4,"l'm warning you, if you can't control that bloody bird, it'll have to go."
5,5,But she's bored.
6,6,lf l could only let her out for an hour or two.
7,7,"So you can send secret messages to your freaky little friends? No, sir."
8,8,But l haven't had any messages from any of my friends.
9,9,Not one...
10,10,...all summer.
11,11,Who would want to be friends with you?
12,12,l should think you'd be a little more grateful.
13,13,"We've raised you since you were a baby, given you the food off our table..."
14,14,...even let you have Dudley's second bedroom...
15,15,...purely out of the goodness of our hearts.
16,16,Not now. lt's for when the Masons arrive.
17,17,Which should be any minute.
18,18,"Now, let's go over our schedule once again, shall we?"
19,19,"Petunia, when the Masons arrive, you will be...?"
20,20,"ln the lounge, waiting to welcome them graciously to our home."
21,21,"Good. And, Dudley, you will be...?"
22,22,l'll be waiting to open the door.
23,23,Excellent.
24,24,And you?
25,25,"l'll be in my bedroom, making no noise and pretending that l don't exist."
26,26,"Too right, you will."
27,27,"With any luck, this could be the day l make the biggest deal of my career..."
28,28,...and you will not mess it up.
29,29,"Harry Potter, such an honor it is."
30,30,Who are you?
31,31,"Dobby, sir. Dobby the houseelf."
32,32,Not to be rude or anything...
33,33,...but this isn't a great time for me to have a houseelf in my bedroom.
34,34,"Yes, sir. Dobby understands."
35,35,lt's just that Dobby has come to tell you....
36,36,"lt is difficult, sir."
37,37,Dobby wonders where to begin.
38,38,Why don't you sit down?
39,39,Sit down? Sit down?
40,40,"Dobby, l'm sorry. l didn't mean to offend you or anything."
41,41,Offend Dobby?
42,42,"Dobby has heard of your greatness, sir..."
43,43,"...but never has he been asked to sit down by a wizard, like an equal."
44,44,You can't have met many decent wizards then.
45,45,"No, l haven't."
46,46,That was an awful thing to say.
47,47,Bad Dobby! Bad Dobby!
48,48,"Stop, Dobby. Dobby, shush."
49,49,"Dobby, please, stop."
50,50,Don't mind that. lt's just the cat.
51,51,Bad Dobby.
52,52,"Stop! Stop, Dobby. Please, be quiet."
53,53,Are you all right?
54,54,"Dobby had to punish himself, sir."
55,55,"Dobby almost spoke ill of his family, sir."
56,56,Your family?
57,57,"The wizard family Dobby serves, sir."
58,58,Dobby is bound to serve one family forever.
59,59,lf they ever knew Dobby was here....
60,60,But Dobby had to come. Dobby has to protect Harry Potter. To warn him.
61,61,Harry Potter must not go back...
62,62,...to Hogwarts School of Witchcraft and Wizardry this year.
63,63,"There is a plot, a plot to make most terrible things happen."
64,64,What terrible things?
65,65,Who's plotting them?
66,66,Can't say.
67,67,"Okay, l understand. You can't say."
68,68,"Don't make me talk. l Dobby. Dobby, put the lamp down."
69,69,Bad Dobby.
70,70,So when they arrive at the ninth hole....
71,71,Give me the lamp.
72,72,"Dobby, stop!"
73,73,Let me go.
