,Unnamed: 0,dialog
0,0,"âª In the heat of the night âª Seems like a cold sweat creepin' across my brow âª Yeah âª In the heat of the night âª I'm feelin' motherless somehow âª Stars with evil eyes âª Stare from the skies âª All mean and bright âª In the heat of the night âª Ain't a woman yet been born âª Knows how to make the mornin' come âª It's so hard to keep control âª When I could sell my soul âª For just a little light âª In the heat of the night âª In the heat of the night âª I've got trouble wall to wall âª Oh yes, I have âª I repeat âª I repeat, in the night âª Must be an ending to it all âª But hold on, it won't be long âª Just you be strong âª And it'll be all right âª In the heat of the night Where you keepin' the pie tonight?"
1,1,A man ate the last piece just before you come in.
2,2,What's that little old orphan sittin' right up there?
3,3,Marble cake.
4,4,"Tell you what, Sam. Bein' she's in there by her little old lonesome, I'll let you have her for free."
5,5,"I told you 'bout that ""Sam"" business, didn't I? Hm?"
6,6,"Sorry, Mr. Wood."
7,7,"I mean, uh... Officer Wood."
8,8,"âª Well, a bowlegged Polly and a knockedkneed Paul âª A bowlegged Polly and a knockedkneed Paul âª A bowlegged Polly and a knockedkneed Paul âª They can't get together at all âª Just like the worm in the cornfield said to his brother âª ""Yeah, go in one ear and out the other"" âª Well, a bucktoothed Clara and a crosseyed Clyde âª A bucktoothed Clara and a crosseyed Clyde âª Like old bowlegged Polly and a knockkneed Paul âª Every time I see your face âª It's got a way of turnin' me around âª You tune me in, pretty baby âª Wild things begin âª Baby, that ain't love âª But it sure is groovy It's Colbert, all right."
9,9,Skull's caved in.
10,10,"You ever take a homicide picture before, son?"
11,11,"Well, at least he won't be movin' on me."
12,12,That's for sure. I want you to cover every angle. Do you hear me? Every angle.
13,13,"Uh, you boys, move on back now, OK?"
14,14,"Came all this way to build us a factory, make somethin' outta this town."
15,15,Look what it got him.
16,16,Yeah.
17,17,"Sam, did he have a wallet, identification, anything like that?"
18,18,That's the first thing I looked for.
19,19,Whoever fixed him musta took 'em.
20,20,"Nothin', huh?"
21,21, Any witnesses?
22,22," I mean, not even a cat."
23,23, How long's he been dead?
24,24," Oh, less than an hour."
25,25, Less than an hour.
26,26, Maybe half that.
27,27,Maybe half.
28,28,Could have been a hitchhiker.
29,29,"Check both ends of town, check the depot, and check the pool hall. OK?"
30,30," Pool hall closes at one o'clock, Chief."
31,31," I said check it, Sam."
32,32,"Yes, sir."
33,33,"On your feet, boy."
34,34,I mean now!
35,35,Get against that wall.
36,36,Get them hands high!
37,37,You spread them fingers.
38,38,I wanna count all ten.
39,39,"You move before I tell you to, boy, by God, I'm gonna clean your plow."
40,40,"That's pretty fat there, ain't it, boy? Huh?"
41,41,"Now, outside there's a police car."
42,42,You're gonna pick up that bag.
43,43,"You're gonna walk out, and you're gonna plant yourself in the back."
44,44,And you're gonna be a real nice quiet boy all the way in.
45,45,You hear?!
46,46,"C'mon, boy."
47,47,Move it!
48,48,Chief here?
49,49," Hey, what's up, Sam?"
50,50,  Chief?
51,51,What's goin' on?
52,52,Sam?
53,53, Wood?
54,54," Yes, sir?"
55,55,When's the last time I asked Courtney to get oil for this damn thing?
56,56,"Uh, last Wednesday."
57,57,Would you be kind enough to go outside and remind him what day it is today?
58,58,"Well, uh..."
59,59,how about the prisoner here?
60,60,Don't you worry about him.
61,61,"Got a name, boy?"
62,62,Virgil Tibbs.
63,63,Virgil?
64,64,"Well, I don't think we're gonna have any trouble, are we, Virgil?"
65,65,No trouble at all.
66,66,"Oh, you can go now, Sam."
67,67,"Yes, sir."
68,68, What did you hit him with?
69,69, Hit whom?
70,70,"""Whom""?"
71,71,Whom?
72,72,You a Northern boy? What's a Northern boy like you doin' all the way down here?
73,73,I was waiting for the train.
74,74,There ain't no trains this time of mornin'.
75,75, Tuesdays only. 4:05 to Memphis.
76,76, You say.
77,77,Well...
78,78,"All right, you say right."
79,79,All right...
80,80,Virgil.
81,81,Oh!
82,82,Now look.
83,83,"I try to run a nice, clean, safe town here."
84,84,A town where a man can sneeze and not get his brains beat out. You follow me?
85,85,Yes.
86,86,Why don't you tell me how you killed Mr.
87,87,Colbert? You'll feel a whole lot better.
88,88,Not now!
89,89,I was visiting my mother.
90,90,I came in on the 12:35 from Brownsville.
91,91,I was waiting to go out on the 4:05.
92,92,Mmhm.
93,93,Yeah.
94,94,"And meanwhile, you killed yourself a white man and picked yourself up $200!"
95,95,"I earned that money, ten hours a day, seven days a week."
96,96,Colored can't earn that. It's more than I make in a month! Where did you earn it?!
97,97, Philadelphia.
98,98, Mississippi?
99,99, Pennsylvania.
100,100, Just how do you earn that kinda money?
101,101,I'm a police officer.
102,102,"Oh, yeah."
103,103, Wood!
104,104," Yes, sir!"
105,105, Did you question this man?
106,106," No, sir."
107,107,Would you mind taking a look at that?
108,108,"Yeah! Oh, yeah!"
109,109,I'll check on this wise city boy.
110,110,You take him outside and hold him.
111,111,"Yes, sir."
112,112,May I suggest that you call my chief rather than send a wire or anything?
113,113,"I mean, it would be quicker."
114,114,And I'll pay for the call.
115,115,Did you hear? Did you hear him say he'd pay for the call?
116,116,How much do they pay you to do their police work?
117,117,$162.39 per week.
118,118,$162.39 a week!
119,119,"Well, boy! Take him outside, Wood."
120,120,"But treat him easy, because a man that makes $162.39 a week..."
121,121,"man, we do not wanna ruffle him!"
122,122,"No, sir!"
123,123,Courtney... would you try and get me longdistance?
124,124,"Police business, honey."
125,125,Chief's on the line.
126,126,"No. He catch you listenin' in, he'll run your butt around the block."
127,127, He don't panic me none.
128,128, No?
129,129, Where's the chief?
130,130, You got the pictures of the dead man?
131,131,"Sure do. I got him top, bottom, sideways... you name it."
132,132," Good. I'll take 'em, son."
133,133," No, I wanna give 'em to the chief."
134,134," I said I'd take 'em, Charlie."
135,135," Do like he tells you, Charlie."
136,136,Somebody owes me some money for those.
137,137,I had to buy paper and film and developin'.
138,138,That's all right. Just bill the department.
139,139,Everything will be taken care of.
140,140,God Almighty.
141,141,He sure looks bad.
142,142,May I see the man I am supposed to have killed?
143,143,Sure.
144,144,I don't know why not.
145,145,"Hey, Sam."
146,146,He's finished talkin'.
147,147, Here's the photos of the dead man.
148,148, OK.
149,149,Got your chief on the phone.
150,150,He wants to talk to you.
151,151,"Hello? Yes, sir. I'm sorry to have gotten you involved in this."
152,152,I really had no choice.
153,153,"Yes, sir."
154,154,"You can't be serious, sir. I mean, even if I could be of help, they wouldn't want it."
155,155,"No, sir. I'm not prejudiced."
156,156,"Yes, sir. I am a police officer and they're police officers, but..."
157,157,Hello. This is Gillespie.
158,158,"Yes, sir. Yep, well..."
159,159,You don't say?
160,160,He's your number one homicide expert?
161,161,"Well, my, my, my."
162,162,I don't think we need any help.
163,163,We can wrap this up ourselves.
164,164,"Yes, sir."
165,165,But I do want to thank you for offering me such a powerful piece of manpower as Virgil Tibbs.
166,166,"Yes, sir. Thank you."
167,167,"Yeah. Goodbye, now."
168,168,"Oh, it's all there. We paid for the phone call ourselves."
169,169,"Now, you are the number one homicide expert."
170,170, That's right.
171,171, I bet you look at a lot of dead bodies.
172,172,Lots.
173,173,Well?
174,174," Well, what?"
175,175, Well...
176,176,"I just thought maybe, uh... Maybe you wouldn't mind takin' a look at this one?"
177,177,"No, thanks."
178,178," Why not, expert?"
179,179, Because I've got a train to catch.
180,180,Wait a minute.
181,181,That train don't leave till noon.
182,182,They pay you $162.39 a week just to look at bodies. Why can't you look at this one?
183,183, Why can't you look at it for yourself?
184,184, Because I'm not an expert...
185,185,Officer!
186,186,"Ten cents, ten million dollars... just doesn't matter when a man's time comes."
187,187,Mmhm.
188,188,"I could give him a nicer service right here in Sparta than he could ever get up there in Chicago. And at half the price, too."
189,189,I got a rosewood casket out there...
190,190,"Ted Ulam, Chief."
191,191,We haven't had the pleasure.
192,192,That's for sure.
193,193,He's with me.
194,194,"Hello, Doc."
195,195,Yep.
196,196,Well...
197,197,Uh...
198,198,Do you wanna look at it?
199,199,New manicure.
200,200,That's good.
201,201,That's very good.
202,202, I'll need a few things.
203,203,  Such as?
204,204,"Ammonium hydrosulfide, benzidine, superoxide of hydrogen."
205,205,"Copper powder, distilled water."
206,206,A sixinch celluloid scale.
207,207,Thermometer.
208,208,Some tweezers.
209,209,Calipers.
210,210,And some toothpicks.
211,211,Toothpicks?! Copper...?
212,212,"What's goin' on here, Chief?"
213,213,Who is this boy anyway?
214,214,I asked him to look at the body.
215,215,That's who he is.
216,216,It's 4:45.
217,217,What time was this man killed?
218,218,Sam found him at 3 a.m. The doctor says it's he was killed an hour earlier.
219,219, At two?
220,220, Maybe a little later.
221,221,"Would you feel the face and jaw, please?"
222,222,"Am I mistaken, or has rigor begun?"
223,223,It has.
224,224,You'll notice too that postmortem lividity is present.
225,225,So the time of death really has to be earlier. Wouldn't you say?
226,226,Mm.
