,Unnamed: 0,dialog
0,0,"<font color""ff8000"">MAN</font>: I don't know what the fuck is going on in this country, man!"
1,1,"Every day I turn on the TV, and I see these fucking freaks marching for their rights!"
2,2,"<font color""ff00ff"">(PEOPLE MURMURING)</font> What about our rights?"
3,3,"<font color""ff00ff"">(PEOPLE SHOUTING IN AGREEMENT)</font> This is our time to show the world that we are not just an online movement!"
4,4,"<font color""ff00ff"">(PEOPLE SHOUTING IN AGREEMENT)</font> We're growing physically!"
5,5,This is our time to assert ourselves as the true voice of America!
6,6,"<font color""ff00ff"">(MEN SHOUTING)</font> Yeah!"
7,7,"Yes, let's do that!"
8,8,"<font color""ff8000"">MAN</font>: Now, you may have noticed that our friend Aryan Grande has brought in a new recruit."
9,9,"FucktheJews82. Welcome, brother!"
10,10,"<font color""ff8000"">ALL</font>: Yeah!"
11,11,"Hi. Heil. Heil, everybody."
12,12,White power. Obviously.
13,13,Been a big fan of you guys for a while.
14,14,"Since World War II, really."
15,15,That's when you made your big entrance on the scene.
16,16,"And, uh... Yeah."
17,17,"Just, um, in closing..."
18,18, Fuck the Jews!
19,19," <font color""ff8000"">ALL</font>: <font color""ff00ff"">(SHOUT)</font> Yeah!"
20,20, Welcome!
21,21," <font color""ff00ff"">(ALL GRUNT)</font> Let's fucking party!"
22,22,"<font color""ff00ff"">(ALL YELLING AND CHEERING)</font> <font color""ff00ff"">(HARD ROCK MUSIC PLAYING)</font> So you guys are, like, pretty active on social media, right?"
23,23,"<font color""ff8000"">MEN</font>: Yeah."
24,24,How many times a day would you say you tweet on average?
25,25," Hey, FTJ!"
26,26," <font color""ff8000"">FRED</font>: Yo!"
27,27,You said you wanted a swastika tattoo.
28,28,Now's your chance.
29,29,"Yeah, you know, I've been thinking about it. I'm cool."
30,30,"Come on, man. We all got 'em!"
31,31,You guys want me to get a swastika tattoo?
32,32,"<font color""ff8000"">MEN</font>: Yeah!"
33,33,I will get a swastika tattoo.
34,34,Um... Yeah.
35,35,"Hey, take over, man."
36,36,I got to take a piss.
37,37,"<font color""ff00ff"">(TATTOO MACHINE BUZZING)</font> Super cool, guys."
38,38,Thank you for this.
39,39,This is really exciting.
40,40,"All right, here we go!"
41,41,"<font color""ff00ff"">(CHUCKLES)</font> Ooh, right! Yeah!"
42,42," <font color""ff00ff"">(GRUNTS)</font>  That hurt?"
43,43,On many levels. Yes.
44,44,"<font color""ff00ff"">(SOFTLY)</font> Fuck!"
45,45,Hey! This you?
46,46,You a journalist?
47,47,Yeah!
48,48,"We all got to be fucking journalists in this day and age, mainstream media not covering our side of the story!"
49,49,His name is Fred Flarsky.
50,50,He writes for the Brooklyn Advocate.
51,51, And he's a fucking Jew!
52,52, What?
53,53,"Look, look, look."
54,54,"Okay, okay, okay. Hey!"
55,55,"What are you doing here? You're here to fucking embarrass us, huh?"
56,56, Who sent you?
57,57," <font color""ff00ff"">(STAMMERS)</font> No one sent me!"
58,58,It's okay. I'm... I'm...
59,59,He's been recording us the whole time!
60,60,"Fucking shit, man!"
61,61,You infiltrated our group!
62,62, You're gonna fucking die!
63,63, How do you turn this thing off?
64,64,"The fucking red button, right there, man!"
65,65,"<font color""ff00ff"">(MEN CLAMORING)</font>  <font color""ff00ff"">(GLASS SHATTERS)</font>  <font color""ff00ff"">(GRUNTING)</font> Holy shit!"
66,66,"<font color""ff00ff"">(GROANING LOUDLY)</font> Yeah! <font color""ff00ff"">(LAUGHS)</font> <font color""ff00ff"">(GROANS)</font> Not only did I escape..."
67,67,I held onto my phone!
68,68,Yes! Ow!
69,69,"<font color""ff00ff"">(GROANS)</font> I trusted you, man!"
70,70,"Yeah, well..."
71,71,"Jews win this round, motherfucker!"
72,72,Peace! Ow.
73,73,"<font color""ff8000"">NEWSCASTER</font>: Tonight on Wembley News, we take an indepth look at Charlotte Field, a Rhodes Scholar, a Pulitzer winner, and ProtÃ©gÃ©e of President Chambers, who tapped Field two years ago to be the youngest secretary of state in the history of this nation."
74,74,"And honestly, looking hotter than usual."
75,75,"Now, people are gonna say that's sexist, but she's just hot!"
76,76,"<font color""ff8000"">NEWSCASTER 2</font>: You know, when we talk about women in this way, it is because we respect them so much, and we start with their body."
77,77," <font color""ff00ff"">(ALL LAUGH ON TV)</font>  You two are terrible."
78,78," Good night, Steven."
79,79," Good night, Madam Secretary."
80,80,"Sorry for the late call, Mr. Foreign Minister."
81,81,Long day.
82,82,Three Bilaterals.
83,83,"<font color""ff00ff"">(SIGHS)</font> Listen, we're not going to be able to do it."
84,84,There's just not enough traction around this thing.
85,85,"I believe in it, it's just..."
86,86,I don't have Congress support.
87,87,I don't have the American people's support.
88,88,"I know you and I don't like it, Chuck. But you know who likes it?"
89,89,Eightyeight percent of collegeeducated Americans over 45.
90,90,Likely voters.
91,91,That's Gallup.
92,92,We have to make this happen.
93,93,"<font color""ff00ff"">(WATER SPLASHING)</font> Oh, my God."
94,94,"<font color""ff00ff"">(SIGHS)</font> <font color""ff00ff"">(ALARM BLARING)</font> <font color""ff00ff"">(GASPS)</font> <font color""ff00ff"">(TV PLAYING INDISTINCTLY)</font> Well, I wouldn't call the president inexperienced."
95,95,"I mean, he did play a president on a very popular television show for over a decade."
96,96,You don't get six Golden Globe nominations without being pretty convincing.
97,97,"Um, I do think I'm funny."
98,98,"I'm sorry, I thought this interview was about promoting democracy in Eastern Europe."
99,99,"All right, next one's BBC."
100,100,Would you be asking a male cabinet member what products they use in their hair?
101,101,I'm just kidding.
102,102,"No, it's olive oil and mayonnaise."
103,103,I know. So cheap. So much shine.
104,104,"<font color""ff00ff"">(EXHALING)</font> Good morning, Mr. President."
105,105,"<font color""ff00ff"">(QUIETLY)</font> Good morning, Mr. President."
106,106,"Good morning, Mr. President."
107,107," Good morning, Mr. President."
108,108," <font color""ff00ff"">(TV PLAYING)</font> Oh, hey, Charlotte."
109,109,You caught me watching my show.
110,110,"<font color""ff00ff"">(LAUGHS)</font> Mr. President, we still recommend Option C."
111,111,I am not nuking a tsunami!
112,112,"Oh, here it is."
113,113,"<font color""ff00ff"">(SPEAKING ALONG TO TV)</font> Not now..."
114,114,Not today.
115,115,Not in my house.
116,116,"Yes! <font color""ff00ff"">(LAUGHING)</font> I love that!"
117,117,"<font color""ff00ff"">(LAUGHS)</font> Oh, me too."
118,118,"Anyway, that's not why I called you here."
119,119,"<font color""ff00ff"">(EXHALING)</font> <font color""ff00ff"">(SIGHS)</font> Charlotte."
120,120,"Yes, sir?"
121,121,"<font color""ff00ff"">(CLICKS TONGUE)</font> I will not be seeking reelection."
122,122,Really?
123,123,"Look, I know it's crazy, because I'm only halfway through my first term."
124,124,"And you're incredibly popular, sir."
125,125,And I want to use that popularity to transition into something...
126,126,more prestigious than the presidency.
127,127,I wanna make it in the movies.
128,128,You're going to leave the presidency to go be in movies?
129,129, I know. It's gonna be tough.
130,130, Ah...
131,131,"Only, like, ten guys have made that jump from TV to film."
132,132,"Woody Harrelson, George Clooney..."
133,133,Might be... Might be just two.
134,134,"I... Mr. President, have you..."
135,135,given any consideration as to whom you might endorse?
136,136,I'm sure you're probably thinking of McNichol or Crowly. Strong choices.
137,137,"So strange, because I was considering a run in 2024."
138,138,And I've been vetted.
139,139,So that's all done.
140,140,And I can't stop thinking about what...
141,141,What it would do for your legacy to endorse the first female president.
142,142,I mean... Wow.
143,143,That's a legacy.
144,144, Charlotte?
145,145, Hmm?
146,146,I would like to endorse you to be the next president of the United States.
147,147,"I mean, if you think that's a good idea, sir, I trust you."
148,148,I'd... I'd be honored.
149,149,I'm gonna be pulling for Team Charlotte. Right?
150,150,Because you've been a great secretary.
151,151,Of state.
152,152,Whatever. It's a cool job.
153,153,"And, um, you've done it well."
154,154," Thank you, sir."
155,155, So stay focused.
156,156,Don't make any major screwups.
157,157,Don't kill any hookers.
158,158," <font color""ff00ff"">(BOTH LAUGH)</font>  Probably not a problem for you."
159,159,I don't know what you're into.
160,160,Whatever. And before you know it...
161,161,"<font color""ff00ff"">(HUMMING ""HAIL TO THE CHIEF"")</font> I like the sound of that."
162,162,"âª Hey, here she comes âª âª It's the first lady president âª âª Who can believe âª  âª That she's actually a woman? âª  Thank you, sir."
163,163,"âª She's got a big brain And a couple other assets âª <font color""ff00ff"">(TOUR GUIDE)</font> Oh, and here we see Secretary of State Charlotte Field."
164,164,Good morning.
165,165,"<font color""ff00ff"">(TOUR GUIDE CONTINUES SPEAKING INDISTINCTLY)</font> <font color""ff00ff"">(QUIETLY)</font> Yes!"
166,166,"So the headline is, ""You're in great shape.""  Ninetytwo, that's good."
167,167, Really good.
168,168, Yeah.
169,169," <font color""ff8000"">KATHERINE</font>: And now, keep in mind that these are numbers for a female candidate."
170,170,"If you were a man, you'd be in the 192nd percentile."
171,171," Well, that seems about right."
172,172, Yeah.
173,173,'Cause men are... Okay.
174,174,"Um, your sense of humor is 82, which is solid. It's solid."
175,175,"But, you know, we wouldn't mind seeing those numbers go up a few points, or more."
176,176,"So, I'm going to get some writing samples  from some funny speech writers."
177,177, Great.
178,178,I am really interested in knowing how people feel  about my accomplishments.
179,179, Yeah.
180,180,"Right. You know, so we don't drill down on specific policies."
181,181,And that's only because people don't seem to care.
182,182,That's interesting.
183,183,"But that said, if you could broker some deal that gets you out there talking about a thing that you feel really strongly about, that would be great."
184,184,"<font color""ff00ff"">(CHARLOTTE)</font> Well, that's perfect."
185,185,"I mean, we've been looking for an opening to start a conversation about the environment."
186,186,"<font color""ff00ff"">(CHUCKLES)</font> All right."
187,187,"Romantically, if I may..."
188,188,Remember the stir online when the Canadian prime minister and you were seated next to each other at the Global Business Forum?
189,189,Mmmhmm.
190,190,A relationship like that would push you into the high 90s.
191,191,High 90s? Wow.
192,192,"<font color""ff8000"">KATHERINE</font>: That brings us to..."
193,193,"<font color""ff00ff"">(CHARLOTTE)</font> What's wrong with my wave?"
194,194,"Um, I think people feel that that level of elbow movement is, um..."
195,195,It stresses people out.
196,196,You know what?
197,197,It's just an area for improvement.
198,198,"Okay, fine, I'll work on the wave."
199,199,"<font color""ff00ff"">(INDISTINCT CHATTER)</font>  Hey."
