,Unnamed: 0,dialog
0,0,"âª Didn't know which way to go âª âª My bell rang this morning âª âª Didn't know which way to go âª Yeah, Ma!"
1,1,"Yeah, baby!"
2,2,"âª I had the blues so bad âª âª I sat down on my floor âª âª Daddy, Daddy âª âª Please come home to me âª âª Daddy, Daddy âª âª Please come home to me âª âª I'm on my way âª âª Crazy as I can be âª âª Ooohâ¦ âª âª Hmmâ¦ âª âª Hmmâ¦ âª âª Ah! âª âª Daddy, Daddy âª âª Please come home to me âª âª Daddy, Daddy âª âª Please come home to me âª âª I'm on my way âª âª Crazy as I can be âª âª Hey âª âª Hey, Daddy âª âª Please come home to me âª âª Hey âª âª Oh, yeah! âª âª I'm on my way âª âª Crazy as I can be âª Testing, testing, one, two, three."
3,3,"Testing, one, two, three."
4,4," Testing, testing, one, two..."
5,5, Got that list?
6,6,"Uh, I got it. Don't worry about it."
7,7,I'm holding you responsible.
8,8,You keep her in line.
9,9,I'm not putting up with any shenanigans.
10,10,"You hear, Irv? Irv?"
11,11,Irv?
12,12,Irv!
13,13,"Not putting up with any Royal Highness, Queen of the Blues bullshit."
14,14,"Mother of the Blues, Mel."
15,15,Mother of the Blues.
16,16,"Heh. You should've heard Levee at the club last night, Toledo."
17,17,Trying to talk to that gal Ma had with her.
18,18,You ain't got to tell me.
19,19,I know how Levee do.
20,20,Levee tried talking to her and got his feelings hurt.
21,21,"I want you to get her in here, record those songs on that list, and get her out."
22,22,Just like clockwork.
23,23,"Like clockwork, Mel."
24,24,"And that horn player, the one who gave me those songs, is he going to be here today?"
25,25, I want to hear more of that sound.
26,26," How you boys doing, Cutler?"
27,27,"Fine, Mr. Irvin."
28,28,Where's Ma? She with ya?
29,29,I don't know.
30,30,She told us to be here at 1:00.
31,31,That's all I know.
32,32,"Where's the, uh, horn player?"
33,33,Levee's supposed to be here same as we is.
34,34,I reckon he'll be here in a minute.
35,35,"Hey, hey, hey. Good morning, Chicago."
36,36,He ain't from 'round here now.
37,37,Come on in. I'll get you fed and ready to make some music.
38,38,Right.
39,39,Right down the hall.
40,40,Where's Ma?
41,41,How come she isn't with the band?
42,42,"Everything's under control, Mel."
43,43,I got everything under control.
44,44,"Cutler, here's the list of songs we're going to record."
45,45,Why isn't she here?
46,46,And where's that horn player?
47,47,"What we got there, Toledo?"
48,48,"Eh, we got, uhâ¦ Mmm. ""Prove It on Me,"" ""Hear Me Talking to You,"" ""Ma Rainey's Black Bottom,"" ""Moonshine Blues."" Oh. Them ain't the songs Ma told me."
49,49,I wouldn't worry about it if I was you.
50,50,Ma'll get it straightened out.
51,51,"""Moonshine Blues."" That's one of them songs Bessie Smith sang, I believes."
52,52,"Eh, Slow Drag's right."
53,53,I wouldn't worry about it.
54,54,Levee know what time he's supposed to be here?
55,55,Levee left the hotel talking about he was gonna buy shoes.
56,56,Says it's the first time he beat you shooting craps.
57,57, I ain't thinking about no four dollars.
58,58, Levee sure was.
59,59,Let me get a hit of that.
60,60,That four dollars liked to burn a hole in his pocket.
61,61,He's supposed to be here at 1:00.
62,62, That's some good Chicago bourbon.
63,63," Look here, Cutler!"
64,64, I got me some shoes.
65,65, Ooh!
66,66,"Nigga, I ain't studying you."
67,67,"How much you pay for something like that, Levee?"
68,68,Eleven dollars.
69,69,Four dollars of it belong to Cutler.
70,70,"Ooh! Levee say if it wasn't for Cutler, he wouldn't have no new shoes."
71,71,I ain't thinking about Levee or his shoes.
72,72,Let's get ready to rehearse.
73,73,I'm with you on that score.
74,74,Don't want to be here all night.
75,75,Ain't but four songs on the list.
76,76,Last time there was six songs.
77,77,Yeah. Now I'm ready.
78,78,I can play some good music now.
79,79,Damn! They done changed things around.
80,80,Don't never leave well enough alone.
81,81,"Yeah, everything changing all the time."
82,82,Even the air you breathing change.
83,83,"Yeah, you got, uh, monoxide, hydrogen, changing all the time."
84,84,Skin changing.
85,85,Different molecules. Everything.
86,86,"Nigga, what is you talking about?"
87,87,"I'm talking about the room, I ain't talking about no skin and air."
88,88,I'm talking about something I can see.
89,89,I ain't talking about no molecules.
90,90,I know what you talking about.
91,91,You don't know what I'm talking about.
92,92,That door. You see that door?
93,93,That's what I'm talking about.
94,94,Door wasn't there before.
95,95,You wouldn't know your right from left.
96,96,And damn if that door wasn't there.
97,97,"If you talking about they done switched rooms, you right."
98,98,But don't go telling me that door wasn't there.
99,99,Damn the door and let's do this.
100,100,I want to get out of here.
101,101,Toledo started all that about the door.
102,102,I'm just saying that things change.
103,103,What you think I was saying?
104,104,Things change. The air and everything.
105,105,Now you gonna say you was saying it.
106,106,"You gonna fit two propositions on the same track, run them into each other, and 'cause they crash, you gonna say it's the same train?"
107,107,Now this nigga talking about trains.
108,108,We done went from the air to the skin to the door and now trains.
109,109,"Toledo, I'd just like to be inside your head for five minutes just to see how you think."
110,110,You done got more shit piled up and mixed up in there than the devil got sinners.
111,111,You been reading too many goddamn books.
112,112,What you care about how much I read?
113,113,I'm gonna ignore you 'cause you're ignorant.
114,114, Let's rehearse the music.
115,115, All right.
116,116,You ain't gotta rehearse that.
117,117,Ain't nothing but old jugband music.
118,118,They need one of them jug bands for this.
119,119,"Don't make no difference to me, long as we get paid."
120,120,That ain't what I'm talking about.
121,121,I'm talking about art.
122,122,What's drawing got to do with it?
123,123,"Where you get this nigga from, Cutler?"
124,124,He sound like one of them Alabama niggas.
125,125,"It's Slow Drag, all right."
126,126,"Just play the piece, nigga."
127,127,"If you want to be one of them, uh, what you call virtuosos or something, you're in the wrong place."
128,128,You ain't no King Oliver or Buddy Bolden.
129,129,You're just an old trumpet player come a dime a dozen.
130,130,Talking about art.
131,131,What is you?
132,132,I don't see your name in lights.
133,133,I just play the piece. Whatever they want.
134,134,I don't criticize other people's music.
135,135,"I ain't like you, Cutler. I got talent."
136,136," Oh, shit."
137,137, Ooh.
138,138,"Me and this horn, we's tight."
139,139,"If my daddy had a knowed I was gonna turn out like this, he woulda named me Gabriel."
140,140,Oh!
141,141,I'm gonna get me a band and make me some records.
142,142,"I done give Mr. Sturdyvant some of my songs I wrote, and he say he gonna let me record them when I get my band together."
143,143,I just gotta finish the last part of this song.
144,144,"I knows how to play real music, not this old jugband shit."
145,145,I got style.
146,146,"Oh, everybody got style."
147,147,Style ain't nothing but keeping the same idea from beginning to end.
148,148,Everybody got it.
149,149,Everybody can't play like I do.
150,150,Everybody can't have their own band.
151,151,"Until you get your own band where you can play what you want, play the piece and stop complaining."
152,152,"I told you when you came on here, this ain't none of them hot bands."
153,153,This is an accompaniment band.
154,154,You play Ma's music when you're here.
155,155,I got sense enough to know that.
156,156,I could look at y'all and see what kind of band it is.
157,157,I could look at Toledo and see what kind of band it is.
158,158,"Oh, now Toledo ain't said nothing to you."
159,159,Don't get Toledo started now.
160,160,Is you all gonna rehearse the music or ain't you?
161,161,How many times you done play them songs?
162,162, What you gotta rehearse for?
163,163, This a recording session.
164,164,I want to get it right the first time and get on out of here.
165,165,"Well, y'all go on and rehearse, then."
166,166,I'm going to finish this song for Mr. Sturdyvant.
167,167,"Levee, I don't want no shit."
168,168,You rehearse like everybody else.
169,169,You in the band just like everybody else.
170,170,Mr. Sturdyvant gonna have to wait.
171,171,It's the band's time.
172,172,I'm ready if you want to rehearse.
173,173,I said there ain't no point in it.
174,174,Ma ain't here. What's the point?
175,175,"""Ma Rainey's Black Bottom."" One, two, you know what to do."
176,176,"No, no, no. No, no."
177,177,We ain't doing it that way.
178,178,We doing my version.
179,179,That's what Mr. Irvin told me.
180,180,Say it's on the list he gave.
181,181,Let me worry about what's on the list.
182,182,What sense it make to rehearse the wrong version?
183,183,You supposed to rehearse what you gonna play.
184,184, That's the way they taught me.
185,185, That's what I'm trying to say.
186,186,"You trying to tell me what we is and ain't gonna play, and that ain't none of your business."
187,187,Your business is to play what I say.
188,188,Oh. I see now.
189,189,You done got jealous 'cause Mr. Irvin using my version.
190,190,What I got to be jealous of you about?
191,191,"The day I get jealous of you, I may as well lay down and die."
192,192,Levee started all that 'cause he too lazy to rehearse.
193,193,Where's the paper?
194,194,Look at the paper. See what it say.
195,195,Gonna tell me I'm too lazy to rehearse.
196,196,We ain't talking about the paper.
197,197,We talking about you understanding where you fit in here.
198,198, You play what I say.
199,199, I don't care what you play.
200,200,Mr. Irvin gonna straighten it up.
201,201,I don't care what you play.
202,202,You boys know what's keeping Ma?
203,203,"Uhâ¦ Can't say, Mr. Irvin."
204,204,"She'll be along directly, I reckon."
205,205,"Well, you go ahead."
206,206,Mr. Irvinâ¦ About these songsâ¦ Whatever's on the list.
207,207,"I'm talking about this ""Black Bottom.""  It's on the list."
208,208," Yes, sir, I know it's on the list."
209,209,But I just want to know which version.
210,210,We got two versions of that song.
211,211,"Oh, Levee's version."
212,212,We're using Levee's arrangement.
213,213,"Okay, got that straight."
214,214,"Now about this ""Moonshine Blues."" Yeah, we'll work it out with Ma, Cutler."
215,215,You boys just rehearse whatever's on that list.
216,216,"See, I told you!"
217,217,It don't mean nothing when I say it.
218,218,You got to wait for Mr. Irvin to say it.
219,219,I told you the way it is.
220,220,"The sooner you understand it ain't what you say, or what Mr. Irvin say, it's what Ma say that count."
221,221,I don't care what you play.
222,222,Don't matter to me.
223,223,Mr. Irvin gonna straighten it up.
224,224,I don't care what you play.
225,225,"Thank you. All right, let's, uh, play this ""Hear Me Talking to You"" till we figure out what's going on with this ""Black Bottom."" One, two, you know what to do."
226,226,Don't nobody say when it comes to Ma.
227,227,She gonna do what she wanna do.
228,228,Mr. Irvin the one putting out the record.
229,229,He gonna put out what she want him to put out.
230,230,Levee confused about who the boss is.
231,231,He don't know Ma's the boss.
232,232,You know how many records she sold in New York?
233,233,And you know what's in New York?
234,234,Harlem. Harlem's in New York.
235,235,So what if they didn't sell in New York?
236,236,"We packed them in in Memphis, Birmingham, Atlanta."
237,237,We ain't in Memphis. We in Chicago.
238,238,We in a recording session.
239,239,Mr. Sturdyvant and Mr. Irvin say what's gonna be here.
240,240,You heard what the man told you.
241,241,"""Ma Rainey's Black Bottom."" Levee's arrangement."
242,242,There you go. That's what he told you.
243,243,I don't know why y'all want to pick with me about it.
244,244,I'm with Slow Drag.
245,245,Let's go and get it rehearsed.
246,246,"All right, ""Ma Rainey's Black Bottom,"" Levee's version."
247,247,"How that first part go again there, Lev?"
248,248,It go like this.
249,249,That's to get the people's attention.
250,250,"That's when you and Slow Drag come in with the rhythm, me and Cutler play on the breaks."
251,251,The man asked how the part go.
252,252,Ain't ask for all that.
253,253,"""Ma Rainey's Black Bottom."" One, two, you know what to do."
254,254,"Hey, hey, hey. Y'all gotta keep up now."
255,255,You playing in the wrong time.
256,256,Will you let us play this song?
257,257,We been playing before you was born.
258,258,Trying to tell us how to play.
259,259,All right. Let's try again.
260,260,Wait a minute. Let me fix this.
261,261,"This string starting to unravel, and you know I want to play Levee's music right."
262,262,"If you was any kind of musician, you'd take care of your instrument."
263,263,Keep it in tiptop order.
264,264,"If you was any kind of musician, I'd let you be in my band."
265,265, Shit.
266,266, Damn!
267,267,"Slow Drag, watch them bigass shoes you got."
268,268,Ain't nobody done nothing to you.
269,269,You done stepped on my shoes.
270,270,Then move them out the way.
271,271,You was in my way. I wasn't in your way.
272,272,"Any man who takes a whole week's pay and puts it on some shoes, understand what I mean, what you walk around on the ground with, is a fool."
273,273,And I don't mind telling him.
274,274,What difference it make to you?
275,275,Ain't nothing wrong with having nice shoes.
276,276, Look at Toledo.
277,277, Ooh!
278,278,What?
279,279,What was that about Toledo?
280,280,Nigga got them clodhoppers. Old brogans.
281,281,He ain't nothing but a sharecropper.
282,282,"Hey, Slow Drag."
283,283,Play something for me.
284,284,A man gotta have some shoes to dance like this.
285,285,He can't dance like this with them clodhoppers Toledo got.
286,286,"That's the trouble with colored folks, always looking to have a good time."
287,287,More niggas have got killed trying to have a good time than God got ways to count.
288,288,âª When the world goes wrong And I got the blues âª What the hell having a good time mean?
289,289,That's what I want to know.
290,290,Got to be more to life than just having a good time.
291,291,"If there ain't, then this is a pisspoor life we're living if that's all there is to be got out of it."
292,292,"Niggas been having a good time before you was born, and they gonna keep having a good time after you gone."
293,293,Nobody talking about making the lot for the colored man better for him here in America.
294,294,"Ain't nobody thinking about what kind of life, the world they gonna leave for the young'uns."
295,295,"It's just, ""Show me a good time."
296,296,"That's all I want."" Aw. It just makes me sick."
297,297,Good times is what makes life worth living.
298,298,Uhhuh.
299,299,"Hey, I know how to have a good time as well as the next man."
300,300,Yeah.
301,301,I just said there's got to be more to life than just having a good time.
302,302,"I said, the colored man ought to be doing more than trying to have a good time all the time."
303,303,"Well, what is you doing, nigga?"
304,304,You're talking all them highfalutin ideas about making a better world for the colored man.
305,305,What is you doing to make it better?
306,306,You playing the music and looking for your next piece of pussy same as we is.
307,307,What is you doing?
308,308,"It ain't just me, fool. I said everybody."
309,309,You think I'm gonna solve the colored man's problem all by myself?
310,310,"I said ""we."" You understand that?"
311,311,"We? That's every living colored man in the world got to do his share, got to do his part."
312,312,"I ain't talking about what I'm gonna do or you gonna do, or Cutler, Slow Drag, anybody else."
313,313,I'm talking about what all of us gonna do together.
314,314,"That's what I'm talking about, nigga."
315,315,"Well, why ain't you just say that then?"
316,316,"Toledo, I don't know why you waste your time with this fool."
317,317,I ain't gonna be too many more of your fools.
318,318,Ain't nobody studying you.
319,319,"All right, I ain't nobody."
320,320,Don't pay me no mind.
321,321,Ain't nobody but the devil.
322,322,There you go. That's who I am.
323,323,I'm the devil.
324,324,I ain't nothing but the devil.
325,325,I know a man sold his soul to the devil.
326,326,Name of Eliza Cotter.
327,327,"Lived in Tuscaloosa County, Alabama."
328,328,Devil came by and he upped and sold him his soul.
329,329,"Nigga, how you know this man done sold his soul to the devil?"
330,330,You talking some oldwoman foolishness.
331,331,Everybody know. It wasn't no secret.
332,332,He went around working for the devil and everybody knowed it.
333,333,Carried him a bag.
334,334,One of them carpet bags.
335,335,Folks say he carried the devil's papers and whatnot where he put your fingerprint on the paper with blood.
336,336,Where he at now?
337,337,That's what I want to know.
338,338,He can have my whole handprint if he want to.
339,339,Showed up one day all fancied out in the finest clothes you ever seen on a colored man.
340,340,"Pocketful of money, just living the life of a rich man."
341,341,Had him a string of women he run around with and throw his money away on.
342,342,One of the fellas of them gals he was messing with got fixed on him wrong and Eliza killed him.
343,343,And laughed about it.
344,344,Sheriff come and arrest him and let him go.
345,345,Trial come up. Judge cut him loose.
346,346,Cut him loose and give him a bottle of whiskey.
347,347,"Folks ask what done happened to make him change, and he tell them straightout he done sold his soul to the devil and asked them if they wanted to sell theirs, too, 'cause he could arrange it for them."
348,348,Hold on. What happened to this fella?
349,349,That's what I want to know.
350,350,"Last I heard, he headed up north with that bag of his, handing out $100 bills on the spot to whoever wanted to sign on with the devil."
351,351,Hmm. I sure wish I knew where he went.
352,352,He wouldn't have to convince me long.
353,353,"Hell, I'd even help him sign people up."
354,354,"Nigga, God gonna strike you down with that blasphemy you talking."
355,355,"Oh, shit. God don't mean nothing to me."
356,356,Let him strike me.
357,357,"Here I am, standing right here."
358,358,What you talking about he gonna strike me?
359,359,Here I am.
360,360,Let him strike me. I ain't scared of him.
361,361,All right. You gonna be sorry.
362,362,You gonna fix yourself to have bad luck.
363,363,Ain't nothing gonna work out for you.
364,364, Bad luck?
365,365, Yeah.
366,366,What I care about bad luck?
367,367,You talking simple.
368,368,I ain't had nothing but bad luck all my life.
369,369,Couldn't get no worse.
370,370,What the hell I care about bad luck?
371,371,I eat it every day for breakfast.
372,372,"You dumber than I thought you was, talking about bad luck."
373,373,"All right, nigga."
374,374,You'll see.
375,375,Can't tell a fool nothing.
376,376,You'll see.
377,377,Oh. There you go.
378,378,Over there.
379,379,Whoa!
380,380,What are you doing?
381,381,"Cutler, your boys' sandwiches are here."
382,382, Cutler?
383,383, Lady...
384,384, This is a brand new car.
385,385, Lady...
386,386,Ain't had but a ding.
387,387," Okay, lady..."
388,388, What you gonna do?
389,389, Ma!
390,390, I'm talking...
391,391,"I got eyes, you got eyes."
392,392,What are you gonna do?
393,393, Listen to me...
394,394, What happened?
395,395,Tell this man who I am. Get him straight.
396,396,Tell this man who he's messing with.
397,397,"Officer, what's the matter?"
398,398,What's the problem?
399,399,"When I walked up on the incident, this lady..."
400,400, Sylvester wrecked Ma's car.
401,401, Iâ¦ I did not. The man hit me.
402,402,You want it in a nutshell?
403,403,We got her charged with assault and battery.
404,404, Assault and what for what?
405,405, Sylvester was driving...
406,406,I can tell you what happened if you wanna know.
407,407,That's my nephew.
408,408,That's Sylvester. He was driving my car...
409,409, We don't know whose car it is.
410,410, That's Ma's car.
411,411,I bought and paid for that car.
412,412,That's what you say.
413,413,We gotta check it out.
414,414,What's the problem?
415,415,"I was calling the paddy wagon to haul them to the station, sort everything out."
416,416, She's aggressive with the other driver...
417,417, He got ugly with me.
418,418, I don't know why you tell that lie.
419,419, You let me tell the story?
420,420,"Well, if you gonna tell it, tell it right."
421,421,"Like I said, while I was waiting for the paddy wagon, I turn to hear this guy's side of the story."
422,422,She won't let him get a word in edgeways.
