,Unnamed: 0,dialog
0,0,"(SINGING) Oh, no Oh, no Ahhh, oh, no Ahhh, oh, no Ahhh, oh, no No, she don't mess around No, she don't mess around MIKE: 100% blue agave."
1,1,Taste it.
2,2,"RANDY: Look, Mike, I like you."
3,3,But no one's looking for another brand of tequila.
4,4,They've got the three...
5,5,What is it?
6,6,"The Cuervo, the other one, and the third one."
7,7,And they don't need more tequila.
8,8,"If I can't sell it, it's not gonna sell."
9,9,People want the newnew.
10,10,"The ""newnew""?"
11,11,"The ""newnew."" They want that newnew."
12,12,No!
13,13,What if I could sell this tequila to a customer?
14,14,Would I have your order then?
15,15,"(LAUGHS) Yeah, sure."
16,16,And I'm just gonna pick a customer at random.
17,17,"Excuse me, sir."
18,18,Do you enjoy the taste of tequila?
19,19,"Why, yes, I do."
20,20,"But I only drink my particular brand, and you will not convince me otherwise."
21,21,It's a perfect candidate.
22,22,Because it's your brother!
23,23,I know that's your brother.
24,24,He dated my niece.
25,25,"Look, mate, I don't know your niece."
26,26,Okay.
27,27,But if I did...
28,28,"I'd say she was a little clingy, and she'd freak a lot of people out."
29,29,"We play Words With Friends together, right?"
30,30,"Dave, right?"
31,31,Name's Rick.
32,32,Just got in from Melbourne.
33,33,His name's Rick.
34,34,I know he's your brother.
35,35,"Look, look, look."
36,36,"You guys are funny, you're weird."
37,37,We do this every couple weeks...
38,38,"All right, I'll take 10 cases."
39,39,"Fuck, yes!"
40,40,(IN NORMAL ACCENT) Yes!
41,41,Yes! I knew it!
42,42,"We sold your ass, Randy!"
43,43,I don't know if that's what happened.
44,44,"It was the hat, right?"
45,45,Was it the hat?
46,46,I just found this over there.
47,47,"(SINGING) Do something crazy Live like it's Mardi Gras And go jump Make the party start Don't need no R&R To regular life, I say au revoir Yay! Living life in the fast lane Now your pain only be champagne So please come join me One thing, good vibes only Start the keg I'mma fill my cup Got fireworks, got booze Let's blow some shit up Tonight I'm going stupid Doing things I've never done We all got one thing in common We just wanna have fun Do something crazy Okay Do something crazy Do what you wanna do Do something crazy I'm about to do I'm about to do Do something crazy Do something crazy Do something wild Rolling with the homies Chicks by my side Live for the moment All of the time Turn up the music Only good vibes DAVE: Sorry to throw the accent at you, bro."
48,48,"MIKE: No, dude. I loved it, and it kept me in the now."
49,49,Do you realize that that sale puts us at number three in the office?
50,50,The Stangle bros are killing it right now!
51,51,MIKE: It's not an actual hat.
52,52,They just call it a jimmy hat.
53,53,"If you wear two, they break."
54,54,It's an urban legend...
55,55,"No, it's not."
56,56,"Mom, Dad?"
57,57,DAVE: Jeanie. Eric.
58,58,Don't freak out.
59,59,I don't want you to freak out.
60,60,Just come on in.
61,61,BURT: Why don't we all just sit down?
62,62,We gotta talk to you.
63,63,We wanna discuss Jeanie and Eric's wedding.
64,64,DAVE: Oh! Sweet.
65,65,MIKE: Okay.
66,66,DAVE: Are you guys thinking DJ or band?
67,67,"First thought, band, right?"
68,68,No. People want to hear the real songs.
69,69,You don't want to hear a guy singing Beyonc̩.
70,70,You just want to hear Beyonc̩.
71,71,Oh.
72,72,"Yeah, but we want to talk about..."
73,73,is you two.
74,74,"Now, over the years..."
75,75,a theme has emerged at our family gatherings.
76,76,Everyone's having a good time...
77,77,That's right.
78,78,Things are going smoothly.
79,79,Party time.
80,80,And then you two show up...
81,81,stag...
82,82,and you hit on girls...
83,83,you act like idiots...
84,84,and you ruin it.
85,85,Ruin it.
86,86,What? We are not party ruiners!
87,87,Mmmm.
88,88,We're party creators!
89,89,"And besides, when have we ever ruined a family event?"
90,90,Ah!
91,91,We thought you might say that.
92,92,"ROSIE: Yep, here we go."
93,93,And we just stream it.
94,94,BURT: Apple TV.
95,95,We just need your password.
96,96,Bryan's baby dick 69.
97,97,Yeah.
98,98,BURT: Bryan's baby dick 69.
99,99,"What the fuck, guys? Really?"
100,100,Got it. Yep.
101,101,Is that it?
102,102,BURT: Good.
103,103,Happy Fourth of July!
104,104,"Oh, shit!"
105,105,It was fun up to that point.
106,106,God damn it! My trailer!
107,107,"(LAUGHING) Oh, shit."
108,108,"Actually, this is what we're trying to avoid."
109,109,The both of you are fucking idiots.
110,110,Fucking losers!
111,111,"JEANIE: Grandpa, wake up!"
112,112,Take his tie.
113,113,Are you saying we had something to do with Grandfather's death?
114,114,Hmm?
115,115,He died five years after that!
116,116,That is a lot of guilt to put us. Shame on you.
117,117,"Plus, this video only shows the screwups."
118,118,Where's the epic tracking shots of smiling faces?
119,119,"And everybody looking at us, just going..."
120,120,"""God, I love Mike and Dave."
121,121,"""They made this whole party worth it."" When are the two of you going to grow up?"
122,122,This shtick was cute for a while...
123,123,but it's gotten stale.
124,124,"Mom, come on, what are you..."
125,125,You're talking about us like we're a couple of losers or something.
126,126,BURT: What we don't want you to do is go chasing girls and get out of control.
127,127,You understand?
128,128,"Wait, we can still talk to girls, right?"
129,129,You can each talk to one girl.
130,130,The girls that you bring to the wedding.
131,131,What do you mean?
132,132,I want you to bring a date.
133,133,That's two dates.
134,134,You want us to bring dates to a wedding?
135,135,Excuse me?
136,136,Are you allowed to do that?
137,137,"Nice, respectable, smart girls!"
138,138,Keep you in line.
139,139,What the fuck?
140,140,What?
141,141,Are you insane?
142,142,"Oh, you're kidding."
143,143,You are not screwing up this wedding. Do you hear me?
144,144,"Mom, do you hear this river of horse shit coming out of Dad's mouth?"
145,145,We don't want you showing up stag and riling each other up!
146,146,We don't rile each other up!
147,147,We never get riled up!
148,148,I don't get riled!
149,149,"He doesn't and I don't, either!"
150,150,Look at you right now!
151,151,You're riled!
152,152,"Take your head out of your ass, Dad!"
153,153,You sound insane right now.
154,154,Everybody stop yelling! Okay?
155,155,You guys bringing wedding dates was my idea.
156,156,"Look, I love the shit out of you guys."
157,157,But everyone is already stressed out about this wedding...
158,158,and I just need you to be cool.
159,159,"Of course, Jeanie!"
160,160,Please?
161,161,For me?
162,162,I promise.
163,163,We would never do anything to mess up your wedding.
164,164,"MIKE: Jeanie, we love you."
165,165,We want this to be the best day of your life.
166,166,Yeah.
167,167,"You, too, Eric."
168,168,Oh.
169,169,Oh. Thank you.
170,170,"Mostly you, though, Jeanie."
171,171,"If you want us to bring dates, we're bringing dates."
172,172,"All right, it's settled then."
173,173,Wedding dates!
174,174,"Dave, buddy, let me talk to you for a second, okay? Listen."
175,175,I'm sorry to lump you in with Mike...
176,176,but if I only told your older brother to bring a date...
177,177,he'd get all weird about it.
178,178,I just feel like he's holding you back.
179,179,"Dad, I don't mind being lumped in with Mike."
180,180,Do you remember the fifth grade bake sale...
181,181,when Mom made those cupcakes...
182,182,and I called them moist?
183,183,Mmhmm.
184,184,Everyone called me Moist...
185,185,till Mike took a cupcake...
186,186,and shoved it in Tom Ginty's face.
187,187,"He said, ""Now you're moist, Moist."" That's the kind of guy Mike is."
188,188,"So, think on that..."
189,189,Dad.
190,190,"I'm sorry, I didn't mean to end that on such a weird note, Dad."
191,191,I love you. And thanks.
192,192,Good. I don't want you to be mad.
193,193,I'm not even mad.
194,194,I'm not even upset.
195,195,We're gonna find some dates.
196,196,"TATIANA: I gotta say, some nights, I am not looking my best."
