,Unnamed: 0,dialog
0,0,"Frank always used to say, ""Tell your story walkin', pal."" He was more philosophical than your average gumshoe, but he liked to do his talkin' on the move, so here's how it all went down."
1,1,I got somethin' wrong with my head.
2,2,That's the first thing to know.
3,3,If!
4,4,It's like having glass in the brain.
5,5,I can't stop pickin' things apart...
6,6,"twistin' 'em around, reassembling 'em."
7,7,"Words and sounds, especially."
8,8,It's like an itch that has to be scratched.
9,9,Quit pullin' at it. You're gonna make a fuckin' mess out of things.
10,10,I got threads in my heads.
11,11,I got threads in my heads!
12,12,"I got threads in my heads, man!"
13,13,And I twitch a lot.
14,14,It's hard to miss.
15,15,"It makes me look like a goddamn spastic, but if I try to hold it back, it just makes it worse."
16,16,Ah.
17,17,"Shit, just help me out, will ya?"
18,18,"Like I said, a fuckin' mess!"
19,19,"Jesus, Freakshow, ruin another sweater."
20,20,"No, cut it closer."
21,21,Cut it closer.
22,22,Fuckin' mess is right.
23,23,The nun said my soul wasn't at peace with God and I should do penance.
24,24,Frank said anyone teaching God's love while they hit you with a stick should be ignored on every subject.
25,25,Frank Minna.
26,26,"If you had to pick just one guy to be on your side, he's the one you'd want."
27,27,It's Minna's game.
28,28,We're all just in the lineup.
29,29, Boys.
30,30, Boss.
31,31,Frank.
32,32,Frankly Frankady Franko!
33,33,"All right, listen."
34,34,Here's the shot.
35,35,I'll be up on the third floor.
36,36,Lionel will go to the payphone in about 20 minutes.
37,37,"When they come, probably three or four of them, when they come, you call me here."
38,38,I'll buzz 'em in.
39,39,Coney waits at the door.
40,40,"I buzz him in, he stays inside."
41,41,"Lionel's listening, sharp on the line."
42,42,"If you hear me say, ""We have a problem,"" hustle over."
43,43,Coney lets you in.
44,44,"The two of you come upstairs, back me up quick."
45,45,"What's going down here, Frank?"
46,46,"I gotta keep this under my hat, boys."
47,47,Fat cats in hats!
48,48,"Them's the ones, pal."
49,49,Let's catch a big score and get fat ourselves.
50,50," Boss, we're not carrying."
51,51, What?
52,52,A piece. I don't have a piece.
53,53,"""A piece""? Say ""gun,"" Gilbert."
54,54," Okay, I don't have a gun."
55,55, That's what I count on.
56,56,"That's how I sleep at night, you with no gun."
57,57,I got a gun. You just show up.
58,58,I wouldn't want you chuckleheads coming up a staircase with a hairpin and a harmonica.
59,59,"Hairy chin, harmony harp!"
60,60,Quit windin' me up.
61,61,With an unlit cigar and a chicken wing.
62,62," Right, Brooklyn?"
63,63, Chicky wing ding.
64,64,I wing that chick in the ding.
65,65,"Come on, seriously."
66,66,Don't throw me off.
67,67,"Just give us the rest of it, all right?"
68,68,"All right, all right."
69,69,"Now, if I say, ""Let me use the can,"" it means we're comin' out."
70,70,"Get Gil, get in the car, get ready to follow."
71,71,I might need to give someone the slip. Got it?
72,72,Yeah. Problem up the stairs.
73,73,"""Use the can,"" start the car. Got it."
74,74,"Get, gotten, got, gotcha!"
75,75,"Lionel's got it, just follow his lead."
76,76,"Oh, come on, you gotta be kiddin' me."
77,77,"Coney, what did I say when I came into the office last Tuesday?"
78,78, What?
79,79, Lionel?
