,Unnamed: 0,dialog
0,0,We ain't gonna make it.
1,1,"Oh, we will. We have to."
2,2,Take a break. Come on.
3,3,My turn.
4,4,"""We will. We have to."" That was my brother, Henry."
5,5,Absolutely certain whatever he wanted to happen would.
6,6,The weather would dry out in time to resow the cotton.
7,7,We would get this hole dug before the storm hit.
8,8,God damn it!
9,9, Jesus Christ!
10,10, What is it?
11,11,It's a slave's grave.
12,12,How do you know that?
13,13,Shot in the head.
14,14,Must've been a runaway.
15,15,"Well, that settles it."
16,16,Settles what?
17,17,I ain't burying my father in no slave's grave.
18,18,Nothing he would've hated more.
19,19,Help me up.
20,20,We ain't got a choice.
21,21,"That's it, brother! Come on!"
22,22, Huh?
23,23, That's it!
24,24,Get you out of there!
25,25,Come on!
26,26,Come on.
27,27,God damn it!
28,28," Come on, Jamie. Hang on!"
29,29, No.
30,30,I'm gonna fetch a ladder!
31,31,Huh?
32,32,Henry!
33,33,Henry!
34,34,Henry!
35,35,Henry!
36,36," Henry, where are you?"
37,37, Right here! I'm here!
38,38,That was my brother Henry.
39,39,Absolutely certain whatever he wanted to happen would.
40,40,And his little brother...
41,41,Jamie.
42,42,...would never betray him.
43,43,Come on. Come here. Come on.
44,44,What's the matter with you? Huh?
45,45,I thought you were...
46,46,gonna leave me down there!
47,47,Come on. Why would I do that?
48,48,Why would I do that?
49,49,"When I think of the farm, I think of mud."
50,50,Encrusting knees and hair.
51,51,Marching in bootshaped patches across the floor.
52,52,I dreamed in brown.
53,53,"All right. Come on, lift it up."
54,54, Come on.
55,55," You know, just get... Come on!"
56,56, Hang on. Just let it... Hang on.
57,57, Hold on.
58,58," Lift it, Jamie. Lift it."
59,59, Just get a little more...
60,60,"Just stop, okay? Let's set it down."
61,61,Why don't we just run the ropes lengthwise? We stand at either end.
62,62,"No, the coffin's too narrow."
63,63,"If it falls again, it might break."
64,64," Well, we can try."
65,65, No!
66,66, Hap!
67,67, Henry.
68,68, Hap!
69,69," Henry, don't."
70,70, It ain't my fault what happened.
71,71, Whoa.
72,72, I warned that boy. Warned both of 'em.
73,73, Just let 'em go.
74,74,Hap!
75,75,"Hap, can you hold on?"
76,76,"Can you lend us a hand, Hap?"
77,77,Need to get that coffin in the ground.
78,78,Hap?
79,79,I was a 31yearold virgin when I met Henry McAllan in the spring of 1939.
80,80,I lived with my parents in the house I grew up in.
81,81,"My world was small, and he was my rescuer from a life in the margins."
82,82,"Oh, really? He tells me that, uh, you are actually a college man."
83,83,Engineering.
84,84, An engineering degree from Ole Miss.
85,85, Yes.
86,86,"Did you hear that, Laura?"
87,87,An engineering degree from Ole Miss.
88,88,"My, my, my."
89,89,"You know, Laura is a college graduate."
90,90,She got her teaching certificate from West Tennessee State. We're very proud.
91,91,Mmhmm. My dear sister's the smartest one in the family.
92,92,Made better grades than I ever did.
93,93,Never heard the end of it.
94,94,She is smart.
95,95,"Laura, you should, uh, play the piano for us after dinner."
96,96,Hmm?
97,97,You should hear her sing.
98,98,She sings like an angel.
99,99,"Yeah, you should play something for Mr. McAllan later."
100,100, Mama. Mama.
101,101," ""Ave Maria."" That's my favorite."
102,102, You will love that. It's so beautiful.
103,103, Mama.
104,104,What?
105,105,"I'm quite sure that Teddy did not bring his new boss, Mr. McAllan, over to hear hymns."
106,106,"Well, why don't we just ask him."
107,107, Mr. McAllan?
108,108, Mmhmm?
109,109,Would you like to hear some music after dinner?
110,110,I like hymns.
111,111,He likes hymns.
112,112,I was unused to male admiration and knew only that I wanted more.
113,113,It was at least a reprieve from the sincere pity and insincere kindness directed at old maids.
114,114, Right.
115,115, So...
116,116,He didn't feel the need to fill the air with words like I did.
117,117,He had the selfconfidence I lacked.
118,118, That's it?
119,119, Uhhuh.
120,120,Well...
121,121,I can't say I was truly in love with him then...
122,122,"but I was so grateful to him, it dwarfed everything else."
123,123,My brother Jamie's coming up from Oxford next weekend.
124,124,I'd like for him to meet you.
125,125,"There he is, right there."
126,126,Brother! Brother!
127,127," You look good, brother."
128,128, Likewise.
129,129,The air up here in Memphis agrees with you.
130,130,Or is it something else?
131,131,"Miss Chappell, this here is my brother, Jamie."
132,132, Pleased to meet you.
133,133, Pleasure's all mine.
134,134,"Oh, he thinks he's one of them characters in his plays."
135,135,"Yes, but which play is it, dear brother?"
136,136,Hamlet? Faust? Prince Hal?
137,137,One of them fellas that could earn you a decent wage someday.
138,138,"What do you think, Miss Chappell?"
139,139,I think you're more of a Puck.
140,140, Who's Puck?
141,141," ""Lord, what fools these mortals be."" Puck's a kind of mischievous sprite."
142,142,He's a hobgoblin.
143,143,"Forgive me, brother."
144,144,I'm only trying to impress her.
145,145,"Oh, you'll find Miss Laura is not the impressionable type."
146,146, Shall we?
147,147, We shall.
148,148,I went ahead and told Pappy you were here today.
149,149,Uhhuh.
150,150,I wanna hear. I wanna hear.
151,151,"Next thing I knew, I was sucked under, concussed and bleeding, and I was as good as gone, another victim of the Great Flood of '27."
152,152, I can't believe you never told me this.
153,153, There's more.
154,154,Then what happened?
