,Unnamed: 0,dialog
0,0,Subtitled by jnb_bd jnb_bd@yahoo.com Good morning.
1,1,"Good morning, Doctor."
2,2,"Mr. Rane, would you like one last look at your face before I proceed?"
3,3,I never live in the past.
4,4,"No, thank you."
5,5,I have to give you something for the pain.
6,6,There will be no pain.
7,7,Proceed.
8,8,Scalpel.
9,9,All right. You know the drill.
10,10,Be very careful.
11,11,This is Charles Rane we're dealing with.
12,12,Where is he?
13,13,Plastic Surgery. Third floor.
14,14,He keeps changing his face.
15,15,"If we blow this, we won't get another chance."
16,16,Move out!
17,17,What time is it?
18,18,What?
19,19,I want you to tell me what time it is.
20,20,Twelve o'clock.
21,21,Get down!
22,22,Move it out there!
23,23,Stairs! Other way!
24,24,Don't move! Freeze! Don't move!
25,25,"Charles Rane, FBI."
26,26,You're under arrest.
27,27,Enjoy the flight.
28,28,There you go.
29,29,Thanks.
30,30,You're welcome.
31,31,Listen up! Shut up! Sit!
32,32,Do as I say and nobody gets hurt.
33,33,You have the keys to the flight deck?
34,34,"We're going to move there, nice and slow."
35,35,Don't make me use this.
36,36,Nice and slow.
37,37,There you go.
38,38,Real nice.
39,39,Real nice.
40,40,Turn it off.
41,41,May I ask you what you were doing?
42,42,I was improvising on your security techniques.
43,43,"That's cute. That's real cute, Miss...?"
44,44,"Slayton, but my friends call me Marti."
45,45,Well. See...
46,46,"...if this had been a real gun, that Angie Dickinson bullshit you just pulled..."
47,47,...would've got your head blown off.
48,48,And endangered the lives of all the other passengers.
49,49,I was trying to save lives.
50,50,The next time a man holds a gun to your head on a crowded plane...
51,51,...you follow instructions.
52,52,You do exactly what he tells you to do.
53,53,Do you understand?
54,54,This is why I gave up my afternoon?
55,55,So a former security specialist can tell me how to obey a hijacker?
56,56,"First of all, I'm not a ""former"" anything."
57,57,"Second of all, I like what I do."
58,58,I get the chance to meet people like you.
59,59,"I know we got a lot of information to think about, so class dismissed."
60,60,We'll hijack you again next week.
61,61,What the hell are you doing here?
62,62,I'm doing fine. How're you?
63,63,What's wrong with your foot?
64,64,I appreciate you throwing some business my way...
65,65,...but you have no right to interfere with my class.
66,66,Look around.
67,67,This is an airline training facility.
68,68,This is not the Secret Service. Calm down.
69,69,"Now you're telling me my job, too?"
70,70,What she did was wrong. Period.
71,71,There was a time you'd have let her know without blowing your cool.
72,72,It just dawned on me.
73,73,She kind of reminds me of Lisa.
74,74,She looks nothing like Lisa.
75,75,"I didn't say she looked like her, I said she reminded me of her."
76,76,We gotta talk.
77,77,I'm not interested in coming back.
78,78,Did I ask you to?
79,79,You were about to.
80,80,Don't tell me teaching security techniques to bodyguards...
81,81,...night watchmen and flight attendants is what you want to do.
82,82,"It's a job, Sly. I like it."
83,83,Ramsey wants me to hire the best person available...
84,84,...to head up the counterterrorism unit.
85,85,That'd be you.
86,86,I don't want that responsibility.
87,87,"I don't wanna be so goodlooking, but I deal with the hand that's dealt me."
88,88,Nobody can do the job better than you.
89,89,I knew you'd start this shit again.
90,90,Give me my check.
91,91,You want me to stop?
92,92,Yes.
93,93,"Just say, ""Yes, I'll take the job."" I'll stop."
94,94,"Dammit, Sly. Give it a rest."
95,95,"No, you give it a rest."
96,96,This isn't about a job. This is about you.
97,97,Nobody knows better than I do how much Lisa meant to you...
98,98,...but you gotta stop blaming yourself.
99,99,You gotta get off the sidelines and back into this game!
100,100,I set up a lunch tomorrow with Ramsey at 12:00 at The Oxford.
101,101,I hope you'll be there.
102,102,I really do.
103,103,"Hey, pretty boy!"
104,104,Who's that prettyassed white girl?
105,105,What's her name?
106,106,Attorney Phillips.
107,107,Have you found out where they intend to take me?
108,108,Los Angeles. But they won't say when.
109,109,It'll happen quickly.
110,110,Notify my people.
111,111,They'll know what to do.
112,112,California has a death penalty.
113,113,It's a progressive state.
114,114,I'll have to visit it sometime.
115,115,The Feds' witness can prove you're responsible...
116,116,...for two airline bombings in the past year.
117,117,I'm responsible for twice that amount.
118,118,I'm afraid the most we can hope for is that I claim insanity for you.
119,119,"Given your childhood history, we should be able to make that stick."
120,120,Never mention my childhood.
121,121,Have I made myself clear?
122,122,It is the nature of man to confuse genius with insanity.
123,123,Now...
124,124,...repeat after me.
125,125,Charles Rane...
126,126,...is not...
127,127,...insane.
128,128,"""Charles Rane..."
129,129,"""...is not insane."" Again."
130,130,"""Charles Rane..."
131,131,"""...is not insane."" Continue."
132,132,"""Charles..."
133,133,"""...Rane is not..."
134,134,"""...insane. "" Put some of this on the fire. Okay?"
135,135,Kiss.
136,136,Fine ass.
137,137,"Merry Christmas, motherfucker!"
138,138,Open the register. Give me the money!
139,139,Shut up! Give it to me now!
140,140,Open the register! Now!
141,141,Freeze! Drop it!
142,142,Get back or I'll blow this bitch's head off!
143,143,Get back!
144,144,Get the fuck back! Put the gun down!
145,145,Put the fucking gun down!
146,146,All right. I'm putting it down.
147,147,"You just stay cool, all right."
148,148,"You're gonna be all right, baby."
149,149,I'm not gonna try and stop you.
150,150,You shouldn't have tried to stop me the first time.
151,151,"Oh, my God! Lisa!"
152,152,"Oh, baby!"
