,Unnamed: 0,dialog
0,0,Reynolds has made my dreams come true.
1,1,And I have given him what he desires most in return.
2,2,And what's that?
3,3,Every piece of me.
4,4,"He's a very demanding man, isn't he?"
5,5,Must be quite a challenge to be with him.
6,6,Yes.
7,7,Maybe he's the most demanding man.
8,8,"Morning, ladies."
9,9, Morning.
10,10," Morning, madam."
11,11,"Good morning, ladies."
12,12," Morning, Biddy."
13,13," Morning, Mr. Woodcock."
14,14," Morning, Nana."
15,15," Morning, Mr. Woodcock."
16,16, Pippa.
17,17," Morning, sir."
18,18,Try these.
19,19,Reynolds. They're delicious.
20,20,"Remember I told you, Johannaâ."
21,21,No more stodgy things?
22,22,I didn't know that.
23,23,You may have told it to someone else.
24,24, Morning.
25,25," Morning, my old soandso."
26,26,"Where have you gone, Reynolds?"
27,27,There's nothing I can say to get your attention aimed back at me.
28,28,Is there?
29,29,"I cannot begin my day with a confrontation, please."
30,30,I'm delivering the dress today.
31,31,And I can't take up space with a confrontation.
32,32,I simply don't have time for confrontations.
33,33,"Good morning, Countess."
34,34,"Good morning, Cyril."
35,35,"Good morning, Peter."
36,36,Who is this beautiful stranger?
37,37,"I need to see you far more often, Henrietta."
38,38, I am very excited.
39,39," I am, too. Come in."
40,40,Exquisite.
41,41,Yes?
42,42,Let's take it for a walk.
43,43,"Beautiful work, ladies."
44,44, Thank you very much.
45,45, Thank you.
46,46,"It's beautiful, Reynolds."
47,47,Worth everything we've been through.
48,48,I feel like it will give me courage.
49,49,"Ladies and gentlemen, take your seats, please."
50,50," Evening, Stephen. Is she here?"
51,51," Yes, sir."
52,52,What do you want to do about Johanna?
53,53,"I mean, she's lovely, but the time has come."
54,54,"And she's getting fat, sitting around waiting for you to fall in love with her again."
55,55,I'll give her the October dress.
56,56,If that's all right.
57,57,"I have an unsettled feeling, based on nothing I can put my finger on."
58,58,Just butterflies.
59,59,"Been having the strongest memories of Mama lately, coming to me in my dreams, smelling her scent."
60,60,The strongest sense that she's near us.
61,61,Reaching out towards us.
62,62,I very much hope that she saw the dress tonight. Don't you?
63,63,Yes.
64,64,It's comforting to think the dead are watching over the living.
65,65,I don't find that spooky at all.
