,Unnamed: 0,dialog
0,0,"Ticket, please."
1,1,"Ticket, please."
2,2,"Ticket, miss."
3,3,Have a good trip.
4,4,Excuse me.
5,5,Is this seat taken?
6,6,No.
7,7,I love ballet.
8,8,"Now, I never had the body for it."
9,9,"Hey, you dance?"
10,10,I used to.
11,11,I've got something for you.
12,12,"It's for love, not luck."
13,13,"Because you don't need luck, you dance like an angel."
14,14,Mom.
15,15,You're the best luck I'll ever have.
16,16,Are you okay?
17,17,I kept messing up these pirouettes.
18,18,"It's really frustrating, but it'll be okay."
19,19,My mom's going to be there.
20,20,She's going to drive me.
21,21,"You've nothing to worry about, you're going to do absolutely fine."
22,22,You're the best dancer in Lemont.
23,23,"Lindsay, this is not Lemont."
24,24,"This is Juilliard, New York City."
25,25, Do you want to pray?
26,26, What?
27,27,You're leaving for St. Louis. I'm not gonna see you. We should pray.
28,28, Lindsay...
29,29," Father, S.J. auditions today, let herdo okay."
30,30,"We've got the Carson wedding, the Dankowski party, two funerals and Jill calls in sick today, of all days."
31,31,"Sara, I'm sorry. I have to handle this, there isn't anybody else."
32,32," Mom, what about..."
33,33, Glynn? Do they want roses in this?
34,34, It doesn't say what color mums.
35,35," Judy took that order, ask her."
36,36,"Mom? This is the hardest, most important day of my life."
37,37,You have to be there.
38,38,You promised.
39,39,I know.
40,40," Excuse me, are you Sara Johnson?"
41,41, Yes.
42,42,You're next.
43,43,"I'll be there, I promise, before you audition."
44,44,Is there anything you would like to share with us...
45,45,about your contemporary piece before you begin?
46,46,"No, it's pretty selfexplanatory."
47,47,Did you have a good ride?
48,48,I slept through most of it.
49,49,I guess you got stuff.
50,50,Baggage?
51,51,Three suitcases.
52,52,One big one.
53,53,Sorry I had to split so soon after the funeral.
54,54,"If I could have gotten out of that gig in South Bend, I would have hung around a lot longer."
55,55,Guess it was pretty tough leaving all your friends.
56,56,Here we are.
57,57,Put 'em anywhere.
58,58,Give you the grand tour.
59,59,"It's not much of what you're used to, but the water's hot and the mice are friendly."
60,60,Bathroom.
61,61,"Kitchen, big kitchen."
62,62,This is where I sleep.
63,63,Didn't get a chance to make the bed today.
64,64,Where do I sleep?
65,65,Nixon was probably in offiice...
66,66,"when they rolled this off the assembly line, but, there's a brandnew mattress in there."
67,67,Most of your clothes should fit in here.
68,68,Whatever's left over can put in the hall closet.
69,69,"I know it's a little bit out in the open, but..."
70,70,I didn't get a chance to fiinish your room here.
71,71,"Yeah, I'll fiix that."
72,72,It's a work in progress.
73,73,I'll have it up and running in no time.
74,74,A few minor adjustments.
