,Unnamed: 0,dialog
0,0,"Two of the horses run off, but that pinto you're riding hung around."
1,1,You got no idea what they were after?
2,2,Offend anybody lately?
3,3,Not for five years.
4,4, Jefferson City?
5,5, No. Leavenworth.
6,6,Never been in there.
7,7,They jumped you out of the blue?
8,8,I had to get up anyway.
9,9,"Me, I'm riding along minding my own business."
10,10,"Four cowboys come by, and we decide to ride together. Friendly as can be."
11,11,I figure you should approach life like everybody's your friend or nobody is.
12,12,Don't make much difference.
13,13,Suddenly everybody's pointing their gun but me.
14,14,Guess they admired my horse.
15,15,Looks like that's not all they admired.
16,16,Yep. My whole rig.
17,17,I don't care much about the rest...
18,18,but I surely will miss that bay.
19,19,At least they didn't kill me.
20,20,"That was right considerate, I thought."
21,21,They were laughing when they left me.
22,22,Thought it was real funny.
23,23,"I walked for a little while, but it was no use so I gave it up."
24,24,Figured it was just bad luck.
25,25,Looks like those boys are headed south...
26,26,so they weren't the same ones that jumped me.
27,27,Where are you going?
28,28,Where's the pinto going?
29,29,I'll get these horses tended to.
30,30,I'm good for it.
31,31,"Just a minute. When I'm done helping the lady, I'll come here..."
32,32,I'll take this one.
33,33,This one is $20.
34,34, How much to borrow it?
35,35, The guns are for sale.
36,36,What can I get for that?
37,37,"Look, Ma!"
38,38,"This is the man, Sergeant."
39,39,He claims the animal was stolen.
40,40,How do I know this is your horse?
41,41,Can't you see this horse loves me?
42,42,I had a gal do that to me.
43,43,It didn't make her my wife.
44,44,On the underside of that saddle I got my name scratched.
45,45,Take a look and you'll see.
46,46, And what would your name be?
47,47, Paden.
48,48,PADEN.
49,49,"Hello, Cobb."
50,50,"Hello, Paden."
51,51,How're you doing?
52,52,You know this man?
53,53,I surely do.
54,54,"Troopers, let's take a look at this saddle."
55,55,All right.
56,56,"Move along, folks."
57,57,Get these children out of here.
58,58,"And you, get some clothes on."
59,59,I see you've been prospering without me.
60,60,It's been a while.
61,61,Where's the dog?
62,62,Appreciate the loan.
63,63,I'm good for it.
64,64,Let's talk about that.
65,65,I'm looking for some men.
66,66, I've given that up.
67,67, So have I.
68,68,I've got a legitimate job now.
69,69,I could use a guy like you.
70,70,You've got a legitimate job?
71,71,"Yes, sir, you wouldn't believe it."
72,72,You're right.
73,73,"This is mighty sweet, Paden."
74,74,I think I finally found my place in the world.
75,75,"Well, I'm..."
76,76,"real happy for you, Cobb."
77,77,But I think I'll just keep looking for mine.
78,78,He's getting out.
79,79,"Come on, Paden."
80,80,This oughta interest you.
81,81,"Look who's here, Tyree."
82,82,Our old ridin' buddy.
83,83,I invited Paden to join us...
84,84,but he's not having any.
85,85,Where's the dog?
86,86,You owe me $13.
87,87,Thirteen.
88,88,Bad luck.
89,89,I see what you like.
90,90,She's mighty pretty.
91,91,"And bridlewise, too."
92,92,The only thing I lost I really cared about...
93,93,except for maybe my hat.
94,94,It's a great one.
95,95,Black with a pretty silver band on it.
96,96,My head spent three years training it.
97,97,Sure do miss that hat.
98,98,I got to be going.
99,99,"Going to Turley, was it?"
100,100,"Yeah. I gotta stop off there, meet a guy. Head out for Silverado."
101,101,What's Turley like?
102,102,It's a town.
103,103,Got a saloon?
104,104,I expect.
105,105,Women?
106,106,I expect.
107,107,Baxter! Hawley!
108,108,Where the hell you been?
109,109,"You're late, and I tell you I don't like it. It's a bad start."
110,110,I got my people down there throwing snowballs and rearing to go!
111,111,"I'm afraid it is a bad start, friend."
112,112,My name ain't Baxter. He ain't Hawley.
113,113, You're not Baxter?
114,114, Name's Emmett.
115,115," You're not Baxter, either?"
116,116, No. I'm not Hawley.
117,117,Goddamn it!
118,118,They ain't Baxter and Hawley!
119,119,Where the hell is Baxter and Hawley?
120,120,"Quit yelling, you old coot."
121,121,We're right here.
122,122,Who you calling a coot?
123,123,"Calm down, Mr. Hobart."
124,124,I'm Nord Baxter.
125,125," There's my partner, Tom Hawley."
126,126, You're late. It's a bad start.
127,127,Yes. That means we'II have to get you to Silverado that much quicker.
128,128,All right. Let's get goin'!
129,129,"You remember my letter, don't you?"
130,130,Half now and half when we get there.
131,131,I remember.
132,132,Open the box.
133,133,Thank you.
134,134, Don't you even want to count it?
135,135," Not at all, friend."
136,136,We trust you.
137,137,Let's get this wagon train to Silverado.
138,138,You bet!
139,139,What do you want?
140,140,I haven't had a whiskey or slept in a bed in ten days.
141,141,Give me a bottle.
142,142,"Hey, what are you doing, buck?"
143,143,Having a drink.
144,144,"No, you're not."
145,145,Get outta here.
146,146,I haven't had a whiskey or slept in a bed in ten days.
147,147,You ain't gettin' it here.
148,148,I'm real sorry to hear that.
149,149, Doesn't look quite fair.
150,150, Which way do you mean?
151,151,What's all this then?
152,152,"This nigger's breaking up my place, Sheriff Langston."
153,153,"I don't like that word much, Carter."
154,154,We don't serve them here and you know it.
155,155,I asked him to leave and he went crazy on us!
156,156, Now he owes me money for this damage.
157,157, Is that a fact?
158,158,"Afraid not, Sheriff."
159,159,These other fellas started the ruckus.
160,160,Are these your friends?
161,161,I wanted a drink and a bed.
162,162, Guess I came to the wrong place.
163,163, Came to the wrong town.
164,164,I don't tolerate this. It's hard on the peace and the furniture.
165,165,"Knowing a bit about Carter, I'll let you go without paying for the damage."
166,166,"But go you will, and I mean now."
167,167,Is there a place in town that takes my kind?
168,168,You misunderstand.
169,169,I want you out of town.
170,170,"In fact, I want you all the way out of my jurisdiction."
171,171,That ain't right.
172,172,I decide what's right in this jurisdiction. Now move.
173,173,"Who's gonna pay for this, Sheriff?"
174,174,"Don't press your luck, Carter."
175,175,"Now, let's talk about you chaps."
176,176, We'd rather stay.
177,177, We'll see about that.
178,178,I'm Sheriff John Langston.
179,179,"As you may have guessed, I am not from these parts."
180,180,You're kidding?
181,181,But the good citizens of Turley have taken me in their embrace...
182,182,and for one simple reason: I maintain the peace.
183,183,"So, when strangers come to town, I always ask them their business."
184,184,Have you come for the hanging?
185,185,I'm just meeting a guy here and moving on.
186,186,So far I haven't been able to find him.
187,187,"In my town, if you're looking for someone, you ask me."
188,188,"All right. He's a young fella, full of juice, about my size..."
189,189,wears a fancy twogun rig.
190,190,I know where that gentleman is.
191,191,I want everyone to behave himself.
192,192,Emmett?
193,193,"Howdy, Jake."
194,194,I'm glad to see you!
195,195,Keep back.
196,196, Thank you.
197,197, What's going on here?
198,198,You got me!
199,199,This is a crazy town.
200,200,I think we ought to just get out of here.
201,201,All I did was kiss a girl.
202,202, That's why they got you in jail?
203,203," Yeah, I kissed a girl."
204,204,This guy didn't like it...
205,205,so we had some words so I decided to get outta there.
206,206,So I did!
207,207,I got out of there.
