,Unnamed: 0,dialog
0,0,"Harry, answer that."
1,1,"So, what do you wanna hack for, Bickle?"
2,2,I can't sleep nights.
3,3, There's porno theaters for that.
4,4," Yeah, I know. I tried that."
5,5,"So, what do you do now?"
6,6,Now? Ride around nights mostly.
7,7,"Subways, buses."
8,8,"Figure I'm gonna do that, I might as well get paid for it."
9,9,You wanna work uptown?
10,10,"South Bronx, Harlem?"
11,11,"I'll work anytime, anywhere."
12,12,Will you work Jewish holidays?
13,13,"Anytime, anywhere."
14,14,All right.
15,15,Let me see your chauffeur's license.
16,16, How's your driving record?
17,17, It's clean.
18,18,"It's real clean, like my conscience."
19,19,You gonna break my chops? I got enough trouble with guys like you.
20,20,"If you're gonna break my chops, you can take it on the arches."
21,21,"Sorry, sir, I didn't mean that."
22,22, Physical?
23,23, Clean.
24,24, Age?
25,25, Twentysix.
26,26,Education?
27,27,Some.
28,28,"Here, there, you know."
29,29,Military record?
30,30,Honorable discharge.
31,31,May 1973.
32,32, Were you in the Army?
33,33, Marines.
34,34,I was in the Marines too.
35,35,"So, what is it?"
36,36,You need an extra job?
37,37,Are you moonlighting?
38,38,"Well, I..."
39,39,I just wanna work long hours.
40,40,What's moonlighting?
41,41,"Look, just fill out these forms and check back tomorrow..."
42,42,...when the shift breaks.
43,43,"O'Brien, please step up."
44,44,"Take the car out through 58th Street, please."
45,45,Because it's crowded on 57th.
46,46,"Hey, Rodriguez!"
47,47,"All right, all right, I'm coming down there."
48,48,May 10th.
49,49,"Thank God for the rain, which has washed away..."
50,50,...the garbage and the trash off the sidewalks.
51,51,I'm working long hours now.
52,52,"Six in the afternoon to 6 in the morning, sometimes even 8 in the morning."
53,53,"Six days a week, sometimes seven days a week."
54,54,"It's a long hustle, but it keeps me real busy."
55,55,"I can take in $300, $350 a week."
56,56,Sometimes even more when I do it off the meter.
57,57,All the animals come out at night.
58,58,"Whores, skunkpussies, buggers, queens, fairies, dopers, junkies."
59,59,"Sick, venal."
60,60,Someday a real rain'll come and wash all this scum off the streets.
61,61,"I go all over. I take people to the Bronx, Brooklyn. I take them to Harlem."
62,62,I don't care.
63,63,Don't make no difference to me.
64,64,It does to some.
65,65,Some won't even take spooks.
66,66,Don't make no difference to me.
67,67,"Driver, 48th and 6th, please."
68,68,"Man, you are gorgeous!"
69,69,Beautiful little girl.
70,70,I can't afford to get stopped anywhere.
71,71,"Oh, no."
72,72,We wouldn't want that to happen.
73,73,"There'll be a big tip in it for you, you do the right things."
74,74,You got a way.
75,75,Yeah. Now you're talking!
76,76,"Driver, hurry up, will you?"
77,77,Each night when I return the cab...
78,78,...I have to clean the come off the back seat.
79,79,"Some nights, I clean off the blood."
80,80,Can I help you?
81,81,"Yeah, what's your name?"
82,82,My name is Travis.
83,83,That's nice.
84,84,What can I do for you?
85,85,I'd like to know what your name is.
86,86,What's your name?
87,87,Give me a break.
88,88,"Look, you can tell me what your name is. I'm not gonna do anything."
89,89, Do you want me to call the manager?
90,90, You don't have to call the manager.
91,91, Troy!
92,92," All right. Okay, I mean..."
93,93,Okay. Can I have a Chuckles there?
94,94,And do you have any Jujubes? They last longer. I'd like to get some Jujubes.
95,95,What you see is what we got.
96,96,A Clark.
97,97,I'll take these.
98,98,CocaCola.
99,99,We don't have CocaCola.
