,Unnamed: 0,dialog
0,0,"<font color""ffff00"">Provided by explosiveskull</font> https://twitter.com/kaboomskull M_I_SForEver ERIC: Last night, I dreamt of a steady, cool rain falling out of the African sky, soaking me to my bones."
1,1,"I watched as my filth pooled at my feet, the raindrops washing away my stories."
2,2,That I was free.
3,3,"But then I awoke, choking on the dust of this dry place."
4,4,And I wondered if hope does exist for people who are desperate and have nothing else to cling to.
5,5,I have to know.
6,6,"Because if hope is stupid, why would anything matter?"
7,7,"Balls, it is so effin' hot out here."
8,8,Yeah?
9,9,Hell of an experience though.
10,10,Feels so good to be making a difference.
11,11,Oh.
12,12,"Shit, I had the total runs for the first two days straight."
13,13,I seriously thought I was gonna perish out here.
14,14,"My parents wanted me to fly back early, but I was like WWJD?"
15,15,"Oh, whoa!"
16,16,That feels right.
17,17,You've been here longer than I have though.
18,18,Bet you can't wait to get home?
19,19,"Do you have any Jamba Juice, dude?"
20,20,"Come, come."
21,21,Come here.
22,22,You need to move it.
23,23,Twist it tight.
24,24,"Rightytighty, leftyloosey."
25,25,"MATUA: College boy, we have to work, please."
26,26,"That sign, you can mix it."
27,27,"All right, all right."
28,28,That is the fourth child that she will bury.
29,29,"This droughts, they devastate us."
30,30,This one seems longer than the last.
31,31,"We pray to God to help but, He's silent."
32,32,Sorry.
33,33,Where the hell is he?
34,34,Excuse me. Sorry.
35,35,"Hey, what's up Kelley?"
36,36,I'm looking for your idiot roommate.
37,37,Why? Did you guys break up again?
38,38,"No, why?"
39,39,Are you Stu's roommate?
40,40,"Yo, broski."
41,41,"Is it the 14th already, man?"
42,42,I was gonna have this place all spiffed and shined for ya.
43,43,Come here.
44,44,"Oh yeah, man."
45,45,I am totally getting the bad ass vibe off you with the beard and the tan.
46,46,How was Somalia?
47,47,Kenya.
48,48,"Kenya, right."
49,49,"Hey, you need to come join us."
50,50,Lots of inebriated females making bad decisions.
51,51,Let's party.
52,52,Let's party.
53,53,"I would but  All right, see you out there."
54,54,"Oh, shit."
55,55,Look who's here.
56,56,"Hey, welcome back."
57,57, How are you?
58,58, I can't believe it.
59,59,How was Africa?
60,60,I'll talk to you in a minute.
61,61,We've got some really good news today.
62,62,"Working along with many other organizations to raise money for relief help, and to build wells in communities with no access to clean water."
63,63,"No, no, no, no. Just hold."
64,64,What are you doing? Stop.
65,65,"Okay. What, what lens are..."
66,66,You're using a 50 millimeter.
67,67,"You've got like the bridge of the Queen Mary, between you and her."
68,68,You know what? We're gonna Photoshop a little baby there.
69,69,"What an adorable, next Fredericks of Hollywood."
70,70,"I think that if I would, maybe.."
71,71,I'll just try a couple.
72,72,"I'll just try a couple on my own and we'll see how, if it turns out and then we can go from there."
73,73,"No, her neck is fine."
74,74,It's gonna look good in the lens.
75,75,You're seeing in the lens sees with 1D.
76,76,I want you to learn this.
77,77,"Watch, watch with your twodimensional eyes."
78,78,I see.
79,79,And learn. Freeze don't...
80,80,"No, no, no, no, no."
81,81,"That, if she moves half an inch is gonna shatter the beauty of the..."
82,82,It's better.
83,83,"Seriously, could my day get any crappier?"
84,84,"Okay, bye."
85,85,I loved painting that one.
86,86,It's beautiful.
87,87,What's it about?
88,88,That beauty surrounds us.
89,89,How much is it?
90,90,You any good?
91,91,Oh.
92,92,Nah.
93,93,My dad volunteers teaching an art class at a homeless shelter.
94,94,He's obsessed with photography.
95,95,So why was your day so bad?
96,96,What?
97,97,Oh yeah.
98,98,I have a flat tire and I don't have a car jack and just some other stupid stuff.
99,99,I don't wanna bore you with my life's insignificant details.
100,100,But it's your life.
101,101,How could the details be insignificant?
102,102,Thanks.
103,103,I have a car jack you could use.
104,104,VANESSA: I can't believe I don't even have a spare.
105,105,I think I have one in my car that'll fit.
106,106,"No, no, no, I don't wanna take your tire."
107,107,It's okay. I'll be right back VANESSA: You from around here?
108,108,Yep. You?
109,109,Yep.
110,110,I graduate from the U this spring with an art degree.
111,111,Oh.
112,112,Everything okay?
113,113,Yeah.
114,114,So what do you wanna do after you graduate?
115,115,I don't know.
116,116,"Teach, I guess."
117,117,You guess?
118,118,"I wanna teach, just..."
119,119, Vanessa.
120,120, It's nothing. I'm sorry.
121,121,I had a meeting with my advisor yesterday.
122,122,He completely tore my senior project to shreds.
123,123,He said that it lacked distinction or originality or whatever.
124,124,"I always wanted to have, you know, like an art gallery or something some day."
125,125,"Nothing big or fancy, I just..."
126,126,I feel really stupid right now.
127,127,I don't know why I'm telling you this. I'm sorry.
128,128,"Just paint whatever pulls you out of bed in the middle of the night, and people will stand in line to see that."
129,129,"And then kind of, (SPEAKING FOREIGN LANGUAGE)."
130,130,Just wait.
131,131,Move over.
132,132,"Watch this, watch this."
133,133,Dutch angle candid.
134,134,Just slightly over.
135,135,Yes.
136,136, Perfect.
137,137, That's good.
138,138, Do you see that?
139,139, That's good.
140,140,That's the magic.
141,141,I just don't know.
142,142,They're all so good.
143,143,"Yes, Steve did a great job."
144,144,You're very photogenic.
145,145,You are so sweet.
146,146,And who knew I could look 25 again?
147,147,"Hey, Eric."
148,148,Some chick holding a tire is out front asking for you.
149,149,"So, what do you think?"
150,150,I'm thinking...
151,151,I'm thinking you should get a 24 by 36 of that.
152,152,Of this one.
153,153,I think we should do 36 wallets.
154,154,What do you think about that one?
155,155,Genius.
156,156,Hey.
157,157,I never got your number.
158,158,I gave you mine but...
159,159,And I couldn't remember where you worked.
160,160,"So I checked every store with a photo studio attached like a stalker, but I promised you that I'd get your tire back."
161,161,So here it is.
162,162,Some of these photos are really something.
163,163,"Yeah, those were mostly taken by Steve."
164,164,My boss.
165,165,I love that one.
166,166,Oh yeah.
167,167,That kid did not wanna be here.
168,168,Took about an hour to calm him down.
169,169,You must be very patient.
170,170,"Hey, I was gonna..."
171,171,VANESSA: And I was at a complete loss.
172,172,"Oh, dude. I'm so glad you're still here."
173,173,"Stu, what are you doing here?"
174,174,"I dropped by the old port stude to see if you wanted to grab some dinner, but I overheard you making plans."
175,175,And it's a good thing that I was eavesdropping this time because I locked myself out of the apartment again.
176,176,And you turned off your phone.
177,177, Hey.
178,178, Hey Vanessa. This is my  Stuart Halcombe.
179,179,I'm Eric's closest confidante.
180,180,Just don't lock me out this time.
181,181,"Absolutely, dude."
182,182, All right. Cool.
183,183," Nice to see you, Stu."
184,184,Bye.
185,185,He's...
186,186,What is that?
187,187,"Hey, Vanessa. How're you doing?"
188,188,So has Eric been telling you about all the marathons that he runs to raise money for his charity work in Ethiopia?
189,189,"Hey, can we get some more chips and salsa?"
190,190, You've been to Africa?
191,191," Well, yeah."
192,192," I mean, a little bit."
193,193, Oh yeah. He's so modest.
194,194,You should totally get him to show you the pictures of him holding the sick babies.
195,195,It's just...
196,196,"All right, so you know, I've gotta go somewhere."
197,197,You need that back?
198,198,"Okay, bye."
199,199,How long have you known him?
200,200,I met him two years ago at a laundromat.
201,201,Oh my God.
202,202,I love the rain.
203,203,"Well, that's fortunate."
204,204,You ready to run?
205,205,You first.
206,206,"Go. Go, go, go, go, go, go."
207,207,Take my jacket.
208,208,It's wet. It's all wet.
209,209,Come on.
210,210,What are you...
211,211,Go in there.
212,212,"Greetings, my dear child."
213,213,How long has it been since your last confession?
214,214,So tell me about your mother.
215,215,Why?
216,216,VANESSA: (CHUCKLES) I'm just kidding.
217,217,Oh.
218,218,VANESSA: Besides I don't think priests ask about that anyway.
219,219,"Right, shrinks do."
220,220,VANESSA: Okay.
221,221,Let's ask each other deep and invasive personal questions.
222,222,Why would we do that?
223,223,VANESSA: Because it's fun.
224,224,Tell me your biggest regret.
225,225,Okay. The biggest regret.
226,226,Do you routinely corner people in confessional booths to ask them personal questions?
227,227,VANESSA: No.
228,228,"But since we are in one, it seems fitting, right?"
229,229,"How about, have you ever been in love?"
230,230,"No, not in the way that you mean."
231,231,VANESSA: Which way is that?
232,232,The real way.
233,233,"Okay, who is the most influential person in your life?"
234,234,VANESSA: Definitely my parents.
235,235,It's a tie.
236,236,Are you close with yours?
237,237,I never really knew my dad.
238,238,VANESSA: Why not?
239,239,He left before I was born.
240,240,Isn't that two questions?
241,241,VANESSA: And your mom?
242,242,She's not around anymore.
243,243,VANESSA: Did she die?
244,244,Yeah.
245,245,"Oh Eric, I'm so sorry."
246,246,Holy shit.
247,247,I thought I was gonna pee my pants.
248,248,How did he not see you?
249,249,I don't know.
250,250,"When he started praying with you, I hightailed it out of there."
251,251,And just ran as fast as I can.
252,252,"Oh, yeah."
253,253,Since when do you iron?
254,254,I got a fellowship interview today.
255,255,"So, what's the deal with her?"
256,256,What?
257,257,"Oh, come on, man."
258,258,You've been like a monk for the last three years.
259,259,The least you can do is rollick me with a few selfindulgent superficial details.
260,260,I don't know.
261,261,She invited me to her parents' place Thursday for Thanksgiving.
262,262,Let me get this straight.
263,263,"On your first date, she wants to spend like 14 hours with you."
264,264,Then she invites you to her folks' house for a major holiday?
265,265,"And all this time, I thought you needed remedial help with women."
266,266,So are you going?
267,267,"Nah, I got too much stuff to do."
268,268,Come to Chicago with me.
269,269,You know my mom likes you better anyway.
270,270,I'll be back by Friday night.
271,271,I can't. I gotta work Friday at 5:00 a.m.
272,272,"Pictures with Santa, remember?"
273,273,Yay.
274,274,Have fun with that.
275,275,"And my goal in running this marathon is to raise money for one, maybe even two wells."
276,276,Huge tax deduction for your organization.
277,277,"Okay, sure. No."
278,278,Even a small amount would be great.
279,279,"Hey, nice job."
280,280,"Happy Thanksgiving, everybody."
281,281,Hi Vanessa. This is...
282,282,I am.
283,283,"Yeah, thanks. It must've been like a 24hour thing."
284,284,I really appreciated dinner.
285,285,It was really kind of you.
286,286,So thanks.
287,287,Oh (CHUCKLES) Yes.
288,288, Okay.
289,289, Awesome.
290,290,Let's try another one.
291,291,"Brian, look alive."
292,292,"BRIAN: Oh, right."
293,293,"Three, two..."
294,294,"Intelligent, look intelligent."
295,295,Great.
296,296,"Brian, tilt and Tricia tilt."
297,297,"And three, two, One."
298,298,Perfect.
299,299,Try to think of some thoughts.
300,300,Just take one more.
301,301,Edward Whitney.
302,302,What are you doing?
303,303,You said he's a philosophy professor at my place of education.
304,304,"He wrote a book called ""Finding Jesus in the Dark Room: Snapshots of Faith and Doubt""."
305,305,Why would you take a leak off the Berlin wall?
306,306,"Well, my sergeant and I actually just wanted pictures of us standing on the wall."
307,307,I still don't know why we peed.
308,308,The good news is that our names weren't on the ambassador's apology to the East German people.
309,309,So you teach philosophy?
310,310,Don't miss the donut by looking through the hole.
311,311,A thousand men cannot undress one naked man.
312,312,Sorry.
313,313,"Yes, I teach philosophy."
314,314,Vanessa says that you are a photographer?
315,315,"Yes, sir."
316,316,"Just most family portraits, mostly."
317,317,Just?
318,318,My family portraits are the most mysterious and fascinating.
319,319,Just think if those photos could speak up.
320,320,"Yeah, that's true."
321,321,Are you Lutheran?
322,322,Lutheran...
323,323,"Were you at least baptized as an infant, or were you dipped?"
324,324,"Mama, could you come with me in the kitchen?"
325,325,I was just getting to know Vanessa's new little friend.
326,326,My grandma has been trying to set me up with her church organist for like three years.
327,327,And?
328,328,"Well, he's 40 and really creepy."
329,329,"Hey, but at least he's a Lutheran."
330,330,"Yeah, that's true."
331,331,Whatever.
332,332,"That is JP, my parents' foster kid, and he is such a jerk."
333,333,Says a lot about your parents.
334,334,"Yeah. Well my dad, his mom died when he was 15."
335,335,He was basically alone from then on.
336,336,You're putting too much on the plate.
337,337,You're doing a great job.
338,338, They'll fall off.
339,339," Mama, come on."
340,340," Come on, mama."
341,341," Oh, grandma, grandma."
342,342,Put this right there.
343,343,You do such a good job with that.
344,344,"Eric, darling, can you take the punch bowl and put it on the table and then come back in and finish?"
345,345,You're doing a great job.
346,346,"Mom, oh my God."
347,347,These are so cute.
348,348,You made every single one and you made the walnut ones?
349,349, I'm so sorry.
