,Unnamed: 0,dialog
0,0,"âª Makidada âª âª Keep my sister away from me âª âª Makidada âª âª Me and you, us never part âª âª Makidada âª Celie! Nettie!"
1,1,Come back to the house now.
2,2,"Girls, your mama got supper."
3,3,"Celie, you got the ugliest smile this side of Creation."
4,4,Ain't you done yet?
5,5,A girl!
6,6,No.
7,7, I want it.
8,8, Shh. Celie.
9,9,Nettie!
10,10,You better not tell nobody but God.
11,11,It'd kill your mama.
12,12,"Dear God, I'm 1 4 years old."
13,13,I've always been a good girl.
14,14,Maybe you can give me a sign.
15,15,Let me know what's happening to me.
16,16,"One day, my daddy come and say, ""You gonna do what your mama wouldn't."" Now, I got two children by my daddy."
17,17,"A baby boy called Adam, he took while I was sleeping..."
18,18,...and a baby girl called Olivia...
19,19,...that he took right out of my arms.
20,20,Then my mama died...
21,21,...cussing and screaming...
22,22,...because her heart been broke.
23,23,"Dear God, he act like he can't stand me no more."
24,24,I don't think he killed my baby boy.
25,25,I heard he sold it to a preacher and his wife.
26,26,I keep hoping he'll find somebody to marry.
27,27,I seen him looking at my little sister.
28,28,She's scared.
29,29,"But I say, ""I'll take care of you, with God's help.""  Come on! Push!"
30,30, Hurry up! Hurry!
31,31," Come on, guys!"
32,32, Hurry up!
33,33,Shh! Shh!
34,34,"Dear God, he come home with a girl from around the town called Gray."
35,35,"She be almost my age, but they getting married now."
36,36,"My little sister, Nettie, has got a man always looking at her."
37,37,"His wife's dead. She was killed by her boyfriend, coming home from church."
38,38,He got three children.
39,39,He seen Nettie in church.
40,40,"Now every Sunday evening, here come Mister."
41,41,It is therefore not to be entered into lightly or unadvisedly...
42,42,...but reverently and soberly and in the fear of God. Let us pray.
43,43,"Dear Lord, we ask your blessing on our brother, Harris!"
44,44,Amen!
45,45,Amen!
46,46,I want to marry your Nettie.
47,47,I got to have somebody right now.
48,48,I got nobody to watch over my young ones.
49,49,They be fighting and bleeding and throwing up on the floor...
50,50,...while I got a farm to run.
51,51,I'll take right good care of your Nettie.
52,52,I can't let you have Nettie.
53,53,She too young.
54,54,But I tell you what.
55,55,I can let you have Celie.
56,56,She oldest and should marry first.
57,57,"She ain't fresh, but I expect you know that."
58,58,"She's spoiled, twice."
59,59,"Celie is ugly but she works hard, and she can Iearn."
60,60,And God fixed her.
61,61,You can do what you like.
62,62,She won't make you feed or clothe it.
63,63,"But Nettie, you flat out can't have."
64,64,"Not now, not never."
65,65,"Well, I ain't never Iooked at the other one before."
66,66,Let me see her again.
67,67,"Celie, Mister want another look at you."
68,68,Move up. He won't bite.
69,69,Turn around.
70,70,What you doing that for?
71,71,Your sister's thinking about marriage.
72,72,How come y'all standing out here. What you waiting on?
73,73, This here's your new mammy.
74,74, She ain't my mammy.
75,75,Harpo! Come here!
76,76,"Harpo! Get here! Come here, boy!"
77,77,Come here. Come here.
78,78,"Harpo! Don't you run from me, boy!"
79,79,I don't cry.
80,80,I laid there thinking about Nettie while he on top of me.
81,81,Wonder if she's safe.
82,82,Then I think about that pretty woman in the picture.
83,83,"I know what he doing to me, he done to her."
84,84,And maybe she like it.
85,85,Jesus!
86,86,"Harpo, didn't I tell you to clean my saddle?"
87,87,"I did do it, Pa."
88,88,Look at the mold on the side.
89,89,Look at the dirt on it.
90,90,This don't look like it's clean.
91,91,"The new mule had it on. Joey, had it."
92,92,I couldn't get it from him.
93,93, He was biting and kicking on it.
94,94, Ow! Ow! Ow!
95,95,When's the last time their hair was combed?
96,96,Not since their mammy did it.
97,97,Go clean my saddle.
98,98,I'll have to shave it off.
99,99,"No, no, no."
100,100,It's bad Iuck to cut a woman's hair.
101,101,This'll take all day.
102,102,Shut up!
103,103, I can't. It hurts her.
104,104, Ow! Ow! Ow!
105,105, Ahh!
106,106, Don't talk back to me.
107,107,You do what I tell you.
108,108,"Dear God, I seen my baby girl."
109,109,I know it was her.
110,110,She looked just like me and my daddy.
111,111,Like more us than us is ourself.
112,112,My little girl looks like she fretting over something.
113,113,"She got my eyes, just like they is today."
114,114,"Like everything I see, she's seeing."
115,115,How are you today?
116,116,Thank you.
117,117,That's real pretty.
118,118,Yes. I'm making me and my little girl a new dress.
119,119,Her daddy will be so pleased.
120,120,Who her daddy?
121,121,Mr. Samuel.
122,122,Mr. Samuel. Who he?
123,123,The reverend Mr. Samuel.
124,124,You want that cloth or not?
125,125,We got other customers.
126,126,"Yes, sir. I want five yards, sir."
127,127," You want something, gal?"
128,128," No, sir!"
129,129,How long you had your little girl?
130,130,She be seven months on the fifteenth.
131,131,Can I hold her?
132,132,If you like.
133,133,Watch her head now. Be careful.
134,134,There you go.
135,135,I think she mine.
136,136,My heart say she mine.
137,137,But I don't know if she mine.
138,138,"If she my baby, her name Olivia."
139,139,"I stitch ""Olivia"" on all the seat of her diapers."
140,140,I stitch a lot of little flowers and stars too.
141,141,He took all the diapers when he took her.
142,142,What's her name?
143,143,Pauline.
144,144,But I calls her Olivia.
145,145," Come on, sweetie. Come on."
146,146, Olivia.
147,147, Come on. Come on.
148,148, Olivia.
149,149,Olivia.
150,150,Whys you call her Olivia when that ain't her name?
151,151,Don't she look Iike an Olivia to you?
152,152,Just look at those eyes.
153,153,Only somebody old would have eyes like that.
154,154,So I call her Ole Livia.
155,155,"Well, nice talking to you."
156,156,My husband's waiting.
157,157,"You gonna buy anything or not, gal?"
158,158,"Whoa, whoa."
159,159,"I thank you, sir."
160,160, Give these to Mr. Johnson.
161,161," Yes, sir."
162,162,Nettie!
163,163,Celie!
164,164,Nettie!
165,165,Celie!
166,166,I'm so glad to see you!
167,167,I just couldn't keep him off me.
168,168,Could I stay here with you?
169,169,Can Nettie stay with us for a spell?
170,170,Sure. She be kin now.
171,171,What happened with you and Pa?
172,172,I just couldn't keep him off me.
173,173,He'd try everything.
174,174,You know how he is.
175,175,I ain't never going back there!
176,176,"You hear what I say? I'd die first, Celie."
177,177,Hush now!
178,178,Don't let them run over you.
179,179,Show them who's got the upper hand.
180,180,They got it.
181,181,"You got to fight, Celie. You got to."
182,182,I don't know how to fight.
183,183,All I know how to do is stay alive.
184,184,"You sure look pretty today, Nettie."
185,185,"Celie, my boy be needing his supper."
186,186,Sure is a pretty dress you have on.
187,187,"Oh, Nettie, you have such nice skin..."
188,188,"...and such soft, beautiful hair."
189,189,And you smell so good when I sit close to you. And your teeth....
190,190,He talk about your teeth?
191,191,"Yeah, about how bright they shine."
192,192,Celie! My boy wants supper. The kitchen needs cleaning. The cow needs milking.
193,193,My shirt needs mending. My pants need fixing. My shoes need shining.
194,194,My children need feeding.
