,Unnamed: 0,dialog
0,0,"In the last year of the World War, the Tomainian nation began to weaken."
1,1,Behind her lines revolution had broken out.
2,2,Her diplomats were frantically suing for peace...
3,3,while at the front Tomainia's army fought on...
4,4,confident its war machine was invincible...
5,5,confident its war machine would smash the enemy's lines.
6,6,"Big Bertha, a cannon that could hurl a projectile a hundred miles..."
7,7,was this day to make its first appearance on the Western Front...
8,8,was this day to strike terror into the hearts of the enemy.
9,9,"Seventyfive miles away was her target, the cathedral of Notre Dame."
10,10,"Range: 95,452!"
11,11," Range: 95,452!"
12,12," Yes, sir!"
13,13, Stand clear!
14,14, Fire!
15,15,Hey!
16,16,Stand by your trigger.
17,17,"Yes, sir."
18,18,"Range correction: 95,455!"
19,19," Range: 95,455!"
20,20," Yes, sir!"
21,21,Breach secured!
22,22,Stand clear!
23,23,Ready! Fire!
24,24,Defective shell.
25,25,We'll examine it. Come on.
26,26,Come on.
27,27, We'd better check the fuse.
28,28," Yes, check the fuse."
29,29,"Yes, sir. The fuse."
30,30,Look out! Come on! Run!
31,31, What's that?
32,32, An air raid!
33,33, They're after Big Bertha!
34,34, Right! To the antiaircraft gun!
35,35, To the gun!
36,36, Quick!
37,37,Hey! Have you gone crazy?
38,38,Come down out of there!
39,39,"Get up there, will you!"
40,40,What do you think you're doing?
41,41,Have you gone crazy?
42,42," Sorry, sir   Sir! Report from Captain Snout!"
43,43,The enemy have broken through!
44,44,Every man to the front!
45,45,"Muster the gun crew, quick!"
46,46,"You, report to Sergeant Bloom."
47,47, Come on!
48,48," Yes, sir!"
49,49,"Get your hand grenades there, soldiers."
50,50,Come on there.
51,51,Get your hand grenades.
52,52,"Hey, soldier! Where's your hand grenade?"
53,53,"Hey, come here!"
54,54, Where's your hand grenade?
55,55," Haven't got any, sir."
56,56,Give him a hand grenade.
57,57,Go on.
58,58,Keep moving. Come along.
59,59,Move forward.
60,60,Hurry it up.
61,61,Come along. Hurry up.
62,62,"Pardon me, sir, but to work this  How do you  Pull the pin, count 10 and throw it."
63,63,Let 'em have it!
64,64,"Hey, come on!"
65,65,"Hey, this is no time to scratch."
66,66,"Here, pull yourself together."
67,67,Take this.
68,68,Forward!
69,69,"Hey, you men! Fall in here!"
70,70,"Hey, you, come on!"
71,71,Hurry it up there!
72,72,Order! Arms!
73,73,Prepare to attack!
74,74,Forward!
75,75,Captain!
76,76,CapitÃ¡n!
77,77,There you are.
78,78,"Oh, excuse me!"
79,79,The enemy!
80,80,"Come on, fellas! Let's get him!"
81,81,"Good afternoon, sir. May I come in?"
82,82, Who is it?
83,83, Friend.
84,84,Come in.
85,85, Sir.
86,86, What division?
87,87,Take this. Hold 'em off.
88,88,And keep firing.
89,89, I'll be back in a moment.
90,90," Yes, sir."
91,91,"Help! Comrade, help!"
92,92, What is it?
93,93, I'm exhausted.
94,94,Quick! Help me to my plane!
95,95,"Yes, sir."
96,96," Thank you, my lad."
97,97, Steady.
98,98,I'll see you get the Tomainian Cross for this.
99,99,"That's all right, sir."
100,100,I'm only too willing to oblige.
101,101,"Oh, you saved my life."
102,102, Thank you.
103,103, I'll strap you in.
104,104,I'm weak.
105,105,I can't make it alone.
106,106, You'll have to stay with me.
107,107," All right, sir."
108,108, Can you fly a plane?
109,109, I can try.
110,110,Quick! Lift my hand to the stick.
111,111,I haven't the strength.
112,112," Take charge of that gun, Sergeant!"
113,113," Yes, sir!"
114,114,The enemy! They're coming!
115,115,Quick! Lift my hand to the throttle!
116,116,We'll fool 'em!
117,117, Here. Hold on to these dispatches.
118,118," Yes, sir."
119,119,"If we can deliver them to General Schmelloffel, Tomainia may yet win the day!"
120,120, I think I'm going to faint.
121,121," Oh, don't say that."
122,122,"I'm sorry, old man."
123,123, Huh?
124,124, I'm sorry.
125,125,"Oh, wait  Please! Hey!"
126,126,"Hey, mister!"
127,127, Hey!
128,128, Where am I?
129,129, Don't you know me?
130,130," Oh, yes. Of course."
131,131, Of course.
132,132, Yes.
133,133,"Yes, I  I feel better now."
134,134, Ah.
135,135, The blood's returning to my head.
136,136,What's below?
137,137, Looks like the sun.
138,138, The sun?
139,139, Seems to be shining upwards.
140,140, Strange.
141,141, How's the gas?
142,142, Terrible. It kept me awake all night.
143,143,"No, no, no!"
144,144,The gasoline in the tank!
145,145,Oh. Almost empty.
146,146,We must be nearly there.
147,147,What time is it?
148,148,Time?
149,149,"About, approximately, one minute to 12:00."
150,150,Strange.
151,151,Look at that.
152,152,Seem to be defying the laws of gravity.
153,153,Water!
154,154, Huh?
155,155, Quick! I'm going to faint!
156,156,"Uh, wait a while. Wait a wh  You'll get  We'll get into trouble if you faint any more now."
157,157, Ohh. Ohh.
158,158, Now be careful.
159,159, Here now. Just hold it.
160,160, Quick.
161,161,Hold it. Hold it. I think I can  We'll just see  Faint. Water.
162,162," What on   Oh, water."
