,Unnamed: 0,dialog
0,0,Merry Christmas!
1,1," What's your name, little boy?"
2,2, Eric.
3,3,"Eric. What do you want for Christmas, Eric?"
4,4,Johnny Lightning 500.
5,5, Have you been a good little boy?
6,6, Yes.
7,7,Have you? Good.
8,8,Do you like Santa Claus?
9,9,"Oh, now, you like Santa Claus, right?"
10,10,"All right, let's sing a little song."
11,11,"""Jingle Bells."" âª Jingle bells, jingle bells âª âª Jingle all the way âª âª Oh, what fun it is to ride âª Right on. Right on."
12,12,Get out of here. Get up.
13,13,Get up! Hold 'em up.
14,14,Don't move.
15,15, Hold it! Freeze!
16,16," Jimmy, watch it. He's got a knife."
17,17,"CloudyCloudy, watch him."
18,18,Aaah! Son of a...
19,19,Son of a bitch.
20,20,"Hold it, you son of a bitch!"
21,21,No! No! No!
22,22,That's enough. Don't kill him.
23,23,That's enough!
24,24, Come on.
25,25, Get up!
26,26, Come on now.
27,27, Give me a break!
28,28, Please.
29,29, Holy shit.
30,30," I ain't done nothin', man."
31,31, Break your ass!
32,32,Come on. Hey.
33,33, Come on.
34,34, Get up!
35,35,Stop it!
36,36," Let me at him, goddamn you!"
37,37, Jimmy!
38,38, Fuck you.
39,39, Will you stop it?
40,40,I'm gonna bust you.
41,41,Get over here. Come on.
42,42, Jimmy.
43,43," Come on, let me..."
44,44,Let me bust him.
45,45,I wanna bust him.
46,46, I wanna bust him.
47,47, Don't...
48,48, Let me talk to him. Let me talk to him.
49,49," Oh, you..."
50,50," You got a friend here, buddy."
51,51, Just for a minute.
52,52, You got a friend.
53,53, Jimmy. You gonna tell us who your man is?
54,54," When's the last time you picked your feet, Willie?"
55,55, Who's your connection?
56,56, What's his name?
57,57, What?
58,58, Answer him!
59,59," No! No, man. No. I ain't never..."
60,60,"Is it Joe the barber? Joe the barber, right?"
61,61,"That's who it is, isn't it?"
62,62," Aw, don't give us any shit. What's Joe's last name?"
63,63," I don't know, man."
64,64,Give him a chance.
65,65,Just give him a chance.
66,66, Give him a chance.
67,67," Man, all I know is he lives on 125th Street..."
68,68, Above the barbershop.
69,69, What side of the street does he live on?
70,70,North or south? North or south?
71,71,"I don't know what you're talking about, man."
72,72,I don't know...
73,73,I'm asking you what side of the street he lives on!
74,74,"Hey, shithead, when was the last time you picked your feet?"
75,75," Man, what's he talkin' about?"
76,76, I've got a man in Poughkeepsie wants to talk to you.
77,77,You ever been to Poughkeepsie?
78,78, Have you ever been to Poughkeepsie?
79,79," Hey, man, give me a break."
80,80, I don't know what you're talking about.
81,81," Come on, say it."
82,82,Let me hear you say it.
83,83,Have you ever been to Poughkeepsie?
84,84,"You've been to Poughkeepsie, haven't you?"
85,85, I wanna hear it! Come on!
86,86," Yes. Yes, I..."
87,87," You've been there, right?"
88,88, Yeah. Yeah.
89,89,"You sat on the edge of the bed, didn't you?"
90,90,"You took off your shoes, put your finger in between your toes and picked your feet. Say it!"
91,91, Yes.
92,92, You put a shiv in my partner. You know what that means?
93,93,Goddamn it! All winter long I gotta listen to him gripe about his bowling scores.
94,94,Now I'm gonna bust your ass for those three bags...
95,95,and I'm gonna nail you for pickin' your feet in Poughkeepsie.
96,96,Merci.
97,97,Bonjour.
98,98,"Merci, chÃ©ri."
99,99, Who's detective for 13 Victor Six?
100,100," Yes, ma'am."
101,101,How many fellas?
102,102, Two?
103,103, A family dispute.
104,104,Do you have a description?
105,105,"Yes, ma'am."
106,106,Need a little help there?
107,107,You dumb guinea.
108,108, How the hell did I know he had a knife?
109,109, Never trust a nigger.
110,110, He could have been white.
111,111, Never trust anyone.
112,112, You goin' sick?
113,113, No.
114,114, Are you goin' sick?
115,115, No!
116,116,"What do you say we ""popeye"" down to the Chez and have a couple of drinks?"
117,117, I'm beat. I'm gonna go home.
118,118, All right. One drink.
119,119, Drink this.
120,120, Whip it out.
121,121,"âª How many times have I been downhearted âª âª Looked up and saw him smiling like a shiny dime âª âª Yeah âª âª I hoped that he would stay and tell me why âª âª He was so happy if he had the time âª âª Oh, I wish there was a way to race him âª âª Catch a flying horse and chase him âª âª Everybody's going to the moon âª Me and you."
122,122,âª Everybody's going It'll be quite soon âª âª It's customary in songs like this âª âª To use a word like spoon âª âª By the light of the silvery âª âª I'm flyin' to the silvery You know âª âª Everybody's goin' to the moon âª âª How many times while looking down âª âª Has he heard us singing songs âª âª And wondered who we were âª Hey!
123,123,"âª And envied us âª âª Because the lady in the moon is gone âª âª And now he misses her âª âª And then he wondered to himself Now, why is it âª âª No one ever pays a visit âª âª Everybody gets to go to the moon Yeah, yeah, yeah âª âª Everybody's got to go It'll be quite soon âª âª Now, it's customary in songs like this âª âª To use a month like June âª âª By the light of the silvery âª âª We'll take a flight to the silvery You know âª âª Everybody's going to the moon âª Now, isn't it a miracle..."
124,124,that we are the generation...
125,125,that's gonna touch that shiny bubble...
126,126,with our own two hands?
127,127,"âª And it's got to make you glad to be alive âª âª Yes, it's got to make you proud âª âª To be alive âª I make at least two junk connections..."
128,128,at that far table over there in the corner.
129,129,Right?
130,130,And the guy in the striped shirt and tie combo...
131,131,I know him too.
132,132,I thought we came here to buy me a drink.
133,133,Who is that clown?
134,134,He's a policy guy from Queens.
135,135,Right.
136,136,Dig the creep that's coming to the table now.
137,137,It's Jewish Lucky. He don't look the same without numbers across his chest.
138,138,That table is definitely wrong.
139,139,âª It's customary in songs like this âª âª To use a word like spoon âª âª By the light of the silvery âª âª Flight to the silvery âª âª Everybody's going to the moon âª More.
140,140,What about the last of the bigtime spenders?
141,141,You make him?
142,142,No. You?
143,143,He's spreadin' it around like the Russians are in Jersey.
144,144,Nice.
145,145,What do you say we stick around and give him a tail?
146,146,Come on. Just for fun.
147,147,Give who a tail?
148,148,The greaser with the blonde.
149,149,What for? You wanna play hide the salami with his old lady?
150,150,Yeah.
151,151,Miss can I ask you about those boots there?
152,152,Monica.
153,153, Who in the hell's that?
154,154, Who keeps score?
155,155,Hey.
156,156," Kissy devil, isn't he? Look at him."
157,157, Yeah.
158,158," Well, they're all cousins. You know that."
159,159, Yeah. All right.
160,160,"Yeah, say goodbye. Come on."
161,161,What's he got now?
162,162, Hudson Terraplane. That's what he got.
163,163," No, no."
164,164," Easy, easy."
165,165, Okay.
166,166,Go to work.
167,167,"Cloudy, lay odds he takes us to Dago town."
168,168,"We'll take him, Popeye."
169,169,He's nothin'.
170,170,I don't believe this.
171,171,"Relax. You're having fun, ain't you?"
172,172,"Man, if that's not a drop..."
173,173,I'll open up a charge for you at Bloomingdales.
174,174,Make it Alexander's.
175,175,I like the toy department.
176,176,He's coming back.
177,177,Pass him. Make a left.
178,178,Alain.
179,179,Bonjour.
180,180,EnchantÃ©.
181,181,Our friend's name is Boca...
182,182,Salvatore Boca. BOCA.
183,183,They call him Sal.
184,184,He's a sweetheart.
185,185,"He was picked up on suspicion of armed robbery. Now, get this."
186,186,Three years ago he tries to hold up Tiffany's...
187,187,on Fifth Avenue in broad daylight.
188,188,He coulda got two and a half to five...
189,189,but Tiffany's wouldn't prosecute.
190,190,"Also, downtown they're pretty sure he pulled off a contract on a guy named DeMarco."
191,191,What about his old lady?
192,192,Her name's Angie. She's a fast filly.
193,193,She drew a suspended for shoplifting a year ago.
194,194,"She's only a kid. Nineteen, according to the marriage license."
195,195,Nineteen going on 50.
196,196,What else?
197,197,He's had the store a year and a half.
198,198,Takes in a fast seven grand a year.
199,199,So what's he doing with two cars...
200,200,and hundreddollar tabs at the Chez?
201,201,The LTD's in his wife's name.
202,202,The Comet belongs to his brother Lou.
203,203,He's a trainee at the garbageman school on Ward's Island.
204,204,He did time a couple of years ago...
205,205,assault and robbery.
206,206,The black Cadillac...
207,207,New Jersey plates.
208,208,RWN264. I know that one cat.
209,209,We saw him outside the Pike Slip Inn the other day.
210,210,I wanna get a blouse like that for my girlfriend...
211,211,but I want you to model it for me.
212,212,Better not let my husband hear that.
213,213,I don't care if he hears it.
214,214,Will you do it for me?
215,215,Okay. How much you gonna pay?
216,216, Fifty dollars an hour.
217,217, Fifty an hour? I'll do it... 200.
218,218,Nah. Can't afford it.
219,219,I'll call you later.
220,220,All right. Byebye.
221,221,"Hey, it's 1:30."
222,222,I didn't expect you till 2:00.
223,223, You work around here?
224,224, Yeah. Across the street.
225,225,That's the third time he's come here this week.
226,226, You got anything on this building?
227,227, The building's clean.
228,228,I checked the tenant list.
229,229,"Remember Don Ameche, the actor?"
230,230,He lives here.
231,231,"Oh, yeah. And somebody else."
232,232,Does the name Joel Weinstock ring a bell?
233,233," Oh, you're kidding."
234,234," No, sir. He lives right here."
235,235,He was the bank on a shipment out of Mexico...
236,236,What was it? Three years ago.
237,237,"Yeah, so I hear."
238,238,He's going to Ward's Island.
239,239,We're gonna be spotted there.
240,240, What the hell is he doing that?
241,241, Maybe he's gonna go down and see his brother.
242,242, Shit.
243,243," Well, maybe it's another drop."
244,244,"Well, he gets a free ride."
245,245,"âª âª All right, Popeye's here."
246,246,Get your hands on your heads.
247,247,Get off the bar and get on the wall.
248,248,"Come on, move. Move!"
249,249," Come on, sweetheart, move."
250,250," Come on, move it!"
251,251, Face the window. Move!
252,252, Face the wall.
253,253, Turn around there. Turn around.
254,254," Move! Come on, move!"
255,255, Hands outta your pockets.
256,256, Turn around.
257,257, Come on. Come on.
258,258," Turn around, big man. Come on, turn around."
259,259,Get on the wall. Turn around.
260,260,YouTurn around.
261,261, Hey. You drop that? Pick it up.
262,262, Hold those hands up.
263,263,"Pick it up! Come on, move."
264,264,What are you lookin' at?
265,265,"All right, bring it here."
266,266,Get your hands out of your pockets.
267,267, What's my name?
268,268, Doyle.
269,269, What?
270,270, Mr. Doyle.
271,271,Come here. You pick your feet?
272,272, What?
273,273, Do youGet over there.
274,274,Get your hands on your head.
275,275,Hold 'em up.
276,276,We told you people we were comin' back.
277,277,We're gonna keep comin' back here until you clean this bar up.
278,278,Keep your eye on your neighbor.
279,279,"If he drops something, it belongs to you."
280,280,"What is this, a fuckin' hospital here?"
281,281," Turn around there, fella."
282,282, What do we got here? This belong to you?
283,283,"Stand up there, ""noddy."" Get your hands on your fuckin' head."
284,284,Get in there!
285,285," You wanna take a ride there, fat man?"
286,286," Oh, bullshit."
287,287,Pay attention.
288,288,We're gonna ask questions later.
289,289,Turn around.
290,290,Fuckin' bullshit.
291,291,"All right, shut up there. Shut up!"
292,292,Anybody want a milk shake?
293,293,"All right, come over here."
294,294,You... and you.
295,295,"Hey, whiskers! Come over here."
296,296,Move ass when I call you.
297,297, Get out of here.
298,298, You.
299,299,"Come on, you, baldy."
300,300,"Come on. Come on, move."
301,301,"All right, put it on the bar."
302,302, What are you pullin' on me for?
303,303, Get it on the bar.
304,304,Get the hell in there.
305,305,Put your hands on your head.
306,306,All of it.
307,307,"Smartass, you dropped something."
308,308,Pick it up.
309,309,You want that hand broken?
310,310,Get it up there.
311,311,What else you got here?
312,312,Turn around.
313,313,You're under arrest. That goes for you too.
314,314,Get in that phone booth.
315,315,"Come on, move. Move!"
316,316, Keep 'em up. Keep 'em up. That's good.
317,317, Get in there.
318,318,"All right, face the wall, put your hands against the wall and lock yourself in."
319,319,"Hey, you, haircut."
320,320, Where are you going?
321,321," You talkin' to me, baby?"
322,322,"Yeah, I'm talking to you."
323,323,Come here. Get out of there.
324,324, Move.
325,325," What's happening, baby?"
326,326, Where you been?
327,327, I've been in there.
328,328, Can you stand a toss?
329,329, Sure. I'm clean.
330,330, You use shit?
331,331," No, man."
332,332,"Oh, man, who are you, Dick Tracy or somebody? I said I was clean."
333,333," I'm not gonna get stuck, am I?"
334,334, No. I said I'm clean.
335,335," If I do, you know what happens, don't you?"
336,336, Yeah. I said I'm clean.
337,337,"Motherfucker, don't..."
338,338,I'll break your motherfuckin' ass.
339,339,Fuck you.
340,340,"Oh, yeah, in where?"
341,341, Gimme a nickel.
342,342," Come on, man."
343,343,Gimme a nickel.
344,344,Come on. Come on!
345,345,I told you I'm clean. Why the fuck you wanna come down on me like that for?
346,346, Get your ass in there.
347,347," Oh, man, would you..."
348,348,This ain't nothin' but goddamn bullshit.
349,349, How's everything?
350,350," Everything's everything, baby."
351,351,"Hey, how come there's nothin' out there?"
352,352,That stuff's all milk.
353,353,Ain't nothin' around.
354,354,Nobody's holding.
355,355, I got a name for you. Sal Boca. Brooklyn.
356,356, Boca?
357,357,Yeah. BOCA.
358,358, Never heard of him.
359,359," What about his wife, Angie?"
360,360,Doesn't register.
361,361, There's been some talk.
362,362, About what?
363,363,"A shipment... coming in this week, week after."
364,364,Everybody's gonna get well.
365,365," Well, who's bringing it?"
366,366, Who knows?
367,367,"Oh, shit."
368,368,Where do you want it?
369,369, Where do you want it?
370,370," Oh, shit."
371,371,This side.
372,372, Beat it.
373,373, Damn.
374,374,I'm gonna check on this address in the Bronx...
375,375,"and if they don't know you there, it's your ass."
376,376,I thought I told you to stand there.
377,377,Get that hair done before Saturday.
378,378,We're going now. Goodbye.
379,379,Move ass.
380,380,Tell everybody we'll be back in an hour.
381,381,"All that is great, but you belong in BedfordStuyvesant, not out there in Ridgewood."
382,382,"Why don't you detach us then, for Christ's sakes?"
383,383,Give us a shot at it.
384,384,At least till we find out if there's anything here or not.
385,385,"Everybody wants Weinstock, right? Well, maybe here's the lead we're looking for."
386,386,We deserve this.
387,387,You couldn't burn a threetime loser...
388,388,with this garbage you're bringing in here.
389,389,The man has done absolutely nothing.
390,390,"The first thing you know, you'll wind up in an entrapment rapthe both of you."
391,391,Brooklyn is loaded with guys...
392,392,"that own candy stores, two cars, and like to go to nightclubs."
393,393,"Yeah, but you put this little candy store hustler together..."
394,394,"with Joel Weinstock, and maybe we got a big score."
395,395,"Big score, my ass."
396,396,At best he's selling nickel and dime bags.
397,397,"I wouldn't be infringing on your coffee break, Simonson..."
398,398,if I thought it was a nickelanddimer.
399,399,"Your hunches have backfired before, Doyle."
400,400,Or have you forgotten about that already?
401,401,"Jesus Christ, Jimmy."
402,402,What's happened to you guys lately?
403,403,Every year you lead the Narcotics Bureau in arrests.
404,404,"What was it, over a hundred again last year?"
405,405,Terrific. But who?
406,406,What did you bring in?
407,407, A high school kid in short pants that had a twitch.
408,408," Oh, Christ."
409,409,You grab a bellhop because he's got three joints in his sock.
410,410,"Walt, we got the information there's no shit on the street, right?"
411,411,It's like a goddamn desert full of junkies out there.
412,412, Everybody waiting to get well.
413,413, Goddamn it.
414,414,This could be it.
415,415,This little candy store guy...
416,416,He's puttin' on a big show in a fancy nightclub with known narcotics connections.
417,417,They were all over him.
418,418,"And then, on our own, after working a whole day and night..."
419,419,"we tail him to Brooklyn, and we sat on him for practically a week."
420,420,"Now, who do we come up with?"
421,421,"Joel Weinstock, for Christ's sake."
422,422,"Now, you gotta let us have it."
423,423,Do you believe all this crap?
424,424,I go with my partner.
425,425, What'll it take?
426,426, A wire.
427,427, No. Two wires.
428,428, Two wires.
429,429,"One on the store, one on the house."
430,430,"You know I have to get a court order for a wiretap, don't you?"
431,431,But you'll try.
432,432,"We know you can do it, Walt."
433,433,Popeye.
434,434,You still pickin' your feet in Poughkeepsie?
435,435,"Mr. Devereaux, is this your first trip to New York?"
436,436,Yes. It's my first trip.
437,437,Why did you choose to come by ship?
438,438,The next several weeks will be very difficult for me...
439,439,and the middle of the ocean is the only place...
440,440,where the telephone isn't ringing all the time.
441,441,"Mr. Devereaux, do you agree with the recent survey finding..."
442,442,that showed that Mayor Lindsay was the sexiest man in the world?
443,443,To les femmes.
444,444,Here's the rest of the warrants. The court order's in there for the wiretaps.
445,445,Judge gave you 60 days on it.
446,446,Tell Doyle that Mulderig and Klein will sit in for the feds.
447,447,They'll make all the buys.
448,448,Make sure you keep 'em informed of everything that goes down.
449,449,"You know Doyle there, don't you, Bill?"
450,450,"Yeah, I know Popeye."
451,451, His brilliant hunches cost the life of a good cop.
452,452," Hey, look."
453,453,If this is the way you're comin' in on this...
454,454,why don't you stay home and save us all a lot of grief?
455,455, 'Cause that's my opinion.
456,456, Shove it up your ass.
457,457,Whatever.
458,458,"Bill, look. Please..."
459,459,Do me a favor. Give them a chance.
460,460,He came in here with a little basic information.
461,461,I know you worked with him before.
462,462,You had a little trouble.
463,463, But don't get off on the wrong foot?
464,464, I'm not getting off...
465,465," If you have any problems, come to me with 'em."
466,466, Just keep him off my back.
467,467, Just try and cool it with him.
468,468, I will.
469,469,"If you have any problems, come to me."
470,470,I'll handle him.
471,471, Do me a favor.
472,472," I'll be happy to work with him, believe me."
473,473,He's a good copbasically a good cop.
474,474, He's got good hunches every once in a while.
475,475," Fine, fine, fine."
476,476, Give him a chance.
477,477, Keep him off my back.
478,478,Florida's Mackel Brothers...
479,479,invite you to join the great escape.
480,480,"You can say goodbye to air pollution, commuting..."
481,481,"high prices, rising taxes and cold, depressing winters."
482,482,Mackel Brothers will show you the way to Florida...
483,483,"and fresh, clean air, warm and sunny yearround weather..."
484,484,and a home that you'll be proud to own.
485,485,Call Mackel Brothers right now for...
486,486,Popeye.
487,487,Popeye!
488,488, What?
489,489," It's me, Cloudy."
490,490,Open the door.
491,491,I can't.
492,492,"What do you mean, you can't?"
493,493,You all right?
494,494,"Yeah, I'm all right."
495,495,"Let yourself in, will you?"
496,496,What happened?
497,497,That crazy kid.
498,498,She locked me up with my own cuffs.
499,499,Where's the keys?
500,500,Over there.
501,501,Hi there.
502,502,Anybody hurt in this wreck?
503,503,Thought I told you to get plastic folders for this stuff.
504,504,Your scrapbook is like you a mess.
505,505,"Gimme my pants, will ya?"
506,506,Come on.
507,507, Did you get the warrants?
508,508, Yeah.
509,509,I also got two feds Mulderig and Klein.
510,510,What do we need those pricks for?
511,511,Because our department's got about 908 bucks to make buys...
512,512,"and they can get all they want from ""Uncle Sap."" Hello."
513,513,"These yours, darling?"
514,514,"Mike, take a look at this blue one with the tan, on the right."
515,515,You got an extra grand with you?
516,516,"A lot of this stuff is worth a grand, total."
517,517, I got it. I got it if I need it.
518,518, All right.
519,519, Keep it good and ready.
520,520," Did you look at the board, Mike?"
521,521,Thirty over here from the general.
522,522,"Okay, I got 30."
523,523," Can I get 35? Anyone, 35."
524,524, Thirtyfive here.
525,525, Thirtyfive over here. How about 38?
526,526," Yeah, right here."
527,527,Thirtyeight over here.
528,528,How about 40? Can I get 40?
529,529, Forty.
530,530, Forty over here. I got 40. Can I get 41?
531,531,Forty once. Forty twice.
532,532,Sold to the gentleman for $40.
533,533,"All right, we come now to the next number, 42399."
534,534,Rambler fourdoor sedan.
535,535, Do I hear $10?
536,536, Ten bucks.
537,537, I got $10 over here. Do I hear 12?
538,538, Twelve.
539,539, Twelve over here. Twelve. Can I get 14?
540,540, Fourteen.
541,541, Fourteen.
542,542, Fourteen over here. How about 16?
543,543, Can I hear 16? Sixteen?
544,544, Sixteen.
545,545, Eighteen dollars.
546,546, Eighteen over there. How about 20? Can I get 20?
547,547, Twenty.
548,548, Twenty dollars over here. How about 22? Twentytwo?
549,549, Twentytwo.
550,550, I got 22 over here. Can I get 24?
551,551, Twentyfour.
552,552, Twentyfour over here. How about 25?
553,553, Twentyfive.
554,554, Twentyfive. I got 25. Can I get 26? Can I get 26?
555,555,Twentyfive once. Twentyfive twice.
556,556,Sold to the gentleman for 25.
557,557,Every car sold here today...
558,558,Where are you?
559,559,Taking care of business.
560,560,"What do you mean, taking care of business?"
561,561,It's after midnight.
562,562,You know I had to meet some people tonight.
563,563,"Yeah, well, finish all your meeting people and get back here now."
564,564, And bring a pizza with you.
565,565, Where am I gonna get a pizza this time of night?
566,566,"Well, try, okay?"
567,567,"Hey, I don't know where I'm gonna find a pizza joint open."
568,568, Sal?
569,569, Yeah?
570,570,Don't forgetAnchovies.
571,571, Salvatore?
572,572," Oh, yes. Yeah, yeah."
573,573, Who is it?
574,574," Hello. Hello. Yeah, this is Sal."
575,575, How are you?
576,576, Sounds like a foreigner.
577,577,"You meet me Wednesday at the hotel, okay?"
578,578, Good. Great.
579,579, Sounds French.
580,580, Will I expect you?
581,581, Yeah. What time?
582,582, 12:00. Yes?
583,583, Yeah. Yes. Yeah.
584,584,Strictly small potatoes.
585,585,"Sure can pick 'em, Doyle."
586,586,Still wearing your gun on your ankle?
587,587,"You know, someone told me the reason why you do that..."
588,588,is when you meet a chick and you rub up against her...
589,589,she can't tell you're a cop.
590,590,"I said, ""That's bullshit."" It's gotta be a fastdraw gimmick or something."" Bill, why don't you knock it off?"
591,591,He's gettin' too far ahead.
592,592,You're gonna lose him.
593,593,"For Christ's sake, move the car?"
594,594, Jesus Christ!
595,595, Move it!
596,596,"Move it, will you, mac?"
597,597,Son of a...
598,598,What the hell is goin' on here?
599,599,"Come on, Cloudy, move."
600,600,"Klein, this is Cloudy."
601,601,Do you read me?
602,602,"Bill, for Bill, come in, for Christ's sakes."
603,603,This is Cloudy. Do you read me?
604,604,Listen. We lost him on the bridge.
605,605,Right. I got him.
606,606,He's heading north on East River Drive.
607,607,Excuse me. Excuse me.
608,608,You take Sal. I'll take the beard.
609,609,There goes Sal.
610,610,Do you want the red or the white?
611,611,What year?
612,612," Yes, sir."
613,613," Yeah, the guy who just walked in..."
614,614,What's his name?
615,615,Here.
616,616,I'm pretty sure that was the frog.
617,617,He made me too.
618,618,He lives on four. He went up to six.
619,619,He's cute. Real cute.
620,620,The other guy's a frog too.
621,621,He checked into the Edison.
622,622, Had a hooker sent up.
623,623, You could have collared him right there.
624,624, Who's on him?
625,625, Klein.
626,626, How 'bout Sal?
627,627, We put him to bed for the night.
628,628,"Why don't you do the same, Doyle?"
629,629,You look like shit.
630,630, Come on.
631,631, Look. My partner and I made this case.
632,632,You know? Originally.
633,633,We don't want any feds screwin' it up.
634,634,Case? So far you haven't showed me a damn thing.
635,635,"You keep shootin' your mouth off, I'm gonna knock you right in the middle of next week."
636,636, Get out  Knock it off.
637,637," Don't tell me to knock it off, goddamn it."
638,638, We don't need this.
639,639,"Now, cut it out, will ya?"
640,640,For Christ's sakes!
641,641,There's nothing going down.
