,Unnamed: 0,dialog
0,0,www.nxtgn.org Hvad vil du have?
1,1,Det er fra Kashmir.
2,2,Vil du have kål? Tag en aubergine.
3,3,"Fortæl mig, hvad du vil have."
4,4,"Af banen, af banen."
5,5,Ind til siden. Pas på.
6,6,Hassan. Hallo!
7,7,"Pas på, pas på."
8,8,Hallo! Du godeste!
9,9,Hassan! Kom så!
10,10,Jeg køber dem alle sammen!
11,11,Øjeblik. Værsgo!
12,12,Lad mig nu ...
13,13,Tal pænt. Jeg har allerede betalt.
14,14,"Tilbage, tilbage. Nej, nej."
15,15,Hvad hedder du?
16,16, Hassan Iqbal Kadam.
17,17,Fødselsdato?
18,18, Den 5. juli 1990.
19,19,Fødested?
20,20, Jeg blev født i Mumbai i Indien.
21,21,Hallo! De er solgt!
22,22,"Til drengen, der ved besked."
23,23,Profession?
24,24, Jeg er kok.
25,25,Mener du opvasker?
26,26," Nej, kok."
27,27,Min familie har drevet restauranter i Indien i mange år.
28,28,Min oldefar lavede mad til soldaterne under det britiske styre.
29,29,Men nu vil vi prøve lykken i Europa.
30,30,Mig og min familie.
31,31,Har du tænkt dig at arbejde som kok i Europa?
32,32,Ja.
33,33,Er du uddannet?
34,34, Ja.
35,35,Min mor har oplært mig.
36,36,Men intet på papir?
37,37,Kun madpakkepapir.
38,38,Det er samosa.
39,39,Nej tak.
40,40,Min skole var vores familierestaurant i Mumbai.
41,41,Slut med at lege.
42,42,Nu er det sengetid.
43,43,Hej.
44,44," Godnat, mor."
45,45,Og min mor var min lærer.
46,46,"Søpindsvin smager af livet, synes du ikke?"
47,47,Livet har sin egen smag ...
48,48,... som skjuler sig i dens skal.
49,49,"Det upolerede, smukke liv."
50,50,Jeg blev uddannet udi alle sanserne.
51,51,Men for at lave mad er man nødt til at dræbe.
52,52,Man skaber spøgelser.
53,53,Man laver mad for at skabe spøgelser.
54,54,"Ånder, der lever videre i hver eneste ingrediens."
55,55,Men jeg lærte først og fremmest at smage.
56,56,Kan du smage dem?
57,57,En aften sluttede min uddannelse.
58,58,Udmærket.
59,59," Tillykke med valget, hr. minister."
60,60,Mansur!
61,61, Se at komme væk!
62,62,Optøjerne er begyndt.
63,63,Hent børnene.
64,64,"Der blev afholdt et valg,   og der var en vinder og en taber."
65,65,Hassan! Vi bliver angrebet!
66,66, Se at komme væk!
67,67,Løb! Løb!
68,68, Du godeste.
69,69,Løb!
70,70,"Kom, far. Vi må væk!"
71,71,"Se at komme væk, Hassan! Skynd dig!"
72,72,Mukhtar!
73,73,Vi mistede alt.
74,74,Akhiya! Nej!
75,75, Mor!
76,76,Akhiya!
77,77, Mor!
78,78,Akhiya!
79,79, Mor!
80,80,Alt.
81,81,"Efter min mor døde, besluttede far at tage familien med til London."
82,82,Jeg forsøgte at fortsætte min uddannelse alene.
83,83,Vi fandt et hus ret tæt på Heathrow.
84,84,"Ja, vi er familien Kadam."
85,85,"Da vi flygtede fra Mumbai,   fik vi asyl i London."
86,86,Vi boede der i et år.
87,87,"Der er for koldt, så vi vil åbne en restaurant i Europa."
88,88,Hvor i Europa?
89,89, Et sted i Europa.
90,90,"Mahira, vi vil være sikre på,   at du ikke bliver bragt til Europa for at indgå et arrangeret ægteskab."
91,91,"Tro mig, der er intet i den her familie, der er arrangeret."
92,92,Hvorfor forlader du London?
93,93,I England havde grøntsagerne ingen ...
94,94,"De havde ingen sjæl, intet liv."
95,95,Forstår du?
96,96,Godt.
97,97,Måske finder vi det her.
98,98, Måske.
99,99,"Se, Mansur."
100,100, Hold op med at brokke dig.
101,101,Fik du fat i dem?
102,102, Tag en hver.
103,103,Og bedøm den fra et til ti.
104,104,Ingen salt.
105,105,De er meget store.
106,106,Dejlig.
107,107,Den får otte.
108,108, Min smager af sure tæer.
109,109,Jeg har lært det i skolen.
110,110,Det er ikke det samme land.
111,111,"Det summer i mine ører, far."
112,112,Det er en god ide.
113,113,"Så kan Schweiz være forretten, og Frankrig hovedretten."
114,114,Hvad er så desserten?
115,115,Godt spørgsmål.
116,116,"Sæt farten ned, far!"
117,117, Det kan jeg ikke.
118,118,Sæt farten ned!
119,119, Det kan jeg ikke!
120,120,Sæt farten ned!
121,121, Bremsen er i bund!
122,122,Gør noget!
123,123, Bremserne svigter!
124,124,Der kommer en traktor!
125,125, Far!
126,126,Åh nej!
127,127,Er alle uskadte? Mukhtar? Aisha?
128,128, Jeg er okay.
129,129,"Jeg er ikke mekaniker, men jeg tror, det er noget med bremserne."
130,130,Kom så.
131,131,Kom.
132,132,"Kom så, far!"
133,133,Er alt i orden?
134,134,"Jeg kan ikke klare det mere, far."
135,135,Er du ude på at slå os alle sammen ihjel?
