,Unnamed: 0,dialog
0,0,Subtitles by explosiveskull I got him.
1,1,"Please, let go!"
2,2,Please!
3,3,Please!
4,4,"Please, please, please, please don't do this."
5,5,Please!
6,6,No!
7,7,"Please, don't!"
8,8,"No, no, please (screams)."
9,9,"No, no!"
10,10,"The gray wolf is a rare sight to see in the wild, their numbers are decreasing, but it is still one of the most elegant predators in the world."
11,11,"As a predator, the gray wolf is known for its unmatched ferocity."
12,12,"In seconds, the wolf can go from a calm state to a vicious beast, it won't rest until it's overcome its opponent."
13,13,"How you doin', bud?"
14,14,(breathes heavily) Like a million bucks.
15,15,Where's Mom and Reese?
16,16,"They went home a few hours ago, they wanted to be here when you woke up, but Mom had an appointment this morning."
17,17,"Morning, Kyle."
18,18,Glad to see you're awake.
19,19,"How's he doing, doc?"
20,20,"Well, let's find out."
21,21,Everything's as we expected.
22,22,So how long do I have to be in here?
23,23,"We still have to run a few tests, so we'll have to wait and see."
24,24,"I'm sorry, I wish I had better news to give you."
25,25,"(sighs) Yeah, me too."
26,26,I wanna get out of here for a while.
27,27,"Kyle, are you gonna be okay?"
28,28,"I'll be all right, tell everyone I was okay."
29,29,I'll walk you out.
30,30,I take it you got my message?
31,31,Yeah.
32,32,Your wife?
33,33,I thought it best that I knew what was going on before I told her.
34,34,All right.
35,35,"We've been able to make some progress, but it's still getting worse."
36,36,What are our options?
37,37,(sighs) That's what I wanted to talk to you and your wife about.
38,38,Kyle is past the point of traditional treatments.
39,39,"There is, however, an experimental drug we can try."
40,40,So what's the catch?
41,41,Your insurance.
42,42,Insurance?
43,43,They're gonna cover this.
44,44,I'm sorry.
45,45,You're gonna tell me where you got this right now.
46,46,"Mom, don't worry about it."
47,47,What's going on?
48,48,Look at what I found in Reese's room.
49,49,"Reese, you tell me where you got this right now."
50,50,"I, I've been saving it up."
51,51,Don't lie to me.
52,52,"You stole it, didn't you?"
53,53,"No, Mom, I didn't steal it."
54,54,Then how did you get this much money?
55,55,"Don't look at your dad for help, just answer the question."
56,56,"Kate, I gave him the money, okay?"
57,57,What?
58,58,He said he needed it.
59,59,I gave it to him.
60,60,"You really don't take anything seriously, do you?"
61,61,"Oh, look, Kate."
62,62,"I'm sorry, Dad."
63,63,You can take the money back.
64,64,"No, that's okay, you're keeping that money."
65,65,Kate.
66,66,Kate.
67,67,"Look, I know I should've (Kate sighs) told you about the money."
68,68,You shouldn't have gave it to him in the first place.
69,69,"Dean, what were you thinking?"
70,70,That our son deserves to have a little extra.
71,71,You know we never do.
72,72,I had a little extra cash.
73,73,"No, he wanted it, he didn't need it."
74,74,Do you have any idea what he's gonna spend that much money on?
75,75,No.
76,76,"Kyle is in the hospital, we can barely afford to put food on our table, and you just give away money like that?"
77,77,I had a little extra.
78,78,There is no such thing as extra for us right now.
79,79,You can't give away money that we don't have.
80,80,"If you do have extra money, that goes to stuff we need around here."
81,81,You're gonna take it all back.
82,82,Why are you being such a...
83,83,"What, a bitch?"
84,84,I didn't say that.
85,85,"Well, I am a bitch."
86,86,"And let me tell you something, I have to be a bitch to keep this family together."
87,87,"You think I wanted to raise my kids this way, having to fight and scrounge for every last dollar?"
88,88,"And in the face of it all we can be thrown out on the street, I find out my husband isn't supporting me or this family."
89,89,I'm doing the best I can to support us!
90,90,Clearly you're doing the best you can!
91,91,You know this is gonna crush him.
92,92,I know.
93,93,I didn't say he didn't deserve it.
94,94,We just cannot afford it right now.
95,95,We're still a couple hundred dollars short this month.
96,96,"If you give me that, you can get him whatever you want."
97,97,Reese.
98,98,I'm gonna have to hold on to that money.
99,99,Knew Mom would screw this up!
100,100,Reese!
101,101,Come out!
102,102,How's it goin' man?
103,103,So what you got for me?
104,104,So I have a helmet.
105,105,All right.
106,106,Let's check it out.
107,107,"Yeah, it's in good condition, I mean."
108,108,Yeah.
109,109,I'll give you 150 for it.
110,110,Really?
111,111,Yeah.
112,112,This is an authentic army helmet.
113,113,"Yeah, where'd you get it?"
114,114,It was my brother's.
115,115,"Okay, did he ever make it overseas?"
116,116,They all go overseas at some point.
117,117,"Yeah, did he make it back?"
118,118,I need $300 for the helmet.
119,119,"Yeah, uh, listen man, do you know of any army surplus stores around here?"
120,120,No.
121,121,"All right then, that makes the buyer's market, I'm the buyer, I'm saying you're only gettin' 150 for this."
122,122,"All right, Dean, Charlie's on vacation this week, so I want you to work the game tonight."
123,123,"Now they've got the entire service themselves, you know the rules, don't speak unless spoken to, and don't make eye contact."
124,124,You got it?
125,125,"You better, Dean."
126,126,"I shouldn't have to tell you this, but if you screw up out there, you're gone."
127,127,"So, I'm at the office today, fired us some prick."
128,128,He's not going down without a fight.
129,129,Nice.
130,130,"So did he scream, or just yell?"
131,131,"No, he was kinda weird about it."
132,132,"I called him into the office, break the news, and he's just standing there, not saying a damn thing, like a statue."
133,133,So what you do next?
134,134,"Well, the guy goes the leave and he turns to me and asks me how I sleep at night."
135,135,"I said, look, I'm runnin' a business here, I'm not a charity."
136,136,"I bet he didn't like that, did he?"
137,137,"No, (chuckles), he didn't."
138,138,"So I said, look, you did a good job here, but the economy is not what it used to be."
139,139,"Then he has the nerve to talk to me about how much I'm makin', in my own damn (chuckles) company."
140,140,"I give him a little bit of free advice, I said, look, nobody's gonna take care you but yourself, it don't matter if you're making a mil a year or six bucks an hour."
141,141,Gotta do what you gotta do to survive.
142,142,"Have a good night, Dean."
143,143,Price is 200.
144,144,I just sold this to you for 150 earlier today.
145,145,"Yeah, you sold it to me, you didn't pawn it, and that means that I say the price to get it back is 200."
146,146,"This is the last thing I have of my brother's, he died in Iraq, 2008."
147,147,It's touching.
148,148,Price is still 200.
149,149,Fine.
150,150,Keep it.
151,151,"Reese, Reese."
152,152," (calm sad piano music)  Yeah, Dad?"
153,153,"Hey, bud."
154,154,Got this back for ya.
155,155,But what about Mom?
156,156,Just don't let her catch you.
157,157,Okay.
158,158,Okay?
159,159,"You know she loves you, right?"
160,160,I know.
161,161,Okay.
162,162,Sleep tight.
163,163,Hey.
164,164,Got some money.
165,165,"Yeah, I'll just leave it over to my window."
166,166,Cool.
167,167,Where'd you get all this money?
168,168,Work.
169,169,How'd you get this much from work?
170,170,You really wanna fight about something else?
171,171,"No, I don't wanna fight at all, I just, I just wanna know what we're doing here."
172,172,Taking it day by day.
173,173,Like we always have.
174,174,"You can see where that's gotten us, Dean."
175,175,I don't want our kids to grow up in trailers for the rest of their lives.
176,176,"Look, I don't want our kids to grow up in trailers either, but I'm doing the best I can."
177,177,Are you?
178,178,Are you really doing the best you can?
179,179,Well what exactly is it that you've been doing?
180,180,What?
181,181,Do you think there's jobs out there that'll pay good money for a guy like me?
