,Unnamed: 0,dialog
0,0,"""It Was a Pleasure Sharing"" ...by Synchronized, Enjoy!"
1,1,"I have today ordered to Vietnam the Airmobile Division and certain other forces which will raise our fighting strength from 75,000 to 125,000 men almost immediately."
2,2,"This will make it necessary to increase our active fighting forces by raising the monthly draft call from 17,000 to 35,000."
3,3,December 30th.
4,4,All those whose birthday falls on December 30th.
5,5,"President Johnson announced new monthly draft totals increasing to 35,000 per month."
6,6," 43,000 per monthâ¦  51,000â¦ of 18 and 24 have been called to duty."
7,7,Now it should be incandescently clear that no one who has any concern for the integrity and life of America today can ignore the present war.
8,8,"If America's soul becomes totally poisoned, part of the autopsy must read, ""Vietnam."" What we need in the United States is not hatred, but is love and wisdom."
9,9,"So I ask you tonight to return home, to say a prayer for the family of Martin Luther King."
10,10,August 24th.
11,11,"All those whose birthday fallsâ¦ Another 30,000 troops have been deployed to the region."
12,12,"This, after the US saw its greatest increase in monthly casualties."
13,13,What we saw were population centers.
14,14,"Schoolhouses, pagodas, women and children."
15,15,And that's American napalm.
16,16,Women and children were burned alive. Tom?
17,17,The Democratic Party is gonna end up nominating Hubert Humphrey next month in Chicago.
18,18,"Now, when it comes to the war and social justice, there is simply not enough of a difference between Humphrey and Nixon to make a difference."
19,19,"And so, we're going to Chicago."
20,20,"Young people, by busloads, will go to Chicago to show our solidarity and our disgust."
21,21,But most importantlyâ¦ To get laid by someone you just met.
22,22,none of these bumpersticker patriots in Washington could find on a map with a motherfuckin' map!
23,23,We're goin' to Chicago.
24,24,"Anyone who stays in the park, sings Woody Guthrie, they'll be fine."
25,25,"But the cops are gonna be a halfinch from losin' their fuckin' minds, 'cause Daley's gonna wind 'em up to make sure of it."
26,26,We're goin' to Chicago peacefully.
27,27,We're goin' peacefully.
28,28,"But if we're met there with violence, you better believe that we're gonna meet that violence withâ¦ Nonviolence. Always nonviolence, and that's without exception."
29,29, What if the police hit you?
30,30, Why would the police hit me?
31,31, What if they do?
32,32, I'll duck.
33,33,"David, he watches the news."
34,34,I've organized 100 protests.
35,35,This one will be no different in that it almost certainly won't work.
36,36,The police are...
37,37,I'm not worried about them.
38,38,I'm worried about Hoffman and Rubin.
39,39,"It's the Democratic National Convention, honey."
40,40,"Every camera in America is gonna be pointed at it, and Daley is not gonna let his city turn into a theater of war."
41,41,Hoffman and Rubin are geniuses in their own special way.
42,42," Oh, dear God."
43,43, He's got a Boy Scout meeting at 7:00.
44,44,"Dad, if the police..."
45,45,"If the police try to arrest me, I'll do what I always do and what I taught you to do, which is what?"
46,46,Very calmly and very politelyâ¦ Fuck the motherfuckers up!
47,47,They leave us alone and everything's cool.
48,48,"They tangle, disrupt, intimidate, play fast and loose with the First Amendment, start breaking heads, then we will not be on our way."
49,49,You can't give this speech in Chicago.
50,50, Fred wants me there. Plane ticket.
51,51, Let Fred give the speech.
52,52,"Between Hayden and Hoffman, there could be 5,000 people."
53,53,"Be nice to talk to 5,000 people."
54,54,Not while you're in trouble in Connecticut.
55,55,"I'm the head of the Black Panthers, Sondra."
56,56,When won't I be in trouble? Travel bag.
57,57,"You'll be in a lot more of it if you stand up and say, ""Fry the pigs."" If they attack. Takin' it out of context."
58,58,So will every white person in America.
59,59,Cops won't give a shit about context.
60,60,You don't have protection in Chicago.
61,61,There's no place to be but in it.
62,62," But ""fry the pigs""?"
63,63, If they attack...
64,64, Dr. King...
65,65, Is dead.
66,66,He has a dream?
67,67,Now he has a fuckin' bullet in his head.
68,68,"Martin's dead, Malcolm's dead, Medgar's dead, Bobby's dead, Jesus is dead."
69,69,"They tried it peacefully, we gonna try something else."
70,70,"Sondra, I'll be there for four hours."
71,71,That's it.
72,72,Snack.
73,73,You'll at least take one of these?
74,74,"If I knew how to use that, I wouldn't need to be making speeches."
75,75,It's named after the Russian commissar Vyacheslav Mikhailovich Molotov.
76,76,You start with a glass bottle.
77,77,"You fill it up halfway with gasoline and motor oilâ¦ You pack some Styrofoam, and now your cherry bomb."
78,78,Some chewing gum around the topâ¦ â¦and a fuse.
79,79,Now!
80,80,"The 35th National Democratic Convention is set to begin next week with repeated assurances from Chicago Mayor, Richard J. Daley."
81,81," Will it be a good convention, Mr. Mayor?"
82,82, The best ever held.
83,83, Is that Jerry?
84,84, Yeah.
85,85,Tell him to tell Abbie we're going to Chicago to end the war and not to fuck around.
86,86,Tom says to tell Abbie that we're going to Chicago to end the war and not to fuck around.
87,87,Hayden says we're goin' to Chicago to end the war and not to fuck around.
88,88,Tell Hayden I went to Brandeis and I can do both.
89,89,"We're going to show that we, as a generation, are serious people."
90,90,"People say, ""Abbie, are you concerned about an overreaction from the cops?"" I issued a police order to shoot to kill any arsonists."
91,91,We're not concerned about it.
92,92,"Four units of the Illinois National Guard, totaling 5,000 troops, have been sent to Chicago."
93,93,We're countin' on it!
94,94,"We wanna underscore again that we're coming to Chicago peacefully, but whether we're given permits or not, we're coming."
95,95,"An additional 10,000 Chicago police officers, including riot squadsâ¦ We're not going to storm the convention with tanks or mace, but we are going to storm the hearts and minds of the American people."
96,96,These people are revolutionaries bent on the destruction of the government of the United States of America.
97,97,The Democratic Convention is about to begin in a police state.
98,98,There just doesn't seem to be any other way to say it.
99,99,You've arrived at a moment in history.
100,100, Pardon?
101,101, They're changing the picture.
102,102, Tom.
103,103, Howard.
104,104, Flew in all right?
105,105, Sure.
106,106, Richard Schultz?
107,107," Yes, sir."
108,108,"Howard Ackerman, Special Advisor to the Attorney General."
109,109, Pleased to meet you.
110,110, Anyone tell you what this is about?
111,111,"No, sir. Just to meet Mr. Foran at O'Hare this morning, we'd fly to Washington."
112,112, We'd be meeting Mr. Mitchell.
113,113, Good.
114,114,Finally changing that goddamn picture.
115,115,Come on in.
116,116,"As a matter of courtesy and tradition, when we elect a new president, the outgoing cabinet members resign to spare the new president the unpleasantness of firing 'em."
117,117,"Richard, do you know when President Nixon received Ramsey Clark's formal letter of resignation?"
118,118," No, sir."
119,119, About an hour before my confirmation.
120,120,That was to embarrass me.
121,121,"I don't know, I think it was more embarrassing for Ramsey Clark."
122,122,I'm John Mitchell.
123,123,"Thomas Foran, Mr. Attorney General, and this is Richard Schultz."
124,124,"Richard, Chicago is more fucked up than any ten things I've ever seen in my life."
125,125, Sir?
126,126," The convention, the riots."
127,127," Yes, sir."
128,128, Sit.
129,129, Johnnie Walker okay with everybody?
130,130," Yes, thank you."
131,131, Richard?
132,132," Nothing for me, thank you."
133,133,We don't know how Humphrey's people could have been that stupid.
134,134,Allow their guy to be nominated under armed guard.
135,135, Sir?
136,136," Son, are you nervous?"
137,137," No, sir."
138,138, Why the fuck not?
139,139,I'm kidding. Don't believe everything you've heard about me.
140,140,Ramsey Clark gave me the finger on the way out the door.
