,Unnamed: 0,dialog
0,0,"Subtitles by <font color""ff0000"">explosiveskull</font> Resync by <font color""00ffff"">GoldenBeard</font> You Red Welby?"
1,1,"Yes, ma'am."
2,2,How may I help you?
3,3,Are you in charge of renting the three billboards out on Drinkwater Road?
4,4,I didn't know we had any billboards on...
5,5,Where is Drinkwater Road?
6,6,Past Sizemore turnoff.
7,7,Nobody uses it since the freeway got put in.
8,8,You're right.
9,9,We got three billboards out there.
10,10,Nobody's put nothing up there since 1986.
11,11,That was Huggies.
12,12,How much to rent all three of them out for the year?
13,13,A year?
14,14,On a road that no one goes down unless they got lost or they're retards...
15,15,For a year?
16,16,"Quick, ain't you, Welby?"
17,17,"Well, since what I say goes these days down at the Ebbing Advertising Desk..."
18,18,I'm gonna strike you a real good deal.
19,19,What's your name?
20,20,What's the law on what you can and cannot say on a billboard?
21,21,"Nothing defamatory, and you can't say ""fuck"", ""piss"" or ""cunt"". That right?"
22,22,Uh...
23,23,Or...
24,24,Anus.
25,25,"Well, I think I'll be all right then."
26,26,"Here's 5,000 for the first month."
27,27,I assume that'll cover it.
28,28,And here's what they are to say.
29,29,Why don't you write up a contract betwixt us while you're at it.
30,30,Make sure nobody rents them billboards out from under me.
31,31,I guess you're Angela Hayes's mother.
32,32,That's right.
33,33,I'm Angela Hayes's mother.
34,34,Name's Mildred.
35,35,How long before you get them put up?
36,36,Shall we say by...
37,37,Easter Sunday?
38,38,That would be perfect.
39,39,"âª As I was walking down the streets of Laredo âª âª As I walked down to Laredo one day âª âª I spied a young cowboy all wrapped in white linen âª âª All wrapped in white linen and cold as the clay âª Hey, what the hell is this?"
40,40,Que?
41,41,"""How come, Chief Willoughby"" what?"
42,42, What?
43,43, Yeah.
44,44,Huh?
45,45,"""How come"" what?"
46,46," What, what?"
47,47, What?
48,48,"Listen, you fucking beaner, I'd better start getting some straight answers."
49,49,Put that down.
50,50,What the hell is this?
51,51,"Hey, you."
52,52,What the fuck is this?
53,53,What the fuck is what?
54,54,This! This.
55,55,"Advertising, I guess."
56,56,Advertising what?
57,57,Something obscure?
58,58,I'll say. Yeah.
59,59,Don't I know your face from some place?
60,60,"I don't know, do you?"
61,61,"Yeah. Yeah, I do."
62,62,I could arrest you right now...
63,63,For what?
64,64,For emptying your bucket.
65,65,That's being bad against the environment laws.
66,66,"Well, before you do that, Officer Dixon, how about you have a look at that first billboard over there?"
67,67,And then we can have ourself a conversation about the motherfucking environment.
68,68,How about that?
69,69,Fuck me.
70,70,"Don't, William."
71,71,"Dixon, you goddamn asshole."
72,72,I'm in the middle of my goddamn Easter dinner.
73,73,"Sorry, kids."
74,74,"I know, Chief, and I'm sorry for calling you at home and all, but..."
75,75,I think we got kind of a problem.
76,76,"No, no. Go back."
77,77,"Sorry I'm late, Denise."
78,78,Did you put up those billboards yet?
79,79,They're up.
80,80,"Go, girl. You go fuck those cops up."
81,81,"What the fuck do you think you're doing, Welby?"
82,82,You didn't think there would be legal ramifications?
83,83,"What's the legal ramifications, Cedric?"
84,84,Do you want me to explain?
85,85,Little punk like you.
86,86,And don't call me Cedric!
87,87,Ain't contravening no laws on any fucking thing.
88,88,I checked.
89,89,And where did you check all this out?
90,90,In a...
91,91,A book.
92,92,"Which book, genius?"
93,93,"Book called Suck My Ass, It's None Of Your Business."
94,94,Fuck.
95,95,"How long has this person, or persons, rented these billboards out for?"
96,96,"Oh, the year."
97,97,How long has she actually paid for?
98,98,The year.
99,99,"So it's a ""she"", is it?"
100,100,"I ain't at liberty to divulge that kind of information, Chief."
101,101,"Mildred Hayes, perhaps?"
102,102,"Ain't at liberty to divulge that kind of information, Chief."
103,103,"Do you really wanna fuck with the Ebbing Police Department, Red?"
104,104,Do you?
105,105,I guess.
106,106,He said what?
107,107,To your face?
108,108,No crime has been committed here.
109,109,Defamation of character ain't a crime?
110,110,Not if she's simply asking a question.
111,111,"What are you, an idiot?"
112,112,"Don't call me an idiot, Dixon!"
113,113,"I didn't call you an idiot, I asked if you was an idiot."
114,114,That was a question.
115,115,"He got you there, Cedric."
116,116,That's it.
117,117,Don't fly off the handle.
118,118,Why in the hell you keep that man on?
119,119,He's a good man at heart.
120,120,"He tortured a guy in custody, Bill."
121,121,There was no real evidence to support that.
122,122,Take them down.
123,123,Take that shit down.
124,124,What shit?
125,125,"Hey, boy. Think I wouldn't take you out right here on Main Street, Red?"
126,126,"Thought you only took out black dudes, Dixon."
127,127,No! No! Stop it.
128,128,"You ever fucking touch me, motherfucker..."
129,129,You drunk?
130,130, Are you drunk right now?
131,131, Get up.
132,132,Nobody ever goes down that road anyways.
133,133,Unless they got lost.
134,134,Or they're retards.
135,135,"Don't be nervous, is the main thing."
136,136,It will go just fine.
137,137,"Don't look into the camera, obviously."
138,138,Let's hold for this car.
139,139,"In three, two, one."
140,140,"So, Mildred Hayes, why did you put up these billboards?"
141,141,"My daughter, Angela, was abducted, raped and murdered seven months ago along this selfsame stretch of road."
142,142,"What you watching, Momma? Stupid news?"
143,143,Seems to me the local police department is too busy torturing black folks to be bothered doing anything about solving actual crime.
144,144,I thought these billboards might concentrate their minds some.
145,145,Fuck.
146,146,I don't know what the police are doing.
147,147,I do know that my...
148,148,...daughter's burnt body is lying six feet underground.
