,Unnamed: 0,dialog
0,0,for 30 years of service for my company?
1,1,And they send some yoyo like you in here to try to tell me that I'm out of a job?
2,2,They should be telling you you're out of a job.
3,3,You have a lot of gall coming in here and firing your number one producer.
4,4,"And then you're going to go home tomorrow and make more money than you've ever made in your life, and I'm going to go home without a pay check. Fuck you."
5,5,I just...
6,6,I guess you leave me dumbfounded.
7,7,I don't know where this is coming from.
8,8,How am I supposed to go back as a man and explain this to my wife that I lost my job?
9,9,"On a stress level, I've heard that losing your job is like a death in the family."
10,10,"But personally, I feel more like the people I worked with were my family and I died."
11,11,I can't afford to be unemployed.
12,12,I have a house payment. I have children.
13,13,"I don't know how you can live with yourself, but I'm sure that you'll find a way while the rest of us are suffering."
14,14,"Who the fuck are you, man?"
15,15,Excellent question. Who the fuck am I?
16,16,Poor Steve has worked here for seven years.
17,17,He's never had a meeting with me before or passed me in the hall or told me a story in the break room.
18,18,And that's because I don't work here.
19,19,"I work for another company that lends me out to pussies like Steve's boss who don't have the balls to sack their own employees, and in some cases, for good reason."
20,20,Because people do crazy shit when they get fired.
21,21,Did I do something wrong?
22,22,"I mean, is there something I could do differently here?"
23,23,This is not an assessment of your productivity.
24,24,You gotta try not to take this personally.
25,25,"""Don't take it personally."" Steven, I want you to review this packet."
26,26,Take it seriously. I think you're gonna find a lot of good answers in here.
27,27,"I'm sure this is gonna be very helpful, a packet."
28,28,Thank you. A packet.
29,29,"Well, anybody who ever built an empire or changed the world sat where you are right now."
30,30,And it's because they sat there they were able to do it.
31,31,That's the truth.
32,32,I'm gonna need your keycard.
33,33,Great. Okay.
34,34,"Now, I want you to take the day, go get together your personal things, and then tomorrow, you get yourself some exercise."
35,35,"You go out for a jog, you give yourself some routines, and pretty soon you find your legs."
36,36,How do I get in touch with you?
37,37,"Don't worry, we'll be in touch with you soon."
38,38,This is just the beginning.
39,39,I'll never see Steve again.
40,40,Thank you.
41,41,To know me is to fly with me.
42,42,This is where I live.
43,43,"When I run my card, the system automatically prompts the desk clerk to greet me with this exact statement."
44,44,"Pleasure to see you again, Mr. Bingham."
45,45,"It's these kinds of systemized, friendly touches that keep my world in orbit."
46,46,"All the things you probably hate about traveling, the recycled air, the artificial lighting, the digital juice dispensers, the cheap sushi, are warm reminders that I'm home."
47,47,Do you want the cancer?
48,48, The what?
49,49, Do you want the cancer?
50,50,The cancer?
51,51,"The can, sir?"
52,52,"No. I'm fine, thank you."
53,53,How much does your life weigh?
54,54,Imagine for a second that you're carrying a backpack.
55,55,I want you to feel the straps on your shoulders.
56,56,Feel them?
57,57,Now I want you to pack it with all the stuff that you have in your life.
58,58,"You start with the little things, the things on shelves and in drawers, the knickknacks, the collectibles."
59,59,Feel the weight as that adds up.
60,60,"Then you start adding larger stuff, clothes, tabletop appliances, lamps, linens, your TV."
61,61,The backpack should be getting pretty heavy now.
62,62,And you go bigger.
63,63,"Your couch, bed, your kitchen table."
64,64,Stuff it all in there.
65,65,"Your car, get it in there."
66,66,"Your home, whether it's a studio apartment or a twobedroom house, I want you to stuff it all into that backpack."
67,67,Now try to walk.
68,68,"It's kind of hard, isn't it?"
69,69,This is what we do to ourselves on a daily basis.
70,70,We weigh ourselves down until we can't even move.
71,71,"And make no mistake, moving is living."
72,72,"Now, I'm gonna set that backpack on fire."
73,73,What do you want to take out of it?
74,74,Photos?
75,75,Photos are for people who can't remember.
76,76,Drink some ginkgo and let the photos burn.
77,77,"In fact, let everything burn and imagine waking up tomorrow with nothing."
78,78,"It's kind of exhilarating, isn't it?"
79,79,"Welcome back, Mr. Bingham."
80,80,Ryan Bingham's office.
81,81,You put me in a Dodge Stratus in Kansas City.
82,82,They were completely out of all fullsize sedans.
83,83, Did you try...
84,84, Yes.
85,85,I reminded them of your remarkable No.1 Gold Club status and years in the program.
86,86,They are literally moving mountains to see you in a Sebring.
87,87,Fair enough. Any other messages?
88,88,Your sister Kara called.
89,89,Needs to speak urgently about your sister's wedding.
90,90,I told her you were midair and not even I knew your final destination.
91,91, Well done.
92,92, And you got an invitation to speak at Goalquest in Vegas.
93,93,Goalquest 20?
94,94,"Every once in a while, I do speaking engagements, motivational kind of stuff."
95,95,But Goalquest?
96,96,We're talking major Tony Robbins shit.
97,97,It's got a hologram on it.
98,98,They're calling it Dos Equis.
99,99,"All right, I'll check in."
100,100, Hold on. I've got Craig Gregory for you.
101,101, Wait...
102,102,Fuck.
103,103,How is my little road warrior?
104,104,"Hey, 20 minutes from boarding into a world of bliss."
105,105,"Real good numbers out of Phoenix, Ry guy."
106,106,"Hey, you know that Big Auto is about to cut another 10K before the end of the month?"
107,107, No kidding.
108,108, Yeah. Christmas came early.
109,109,"I wish I could have you in about five places at once, but I do need you back here in Omaha by the end of week."
110,110, All right?
111,111, I thought you needed me everywhere.
112,112,"Well, you know, we got something real big here, a real game changer."
113,113,What are we talking about here?
114,114,"You'll see. Today I took my first crap in two weeks, hallelujah."
115,115, That's me hanging up on you.
116,116," Great, love that sound."
117,117,Are you satisfied with Maestro?
118,118,"Yeah, I am."
119,119,A little stingy with their miles.
120,120,I like Hertz.
121,121,"No, Hertz keeps its vehicles too long."
122,122,"If a car has over 20,000 miles, I won't drive it."
123,123,Maestro doesn't instant checkout.
124,124,I like to park and go.
125,125,Hertz doesn't guarantee navigation.
126,126,It's funny. You don't seem like a girl who needs directions.
127,127,I hate asking for directions.
128,128,That's why I get a nav.
129,129,"That new outfit, Colonial, isn't bad."
130,130, Is that a joke?
131,131, Yes.
132,132, Because their kiosk placement blows.
133,133, They never have available upgrades.
134,134,"Basically, it's a fleet of shitboxes."
135,135,I don't know how they're still in business.
136,136, I'm Ryan.
137,137, I'm Alex.
138,138,Maplewood card.
139,139,How dare you bring that into this palace?
140,140,"Hilton offers equal value and better food, but the Maplewood gives out warm cookies at checkin."
141,141,"They got you with the cookies, did they?"
142,142,Yeah. I'm a sucker for simulated hospitality.
143,143,"You know, there's an industry term for that."
144,144,"It's a mixture of ""faux"" and ""homey."" ""Faumey."" Oh, my God."
145,145,I wasn't sure this actually existed.
146,146,This is the American Airlines...
147,147,"It's a Concierge Key, yeah."
148,148," What is that, carbon fiber?"
149,149, Graphite.
150,150,"Oh, God, I love the weight."
151,151,I was pretty excited the day that bad boy came in.
152,152,Yeah. I'll say.
153,153,I put up pretty pedestrian numbers.
154,154,"Sixty thou a year, domestic."
155,155, That's not bad.
156,156, Don't patronize me.
157,157, What's your total?
158,158, It's a personal question.
159,159," Oh, please."
160,160, And we hardly know each other.
161,161,Come on. Show some hubris.
162,162,"Come on, impress me."
163,163, I bet it's huge.
164,164, You have no idea.
165,165,How big?
166,166,"What is it, this big?"
167,167, This big?
168,168, I don't want to brag.
169,169,Come on! Come on.
170,170,Let's just say I have a number in mind.
171,171,I haven't hit it yet.
172,172,This is pretty fucking sexy.
173,173,Hope it doesn't cheapen our relationship.
174,174,We're two people who get turned on by elite status.
175,175,I think cheap is our starting point.
176,176,There's nothing cheap about loyalty.
177,177,"So, we came up with this master plan, which was for me to put gauze, to put bandages on both my hands."
178,178,"Then we got on the plane, transatlantic, flying to Zürich."
179,179,"Walked up... Waited till it was dark, and walked up to the bathroom with her."
180,180,"Everybody was watching the movie, and I was like..."
181,181,"Opened up, went inside."
182,182,"She opened the door for me, and came in like she was gonna help me."
183,183,"And then, you know, we gave it our best shot. It wasn't great."
184,184,But it was fun. It was tricky.
185,185, Give me some details.
186,186," Well, it's not so easy."
187,187, Have you ever tried it? It's not so easy.
188,188," Yes, I have."
189,189, Really?
190,190, Really.
191,191, You've done that?
192,192, I have done that.
193,193,On a transatlantic flight?
194,194,"On a domestic flight. Regional, actually."
195,195, Like nighttime?
196,196," No, like daytime."
197,197, You...
198,198, What?
199,199,"I mean, how do you do that?"
200,200,I'm really flexible.
201,201,Look.
202,202,I should throw these out.
203,203,We can always use that room with the ice machine.
204,204,"Here, look."
205,205,Good call on that towel rack.
206,206,I like how you burritoed me in the sofa cushions.
207,207,I was improvising.
208,208,Shame we didn't make it to the closet.
209,209, We got to do this again.
210,210, Yeah.
211,211,"All right, I'm in Newark on the 12th, Modesto on the 13th, Oklahoma City on the 15th."
212,212,Any Southwest? I'll be swinging by Albuquerque week of the 16th.
213,213,"No, but I'll be in Florida on the 20th."
214,214, Fort Lauderdale?
215,215, Miami.
216,216, That's nothing.
217,217, Forty minutes.
218,218,I should probably go back to my room so I can wake up in my bed.
219,219,I think that would be the ladylike thing to do.
220,220,Nice meeting you.
221,221,A pleasure.
222,222, Hello?
223,223," Hey, Ryan, how you holding up?"
224,224,Every family has the one person who keeps the genealogy in check.
225,225,"That's my sister Kara, the glue."
226,226,Fine. You and the kids?
227,227,"Missy's outstanding, Matthew made varsity. How's the road?"
228,228, Couldn't be better.
229,229," Good. So, Ryan?"
230,230,Yeah?
231,231,"I didn't even want to have to ask you this because I know how you are about doing things for others, but we're coming up on three weeks to go to Julie's wedding and there's something we could really use your help on."
232,232,Yeah?
233,233,"We've been sending people these kits so they can print out photos of Julie and Jim on cardboard and then take photos of them in interesting places, kind of like that gnome in the French movie."
234,234,Why?
235,235,Because it's Julie's wedding and she thinks it would be fun.
236,236, Does it matter why?
237,237, How is Julie?
238,238,Would you call her?
239,239,She thinks you've turned to butter.
240,240,You're awfully isolated the way you live.
241,241,Isolated? I'm surrounded.
242,242,"So, your assistant said you were gonna be in Vegas."
243,243,Did he?
244,244,Can you get a photo of the cutout in front of the Luxor pyramid?
245,245,The place is a shithole.
246,246,Nobody stays there.
247,247,"Jesus, Ryan, I'm not asking you to check in."
248,248,Can you just take a stupid photo?
249,249,I'll try my best.
250,250,Thank you for trying your best.
251,251,"Last year, I spent 322 days on the road, which means I had to spend Hey, neighbor."
252,252,Hey. Hi!
253,253,"Hi. Hey, I signed for this while you were gone."
254,254,Thanks.
255,255, I hope it wasn't too much of a bother.
256,256, Nah.
257,257,Wow.
258,258,"Yeah, it's my sister. I haven't met the guy yet. They're getting married."
259,259, Lots of luck.
260,260," I know, right?"
261,261,What are you doing tonight?
262,262,You wanna come over later?
263,263,I've started seeing somebody.
264,264,Okay. Great.
265,265,"Hey, it's good to see you."
266,266," You, too."
267,267, It seems like it's been a while this time.
268,268,Okay.
269,269,I am just... I'm thrilled that everyone's back under one roof.
270,270,"Welcome home, boys."
271,271,"I know there's been a lot of whispering about why we're here, so let me jump right in."
272,272,Retailers are down 20%.
273,273,Auto industry is in the dump.
274,274,Housing market doesn't have a heartbeat.
275,275,It is one of the worst times on record for America.
276,276,This is our moment.
277,277,"Now, last summer, we received a dynamite young woman here from Cornell, and she had some pretty big ideas that she challenged me with."
278,278,"And my first reaction was, ""Who does this kid think that she is?"" But after I gave it a listen, she really knocked me out."
279,279,"So, with a peek into our future, Natalie Keener."
280,280,"If there's one word I want to leave you with today, it's this."
281,281,"""Glocal""?"
282,282,Glocal.
283,283,Our global must become local.
284,284,This company keeps 23 people on the road at least 250 days a year.
285,285,"It's expensive, and it's inefficient."
286,286,"When I came to Craig three months ago with this, he told me, and quite astutely, it's only a problem if you have a solution."
287,287,"Well, today I stand before you with just that."
288,288,You all know Ned in reception.
289,289,Today I'm gonna fire Ned.
290,290,"Sorry, Ned. I'm sure HR will hire you back this afternoon."
291,291,We'll see about that.
292,292,Now Ned could be any employee in any one of our clients' locations worldwide.
293,293,Strategy packets will be shipped in advance.
294,294,Ned would be given a seat and find one of our transition specialists waiting for him.
295,295,"Mr. Laskin, the reason we're having this conversation is your position is no longer available."
296,296,I don't understand. I'm fired?
297,297,"Hearing the words ""you've been let go"" is never easy."
298,298,"Change is always scary, but consider the following."
299,299,Anybody who ever built an empire or changed the world sat where you are now.
300,300,And it's because they sat there that they were able to do it.
301,301,That's my fucking line.
302,302,But what happens now?
303,303,This is the first step of a process that will end with you in a new job that fulfills you.
304,304,Yeah. But how does it work?
305,305,I want you to take the packet in front of you.
306,306,Review it. All the answers you're looking for are inside.
307,307,"Start filling out the necessary information, and before you know it, you'll be on your way to new opportunities."
308,308,"Now, Ned, I need you to go back to your desk and start putting together your things."
309,309,"As a favor to me, I'd appreciate it if you didn't spread the news just yet."
310,310,Panic doesn't help anyone.
311,311,I understand.
312,312,Give it up for Ned.
313,313,"You can start the morning in Boston, stop in Dallas over lunch, and finish the day in San Francisco, all for the price of a T1 line."
314,314,Our inflated travel budget is eviscerated by 85%.
315,315,"And more importantly to you guys on the road, no more Christmases in a hotel in Tulsa, no more hours lost to weather delays."
316,316,You get to come home.
317,317,Tell me you're not taking this seriously.
318,318,"That's why I brought the entire company in from the road, because we're not taking it seriously."
319,319,There is a methodology to what I do.
320,320,There is a reason why it works.
321,321,"Coke and IBM have been doing this for years, all right."
322,322,Are you familiar with them?
323,323,"Now just like anything else, you know, it's gonna take a few months of sort of transition and then everybody is gonna settle in."
324,324,Who are you taking off the road?
325,325,How are you not getting this?
326,326,You're grounded.
327,327,Everybody's grounded. It's done.
