,Unnamed: 0,dialog
0,0,"Mommy's going to the beauty parlor, darling."
1,1,"But I'm leaving you with your favorite friend, Roger."
2,2,"He is going to take very, very good care of you."
3,3,"Because if he doesn't, he's going back to the science lab!"
4,4,"Ppplease, don't worry."
5,5,Whatever you say.
6,6,"Yes, ma'am. Aye, aye, sir. Okeydokey."
7,7,"Why, I'll take care of him like he was my own brother."
8,8,Or my own sister. Ow!
9,9,Or my brother's sister.
10,10,Or my second cousin who is twice removed.
11,11,Gobble. Cookie.
12,12,"Or my ninth cousin, who is nine times removed from his place outside."
13,13,"Or like my 1 5th cousin, who is 1 6 times removed from my mother's side."
14,14,"Or like my 27th cousin, who is 37 times. . ."
15,15,Cookie.
16,16,. . .removed from my father's side.
17,17,"Like my 1 7th cousin, who is Aah !"
18,18,"I'll save you, Baby!"
19,19,Cookie.
20,20,"Don't burn yourself, Baby Herman. Whoa!"
21,21,(SPLUTTERING) Whoa! Ah !
22,22,Whoa!
23,23,Whoa! Wow!
24,24,Whoa!
25,25,Who turned out the lights?
26,26,It's dark in here.
27,27,Don't they pay their electricity?
28,28,What's happened?
29,29,"I'll find you, Baby. Where are you?"
30,30,Where are you?
31,31,(GIGGLING) Cookie.
32,32,Where'd you go?
33,33,ROGER: What's that smoke?
34,34,Whoa!
35,35,Cookie.
36,36,Wah !
37,37,Cookie.
38,38,"I'm here, Baby. . . Aah !"
39,39,Wah !
40,40,Cookie.
41,41,Wah !
42,42,Cookie. Ahh.
43,43,MAN: Cut!
44,44,"MAN 2: All right. That's it, guys."
45,45,"MAN: Cut, cut, cut, cut, cut!"
46,46,(MAN'S VOICE) What the hell was wrong with that take?
47,47,"Nothing with you, Baby Herman."
48,48,You were great. You were perfect.
49,49,You were better than perfect.
50,50,It's Roger! He keeps blowing his lines!
51,51,"Roger, what's this?"
52,52,A tweeting bird?
53,53,"""A tweeting bird?"" Roger, read the script. Look what it says!"
54,54,"It says, ""Rabbit gets clunked, rabbit sees stars."" Not birds, stars!"
55,55,"Can we lose the playback, please?"
56,56,"Roger, you're killing me! Killing me!"
57,57,Cut the playback!
58,58,"For cryin' out loud, Roger!"
59,59,How many times do we have to do this damn scene?
60,60,"Raoul, I'll be in my trailer, takin' a nap!"
61,61,Whoa!
62,62,"Excuse me, toots."
63,63,My stomach can't take this.
64,64,This set is a mess.
65,65,"Clean this set up! And get him out of there, or seal him up in it!"
66,66,"Lose the lights! And say ""lunch""!"
67,67,MAN: Lunch !
68,68,That's lunch. We're on a half.
69,69,"Pplease, Raoul. I can give you stars!"
70,70,Just drop the refrigerator on my head one more time!
71,71,"Roger, I dropped it on your head I can take it! Don't worry about me."
72,72,I'm not worried about you.
73,73,I'm worried about the refrigerator.
74,74,I can give you stars. Look. Look!
75,75,Look!
76,76,"ROGER: Please, Raoul, I can do it, I swear."
77,77,Just give me another chance.
78,78,"Oh, come on, Raoul."
79,79,(EXHALES) Toons.
80,80,"ROGER: Look! Look, Raoul !"
81,81,"Look, Raoul !"
82,82,"Come on, Raoul !"
83,83,"Mr. Maroon, Mr. Valiant's here to. . ."
84,84,He'll be right with you.
85,85,"No, no, no!"
86,86,Wait until he gets to his feet.
87,87,Then hit him with the boulder.
88,88,"Right, R. K."
89,89,"How much do you know about show business, Mr. Valiant?"
90,90,"Only there's no business like it, no business I know."
91,91,"Yeah, and there's no business more expensive."
92,92,I'm 25 grand over budget on the latest Baby Herman cartoon.
93,93,You saw the rabbit blowin' his lines.
94,94,He can't keep his mind on the work.
95,95,You know why?
96,96,One too many refrigerators dropped on his head?
97,97,"Nah, he's a Toon."
98,98,You can drop anything you want on his head. He'll shake it off.
99,99,"But break his heart, he goes to pieces, just like you or me."
100,100,Read that.
101,101,"""Seen cooing over calamari with notsonew sugar daddy, ""was Jessica Rabbit, wife of Maroon Cartoon star Roger."" What's this got to do with me?"
102,102,You're the private detective.
103,103,You figure it out.
104,104,"Look, I don't have time for this."
105,105,"Look, Valiant, his wife's poison, but he thinks she's Betty Crocker."
106,106,"I want you to follow her, get me a couple of nice, juicy pictures I can wise the rabbit up with."
107,107,Forget it. I don't work Toontown.
108,108,What's wrong with Toontown?
109,109,Every Joe loves Toontown.
110,110,"Then get Joe to do the job, 'cause I ain't goin'."
111,111,"Whoa, fella."
112,112,"You don't want to go to Toontown, you don't have to go to Toontown."
113,113,Nobody said you had to go to Toontown anyway.
114,114,"Have a seat, Valiant."
115,115,The rabbit's wife sings at a joint called the Ink and Paint Club.
116,116,"""Toon Revue."" Strictly humans only, okay?"
117,117,"So what do you think, Valiant?"
118,118,Well?
119,119,The job's gonna cost you A hundred bucks?
120,120,That's ridiculous!
121,121,So's the job.
122,122,"All right, all right."
123,123,You got your 1 00 bucks.
124,124,"Have a drink, Eddie."
125,125,I don't mind if I do.
126,126,I got it.
127,127,"MAN: Careful, Dave."
128,128,DAVE: I got it!
129,129,"Dave, you're gonna drop it!"
130,130,DAVE: I'm not gonna drop it!
131,131,MAN: You're droppin' it!
132,132,"Watch it! Oh, no! Jeez!"
133,133,Come on !
134,134,"Kind of jumpy, aren't you, Valiant?"
135,135,It's just Dumbo.
136,136,I know who it is.
137,137,"I got him on loan from Disney, him and half the cast of Fantasia."
138,138,The best part is they work for peanuts.
139,139,"Well, I don't work for peanuts."
140,140,Where's the other 50?
141,141,Let's call the other 50 a carrot to finish the job.
142,142,You've been hanging around rabbits too long.
143,143,Hmph !
144,144,WWhoop! Whoop!
145,145,Wwwhoa!
146,146,"Oh, excuse me!"
147,147,"Oh, oh, oh !"
148,148,"Please, help. Oh, I'm sorry."
149,149,Get out of my way!
150,150,"Oh, taxi? Oh, cab?"
151,151,(LAUGHING) Right here! Right here!
152,152,"What do I look like, a bank?"
153,153,Wait for me!
154,154,Come on !
155,155,"Guys, wait up!"
156,156,"Come on, hurry up! Come on, Sig !"
157,157,Hurry up!
158,158,"Hey, mister, ain't you got a car?"
159,159,Who needs a car in L.A.?
160,160,We got the best public transportation system in the world.
161,161,"Hey, so long."
162,162,See you later!
