,dialog
0,Subtitles by explosiveskull www.OpenSubtitles.org M_I_SForEver I didn't really have your typical upbringing.
1,"I mean, I did at first, but then the world ended."
2,I don't think anyone was really shocked.
3,"We always thought it might, and then it just finally happened."
4,"But how it happened, now that's where it gets interesting."
5,Agatha 616.
6,"Yep, an asteroid heading straight for Earth."
7,I know. So obvious.
8,"So, humanity came together, and we did what we do best."
9,We shot a bunch of rockets at it!
10,And we blew it up!
11,And it was great!
12,"But it wasn't. You see, the thing that makes rockets rockets..."
13,"chemical compounds, a lot of 'em."
14,"Which rained back down on us, and everything changed."
15,"And by ""everything,"" I mean coldblooded creatures."
16,"And by ""changed,"" I mean mutated and started eating us to death."
17,"Ants, lizards, roaches, crocodiles."
18,You name it. There's a lot of 'em.
19,I knew this one kid who was eaten in his sleep by a goldfish he won at a carnival.
20,"Man, Todd loved that goldfish."
21,And that cat.
22,"So, for most of human history, if you wanted to kill a cockroach, all you needed was a shoe."
23,"Well, suddenly you needed a shotgun."
24,And sometimes even a tank.
25,And sometimes even that doesn't work.
26,"Especially if you don't stay in the tank, Bob."
27,"Eventually, the really big ones and our military took each other out."
28,We lost 95% of the human population in about a year.
29,That's a lot of Bobs.
30,And a lot of Todds.
31,"Those of us who survived, we hid anywhere we could..."
32,"bunkers, caves, panic rooms, all around the world."
33,So for the last seven years I've been living in an underground bunker.
34,It's not as bad as it sounds. Really.
35,"It's a great group of people, and we all love each other."
36,It's kinda what I imagined college would have been like.
37,Are you sure he's asleep?
38,Who?
39, Joel. Who else?
40, Yeah. He's asleep.
41, Hang on. Shh.
42, He's not awake.
43, Are you sure?
44, It's just you.
45,I just... I don't...
46,Joel. Joel.
47,See?
48,He's not awake.
49,It's just you.
50,"Dear Aimee, I am wide awake."
51,I've just gotten good at not really moving or breathing.
52,Being stuck in a survival bunker with a bunch of people who have all found their soul mate is less than ideal.
53,"Karen and Ray got together a few months ago, so they're still kinda in their honeymoon phase."
54,It is super physical.
55,Good for them. They're both very attractive and apparently quite flexible.
56,"Hey, life's short."
57,Especially down here.
58," Oh. Hey, Ava."
59," Hey, Joel."
60, Joel. How's it going?
61," It's going good, Tim."
62, How are you... How are you doing?
63," Yeah, good."
64,Cool.
65, I couldn't sleep.
66," Yeah, we know the feeling."
67,Yeah. Probably not for the same reasons.
68,"YYou guys's, uh, door's open."
69,Is that... Did you know that?
70, Yeah.
71," Yeah, we know."
72,Okay.
73,"After Tim's parents were eaten by a swarm of termites,  he and Ava became inseparable."
74, Okay. Good night.
75, In every way.
76, Good night.
77,That's the asteroid they named 616 Agatha.
78,And these are all the chemical bombs they sent up to try and...
79,"So, pretty much everyone's coupled up down here."
80,Our first baby was born last winter.
81,It was super emotional.
82,"Welcome to the apocalypse, kid."
83,The food sucks. At least you'll never know what you're missing.
84,Kala and Connor got together after Carol died.
85,Carol was a cow who ate a box of laundry detergent.
86,And now we only have one cow.
87,Her name's Gertie.
88,Gertie is great.
89,Gertie's not our only food source.
90,We actually have a hunting party that brings back whatever they can from the surface.
91,"It was easier in the beginning, you know, before we ran out of bullets."
92,Facing down one of those things with a janky handmade weapon is no walk in the park.
93,Or so they tell me.
94,II don't go on the hunting parties.
95,They need me in the kitchen.
96,"I'm kinda the, uh..."
97,...the chef of the bunker.
98,Everyone likes my minestrone.
99,Being the only single person in the bunker has its perks too.
100,I get to hang out with Mavis.
101,"Of course, she's not much for conversation anymore."
102,"Her core battery's shot, just like every other Mavis, I'd imagine."
103,Actually never seen a working one.
104,"Sure wish you were here, Aimee."
105,I'd love for you to meet everyone.
106,"Oh, yeah."
107,Maybe we could do a little target practice together.
108,It's kinda my thing.
109,Well...
110,"Sorry, Mavis."
111,"Hustle, hustle, people."
112,We gotta move.
113,Guys!
114,Guys! I got the weapons.
115, Stay.
116, What?
117," Get what you need, and let's go."
118, What's happening?
119,What's going on?
120, We're breached.
121, Breached?
122, Joel.
123, What do you mean?
124,"Like, inside the bunker breached?"
