,dialog
0,"The longer you animals bark, the colder your lunch gets."
1,"Come on, move it out."
2,"You too, down there!"
3,"Hey, turkey!"
4,"""You schmuck. Do you think I'd be stupid enough to kill myself?"" Kill myself?"
5,Come on!
6,Here he comes.
7,"Francis, the lock."
8,Let go of the handle.
9,I don't have the handle! Open it!
10,"Jake, up!"
11,"Come on, move! Get on!"
12,"Thanks, Mama."
13,"Okay, you guys."
14,Let's try the victory pyramid.
15,"Okay, let's go."
16,Come on. Put your arms up.
17,"Smile. Good, we got it!"
18,Turn that TV off.
19,I can't hear myself think.
20,"Yeah, right, Dad."
21,"Is the water going down, son?"
22, Nope.
23, Is it going down now?
24,"Wow, a police chase!"
25,"Oh, shit!"
26,What are we doing here?
27,"Trust in your mother, boys."
28,Throw her into fourwheel drive and hold on to your hats.
29,Bummer!
30,Nothing exciting ever happens around here anyway.
31,Who needs the Goon Docks?
32,Who needs this house?
33,I can't wait to get out of here.
34,Really?
35,"No, I was just trying to delate myself. No, no..."
36,Dictate myself.
37,"That's delude yourself, dummy."
38,That's what I said.
39,"Thanks, Brand."
40,"I know how you feel, wimp."
41,I'm sure gonna miss this place too.
42,Adopted wuss.
43,I'm no adopted wuss!
44,"I'll kill you, Brand!"
45,It's Mouth.
46,"Hey, Mikey."
47,"Yo, Mikey."
48,"Hey, Mikey, seen Adrienne?"
49, What's going down?
50, Get your foot off the table.
51,"You got it. What's going down, guys?"
52,What's the matter with you guys?
53,What's the matter? What is this?
54,A nuclear Saturday?
55,"Come on, guys."
56,This is our last weekend together.
57,Last Goonie weekend.
58,We gotta be going out in style.
59,"Cruising the coast, sniffing some lace..."
60,"...downing the brews, but no!"
61,The one older brother had to go and screw it up.
62,Flunking your driver's test?
63,I don't know what to do with you.
64,"You guys, let me in!"
65,Jerk alert.
66,It's Chunk.
67,I just saw the most amazing thing in my entire life!
68,"First, do the Truffle Shuffle."
69,Come on!
70,Do it.
71,Come on!
72,Do it!
73,"Cut it out, Mouth."
74,Get out.
75,You guys won't believe me.
76,I'm telling the truth.
77,You turd!
78, Flunked your driver's test.
79, Shut up.
80,"Listen, you'll never believe me."
81,"There was two cop cars, okay?"
82,"They were chasing this fourwheel deal, a real neat ORV."
83,Bullets flying everywhere. It was the most amazing thing I ever saw!
84,More amazing than when Michael Jackson used your bathroom?
85,More amazing than when you saved those old people from that fire?
86,More amazing than when you ate your weight in Godfather's pizza?
87,"Okay, Michael Jackson didn't come to my house to use the bathroom."
88,But his sister did.
89,"Okay, Data, don't mess this one up."
90,Prepare for the Wings of Flight.
91, Open the door!
92, Mikey!
93,The screen door!
94,"Hey! I bet you guys thought I was gonna drop it, huh?"
95,I know you'd expect that from Chunk.
96, You idiot!
97," Oh, my God!"
98,"Look, it's not broken."
99,It's perfect.
100," Oh, my God!"
101, What?
102, That's my mom's most favorite piece!
103, What?
104,"Oh, my God."
105, You wouldn't be here if it wasn't.
106, Shut up!
107,"Shut up, Mouth."
108, Any of you guys ever hear of Detroit?
109, No.
110,Certainly. It's where Motown started.
111,Also got the country's highest murder rate.
112,That's where we move to when we lose our house tomorrow.
113,Shut up. It'll never happen. My dad'll fix it.
114,"Yeah, sure he will."
115,If he gets his next 400 paychecks by tomorrow.
116,"That's wrong, Brand."
117,It won't happen!
118," Oh, hi, Mom."
119," Hi, Mom."
120,"Hi, hi!"
121,I see Data dropped by.
122,"Hi, Mrs. Walsh. How are you?"
123,"Boys, this is Rosalita."
124,She'll help with the packing until my arm's better.
125,"Boys, Rosalita doesn't speak a word of English..."
126,...and I know some of you took Spanish in school.
127,"Well, Mrs. Walsh, I speak perfect Spanish."
128,"If it's any help to you, I'd be glad to communicate with Rosalita."
129,"You're a lifesaver, Clark."
130,"Come with us, will you?"
131,"Certainly, Mrs. Walsh."
132,"Mikey, no more potato chips."
133,"Hello, Mikey."
134,"It's Brand, Ma."
135,What?
136,I wonder if she'll notice.
137,That's what I said!
138,Of course. She notices everything.
139,Pants and shirts are in the second.
140,Just throw them all into boxes.
141,Forget the suitcases.
142,Can you translate that?
143," Certainly, Mrs. Walsh."
144, That's wonderful.
145,Look. How's that?
146,You idiot!
147,You glued it on upside down!
148,"If God meant it that way, you'd be pissing in your faces."
149,Looks fine to me.
150,"Rosalita, this is the attic."
151,Mr. Walsh doesn't like anyone up here.
