,dialog
0, Did you get the paperwork?
1, Yes.
2,"Jeez, Agent Desmond, it's 3:30."
3,Where are we gonna sleep?
4,We're not.
5,You and I are gonna get something to eat.
6,Yes.
7,I didn't realize so many hours had passed.
8,"Did you, Agent Desmond?"
9,"You have your own MO, don't you, Agent Desmond?"
10,"Had the FBI here once before, back in the '50s when Hap was running the place."
11, Where's Hap?
12, He's dead. Good and dead.
13,Sorry to hear that.
14,"Ah, he didn't suffer."
15,I'd like to ask you some questions about Teresa Banks.
16,Sheriff Cable already asked me a few questions about Teresa Banks.
17,She worked nights for a month.
18,That's it.
19,Any friends?
20,No.
21,Did you ever see her with someone else?
22,No.
23,Did she ever mention any friends?
24,No. Ask Irene about that.
25,"Now, Irene is her name, and it is night."
26,Don't take it any further than that.
27,There's nothing good about it.
28,"Thank you, Jack."
29,How's that goddamn light going?
30,"Sam, I think you and I ought to see the sunrise at the Fat Trout Trailer Park."
31,"Agent Desmond, are you talking to me in code?"
32,"No, Sam."
33,I'm speaking plainly.
34,I mean exactly what I said.
35,Oh.
36,"Okay, well, in that case, we should go to the Fat Trout Trailer Park."
37,"Thanks, Irene."
38, Good  Good morning.
39,Morning.
40,"Try that, you little monkey."
41,"I think I'll just take this badge off, J.Edgar, if you don't mind."
42,The only way you're gonna get that body out of here is over mine.
43,I think I'll take off my badge as well.
44,Come on.
45,Come on.
46,This one's coming from J.Edgar.
47,Who's next?
48,Who's next?
49,"That was very proficient, Agent Desmond."
50,"Diane, you haven't changed your hair, and I've seen that beautiful dress before, but I must say, you look sensational today."
51,"No, I am not trying to buy time."
52,"It's Thursday, and you have changed something in this room, and this time, you've done very well. Very well."
53,But I am going to tell you exactly what it is in a moment.
54,You have changed...
55,"Got it. Diane, you've moved that clock 12 inches to the left."
56,"Ah, yes, another triumph for the dashing Agent Cooper."
57,"And now, Diane, you must clean the coffee cups, get fresh ground coffee from Sally, and make a damn great pot of coffee."
58,"Well, Agent Desmond wanted to check out the trailer court one more time."
59,"He asked me to drive the van with the body back to Portland, which I did."
60,It was 105 miles.
61,Anything else?
62,Did Gordon show you a woman named Lil?
63,"Stanley, I'm up to speed."
64,Agent Desmond never did explain to me what the Blue Rose meant.
65,Neither will I.
66,"Well, all right."
67,"You know, I really did like Agent Desmond. He had his own MO."
68,"Oh, I cracked the Whitman case with a machine like this."
69," Stanley, I heard about it."
70, They never would've found the splinters without a machine like this. Wanna know why?
71, No one else had a machine like this.
72, Tell me about the letters.
73,"Oh. Well, look in here."
74,Right there.
75,Agent Desmond and I found that under Teresa Banks' ring fingernail.
76,No one found the ring?
77,"No, sir, we did not."
78,Sam Stanley.
79,If you ever need me.
80,Mr. Jeffries?
81,"Here's your key, Mr. Jeffries."
82,I hope you enjoy your stay here at the Palm Deluxe.
83,Oh.
84,Do you have a Miss Judy staying here by any chance?
85,This is for you.
86,"The young lady, she left it for you."
87,"Good day, se̱or. How are you?"
88,Gordon.
89,Gordon?
90,"Phillip, is that you?"
91, Phillip.
92, Phillip?
93,"Cooper, meet the longlost Phillip Jeffries."
94,You may have heard of him at the academy.
95,"Well, now, I'm not gonna talk about Judy."
96,"In fact, we're not gonna talk about Judy at all."
97, Gordon?
98," I know, Coop. Stand fast."
99,Who do you think that is there?
100,"Suffered some bumps on the old noggin, eh, Phil?"
101,"What the hell did he say, Albert?"
102,That's Special Agent Dale Cooper.
103,"Where in the hell have you been, Jeffries?"
