,dialog
0,"""The story, names, characters and incidents portrayed in this film are ficticious."" ""Any resemblance to actual events is purely coincidental.â Look!"
1,Know what's inside that plant?
2,What?
3,A robot!
4,A humongous robot!
5,You're so stupid!
6,"It's not a robot, but a rice cooker!"
7,Says who?
8,My brother!
9,A huge rice cooker boils water and makes electricity.
10,There's no rice cooker that big!
11, No way!
12, Yeah!
13,My brother told me.
14,"Because of that, we live in comfort."
15,And that will make our country rich.
16,We should be thankful!
17,No way!
18,My teacher said...
19,What was it?
20,She called it some box.
21,"If we open it, it'll be trouble!"
22,What trouble? No way!
23,That thing's great!
24,You'll see.
25,Pandora.
26,"Uncle Jaehyuk, wake up!"
27,"Granny says if you don't, you're dead!"
28,Tell her to shoot me.
29,Granny! He won't wake up!
30," Quiet, Minjae."
31, Let me go!
32,Come out now!
33, Why you!
34, I'm up.
35,Get up and look!
36,"They're all here early, getting ready for work."
37,Who says you deserve to sleep in?
38," More rice, please!"
39, Yes!
40,Throw it out!
41,Come out and eat!
42,So lazy!
43,Move!
44, Finally up?
45, Let's eat.
46,Not calling in sick?
47,Nope!
48,No hangover.
49,I woke up no problem.
50, We should make money.
51, Right!
52,Fools...
53,It's just petty cash.
54,You drunk!
55,This will help with hangover.
56,Just for the brotherinlaw?
57,What about us?
58,Sorry.
59,I only had enough for one.
60,What?
61,"Minjae, wash up!"
62,President Kang returned from a fiveday visit to the middle east.
63,President returns from middle east.
64,That man is always on the go.
65,He's trying to revive our economy.
66,The young man works hard.
67,He landed plant project orders worth $5 billion...
68,What?
69,What's that for!
70,"You had drinks with girls last night, didn't you?"
71,How far did you go with them?
72,We just drank.
73,Nothing happened.
74,I swear!
75,You're getting it today.
76,"Mrs. Seok, I'll be going."
77,Why not take him and break his legs.
78,"I will, later."
79," Take care, ma'am."
80, Bye.
81,"Hey, Jaehyuk."
82,She's got you on a leash!
83,I got hangover and all.
84,Can't I skip work today?
85,Then you and I can...
86,Fight to death!
87,Wanna die?
88,Fine! I'll go!
89,"Minjae, hurry!"
90,Don't be like your uncle.
91,Hey!
92,We want a nuclear free world!
93,Shut down nuclear reactors!
94,Away with nuclear plants!
95,No more nuclear plants!
96,Shut down nuclear reactors!
97,They're so annoying!
98,When will they ever stop?
99,I'm sick of it!
100,When can we go in?
101,Move!
102,You use electricity too!
103,You live in comfort thanks to that!
104,So move!
105,Wake up!
106,Like making money there?
107,"If you don't shut down unit 1, we're all dead!"
108,You've said that for years!
109,Cut it out and move!
110,Mister! Just drive!
111,Then drive over us!
112,You bastards!
113,Everyone lie down!
114, Get down!
115, Everyone down!
116,Come on! Stop it!
117,The bus is finally here.
118,Hanbyul nuclear power plant.
119,Why you come so late?
120,Damn protestors.
121,They even lied down on the road!
122,Should've ran over.
123,When will they stop?
124,You should've.
125," Take care, sir."
126, Bye.
127,Fool!
128,Greet your dad!
129,"Good work, dad."
130,You boys got wasted again?
131,Just a bit.
132,Like hell it was.
133,How'll you work?
134,What work?
135,We do just odd jobs.
136,You fool!
137,Did you make breakfast?
138,Sleeping on a full stomach is bad.
139,Just sleep after a shower.
140,Why didn't god take him instead of my wife!
141,Damn life!
142,I should just die!
143,He says that all the time!
144,He's kidding.
145,"Don't take it seriously, stupid!"
146,I'm so in hungover.
147, It's going to be a long day.
148, I know!
149,Nuclear power uses the heat generated from fission...
150,And the steam to turn turbines and produce electricity.
151,"Simply, nuclear reactor is like firewood, and the steam turbine is like a rice cooker."
152,Nuclear power is...
153,"The only alternative energy source, that is ecofriendly, preventing global warming."
154,Approved.
155,It is high efficient business with low cost.
156,"The building can withstand an earthquake of magnitude 7, perfectly safe in any circumstances."
157,"With safety inspections, the risk of danger is 0%."
158,"Please note that behind all your comfort, the nuclear power plant is constantly running."
159,Like hell!
160,We're doomed.
161,Look at this place.
162,It's a mess.
163,"Before that was built, our town was poor but livable."
164,But now look.
165,"No fishing, no farming, and no tourists."
166,Town folks are divided and fighting.
167,That ruined everything!
168,"Still, we make a living thanks to that."
169, Mom benefits from it too.
170, Right.
171,Think we would've starved without that?
172,No but...
173,That's the problem!
174,You like living like this?
175,Who says we like it?
176,It's just life.
177,Right?
178,Stupid.
179,That's why there's no future.
180,I quit!
181,I can't live like this.
182,Good!
183,Today can be your last day.
184,You didn't see me!
185,Yeonju!
186,Over here!
187,Damn! Not again!
188,How many times did I tell you to just buy a new one?
189,You know I can't afford to.
190,It runs fine.
191,You call this fine?
192,Machines have lifespans like humans.
193,You could get killed!
194,Stop.
195,We'll just keep fixing it.
196,Just keep fixing it?
197,You brainwashed plant worker.
198,Come to your senses!
199,Cut it out!
200,Stop being bossy with trivial skills.
201,You come here and try it.
202,Why?
203,Learn it.
204,I can't fix it forever.
205,Now even sick of fixing that for me?
206,"No, Just in case I'm not around..."
207,What do you mean?
208,What are you planning this time?
209,Tell me!
210, Move over.
211, Why?
212,Give me just 2 years.
213,For what?
214,Seaman passport.
215,Catching pike in South America and in Alaska.
216,"In 2 years, I'll return with $200,000."
217,"If I work in the engine room, I'll make even more!"
218,What the!
219,How could you?
220,What?
221,"I have no parents, siblings, or relatives!"
222,I have no family.
223,You know you're all I have.
224,"I know, but come on."
225,It's to make you happy.
226,I mean it!
227,Forget it.
228,I'm not falling for it.
229,"If you go, we're done."
230,Yeonju!
231,Damn it.
232, Here.
233, What's this?
234,Secretary Kim gave me.
235,He wants you to read it.
236,Why did it come through you?
237,They were afraid it wouldn't get to you.
238,Is something wrong?
239,What do you mean?
240,Read it.
241,It looks important.
242,Status report: Hanbyul nuclear plant unit 1.
243,There's nothing to worry.
244,Nuclear reactors run fine with proper coolant.
245,"No, it will run for dozens of years."
246,That's why nuclear energy is great.
247,Fire that never burns out.
248,The best gift ever given to humans!
249,The best gift?
250,Only with good maintenance.
251,But it'll be a trouble like this.
252,What do you mean?
253,Director knows nothing about nuclear.
254,Cheers!
255,He initiated the reactor without full repair...
256,Just to to pass the special law on nuclear plants.
257,Unit 1 had to run...
258,To pretend all is fine and safe.
259,So things can be quiet.
260,We haven't had any major accidents.
261,Our workers are veterans.
262,"President received the report, but don't expect much."
263,Don't worry.
264,It'll be fine.
265,Shut up!
266,Calm down and listen.
267,"Just 2 years there, I'll recoup what I lost."
268,I don't want to hear it!
269,She's right. Don't go.
270,You want to live here forever?
271,What about Minjae?
272,You'll push him to work at the plant too?
273,No.
274,Then we should go to Seoul for his education.
275,Give him a chance.
276,Why make him stay in this hell?
277,Brother's dying wish was to take a good care of him.
278,It's all for Minjae's future...
279,Stop lying.
280,Don't bring Minjae into this.
281,I'm not lying!
282,He's my only nephew!
283,Think of your only grandson's future!
284,Stop it!
285,Cut it out and stay put.
286,You're not leaving my sight!
287,I'm going no matter what!
288,Stupid fool!
289,Just get married!
290,Don't think of sneaking off!
291,Don't you feel sorry for Yeonju?
292,Shit.
293,"You hate it here, right?"
294,I love it.
295,Get out!
296,Go to your mom!
297,I need space!
298,But I want to sleep with you!
299,"Go away, kid!"
300,"Uncle, don't go."
301,I need you here!
302,I'm in prison here!
303,Turn the light off.
304,Wolchon diner.
305,"Good morning, this is an announcement..."
306,Mother?
307,What?
308,Jaehyuk really wants to go.
309,Can't you let him?
310,Why?
311,You fell for his lies?
312,It's not that.
313,He hates working at the plant.
314,I feel bad he's forced to work there.
315,That plant killed my husband and son.
316,Think I want my only son there?
317,I hated it.
318,Don't throw things.
319,So I gave him the compensation money of his dad to open a shop in the city.
320,I hoped for his success and wished he never had to return.
321,"Stop slacking off, pal!"
322,But what happened?
323,He lost it all and came back empty.
324,That fool deserves to work in hell if he has to!
325,But the government gave benefits only for franchises...
326,Like hell!
327,It's his fault.
328,Can't blame others!
329,I forgot to buy soy sauce.
330,I'll be right back.
331,How could he lose that money?
332,It's the price of his dad's life!
333,"Hello, sir."
334,Can't you do your jobs?
335,Making me get called in.
336,I'm sorry.
337,I told you to handle that report.
338,Why let it get to the president?
339,We found the writer today and he is now removed.
340,How speedy of you.
341,"You called, sir?"
342,Did you see this report?
343,Status report: Hanbyul nuclear plant unit 1.
344,Well...
345,Among the laws that passed by you recently...
346,Power plant development special law seemed to be pushed irrationally.
347,Building nuclear plants is not an easy business.
348,I was told you gave approval.
349,"No, I didn't."
350,Bill has been voted on.
351,"If there is a problem, I'll use the veto to set it right."
352,That is administration's duty.
353,The government must not waste time like this.
354,We must strive to revive the economy together.
355,Human resources department?
356,You've been appointed by head office.
357,Good luck there.
358,What's the reason?
359,Since you've worked hard out here...
360,Now you can take it easy and help train workers.
361,How considerate of them.
362,And your report got many presidential secretaries fired.
363,Why leave this job and...
364,Work on a ship to waste 2 years?
365,Think I should devote my life to this damn plant?
366,I'd rather die.
367,I know...
368,You hate here because of your dad and brother.
369, But if you...
370, Stop.
371,Fine.
372,But they won't let you go!
373,What will you do?
374,Run away at night?
375,They'll understand me later.
376,You're mad?
377,What can you do?
378,"A man's gotta do, what a man's gotta do!"
379,I knew things were too quiet.
380,Looks like a storm is coming!
381,A thunderstorm!
382,What the?
383,What?
384,Earthquake!
385,Guys! You okay?
386, What's happening?
387, Mommy!
388, Minjae!
389, Granny!
390,Minjae!
391,Answer the phone!
392,It's me.
393,Go to the diner.
394,No one's answering the phone.
395,I'm on my way.
396,Go and let me know if anything's wrong.
397,Okay.
398,Mother!
399,Are you safe?
400,Mother!
401,You okay?
402,Minjae!
403,Mother!
404,Minjae!
405, Mommy!
406, I'm here...
407,I don't believe this.
408,That suddenly fell.
409,"Why on him, not me?"
410,It's okay.
411,You'll be fine.
412,Are you okay?
413,I'm fine.
414,An earthquake occurred in the southeast.
415,"A 6.1 magnitude, sir."
416,Major industrial complexes are in the southeast.
417,"Yes, sir."
418,Should we inform the president?
419,He has other things to worry.
420,Please reconsider.
421,There's nothing to gain by us being in opposition.
422,Don't like the way I run the country?
423,Your decision making was too slow since you were a senator.
424,An administration can't be led like that.
425,Especially when the economy is at stake.
426,Experience exerts than young ambitions.
427,Is everything okay?
428,Check on the coolant first!
429,What happened?
430,There's a crack in cooling unit 1 by the earthquake.
431,Began emergency operations?
432,"Yes, we temporarily stabilized the reactors."
433,"Chief, is it serious?"
434,We'll find the crack and fix it.
435,Simple.
436,This is not just an accident!
437,It's not the first time.
438,Wasn't it built to resist earthquakes?
439,Unit 1 is almost 40 yearsold.
440,Even house pipes crack in 40 years.
441,So they haven't been replaced?
442,We spent millions too!
443,"But there are over 30,000 valves..."
444,Pipes are 170 km and wires are 1700 km.
445,"Checking all defects and rusts, takes years to figure out!"
446,But all that was done in just 2 months!
447,Proper inspection was impossible.
448,So what now?
449,Issue a code white alert and inform the locals.
450,You don't even belong here!
451,Stay out of this!
452,Don't get emotional.
453,Just keep working as usual.
454,Just notify the head office.
455,Damn! I just got here!
456, Hanbyul unit 1.
457," Yes, sir."
458,A small leakage in coolant.
459,Code white should be issued.
460,"Should we, sir?"
461,Why make a fuss?
462,There's no power loss.
463,The law didn't pass yet.
464,Keep things quiet.
465,We were in trouble for that before...
466,Then fix it this time!
467,I'll keep it quiet.
468,Nuclear power plant construction site.
469,My husband and son in heaven must've helped us.
470, Lucky things aren't worse.
471, Yes.
472,It's me.
473,Everyone's fine.
474,Wanna speak to your mom?
475,Tell them to answer the phone!
476,Jaehyuk was really worried.
477,Tell him to worry about himself.
478,I'd better get back to the office.
479,Okay.
480, Is the plant okay?
481, What do you mean?
482,There was an earthquake.
483,What are you talking about?
484,No earthquake can bring that plant down.
485,Right?
486,Of course.
487,It should be fine.
488,"If something's wrong, text messages are sent."
489,Or else they'd be in trouble like last time.
490,Hear that?
491,That's a relief.
492,"If it's so urgent, go in yourself!"
493,You're the mechanics!
494,Why are you so late!
495,I'm sorry.
496,Come here.
497,What happened?
498,There's a crack in the coolant valve and it's leaking.
499,Then why not go in and fix it?
500,It's too dangerous.
501,No one wants to go in.
502,Gear them up!
503,What's the problem?
504,The coolant level is going down!
505,The temperature is shooting up!
506,It's loca!
507,"Loca? ""Loss of coolant accident."" Don't just stand there!"
508,Get in now!
509,Radiation level is too high!
510,Quiet!
511,What's the radiation level?
512,Just keep working!
513,Wait!
514,"If you fix it this way, pipe pressure will rise."
515,This is faster.
516,I'm not gonna die fixing a valve here!
517,Want to do it yourself?
518,Fine! Let's just hurry it up!
519,Let's fix it and leave.
520,What the hell is going on?
521,What did they do?
