,dialog
0,Radar!
1,"Yes, sir."
2,Get a hold of Major Burns.
3,l guess l better call Major Burns.
4,Tell him we have to hold...
5,Tell him to put another day surgeon on night shift.
6,...a couple of surgeons over from the day shift onto the night shift.
7,l'll put in a call to General Hammond in Seoul.
8,"Get General Hammond in Seoul, tell him we gotta have two new surgeons right away."
9,l hope he sends us those two new surgeons.
10,We're sure gonna need them.
11,"What was that, sir?"
12,l gave everything to Radar.
13,What?
14,What the hell do you think you're doing?
15,What? l'm just...
16,"Just because you're captain, don't think you run the joint."
17,Come on...
18,l run it.
19,"Yeah, all right. l'm just supposed to..."
20,l know what you're supposed to do.
21,Your driver will be with you shortly.
22,He's having his coffee now.
23,Racist.
24,"Attention. The following men, report to the departure area."
25,"Carey, Michael S, Phelps, Robert A, Colbert T, Cleaver, Herschell B, Roosevelt, Charles B..."
26,"Goodbye, ladies. Thank you."
27,Byebye.
28,So long.
29,"Roosevelt B, Govowska, Theodore G, Miller..."
30,4077th MASH?
31,"This is the jeep, yeah."
32,All right.
33,"Okay, let's go, boy."
34,Get my other bag.
35,"Yes, sir. Yes, sir."
36,Schermerhorn! Get that son of a bitch!
37,He just stole my jeep.
38,"Hey! Watch what the hell you're doing, will you?"
39,What the hell...
40,"What do you mean, it wasn't..."
41,Where is she?
42,l couldn't stand it...
43,Not another. Another...
44,...for my period...
45,"There you are, sir. The officers' mess."
46,Perhaps you would like to take a small repas.
47,l don't think l could eat after that ride you gave me. You want any of this?
48,"No, thank you, sir, but l could do with my lunch."
49,"Well, why don't you come on in with me and get a sandwich?"
50,"l'll follow you anywhere, sir."
51,"How about that piece of scenery, Yankee, huh?"
52,"Yes, sir."
53,Really a drag.
54,No. No.
55,"When they cut it out, she looked fabulous."
56,Who are those men?
57,"Friends of yours, Murrhardt?"
58,"No, sir. First time l've ever seen them."
59,"Well, maybe those are the replacements."
60,Don't be silly. We're expecting some really sharp surgeons.
61,"Well, l guess they just got separated from their unit and are looking for something to eat."
62,They've got a hell of a nerve.
63,"Coming in here, eating our food."
64,"Pardon me, can l ask you to move overjust a little bit? Thank you."
65,Be careful with that.
66,Yeah.
67,"But, you know, she's got to use..."
68,l think l'm in love.
69,...that Phisohex soap on her face.
70,She really needs something drying.
71,She really has a bad complexion.
72,"Acne, it really is."
73,But she's got a bad complexion...
74,She won't use soap.
75,"Well, you see, the truth is, Lieutenant, l don't have anything to do tonight."
76,"l just got into town and, well, l thought maybe you could show me around."
77,"Captain, l think if you'll notice the lieutenant's beautiful hand, she is definitely married."
78,"Well, l'm the commanding officer, and l'm gonna get to the bottom of this."
79,"Boy, Bandini, they're eating here because they wanted to."
80,"Captain Murrhardt, please report to the commander's..."
81,The office of the commanding officer...
82,You men just passing through?
83,l was just enjoying that lovely dish there.
84,"Captain, you are speaking about a lieutenant in the United States Army."
85,l'm Colonel Blake.
86,"Colonel, l'm Duke Forrest, your new cutter."
87,That's my driver over here.
88,Captain Hawkeye Pierce.
89,Are you leaving?
90,"Yes, l am."
91,"Good afternoon, Lieutenant Dish."
92,"Good afternoon, Captain Hawkeye."
93,"Captain Hawkeye Pierce, l had a TWX about you."
94,lt seems that you stole a jeep up at headquarters.
95,"No, no, no, sir. No, l didn't steal a jeep."
96,"No, it's right outside. Right there."
97,So it is.
98,"Captain Forrest, don't you know that when you report to your new duty station, you go to your commanding officer with a copy of your orders?"
99,"Captain Pierce, is it?"
100,Captain Pierce and me have been boozing all day...
101,Good. Good.
102,You've been working close to the front.
103,"Now we have our slack periods here, but when the action starts, you'll get more work in 1 2 hours..."
104,"How many nurses do we have on the base, sir?"
105,1 7.
106,How many nurses will there be on my...
107,"Four, then a civilian surgeon."
108,...young girl here...
109,A dozen a month.
110,l'd like her as my nurse.
111,"Yes, l think that could be arranged."
112,l could use her.
113,"And the young girl, over here, the blonde."
114,"Father Mulcahy, l'd like you to meet Captain Pierce, our new surgeon."
115,This is the Catholic chaplain.
116,And here's Captain Forrest.
117,Dago Red.
118,Dago Red!
119,"Captain Waldowski, our dental officer."
120,l'm better known as Painless Pole.
121,"This is Captain Black, our anesthesiologist."
122,l'm Painless Pole. l'm the dentist here.
123,John Black. l'll be passing gas for you.
124,Duke? Welcome.
125,"Captain Bandini, here."
126,Thank you.
127,John Black. How are you?
128,l'm proud of that man.
129,"lf you boys have any problems, my tent..."
130,"Bandini, here. Duke, glad to meet you."
131,"l was saying if you boys have any problems, my tent is right..."
132,Radar! O'Reilly.
133,"Gentlemen, l'm Corporal O'Reilly."
134,They call me Radar.
135,You'll be staying in Major Burns' tent.
136,Major Burns' tent.
137,l'll take your things over there now.
138,Everything out of the jeep.
139,"Don't worry about the jeep, l'll change the numbers."
140,And change the numbers on that jeep.
141,"Corporal O'Reilly, you're not billeting these enlisted men in the officers' area, now, are you?"
142,Excuse me.
143,l'm collecting for my blind brother who can't afford the trip to Korea.
144,Don't you trust that man. He's a mad dog.
145,He'll do anything.
146,"Unhand me, sir."
147,"Hey, Duke Forrest."
148,"Now, that one's mine."
149,"Hi, fellas."
150,Who? That one?
151,Yeah.
152,Who told you that?
153,How do you know that?
