,dialog
0,Committee on Government Operations begins hearings on federally insured banks.
1,"We are concerned whether existing laws are adequate to guarantee the character, experience, and integrity of people who acquire such banks, which are the cornerstones of American capitalism and the foundation of the American dream."
2,"man 2 Be careful in there, Bernard."
3,They want to make an example out of you.
4,man 1 Committee calls Bernard S. Garrett to testify.
5,"Mr. Garrett, I think you understand the stakes."
6,man 3 Carlyle and Spring?
7,man 4 Right. Annual rental income but Mr. Miller wants us to use a six multiplier to value it.
8,man 3 That's too high.
9,man 4 He's coming in an hour to negotiate on it. Maybe you can step in.
10,man 3 All right.
11,Boy does a pretty good shine.
12,man 4 Harder worker than most of 'em.
13,"There may not be comps in Willis, but take a look at the other properties I own in the county."
14,A six multiple is reasonable.
15,"man 3 Your other buildings are in Conroe, which is booming with the oil find."
16,"So, I'm not sure this is a good comp."
17,Willis is booming too.
18,"Hey! What are you doing up there, boy?"
19,You spying on these white people's business? Huh?
20,Get back here!
21,Your dad's gonna hear about this!
22,"horn honks man Hey! Watch it, boy!"
23,What do you think them white folks would do if they knew you were spying on them?
24,When I was growing up I've seen boys killed for less.
25,You know what it's like to see a young boy hanging dead from a tree?
26,"And don't think because it hasn't happened recently, it couldn't happen again."
27,I was just trying to learn how they make money.
28,You are so talented.
29,How did you learn all this?
30,"You was born the wrong color, son."
31,Negro man can't earn money with this.
32,"White man won't let him, no matter how good at it you are."
33,Maybe not in Texas.
34,"You really think it's gonna be different for you, you go somewhere else?"
35,woman We're in California.
36,laughs exhales What's wrong?
37,Just looking forward to having dinner with your uncle.
38,"utensils clattering woman clears throat Well, the aircraft companies are booming."
39,"Northrop is looking to hire 5,000 new workers for their assembly line and they hire our kind."
40,And I can get you an interview there tomorrow.
41,"Well, thank you, sir. But I came here to try my hand at real estate."
42,There's not a lot of colored real estate agents.
43,Owning property and renting it out.
44,"laughing You married a millionaire, Eunice?"
45,all laughing Deacon.
46,"Well, I sure hope you're close, son."
47,This isn't some onehorse town in Texas.
48,Real estate is expensive here.
49,Bernard saved up money from a company we started in Houston.
50,"So, what do you plan to do until you find something you can afford?"
51,Keep looking.
52,And spend down your savings till they're gone?
53,And then can't pay your rent?
54,"Deacon, stop."
55,"You'll get your rent the first of every month, one month in advance."
56,I should go get Bernard Jr. in bed.
57,Excuse me.
58,"Eunice, what does your husband have against working?"
59,"If we need to supplement our income until he finds the right property, I'll work at the Plantation Club."
60,That ain't no place for a married woman to work.
61,Bernard okay with you going back there?
62,"Well, we haven't had a chance to discuss it."
63,"If he's a real man, he won't let you."
64,That won't be for him to decide.
65,What does that mean?
66,My husband is a genius.
67,You'll see.
68,door closes I know this isn't much.
69,"Yeah, I don't plan on us being here long."
70,Why are you so hard on yourself?
71,I don't want Bernard Jr.
72,growing up in a shed.
73,"Well, I grew up in a shed."
74,Abraham Lincoln grew up in a shed.
75,Abraham Lincoln grew up in a log cabin.
76,"Well, that's what they call a shed when it's in the woods."
77,There's no difference.
78,"Well, I'm gonna get you and him out of this shed."
79,As soon as possible.
80,man Thanks for the lift.
81,Bernard No problem.
82,I'm sorry my dad was such a jerk last night.
83,Bernard Was he? I didn't notice.
84,"Hey, nice car."
85,Thanks.
86,"Bernard, this is my friend Matt."
87,You didn't tell me you had a rich uncle.
88,Nice to meet you.
89,Hardly rich. And I'm his cousin.
90,"You got a car, you're rich to me. Hmm."
91,"Hey, good luck finding the right place."
92,Matt Hey.
93,"Hey, what's your cousin do for a living?"
94,He owns buildings.
95,Really?
96,Damn. Huh.
97,"on phone Hello, my name is Bernard Garrett."
98,I saw your property on Victoria Road.
99,"I was wondering what the asking price in person Hello, my name is Bernard Garrett. Are you the owner of 12 on phone Hi, my name is Bernard Garrett."
100,I'm a real estate investor.
101,What's the asking price?
102,"That high, huh?"
103,"in person How can a price that high be sustainable, given the current rents..."
104,on phone How many units are in the building and what are they really Looks to me the building needs a little work.
105,Maybe we can negotiate in person Right. I understand.
106,Thank you for your time.
107,"This is a white neighborhood, Bernard."
108,"Well, it won't be white for long."
109,Not with the black neighborhood two blocks away bursting at the seams.
110,"Well, how much does Barker & Associates want for it?"
111,We have enough to buy it.
112,Just won't have anything left over to fix it up with.
113,What if I got us a coinvestor?
114,"band playing jazz music Eunice chuckles jazz music continues ends man laughs All right, fellows. That was smokin'."
115,Joe!
116,Eunice!
117,You came back to me.
118,"laughing kisses Girl, look at you."
119,"Oh, stop it. Behave now."
120,"Oh, honey."
121,Who's this?
122,That uncle you was always talking to me about?
123,Bernard chuckles Husband.
124,Your hus What?
125,Wait.
126,Three years.
127,"laughs Congratulations, man."
128,You hit the jackpot.
129,If you're the marrying type.
130,"I'm not, but if I were, can't do no better than Eunice Perkins."
131,chuckles Garrett.
132,"Pleased to meet you, Garrett."
133,"No, I'm Bernard."
134,"I heard him say ""Garrett."" Didn't you hear him say ""Garrett""?"
135,woman 1 That's what I heard.
136,woman 2 Mmhmm.
137,"laughs I'm just messing with you, man."
138,You want a drink?
139,It's 4:00 p.m.
140,I know. You're starting late.
141,I'll have 'em make it strong.
