,Epoch,Step,Loss,learning_rate,num_epochs,batch_size,num_classes,test_size,train_size,seed,train_class_proportion_hate speech,train_class_proportion_offensive language,train_class_proportion_neither,test_class_proportion_hate speech,test_class_proportion_offensive language,test_class_proportion_neither
0,1,10,1.0073119401931763,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
1,1,20,0.7860212922096252,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
2,1,30,0.681136965751648,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
3,1,40,0.6387487053871155,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
4,1,50,0.7388545274734497,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
5,1,60,0.6667596101760864,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
6,1,70,0.576675534248352,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
7,1,80,0.7088908553123474,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
8,1,90,0.49258169531822205,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
9,1,100,0.39721137285232544,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
10,1,110,0.5246162414550781,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
11,1,120,0.614279568195343,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
12,1,130,0.46307435631752014,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
13,1,140,0.3552243113517761,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
14,1,150,0.4902680814266205,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
15,1,160,0.5356693267822266,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
16,1,170,0.6117841005325317,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
17,1,180,0.417527437210083,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
18,1,190,0.5646127462387085,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
19,1,200,0.6247244477272034,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
20,1,210,0.4041171073913574,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
21,1,220,0.23173180222511292,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
22,1,230,0.2105756402015686,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
23,1,240,0.4376334846019745,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
24,1,250,0.5495057702064514,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
25,1,260,0.35108697414398193,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
26,1,270,0.39648663997650146,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
27,1,280,0.29790303111076355,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
28,1,290,0.32417410612106323,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
29,1,300,0.4863812029361725,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
30,1,310,0.2819795608520508,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
31,1,320,0.19280171394348145,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
32,1,330,0.3696337342262268,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
33,1,340,0.2408115416765213,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
34,1,350,0.26436907052993774,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
35,1,360,0.5427502989768982,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
36,1,370,0.23394238948822021,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
37,1,380,0.4781922698020935,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
38,1,390,0.15988485515117645,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
39,1,400,0.5373004674911499,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
40,1,410,0.2764112055301666,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
41,1,420,0.5197287797927856,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
42,1,430,0.3578830063343048,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
43,1,440,0.4392443597316742,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
44,1,450,0.3666180670261383,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
45,1,460,0.20650121569633484,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
46,1,470,0.18463550508022308,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
47,1,480,0.21257168054580688,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
48,1,490,0.3528456687927246,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
49,1,500,0.4418475925922394,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
50,1,510,0.27065786719322205,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
51,1,520,0.0981774553656578,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
52,1,530,0.22453857958316803,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
53,1,540,0.35345229506492615,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
54,1,550,0.6412728428840637,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
55,1,560,0.19464576244354248,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
56,1,570,0.4688866436481476,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
57,1,580,0.29564258456230164,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
58,1,590,0.1192142590880394,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
59,1,600,0.29294759035110474,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
60,1,610,0.20103371143341064,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
61,2,10,0.5970096588134766,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
62,2,20,0.20393379032611847,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
63,2,30,0.14270302653312683,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
64,2,40,0.3348422348499298,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
65,2,50,0.1587841957807541,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
66,2,60,0.17581750452518463,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
67,2,70,0.35782626271247864,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
68,2,80,0.43918538093566895,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
69,2,90,0.38782280683517456,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
