,Epoch,Step,Loss,learning_rate,num_epochs,batch_size,num_classes,test_size,train_size,seed,train_class_proportion_hate speech,train_class_proportion_offensive language,train_class_proportion_neither,test_class_proportion_hate speech,test_class_proportion_offensive language,test_class_proportion_neither
0,1,10,0.97516930103302,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
1,1,20,0.6748865246772766,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
2,1,30,0.6320095658302307,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
3,1,40,0.6226513385772705,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
4,1,50,0.6811691522598267,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
5,1,60,0.6294898986816406,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
6,1,70,0.5565589666366577,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
7,1,80,0.7061653137207031,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
8,1,90,0.48743894696235657,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
9,1,100,0.3940870761871338,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
10,1,110,0.49709954857826233,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
11,1,120,0.6093578934669495,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
12,1,130,0.4548635482788086,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
13,1,140,0.3525388538837433,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
14,1,150,0.483123242855072,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
15,1,160,0.5296167731285095,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
16,1,170,0.6092246770858765,0.001,8,32,3,4957,19825,11,0.06,0.77,0.17,0.06,0.78,0.16
