,dialog
0,"âª Ooh âª Electric dreams âª Electric, ooh, lalala...âª Welcome to Los Angeles Airport."
1,This the final call for TWA flight number 129 to San Francisco.
2,Come on!
3,Final call for TWA flight number 129 for San Francisco.
4,"Attention passengers, TWA regrets to announce a delay on flight number 129 to San Francisco."
5,We apologise for the inconvenience and will keep you informed.
6,"âª Electric dreams...âª Brian, turn that thing off."
7,"Oh, Mum!"
8,...times nine calories equals you're fat.
9,"Brian, turn that thing back on."
10, Daddy!
11, Sh!
12,"...five, six calories equals you're still fat."
13,"âª Electric dreams, electric...âª Hello. How are you?"
14,"Oh, fine, thank you, and you?"
15,Where do you live?
16,In San Francisco.
17,Where do you work?
18,"Well, I work there too. Or at least I used to. If I don't get back in time..."
19,Where is the post office?
20,The what? The post office.
21,I think I saw one back by Air Fiji.
22,Do you have any bananas?
23,I beg your pardon?
24,I like your blue dress.
25,Excuse me?
26,No?
27,Oh... Sorry.
28,Responsibility and dependability.
29,These are the cornerstones of any truly modern and competitive institution.
30,"Trust and dedication combined with constant imagination, futuristic vision and creativity have made Ryley, Ryley and Associates a leader in 20th century architecture."
31,"Meeting adjourned, gentlemen."
32,"You're late again, Miles."
33,"Listen, pal, I'm telling you this as a friend..."
34,I feel sorry for you. I mean three times this week already.
35,"Frank, I had to go to LA for my earthquake research."
36,"LA, huh? How are the beaches?"
37,"Oh, Milton."
38,"Yes, Mr Ryley."
39," But it is Miles, sir."
40," Mel, yes."
41,Your behaviour lately has been less than professional...
42,"You see, I went out of town this weekend to do some research on a special brick I'm developing."
43,It's earthquake proof.
44,"That's all fine and good, Harding."
45,There is nothing I like better than initiative.
46,Except for punctuality.
47, For the lack of that stone...
48," It's a brick, sir."
49,...the building would fall.
50,"Now, let's get to work."
51,The day is just beginning.
52,"Listen, Miles, I know we work in a competitive institution so I shouldn't tell you this."
53,But take my advice and get yourself one of these.
54,What is it?
55,"A computer, a 12month plannerorganiser."
56,Looks like a candy bar to me.
57,"Well it's a little one, just for starters."
58, I don't think so.
59," Get with it, buddy!"
60,You should see the big one Riley's got in the basement.
61, It could help you with your brick.
62," I'll figure it out by myself, thank you."
63, Tells the time anywhere in the world.
64, I never go anywhere.
65, Plots your biorhythms.
66, I don't believe in them.
67,Plays happy birthday on your birthday!
68,"OK, hand it over now."
69,I've got to have one.
70,I 'd probably just lose it.
71,Just trying to protect you from Mr Ryley.
72,That old relic!
73,Sh!
74,Don't say I didn't try!
75,"Hey, wait!"
76,Can I help you?
77,"Um... yes, well, maybe."
78,I am looking for one of those things that helps keep you organised.
79,It's the sort of thing that tells you when you have to be somewhere.
80," Oh, the Casio day planner."
81, Right.
82,We're out of 'em.
83,What do you want a toy like that for anyway?
84,"Well, a friend of mine told me about it and sometimes I'm not too organised."
85,"Listen, show your friends a thing or two and stay one step ahead of obsolescence."
86, I read that in a brochure.
87, Oh!
88,You want computer components.
89,"You know, like stereo equipment."
90,Then you just update the part that gets outdated.
91,What's your preference?
92,"Apple, Pear, Wang?"
93,"Listen, I don't know anything about computers."
94,"Nobody does, but don't you want one for when you do find out?"
95,"Well, really all I need is something to keep me on time."
96,"Well, look. This will do that."
97," Oh, it will?"
98, For sure.
99,And that's just for starters.
100,It's a new model.
101,"It can play chess, regulate your heating, balance your chequebook, wake you up in the AM, lock your doors at night, threecolour video, fourtone speakers, guaranteed..."
102,I'll give it to at cost.
103," âª Turn me on, just plug me in... âª  There!"
104,"âª Here is my guide, the one you must use for âª Or we will find together it's you, boy âª Now we have found each other for ever âª Turn us on now, plug me in...âª Now what?"
105,Welcome to the world of Pine Cone Computers.
106,"This model will learn with you so type your name and press ""enter"" key to begin."
107,"Oh, that's wrong."
108,"And my name's not ""Moles""."
109,"âª Ooh, you're so fine âª Ooh, now you're mine âª Life is getting better now, soon you will see âª Everything surrounding you is looking fine to me âª Ooh, I never knew your power, baby âª You make me feel so great âª I needed you beside me now âª In every move I make âª And I say ooh, you're so fine... âª OK."
110,"âª Ooh, now it's mine. Jonathan.2016.720p.BluRay.x264BiPOLAR âª Ooh, you're so fine âª Ooh, now you're mine... âª All right!"
111,"âª Hey, you're so fine âª Ooh, now you're mine. âª Huh?"
112,"Hey, lady, where do you want this aquarium?"
113,"I don't know, somewhere with a view."
114,Pretend you are a fish.
115,"Pretend I am a fish?! Who does she think I am, Mr Robinson?"
116,Damn!
117,God dammit!
118,Science officer eyes only. I'll kill him!
119,I'll kill him!
120,First...
121,Lieutenant...
122,...Sulu.
123,That's it! Tomorrow you go back.
124,What the...?
125, Hello.
126, Hello.
127,You must be my new neighbour.
128, You moving in?
129, Uhhuh.
130,It's nice to meet you.
131,My name is Madeline Robistat.
132, Me too.
133, There's more than one of us?
134,"No, I'm Harding. Miles Harding."
135, I meant it's nice to meet you too.
136," Hey, Miss Robistat."
137,Where do you want the hifi?
138,Gotta go. Bekin Brothers beckon!
139,Me too. I'm late.
140, You can put it in the front room.
141, OK.
142," Oh, damn! I'm late."
143," Well, hurry then."
144,Bye.
145,"Hey, lady! Where do you want this?"
146,"Oh, please, That one I'll handle myself!"
147," Oh, no."
148," Oh, yes!"
149,And I wont even charge you for it.
150," Hey, that's some big guitar!"
151," That ain't a guitar, it's a cello."
152,Is that how you play it?
153,That's how I talk to it!
154,It OK?
155,It OK!
156,That's a nice looking instrument.
157,Thanks.
158, Had it long?
159, Since I was 12.
160,You have taken good care of it.
161,"Oh, my name is Millie."
162,And this is Ruth.
163,"Hi, I am Madeline."
164,"Oh, that's Bill."
165,Hello.
166,"Hi, how are you?"
167,Nervous.
168,Let's begin with something simple.
169,Shall we say Tchaikovsky?
170,"Earthquake, huh? Let's see why this doesn't fall apart."
171,Oh!
172,That's neat.
173,Not bad.
174,Coming up to the cello tune.
175,"And let's just listen to our newest member, Madeline Robistat."
176,Ready?
177,That works.
178,"OK, now compute it."
179,"Very good, my dear. Very good indeed!"
180, Nice triads.
181, Thanks.
182,He doesn't impress easily.
183,Three more bars and I would have been on the floor.
184,I don't think so.
185,What are you doing later?
186,A diminished seventh with a minor key change.
187,I mean later. Like later.
188,Celli.
189,I thought you'd like to meet a friend.
190,Or at least my boss's computer.
191,It's for you.
192,I hope it feels all right.
193,What was Ryley's password?
194,Some fairy tale.
195,Snow White?
196,"Hello, Cinderella."
197,"Not so fast, you just got here."
198,Pardon me!
199,What was that fairy tale? Frog Prince?
200,Three Bears?
201,No beer!
202,"Ugly Duckling, Little Red Riding Hood, Jack and the Beanstalk?"
203,Rasputin...
204,"Rapunzel, Rumpelstiltskin!"
205,Rumpelstiltskin?
206,Memory size? Unlimited!
207,Everything!
208,Ow! It's too hot.
209,It's going to melt!
210,Water.
211,Huh?
212,"Real tiger, that one."
213,Thank God I work nights.
214,Hello?
215,Can you hear me down there?
216,I just wanted to say that...
217,"Well, that was wonderful."
218,Hello?
219,Can you hear me?
220,Hello?
221,Don't be shy.
222,That was just beautiful!
223,Hm... Very smart.
224,But weird.
225,Thank you.
226, Oh!
227," Oh, God, I'm sorry."
228, I'm sorry.
229, It's my all my fault.
230,"I didn't mean... Oh, it's you."
231,"Yeah, it's me."
232,"I didn't hurt you, did I?"
233,"No, I'm all right. Here, why don't you just keep your packages with mine?"
234,I think most of them are already there.
235,"Oh, I wanted to tell you how much I enjoyed your music."
236,Yesterday morning.
237,Music? I wasn't even at the...
238, Wait... What did it sound like?
239, Ginger snap?
240,It was so pretty. At first I thought it was the television.
241, From my apartment?
242, Uhhuh.
243, Must have been...
244, Nuts.
245,"What? Oh, I'll get it."
246,Oh.
247, Thanks.
248, Sure.
249,So you are a musician.
250," No, I am archi..."
251, Sh!
252,That's what I heard.
253,That's like your music.
254,I think that's the cash register.
255,"Really? So what are you doing for dinner, Mr Archaeologist?"
256,Architect.
257,So what made you decide to be a musician?
258,My mother.
259,She used to play a lot of music around the house.
260,"Bach, Beethoven, Bing Crosby."
261,And you studied the cello.
