,dialog
0,"Gentlemen, please."
1,"Go, go, go!"
2,There go our Wheat Thins.
3, Right. Right.
4, Are you part of the organisation?
5, Huh?
6, We're ComTeg.
7, We just pick up and deliver.
8," Yeah. Pizza, Chinese food, any food."
9,"Relax, Mr. Vorodny."
10,I'll be your guide tonight.
11,Thank you.
12,Are you connected with the CIA?
13, The what?
14, The CIA.
15,What's the CIA?
16,Circumcised Italian Americans.
17,Chinese Inbreds. That's no shit.
18, We don't know nothin' about the CIA.
19, Not really. Not too much.
20, We're a private intelligence agency.
21, Where do we go from here?
22,You're goin' to a duck farm. We're goin' to party.
23,"Well, George?"
24,A pile of greens couldn't get me past 50.
25,I concede.
26, That's a copout.
27," You deserve the best, baby."
28,âª You belong to my heart...
29,"OK, folks, the party's over. Let's go."
30,You gotta go to bed. You want me to wake you up?
31,Take it easy.
32,"Well, you wind up with the paper."
33,"Come on, sweet thing. Come on, try something that'll help ya."
34,Ohh!
35,Let's go. Five o'clock. Let's go.
36, Five o'clock.
37, Let's go.
38,Mm...
39,"Please, five more minutes."
40,They screwed us out of 20 minutes yesterday. Better get goin'.
41," I gotta shower and shave, man."
42, Here's your juice.
43,You can shower there.
44, OK.
45, Let's go.
46,"Excuse me, honey."
47,I got some news.
48," Yeah, what is it?"
49, Bad. Bad news.
50,"Bad, bad news?"
51,What is it?
52, Do you feel all right?
53," Yeah, not so bad."
54,You OK?
55, What'd you do in there?
56, What's the matter with you?
57,"âª Ridin' on that blue river train âª Ridin' on that blue river train âª Ridin' on that blue river, ridin' on that blue river, ridin' on that blue river train Give me $100."
58,What can you do with this stuff? It's monopoly money.
59, Just get rid of it.
60, Yeah.
61,What do you think of that chick you left in bed?
62, She's pretty nice.
63, Yeah?
64,You're up tonight. She thinks we're a couple of fags cos we split the rent.
65," Not me, buddy boy."
66, Why not?
67,"I'm nosy. I was snoopin' in her purse, and I came across this important document."
68,That's why girls don't go for you.
69,You're always doin' stuff like that.
70,That's really bad news.
