,dialog
0,The Muslim community demands an end to the Army's occupation of mosques.
1,The Homeland Security bill is ratified.
2,"After eight years, British borders will remain closed."
3,The deportation of illegal immigrants will continue.
4,	Good morning. Our lead story.
5,"The world was stunned today by the death of Diego Ricardo, the youngest person on the planet."
6,Baby Diego was stabbed outside a bar in Buenos Aires after refusing to sign an autograph.
7,Witnesses at the scene say...
8,Excuse me.
9,...that Diego spat in the face of a fan who asked for an autograph.
10,He was killed in the ensuing brawl.
11,The fan was later beaten to death...
12,"Coffee, please. Black."
13,...by the angry crowd.
14,"Born in 2009, the son of Marcello and Sylvia Ricardo, a workingclass couple from Mendoza, he struggled all his life with the celebrity status thrust upon him as the world's youngest person."
15,"Diego Ricardo, the youngest person on the planet was 18 years, 4 months, Throughout his life, Diego Ricardo was a tragic reminder of the 18 years of infertility that humanity has endured and its effect upon the world we now live in."
16,It seems that the mantle of the world's youngest human has passed to a woman.
17,"She is 18 years, 5 months and 11 days old."
18, Faron.
19, Mr. Griffiths.
20,"I seem to be more affected by Baby Diego's death than I realized, sir."
21,"If you wouldn't mind, I'd appreciate it if I could finish my day's work at home."
22,...generation needs to reject family and society.
23, He's my dentist.
24, She's my house cleaner.
25, He's the waiter.
26, She's my cousin.
27,They are illegal immigrants.
28,"To hire, feed or shelter illegal immigrants is a crime."
29,It's your life.
30,It's your choice.
31,"Hey, amigo!"
32,Jasper!
33,Good to see you. Come on.
34,You know who did it?
35,Islamic? Fishes? Fuck knows.
36,I'll bet it was the government.
37,"Every time one of our politicians is in trouble, a bomb explodes."
38,It's the second time in a month.
39, You okay?
40, It was horrible.
41,"I'm glad you don't take cream or sugar, amigo."
42,Losing you and Baby Diego on the same day would be too hard to bear.
43,"Well, that was even worse, everybody crying."
44,"I mean, Baby Diego, come on."
45,That guy was a wanker.
46,"Yeah, but he was the youngest wanker on Earth."
47,"Pull my finger. Quick, quick!"
48,Jasper...
49,Fucking hell! That's disgusting!
50,Illegal immigrants. Taking them to Bexhill.
51,Poor fugees.
52,"After escaping the worst atrocities and finally making it to England, our government hunts them down like cockroaches."
53, Any girls?
54, No.
55,What about the one we had lunch with?
56,Lauren?
57,Lorna. That was ages ago.
58, I liked her. What happened?
59, She decided to renounce.
60,Renouncers? Are those the ones that kneel down for a month for salvation?
61,No. They're the Repenters.
62,"The Renouncers flagellate themselves for the forgiveness  of humanity.  Oh, right."
63,"Dating ain't what it used to be, is it, amigo?"
64, What'd you do on your birthday?
65, Nothing.
66,Come on. You must've done something.
67,No. Same as every other day.
68,"Woke up, felt like shit,went to work, felt like shit."
69,"      That's called a hangover, amigo."
70,"At least with a hangover, I feel something."
71,"Honestly, Jasper, sometimes..."
72,You could always come and live with us.
73,"Yeah, but if I did that, I wouldn't have anything to look forward to."
74,Look who it is. It's Theo.
75," Hey, Janice, how you doing?  It's Theo."
76,Your rebel with a lost cause.
77,She loves this color.
78,"Don't you, darling? You love it."
79,"""Is there a chance it will not work for me?"
80,"""There have been no cases of anyone surviving who has taken the preparation. "" Daddy government hands out suicide kits and antidepressants in the rations, but ganja is still illegal."
81,Most of my weed goes to Bexhill now.
82,This bloke buys it from me and smuggles it in.
83,Guess what he does? His real job?
84,Immigration cop.
85,Bravo!
86,One of the many perks of having a refugee camp in the neighborhood.
87,"Come on, taste that."
88,Cough.
89, Cough?
90, Cough.
91,You taste it? Strawberries.
92,This is Strawberry Cough.
93,"So, Human Project is having this dinner and all the wisest men in the world are there..."
94,"""Human Project. "" Why do people believe this crap?"
95,"You know, even if these people existed with these facilities in secret locations..."
96,"Fuck me, that's strong."
97,"Even if they discovered the cure for infertility, it doesn't matter."
98,Too late. The world went to shit.
99,You know what?
100,"It was too late before the infertility thing happened, for fuck's sake."
101,"I was just trying to tell a joke, man."
102,I'm sorry. Go on.
103," No, I'm not telling it now."
104," No, come on, Jasper."
105, No. Fuck it. I'm not fucking telling you.
106, It's all right. Go on.
107,Okay. The Human Project gives this great big dinner for all the scientists and sages in the world.
108,"They're tossing around theories about the ultimate mystery, why are women infertile?"
109,Why can't we make babies anymore?
110,"Some of them say it's genetic experiments, gamma rays, pollution. Same old, same old."
111,"Anyway, in the corner, this Englishman's sitting."
112,He hasn't said a word.He's just tucking into  his dinner.So they decide to ask him.
113,"They say, ""Well, why do you think we can't make babies anymore?"" And he looks up at them, and he's chewing on this great big wing, and he says, ""I haven't the faintest idea,"" he said."
114,"""But this stork is quite tasty, isn't it?"" Eating a fucking stork."
115,Eating the stork.
116,Italia.
117,"You okay, amigo?"
118,Yeah. My ears are still ringing from earlier.
119,"Well, a little Zen music won't bother you, then, will it?"
120,Good morning.
121,The time is 7:59 a. m.
122,"British citizens, hold out your I.D. cards."
123,"All others, follow instructions."
124,What the fuck?
125,Move along! Move along!
126,This is him.
127, Get your fucking head down!
128, Walk!
129, Get your fucking head down!
130, Okay. Okay.
131, Get in!
132, Get him in! Get him in!
