,dialog
0,"Good morning, your Highness."
1,"Good morning, your Highness."
2,"Good morning, your Highness."
3," Happy birthday, your Highness."
4," Yes, it is my birthday."
5,"Oha, it is my 21st birthday."
6,"Do you think, just once, I might use the bathroom by myself?"
7,"Most amusing, sir."
8,Wipers!
9,"The royal penis is clean, your Highness."
10,His Highness must be very excited today.
11,Today is your 21st birthday.
12,It means you meet your wifetobe.
13,How can a man get excited about a woman he's never seen?
14,He certainly is quiet this morning.
15,He looks sad.
16," Is something troubling you, my son?"
17," No, Father."
18,I'm more than the exalted ruler of this land and master of all I survey.
19,I'm also a concerned dad.
20,"Well, Father... Just a moment."
21, What is he doing?
22, It looks as if he's coming here.
23,"Wait right there, Akeem."
24,Rose bearers!
25,Akeem. Come sit.
26,"Now, my son..."
27,Have you grown a moustache?
28,"Jaffe, it has been a year."
29," So, what is it, my son?"
30," First of all, things like this."
31, Like what?
32, The rose petals.
33,"You're the son of a king, why shouldn' you walk on the petals of roses?"
34,"But if there were no rose petals, I would still be the son of a king."
35,"Then it is settled. From this day forth, anyone who throws roses at my son's feet will answer to me."
36,"It is not just that, it is everything."
37,"The cooking, the pampering, the dressing, the bathing..."
38,"Actually, I rather enjoy the bathing, but I'd like to cook for myself, dress myself, wipe my own backside."
39, And why can't I find my own wife?
40, Aha! So that's it?
41,We've gone through a lot of trouble to select for you a very fine wife.
42,"Since she was born, she was taught to walk, speak and think as a queen."
43,But what if I don't love her?
44,It's normal to feel anxiety about meeting your queen.
45,"When I met your father, I was terrified."
46,"I must admit, I was frightened, too."
47,"I was so nervous, I became nauseous."
48,"But over the years, I have grown to love your father very much."
49,"You see, my son, there's a fine line between love and nausea."
50,"I understand, but when I marry, I want the woman to love me for who I am, not because of what I am."
51, And who are you?
52, A man who's never tied his shoes.
53,Wrong! You're a prince who's never tied his shoes.
54,I tied my own shoes once.
55,It is an overrated experience.
56,"Good morning, your Majesty."
57,It's another beautiful day in Zamunda.
58,"And, Semmi, what is it now?"
59,"You look especially radiant today, your Grace."
60,I was remarking to my mother the other day what lovely skin the Queen has.
61,"Semmi, don't you have somewhere you should go?"
62,"Yes, I was about to take the birthday boy for his daily workout."
63,"Excuse me, Father. And Mother."
64,"Have a good day, my son."
65,"Akeem, what happened to the rose bearers?"
66,"Let's see if you can defend yourself, you sweat from a baboon's balls."
67,"So you can have a woman who will obey your every command, but you'd rather have a woman who has an opinion?"
68,"Only dogs are to obey. If you love your wife, you'll value her opinion."
69,Hippopotamus shit! You're the heir to the throne of Zamunda.
70,"Your wife need only have a pretty face, firm backside and big breasts."
71,"So you would share your bed, and your fortune, with a beautiful fool That's the way it's always been with men of power. It's tradition."
72,It's also tradition that times must change.
73,Get your Royal Engagement Tshirt!
74,Step up and get your Royal Tshirt!
75, These really are delicious.
76," Yes, thank you."
77,Your Majesty.
78,I am Colonel Issy.
79,"And today, with your blessing, I offer my daughter to your son."
80,My blessing is granted.
81,Let the courtship commence.
82,"Pardon me. Step aside, please. Coming through. Excuse me. Out of the way!"
83,"Greetings, great Prince."
84,Presenting Miss Imani Issi.
85,"She's your Queentobe A Queentobe forever A Queen who'll do whatever His Highness desires She's your Queentobe A vision of perfection Ah object of affection To quench your royal fire Completely free from infection To be used at your discretion Waiting only for your direction Your Queentobe May I talk to you alone for a moment, please?"
86,Excuse us for a moment.
87, So...
88, Am I not all you dreamed I would be?
89,"You're fine. Beautiful But if we're going to be married, we should talk and get to know each other."
90,"Ever since I was born, I have been trained to serve you."
91,"I know, but I'd like to know about you."
92,What do you like to do?
93,Whatever you like.
94, What kind of music do you like?
95, Whatever kind of music you like.
96,"I know what I like, and you know what I like, 'cause you were trained to know, but I would like to know what you like."
97,Do you have a favourite food?
98,Good! What is your favourite food?
99,Whatever food you like.
100,This is impossible.
101,I command you not to obey me.
102,No.
103,"Are you saying that no matter what I tell you to do, you will do?"
104,"Yes, your Highness."
105," Ahything I say, you'll do?"
106," Yes, your Highness."
107,Bark like a dog.
108,A big dog.
109,Hop on one leg.
110,Make a noise like an orangutan.
111,I see the two of you are getting along.
112,"Excuse me, Imani, for a moment."
113,"Fine girl, isn't she?"
114,I told you not to worry.
115,Father...
116,About this wedding...
117,"The guests are waiting, your Majesty."
118,Let them wait! I'm talking to my son.
119,Come. Let's go for a stroll.
120,"Hello, Babar."
121,"Time flies. It seems only yesterday I ordered your first diaper changed, and now you're a man who's about to be married."
122,"She will give you much pleasure, don't you think?"
123,I'm not sure if I'm ready.
124,"I know we never had a talk about this, but I always assumed you had sex with your bathers. I know I do."
125,"It's not that. I'm 21 years old, and I have never left Zamunda."
126,I have yet to experience what the outside world has to offer.
127, So you want to sow your royal oats?
128," No, it's not that..."
129,"You're right! Get out, see the world."
130,Enjoy yourself.
131,"Fulfil every erotic desire, and in 40 days, you will marry Imani."
132," But, Father..."
133, it is settled.
134,"May I have your attention, please?"
135,The wedding will proceed in 40 days.
136,You may go home now. Good night.
137,Oha. Prepare the royal baggage.
138,My son is going on a trip.
139,Prepare the royal baggage!
140,This trip is an excellent idea.
141,Semmi. I have something else in mind.
142,I intend to find my bride.
143,What is wrong with the one you have?
144,Didn't you want to rip her clothes off?
145,I want a woman who will arouse my intellect as well as my loins.
146, Where would you find such a woman?
147, In America.
148,"The land is so big, the choices so infinite."
149,Where shall we go?
150,Los Ahgeles or New York?
151,We'll let fate decide.
152,"Heads, New York. Tails, Los Ahgeles."
153,We go to New York.
154,But where in New York can one find a woman with grace and elegance?
155,A woman suitable for a king.
156,Queens!
157,Mr Frank Oznowitz. Please pÂ¡ck up a white courtesy telephone.
158,No one here can know I am royalty.
159,I must appear as an average man.
160,I will not say a word.
161,Halt!
162,You dumb fuck!
163,Take us to Queens at once.
164,Do you want to go to Queens?
165,Rich fellows should be in Manhattan.
166,Stay at the Waldorf or the Palace.
167, Take us to the Palace.
168," No, I want Queens."
169,And we're not rich.
170,We're ordinary African students.
171,"Whatever you say, pal  What part of Queens do you want?"
172, Take us to the most common part.
173,"That's easy. If there's one thing Queens got a lot of, it's common parts."
174,"What does ""dumb fuck"" mean?"
175, Is this shitty enough for you?
176," Yes, this is perfect."
177,"Fascinating! Semmi, look at this."
178,"America is great indeed. A country so free, one can throw glass on the street."
179,You must be out of your goddamn mÂ¡nd!
180,Listen. Real Americans.
181,Sugar Ray Robinson's the greatest fighter that ever lived.
182, What about Joe Louis?
183," ""The Brown Bomber""."
184, That was a great boxer.
185, You're damn right.
186,I suppose nobody in here ever heard of Cassius Clay.
187,He's got a point. Cassius Clay was a bad motherfucker.
188,I ain't saying Clay ain't bad.
189,I stopped liking him when he changed his name to Muhammad Ali.
190,Wait a second. Wait a second.
191,A man has the right to change his name to whatever he wants to change it to.
192,"And if a man wants to be called Muhammad Ali, you should respect his wishes and call the man Muhammad Ali."
193,His momma named him Clay.
194,I'm going to call him Clay.
195, I say Clay.
196, Get out of here.
197,He'll always be Clay to me. I don' care what he change his name to.
198,"Well, then you're a putz."
199,The three of you. Three putzes.
200,"You should change the name from ""MyTSharp"" to ""The Three Putzes""."
201, What the fuck do you want?
202, We desire a room.
203,You'd better not be wasting my time.
204,You got money?
205,"Come on in, gentlemen."
206,"Yo, man! Get the big bag."
207,"Excuse me if I was brusque, but we get booboos in here without a dollar."
208,"Obviously, you gentlemen came in on another boat."
209, We seek meagre accommodations.
210, Excuse me?
211,We require a room that is very poor.
212,"Hey, Stu."
213,"Your rent's due, motherfucker."
214,And don't pull that falling down the stairs shit on me. You're conscious.
215,"Every month, the same damn thing..."
216,Here we are.
217,"There's only one bathroom on this floor, so you have to share it."
218,"Got a bit of an insect problem, but you boys from Africa are used to that."
219,And don't use the elevator.
220,It's a death trap.
221,This is the place that I was telling you about. It's real fucked up.
222,The window faces a brick wall.
223,I used to rent it to a blind man.
224,It's a damn shame what they did to that dog.
225,We will take the room.
226,Yes.
227,"Behold, Semmi! Life. Real life."
228,A thing that we have been denied for far too long.
229," Good mornÂ¡ng, my neÂ¡ghbours!"
230, Fuck you!
231,"Yes! Yes! Fuck you, too!"
232,I suspect that these are the people that have stolen our luggage.
233,Do you want to buy some toothbrushes?
234,"I've got some real fly personal hygiene products, and a hairdryer."
235,"Thief! Stop thief! Come back, thief!"
236," Semmi, let him go."
237, Those things belong to us.
238,It's good we're rid of those things.
239,Let them wear our princely robes.
240,We're in New York now.
241,Let us dress as New Yorkers.
242, I feel like a complete idiot.
243, Don't be ridiculous.
244,"You know, you can be all the thÂ¡ngs you've always wanted to be."
245,"Beautiful, sexy..."
246,"One, two, three..."
247,Soul Glo.
248,Perhaps I should cut off my prince's lock.
249,You're out of your mind! Joe Louis is the greatest boxer that ever lived.
250,I'll be with you in a minute.
251,"He was better than Clay, Sugar Ray and that new boy  Mike Tyson."
252,"He was better than him, too."
253,He'd whip all their asses!
254, What about Rocky Marciano?
255, There they go. There they go.
256,"Every time I talk about boxing, a white man pulls Rocky Marciano out his ass."
257,"That's their one, that's their one."
258,"""Rocky Marciano, Rocky Marciano!"" Let me tell you something."
259,"Rocky Marciano was good, but compared to Joe Louis, Rocky Marciano ain't shit!"
260,He beat Joe Louis' ass.
261, He did whop Joe Louis' ass.
262, Joe Louis was 75 years old!
263,"I don't know how old he was, but he got his ass whooped."
264,Joe Louis came out of retirement to fight Marciano. He was 76 years old.
265,Joe Louis always lied about his age.
266,"Once, Frank Sinatra sat in this chair."
267,"I said, ""Y ou hang out with Joe Louis."
268,"How old is he?"" Frank said, ""Joe Louis is 137 years old""."
269,"Oh, man."
270,You ain't never met no Frank Sinatra.
271,"Fuck you, fuck you and fuck you!"
272,Who's next?
273,What's that? Some kind of weave or something?
274,It's my natural hair.
275,I've been growing it since birth.
276,What kind of chemicals you got in there?
277,"None, only juices and berries."
278,That ain't nothing but UltraPerm.
279,How do you want it cut?
280,Just make it nice and neat.
281,That'll be 8 dollars.
282,"Tell me, Semmi. Honestly..."
283,How do I look?
284,It is time to find your queen.
285,I've got a secret.
286,"I worship the devil See, that's the problem."
287,I can't find a man that can satisfy me.
288,"Some guys go an hour, hour and a half. That's it."
289,A man's got to put in overtime for me to get off.
290,I'm not interested in a man unless he drives a B.M.W.
291,"Well, you know, baby, I'm almost single."
292,My husband's on Death Row.
293,This is the first date Teresa and I have been on since the doctor separated us.
294,I'm into the group thing.
295,I was Joan of Arc in my former life.
296,"My name is Peaches And I'm the best All the D.J. S want to feel my breasts I want to work in videos, but I want to be my own star in the video, because I want to be a pop singer, a rock singer, and write my own songs."
297,"And then I'm going to try an actress, 'cause people tell me I'm a natural Then I'm going to write and direct my own stories, produce the movies..."
298,I hope you don't mind me coming over and sitting down.
