,dialog
0,"Julie, get me some water for my wash up..."
1,...then get inside with your sisters.
2,"Ready, Papa."
3,"Thank you, my darling..."
4,...now you go inside with your sisters.
5,Don't run.
6,Is this the property of Perrier LaPadite?
7,I am Perrier LaPadite.
8,"It is a pleasure to meet you, Monsieur LaPadite..."
9,...I am Colonel Hans Landa of the SS.
10,What can I do for you?
11,I was hoping you could invite me inside your home...
12,...and we may have a discussion.
13,Certainly. After you.
14,"Colonel Landa, this is my family."
15,Colonel Hans Landa of the SS...
16,...Mademoiselle...
17,...at your service.
18,The rumors I have heard in the village about your family are all true.
19,Each one of your daughters is more lovely than the last.
20,Merci.
21,Please...
22,...have a seat.
23,"Suzanne, would you be so good as to get the Colonel some wine?"
24,But no.
25,"Merci beaucoup, Monsieur LaPadite, but no wine."
26,"This being a dairy farm, one would be safe in assuming you have milk?"
27,Yes.
28,Then milk is what I prefer.
29,Very well.
30,"Julie, would you mind closing the window?"
31,Merci.
32,"Monsieur, to both your family and your cows..."
33,"...I say, ""Bravo."" Thank you."
34,Please join me at your table.
35,Very well.
36,Monsieur LaPadite...
37,...what we have to discuss would be better discussed in private.
38,You'll notice I left my men outdoors.
39,"If it wouldn't offend them, could you ask your lovely ladies to step outside?"
40,You are right.
41,"Charlotte, would you take the girls outside?"
42,The Colonel and I need to have a few words.
43,Monsieur LaPadite...
44,...I regret to inform you I've exhausted the extent of my French.
45,To continue to speak it so inadequately would only serve to embarrass me.
46,"However, I've been led to believe you speak English quite well."
47,Yes.
48,"Well, it just so happens, I do as well."
49,This being your house...
50,...I ask your permission to switch to English...
51,...for the remainder of the conversation.
52,By all means.
53,"While I'm very familiar with you and your family, I have no way of knowing if you are familiar with who I am."
54,Are you aware of my existence?
55,Yes.
56,This is good.
57,"Now, are you aware of the job I've been ordered to carry out in France?"
58,Yes.
59,Please tell me what you've heard.
60,I've heard that the FÃ¼hrer has put you in charge of rounding up the Jews left in France who are either hiding or passing for Gentile.
61,The FÃ¼hrer couldn't have said it better himself.
62,"But the meaning of your visit, pleasant though it is, is mysterious to me."
63,The Germans looked through my house nine months ago for hiding Jews and found nothing.
64,I'm aware of that.
65,I've read the reports of this area.
66,"But like any enterprise, when under new management, there is always a slight duplication of efforts, most of it being a complete waste of time, but needs to be done nevertheless."
67,"I just have a few questions, monsieur LaPadite."
68,"If you can assist me with answers, my department can close the file on your family."
69,"Now, before the occupation, there were four Jewish families in this area, all dairy farmers like yourself."
70,"Doleracs, Rollins, the Loveitts and the Dreyfuses."
71,Is that correct?
