,dialog
0,"Subtitles by explosiveskull Ten centuries ago, before the Age of Obedience, free dogs roamed at liberty, marking their territory."
1,"Seeking to extend its dominion, the catloving Kobayashi Dynasty declared war and descended in force upon the unwary fourlegged beasts."
2,"On the eve of total canine annihilation, a child warrior sympathetic to the plight of the besieged underdog dogs betrayed his species, beheaded the head of the head of the Kobayashi clan and pledged his sword with the following battlecry haiku."
3,I turn my back On mankind!
4,Frost on windowpane.
5,"He would later be known as the Boy Samurai of Legend, RIP."
6,"At the end of the bloody dog wars, the vanquished mongrels became powerless housepets: tamed, mastered, scorned."
7,But they survived and multiplied.
8,"The Kobayashis, however, never forgave their conquered foe."
9,"The Japanese archipelago, 20 years in the future."
10,Canine Saturation has reached epidemic proportions.
11,An outbreak of Snoutfever rips through the City of Megasaki.
12,"Blizzards of infected fleas, worms, ticks and lice menace the citizenship."
13,DogFlu threatens to cross the species threshold and enter the human diseasepool.
14,"In a special midnightsession at the Municipal Dome, Mayor Kobayashi of Uni Prefecture issues emergency orders calling for a hasty quarantine: the expulsion and containment of all breeds, both stray and domesticated."
15,"By official decree, Trash Island becomes an exile colony."
16,The Isle of Dogs.
17,Respecto.
18,It's not fair to the dogs.
19,The path favored by Mayor Kobayashi is cruel and unscientific.
20,"For a thousand years, these resilient animals have loved, served and protected us."
21,"Now, in their time of greatest need, we forsake them again?"
22,A tidalwave of AntiDog hysteria has crippled our moral judgment.
23,"Give me six months, and I will deliver a serum."
24,"I'm this close, dammit."
25,DogFlu will be eradicated.
26,Snoutfever will be defeated.
27,Canine Saturation will be returned to sustainable levels and without massneutering!
28,Whatever happened to man's best friend?
29,"No, no, no!"
30,The crowd is calling for the immediate ratification and approval of the mayor's proposal.
31,"As a gesture of public solidarity, Mayor Kobayashi is calling upon his Assistant HatchetMan, MajorDomo, to furnish the personal bodyguarddog of the mayoralhousehold, Spots Kobayashi, into the possession of the Committee for Canine Desaturation."
32,Spots will be the first dog to be officially deported from the city.
33,Six months later.
34,"Nomadic packs of oncedomesticated housepets, sick and hungry, rove the garbage canyons and filthy ravines, scrounging for scraps."
35,One hundred per cent test positive for the DogFlu germ.
36,"Symptoms: weightloss, dizziness, narcolepsy, insomnia, and extreme/aggressive behavior."
37,"Threequarters display signs of earlyonset Snoutfever: hightemperature, low bloodpressure, acute moodiness and spasmodic nasal expiration."
38,"The exiled dogpopulation grows weaker, sadder, angrier."
39,Desperate.
40,"Hey, wait a second."
41,"Before we attack each other and tear ourselves to shreds like a pack of maniacs, let's just open the sack first and see what's actually in it."
42,It might not even be worth the trouble.
43,What do you say?
44,I'm not sure.
45,Maybe.
46,Alright.
47,"A rancid apple core; two wormeaten banana peels; a moldy rice cake; a driedup pickle; tin of sardine bones; a pile of broken eggshells; an old, smushedup, rotten gizzard with maggots all over it..."
48,"Okay, it's worth it."
49,Get out of here and don't come back.
50,"Sheesh, Igor. I think he chewed your ear off."
51,Hmm... Hmm.
52,I don't think I can stomach any more of this garbage.
53,Same here.
54,Words out of my mouth.
55,I used to sleep on a lamb'swool beanbag next to an electric spaceheater.
56,That's my territory.
57,I'm an indoor dog.
58,I starred in 22 consecutive DoggyChop commercials.
59,Look at me now.
60,I couldn't land an audition.
61,I was the lead mascot for an undefeated highschool baseball team.
62,I lost all my spirit.
63,I'm depressing.
64,"I only ask for what I've always had: a balanced diet, regular grooming, and a general physical once a year."
65,I think I might give up.
66,"What, right now?"
67,Right now.
68,There's no future on Trash Island.
69,"You heard the rumor, right? About Buster."
70,Not sure.
71,Can you remind me?
72,Who's Buster?
73,"Uh, my brother from another litter."
74,What happened to him?
75,Suicided.
76,Hanged himself by his own leash.
77, Hmm.
78," Oh, boy."
79,I want my master.
80,Ah...
81,You make me sick.
82,I've seen cats with more balls than you dogs.
83,Stop licking your wounds!
84,You hungry?
85,Kill something and eat it.
86,You sick? Take a long nap.
87,You cold?
88,"Dig a hole in the ground, crawl into it, and bury yourself."
89,"But nobody's giving up around here, and don't you forget it, ever."
90,You're Rex!
91,You're King!
92,You're Duke!
93,You're Boss!
94,I'm Chief.
95,"We're a pack of scary, indestructible Alpha Dogs."
