,dialog
0,Subtitled by jnb_bd jnb_bd@yahoo.com Good morning.
1,"Good morning, Doctor."
2,"Mr. Rane, would you like one last look  at your face before I proceed?"
3,I never live in the past.
4,"No, thank you."
5,I have to give you something for the pain.
6,There will be no pain.
7,Proceed.
8,Scalpel.
9,All right. You know the drill.  Be very careful.
10,This is Charles Rane we're dealing with.
11,Where is he?   Plastic Surgery. Third floor.
12,He keeps changing his face.
13,"If we blow this,   we won't get another chance."
14,Move out!
15,What time is it?
16,What?
17,I want you to tell me what time it is.
18,Twelve o'clock.
19,Get down!
20,Move it out there!
21,Stairs! Other way!
22,Don't move! Freeze! Don't move!
23,"Charles Rane, FBI."
24,You're under arrest.
25,Enjoy the flight.
26,There you go.   Thanks.
27,You're welcome.
28,Listen up! Shut up! Sit!
29,Do as I say and nobody gets hurt.   You have the keys to the flight deck?
30,"We're going to move there, nice and slow."
31,Don't make me use this.
32,Nice and slow.
33,There you go.
34,Real nice.
35,Real nice.
36,Turn it off.
37,May I ask you what you were doing?
38,I was improvising   on your security techniques.
39,"That's cute. That's real cute, Miss...?"
40,"Slayton, but my friends call me Marti."
41,Well. See...
42,"...if this had been a real gun, that   Angie Dickinson bullshit you just pulled..."
43,...would've got your head blown off.
44,And endangered the lives   of all the other passengers.
45,I was trying to save lives.
46,The next time a man holds a gun   to your head on a crowded plane...
47,...you follow instructions.
48,You do exactly what he tells you to do.   Do you understand?
49,This is why I gave up my afternoon?
50,So a former security specialist   can tell me how to obey a hijacker?
51,"First of all, I'm not a ""former"" anything."
52,"Second of all, I like what I do."
53,I get the chance to meet people like you.
54,"I know we got a lot of information   to think about, so class dismissed."
55,We'll hijack you again next week.
56,What the hell are you doing here?   I'm doing fine. How're you?
57,What's wrong with your foot?
58,I appreciate you throwing some business   my way...
59,...but you have no right to interfere   with my class.
60,Look around.   This is an airline training facility.
61,This is not the Secret Service. Calm down.
62,"Now you're telling me my job, too?"
63,What she did was wrong. Period.
64,There was a time you'd have let her know   without blowing your cool.
65,It just dawned on me.   She kind of reminds me of Lisa.
66,She looks nothing like Lisa.
67,"I didn't say she looked like her,   I said she reminded me of her."
68,We gotta talk.   I'm not interested in coming back.
69,Did I ask you to?   You were about to.
70,Don't tell me teaching security techniques   to bodyguards...
71,...night watchmen and flight attendants   is what you want to do.
72,"It's a job, Sly. I like it."
73,Ramsey wants me to hire   the best person available...
74,...to head up the counterterrorism unit.   That'd be you.
75,I don't want that responsibility.
76,"I don't wanna be so goodlooking,   but I deal with the hand that's dealt me."
77,Nobody can do the job better than you.
