,dialog
0,There's a tornado watch for a portion of West Texas.
1,Brian Chadwick is with the county sheriff's office in Sweetwater.
2,We're trying to get the word out to the community to brace themselves.
3,We hope this thing's not gonna develop into a real funnel...
4,"but after Saragosa, we're not taking any chances."
5,The National Weather Service says the storm is moving northeast...
6,"and with the exception of some rain, it shouldn't affect the DallasFort Worth area."
7,"That's news, sports and weather. I'm Frank Castle for KGAB talk radio news."
8,"From the heart of the Lone Star state, it's time for Dallas' most popular talk show, Night Talk with Barry Champlain."
9, Bad to the bone  The KGAB phone lines are open and ready for your call...
10,at 555TALK.
11,"And now your host for Night Talk, Barry Champlain."
12,The worst news of the night is that...
13,three of four people say they'd rather watch TV than have sex with their spouse.
14,"The second worst news is that some kids needed money for crack last night, so they stuck a knife in the throat of an 80yearold grandmother..."
15,down on Euclid Avenue right here in Dallas.
16,One night in one American city.
17,Multiply that by hundreds of cities and what have you got?
18,"A country where culture means pornography and slasher films,; where ethics means payoffs, graft, insider trading,; where integrity means lying, whoring and intoxication."
19,"This country is in deep trouble, people."
20,This country is rotten to the core and somebody better do something about it.
21,"Take your hand out of that bowl of Fritos, throw away your National Enquirer, and pick up the phone, hold it up to your face..."
22,and dial 555TALK.
23,Open your mouth and tell me what we're gonna do about the mess this country's in.
24,"""Talk radio"", it's the last neighborhood in town."
25,People don't talk to each other anymore.
26,Let's go to the first caller.
27,A lot of problems with the country today have a lot do...
28,with the continued exploitation of the third world countries.
29,"Wait. Third world countries? Where'd you learn that phrase, in college?"
30, Do you know what it means?
31, You're getting off the track.
32,"We're not getting off the track, we're getting on."
33,"Josh, go back to college. When you graduate, give me a call."
34,A prime example of that uniquely American institution; the concerned bleedingheart liberal...
35,looking for people with problems he can call his own.
36, Francine in Oakline.
37, I'm a transvestite.
38,I'm trying to save money for an operation...
39,What interest do you think your adventures in surgery hold for my listeners?
40, It's something I have to talk about.  I don't. Night Talk.
41,Let me put you on hold. You slip some testosterone into Barry's coffee?
42, The guy's possessed tonight.
43, He's a little tense.
44,Get outta here!
45,"Sometimes I come home from work and we have dinner together, you know?"
46,"No, I don't know. You have dinner at the table with your cat?"
47," With a tablecloth and candles?  No, Barry."
48, Just her own plate on the floor.
49, Good.
50,"But we eat the same things. Like if I have a pork chop, she has a pork chop."
51,"If I have a veal, she has a veal."
52,"Glenn, take my advice."
53,Stop hangin' around with the pussy. Go find some.
54,"I'm listening, Michael."
55,What's up?
56,"Yeah, I heard your little advertisement there for the pizza place."
57,"Yeah, Jericho's Pizza. I love that pizza. Don't you like it?"
58, You sound like you'd love it.
59, I enjoy Jericho's Pizza.
60,"What I wanted to say to you tonight, Mr. Champlain, was..."
61,"I have an interest in this place, or at least, some friends of mine..."
62,"Just use onesyllables, Billy, if it's difficult. Oh, Michael."
63," Hey, smart guy."
64, Just use onesyllable...
65,Smart guy?
66,"We're being ""Smart guy""."
67,We got somebody with a little lip on us tonight.
68, Hey.
69," Don't call me ""Hey. "" This is not a conversation. This is a monologue. I talk, you listen."
70, Understand me?
71," Oh, yeah, we're listening."
72,Yes?
73,Go ahead.
74,I don't want you makin' any more comments about the pizza joint.
75, Do you have relatives that run the place?
76, People gotta make money on this.
77, Uncle Vinnie or someone?
78, There are people...
79,"You know what, Michael?"
80,You're a meatball.
81, Debbie in Highland Park.
82, My name is Debbie.
83,"Hello, Debbie."
84,How old are you?
85, I'm 23.
86, Uhhuh.
87, What do you do?
88, I don't do anything.
89,When was the last time you did something?
90,I don't know.
91,About a month ago.
92, What'd you do a month ago?
