,dialog
0,vivia o sujeito de quem quero falar.
1,Um cara chamado Jeff Lebowski.
2,Pelo menos esse foi o nome que ele recebeu dos pais.
3,Mas ele nunca gostou muito desse nome.
4,"Lebowski gostava de ser chamado de ""Cara""."
5,"""Cara"" é um nome que ninguém escolheria de onde eu venho."
6,"Mas muita coisa sobre o ""Cara"" não fazia sentido para mim."
7,Inclusive muita coisa sobre onde ele vivia.
8,"Talvez, por isso, eu tenha achado o lugar tão interessante."
9,"Chamam Los Angeles de ""cidade dos anjos""."
10,Não achei exatamente isso...
11,mas admito que há muita gente boa por lá.
12,"Eu não conheço Londres, e nunca estive na França."
13,"E nunca vi nenhuma rainha de calcinha, como diz o ditado."
14,Mas vou dizer uma coisa.
15,"Depois de ver Los Angeles e a história que vou contar, acho que vi algo tão sensacional quanto veria em qualquer um desses lugares. E em inglês."
16,"Agora, posso morrer com um sorriso no rosto, sem achar que Nosso Senhor me enganou."
17,"A história que vou contar aconteceu no começo dos anos 90, na época do nosso conflito com Saddam e os iraquianos."
18,"Só menciono isso porque as vezes, um homem..."
19,Não vou dizer herói porque...
20,O que é um herói?
21,"Mas, as vezes, um homem..."
22,"Estou falando do ""Cara""."
23,"Às vezes, um homem é o homem certo para determinado tempo e lugar."
24,Ele se encaixa perfeitamente.
25,E foi assim com o Cara em Los Angeles.
26,"Mesmo que ele fosse preguiçoso, e o Cara era com certeza o sujeito mais preguiçoso de Los Angeles, e por isso, um dos mais preguiçosos do mundo..."
27,"Mas as vezes, um sujeito..."
28,"Às vezes, um sujeito..."
29,Perdi o fio da meada.
30,Mas acho que já o apresentei bastante.
31,Será uma ação coletiva.
32,"Isto não vai ficar assim, esta agressão contra o Kuwait."
33,"Onde está a grana, Lebowski?"
34,"Quero a grana, Lebowski."
35,Bunny disse que está com você.
36,"Onde está a grana, Lebowski?"
37,Onde está a grana?
38,"Onde está o dinheiro, cabeça de merda?"
39,Deve estar em algum lugar.
40,Vou dar uma olhada.
41,Não tente nos enrolar.
42,"Sua mulher deve dinheiro a Jackie Treehorn. Então, você também deve."
43,"Isto é em homenagem aos caloteiros, Lebowski."
44,Não faça isso.
45,"Não no tapete, cara."
46,"Viu o que acontece, Lebowski?"
47,Ninguém me chama Lebowski.
48,Você se enganou. Sou o Cara.
49,Seu nome é Lebowski.
50,Sua mulher é Bunny.
51,Minha mulher? Bunny?
52,Viu alguma aliança no meu dedo?
53,Esta casa parece de alguém casado?
54,A tampa da privada fica para cima.
55, Que droga é essa?
56, É óbvio que você não joga golfe.
57, Woo?
58, Sim.
59,Esse cara não devia ser milionário?
60,Droga.
61,O que você acha?
62, Ele parece um Zé Ninguém.
63, Pelo menos tenho uma casa.
64, Não tenho tempo para isso.
65," Muito obrigado, cretino."
66,O GRANDE LEBOWSKI Estou arrasando hoje.
67,"Pode marcar, Cara."
68,Era um tapete de valor.
69,Ele compunha o ambiente da sala.
70, Era um tapete...
71," O que compunha a sala, Cara?"
72,"Estava escutando a história do Cara, Donny?"
73, Estava jogando.
74," Então, não tem ponto de referência."
75,É como uma criança que chega no meio do filme...
76,"Walter, aonde quer chegar?"
77,Quero dizer que não há motivo...
78,"Sim, Walter, aonde quer chegar?"
79,Sabemos de quem é a culpa.
80,Do que você está falando?
81,De que diabos está... Não estou...
