,dialog
0,I was put here to kill.
1,"You were too, whether you know it or not."
2,"We kill because it solves problems, because after all the options have been exhausted and everything else fails, we have one way to solve problems."
3,And that's why we're here.
4,That's not why I'm here.
5,"I'm here to protect our troops, to protect our interests."
6,"I was put here to help create a democracy, to enforce justice."
7,Yeah? And how do you do that?
8,"You do that with this, this right here."
9,"After everything else fails, it all comes down to this, baby."
10,This is justice. Power is justice.
11,"Killing solves problems, That seems like the solution."
12,It's called right and wrong.
13,Does not compute.
14,Where does right and wrong factor in to this place?
15,You tell me  what difference does right and wrong make here?
16,"Shit, man, right and wrong only matters where it has impact."
17,"There's always a right and wrong, as long as you have the choice."
18,You ain't got no choice here.
19,Only choice is living or dying.
20,Going through life without a choice is like driving without the headlights on.
21,"Hey, hey, hey, quit fucking around, man."
22,What's the point of seeing when you can't steer anyway?
23,Fuck you. Turn the lights on.
24,Fuck you.
25,Fuck you!
26,Turn the fucking lights on.
27,You don't know what's out there.
28,"No, no, no, no, no, you don't stop."
29,You do not stop!
30,I just hit a fucking kid.
31,You don't stop for anything at night.
32,What the fuck was that?
33,It was a fucking kid.
34,What's a kid doing in the desert?
35,I don't give a fuck if you just hit your grandmother.
36,You do not sidestep protocol.
37,You do not stop for anything at night!
38,What if he's still alive?
39,Bailey's right.
40,"You're not supposed to stop, it's the rules. It could be an ambush."
41,You put this piece of shit in gear and go.
42,That's an order!
43,Fuck you. I'm doing the right thing.
44,Kill those goddamn floods.
45,Kill those goddamn floods!
46,Kill those fucking lights.
47,Kill those fucking lights right now!
48,That's just who he was.
49,He pulled four people out of there and then tried to put the pin back in.
50,He tried to put the pin back in?
51,I didn't know you could do that.
52,Apparently you can.
53,Did you know he was working on an opera?
54,"Barthenoy's many friends, some of whom have gathered here today, suggested that he was a man who loved his country and gave his life protecting not only our freedoms, but the lives of his fellow soldiers  in essence, doing God's work."
55,"Barthenoy was not only thoughtful, a responsible and a loving man, but a hero."
56,He is an example for us all.
57,"But although he is a hero, Barthenoy had not yet clarified his spirituality and his relationship with Jesus."
58,"Well, Jesus said, ""I am the way, the truth and the life."
59,"""No man cometh unto the Father but by me,Â John 1436."
