,dialog
0,We come in peace for cats  and mice everywhere.
1,"Hey, how you doing? Good to see you."
2,Thanks for coming out.
3,Itchy ... Itchy ...
4,Boring!
5,"Dad, we can't see the movie."
6,I can't believe we're paying to see something we get on TV for free.
7,"If you ask me, everybody in  this theater is a giant sucker."
8,Especially you.
9,Especially you.
10,Movie on the big screen!
11,Excuse me. My heinie is dipping.
12,"All right, well, thanks a lot for coming."
13,We've been playing for three and a half hours.
14,Now we'd like just a minute of your time to say something about the environment.
15, You suck!
16, Shut up and play!
17, Preachy!
18, We're not being preachy.
19,"But the pollution in your lake, it's dissolving our barge."
20,I thought they touched on a vital issue.
21,I beg to differ.
22,"Gentlemen, it's been an honor playing with you tonight."
23,For the latest rock band to die in our town ...
24,"Lord, hear our prayer."
25,"Lord, hear our prayer."
26,I hate being late.
27,"Well, I hate going."
28,Why can't I worship the Lord in my own way ...
29,by praying like hell on my deathbed?
30,"Homer, they can hear you inside."
31,Relax. Those pious morons are too busy talking to their phonybaloney God.
32,How you doing? Peace be with you.
33,Praise Jebus.
34,Today I'd like to try something a little different.
35,I'm going to call on one of you!
36,"Now, the word of God dwells within everyone."
37,I want you to let that word out.
38,Let your spirit ...
39,"What is it, Ned?"
40,The good Lord is telling me to confess to something.
41,"Gay, gay, gay."
42,An immodest sense of pride in our community.
43,Somebody else?
44,Let the Lord's light shine upon you.
45,Feel the spirit.
46,Let it out!
47,"Horrible, horrible things are going to happen!"
48,And they're gonna happen to you!
49,And you! And you! And you.
50,"Whoa, nelly!"
51,"People of Springfield, heed this warning: Twisted tail!"
52,A thousand eyes!
53,Trapped forever!
54,"Dad, do something!"
55,This book doesn't have any answers!
56,Beware! Beware! Time is short!
57,Believe me! Believe me!
58,Thanks for listening.
59,"Okay, who wants waffles?"
60,"I do, I do, I do!"
61,Wait a minute. What about Grampa?
62, I want syrup!
63, I want strawberries!
64,Something happened to that man.
65,I'll tell you what happened to him.
66,A certain someone had a senior moment.
67,"But that's okay, because we love him and we got a free rug out of it."
68,What is the point of going  to church every Sunday ...
69,"when if someone we love has a genuine religious experience, we ignore it?"
70,"Right, Grampa?"
71,I want bananas on my waffles.
72,I rest my case.
73,I'm not dropping this.
74,Wait a minute.  I'm still in the car.
75,"Oh, right."
76,"""Take out hornets' nest."" Check. ""Fix sinkhole."" Check."
77,"""Reshingle roof""?"
78,Steady.
79,Steady.
80,"Why, you little ...!"
81,I'll teach you to laugh at something that's funny!
82,"You know, we are on the roof."
83,We could have some fun.
84,What kind of fun?
85,How about a dare contest?
86,That sounds fun.  I dare you to ...
87,climb the TV antenna!
88, Piece of cake.
89, Earthquake!
90,Aftershock!
91,"Homer, I don't mean to be a Nervous Pervis ..."
92,"but if he falls, couldn't that make your boy a paraplegearino?"
93,"Shut up, Flanders."
94," Yeah, shut up, Flanders."
95," Well said, boy."
96,Steady. Steady.
97,Steady ...
98,Hello. Sorry to bother you on a Sunday ...
99,but I'm sure you're as worried about the  pollution in Lake Springfield as I am.
100,Lake Springfield has higher levels of mercury than ev ...
101,"Why, it's the little girl who saved my cat."
102,Lake Springfield is ...
103,"Come on over, Lisa."
104,You can canvass me as long as you want.
105,"Milhouse, you don't care about the environment."
106,Hey. I am very passionate about the planet.
107,Say global warming is a myth.
108,It's a myth!  Further study is needed!
109,That's for selling out your beliefs.
110,"Oh, poor Milhouse."
111,Dream coming true.
112,Are you aware that a leaky faucet can waste over ...?
113,Two thousand gallons a year.
114, Turning off lights can save ...
115, Enough energy to power Pittsburgh.
116,And if we kept our thermostats at 68 in winter ...
117,We'd be free from our dependency on foreign oil in 17 years.
118,I'm Colin.
119,I haven't seen you at school.
120,Moved from Ireland.
121,My dad's a musician.
122, Is he ...?
123, He's not Bono.
124," I just thought,  because you're Irish and ..."
125, He's not Bono.
126,Do you play?
127,"Just piano, guitar, trumpet, drums and bass."
128,He's pure gold.
129,"For once in your life, be cool."
130,So is your name as pretty as your face?
131,You okay there?
132,Twisted tail! A thousand eyes!
133,Trapped forever!
134,What could that be?
135,I believe it's the sound the Green Lantern made ...
136,when Sinestro threw him into a vat of acid.
137,Yeah. Thanks for coming over.
138,Thanks for giving me your pregnancy pants.
139,Never known comfort like this.
140,Why did I suggest this?
141,"All right, boy, time for the ultimate dare."
142,I dare you to skateboard to Krusty Burger and back ...
143,naked.
144, How naked?
145, Fourth base.
146,Girls might see my doodle.
147,"Oh, I see. Then I hereby declare you chicken for life."
148,"Every morning, you'll wake up to ""Good morning, chicken""."
149,"At your wedding, I'll sing: I like men now."
150,Don't look where I'm pointing!
151,Stop in the name of American squeamishness!
152,"Boys, before we eat, don't forget to  thank the Lord for this bountiful ..."
153,Penis?!
154, Bountiful penis.
155, Bountiful penis.
156,Amen.
157,"Listen, kid, nobody likes wearing clothes in public, but, you know, it's the law."
158,Lunchtime!
159,You can't just leave me out here.
160,"Don't worry, we found a friend for you to play with."
161,"Nelson, honey, where have you been?"
162, Dad!
163," What seems to be the problem, officers?"
164,Tell him you dared me to do it.
165,"If that's true, then you should be taking the rap here, not your son."
166,And what happens to me if it's my fault?
167,You'll have to attend a onehour parenting class.
168,It was all his idea!
169,"He's out of control, I tell you!"
170,I'm at my wits' end.
171,It's so ...
172,"See you in court, kid."
173,"Okay, son, let's get some lunch."
174,Did you at least bring my clothes?
175,"Shirt, socks, everything you need."
176, You didn't bring my pants.
177," Who am I, Tommy Bahama?"
178,This is the worst day of my life.
179,The worst day of your life so far.
180," Say, Bart?"
181," What do you want, Flanders?"
182,"If you need pants, I carry an extra pair."
183,"You know how boys are, always praying through the knees."
184,Why are you helping me?
185,I'm not your kid.
186,We're neighbors. I'm sure your father would do the same for my boys.
187,Thank you.
188," Hey, what's with you?"
189, You really wanna know?
190,Of course I do.
191,What kind of a father wouldn't care about ...?
192,A pig wearing a hat!
193,Action.
194,"Hey, hey! It's your old pal Krusty, for my new pork sandwich, the Klogger."
195,"If you can find a greasier sandwich, you're in Mexico!"
196,And we're clear.
197,"Perfect. Cut, print, kill the pig."
198,What ...?! You can't kill him if he's wearing people clothes!
199,You're coming home with me.
200,"""A thousand eyes."" What could that be?"
201,I'm pretty sure a thousand is a number.
202,"Hey, Marge. Isn't it great being married to someone who's recklessly impulsive?"
203,"Actually, it's aged me horribly."
204,Then say hello to the newest Simpson.
205,Homer!
206,I believe what happened in church was a warning about precisely this.
207,"Please, get rid of that pig."
208,"Oh, you're gonna love him."
209,"Look, he does an impression of you."
210,You nailed her.
211,He also does me.
212,You smiled. I'm off the hook.
213,"Oh, you have so many looks."
214,So that's what snug is.
215,Who's a good pig?
216,Who's a good pig?
217,"Rough day, huh, son?"
218,"You don't know what rough is, sister."
219,"Bart, you know, whenever my boys bake up a batch of frownies ..."
220,I take them fishing.
221,Does your dad ever take you fishing?
222,"Dad, it's not fair to use a  bug zapper to catch the fish."
223,"If you love fish like I do, you want them to die with dignity."
224,I think I have a nibble.
