,dialog
0,"<font color""ffff00"">Provided by explosiveskull</font> https://twitter.com/kaboomskull M_I_SForEver What the fuck?"
1,Yeah.
2, Good morning.
3, Good morning.
4,You want me to make you breakfast?
5, Uh uh?
6, Yeah.
7, Yeah?
8, Yeah.
9,"No, breakfast."
10,Ew.
11,Yeah.
12,Yes.
13,Mmm.
14,Why you looking at me like that?
15,You didn't sleep again last night.
16,Luc?
17,Yeah?
18,It's really fucking good.
19,You like it?
20,You want to tell me about it?
21,You talk in your sleep.
22,What did I say?
23,"I don't know, you were mumbling something."
24,What's keeping you up?
25,I don't know.
26,"I really can't remember, to be honest."
27,Why do you keep shutting me out?
28,"I'm not, I'm just busy."
29,"Uh, don't lay that all on me."
30,"You got your own life, too."
31,What's what suppose to mean?
32,It means like everyone's got their own responsibilities.
33,Right?
34,Okay.
35,So why are you so worried about mine?
36,"Jesus, Luc."
37,"You know, I only stayed in Ithaca to summer because I thought we were going to have something special."
38,I didn't say we couldn't.
39,So why is everything so difficult with you?
40,"You know, sometimes I feel like, it's like, you want me to disappoint you."
41,"Lucas, where are you going?"
42,Alicia?
43,Alicia?
44,Where's my brother at?
45,I don't know where your brother is at.
46,"Fuck you mean, you don't know my brother is at?"
47,I don't know where your brother is at.
48,"You know where he's at when you want to get high, though, right?"
49,"No, just chill, yo."
50,"Fuck you mean, chill?"
51,"Ain't no chill, mind your business."
52,"Do me a favor, yo, stop touching me."
53," Yo, you dissing me."
54, Stop touching me.
55,"Keep touching me, you making me mad hot."
56,I'm fucking him up and have my sister fuck you up.
57,"Yeah, I will fuck you up."
58,"Get the fuck up outta here, you bitch as nigga."
59,Fuck outta here.
60,"You ain't gonna shit to nobody  Fuck you, ain't nobody even talking to you."
61,"Shut up, that's why you walking off, you bitch ass nigga."
62,What the hell was that?
63,"Nothing, don't worry about it."
64,"Fuck that, it's all good."
65,He ain't gonna do nothing to nobody.
66,You selling drugs?
67,Is that what this is about?
68,Damn.
69,"Bet you were waiting to say that, huh?"
70,"Okay, well you're freaking me out right now."
71,"What, don't look at me like that."
72,I'm just looking at you.
73,"So, you're gonna call me or?"
74,Yo!
75,You forgot your bags.
76,You got to be fucking joking.
77,"Lucas, now, what's wrong?"
78,Keeps taking my shit.
79,"Now, my laptop's missing."
80,"I don't know what to tell you, honey."
81,Hot damn.
82,I needed that for finals.
83,Kenji was here yesterday.
84,Are you serious?
85,He ain't said anything about coming by here.
86,Lucas.
87,"Now, you know how he is."
88,Why didn't you message me and let me know he came by the house?
89,"Lucas, that's brother."
90,He just got out.
91,It's going to take him awhile to adjust.
92,That has nothing to do with me.
93,I can care less about any of that.
94,"Lucas, don't do anything stupid."
95,Yo.
96,What's good?
97,Get the fuck out of here.
98,Oh shit.
99,Look who the fuck just fell off the back of a milk carton and shit.
100,"What up, nig?"
101, What's good man?
102," Shit, man."
103,"What's good with you, man?"
104,"Ain't shit, same ole shit."
105,I heard them white folks got you downtown.
106,"Polishing shoes and shit, man."
107,"What's up with you, man?"
108,"Nah man, it ain't even like that."
109,"Man, I'm out here doing my community service, though, man."
110,"You always got some funny shit to say, though."
111,"You know, them two for fives, they gonna go, man."
112,"You know what I mean, but what's up, though?"
113,What the fuck you been doing?
114,"You seen my brother up here, man?"
115,"He might be up there with that broad and shit, man."
116,"I'd check, but..."
117," All right, man."
118, Yeah.
119,Yo!
120,"What the hell you knocking on my door like, for?"
121,Is he in here?
122,It's too late for that.
123,"What you mean, it's too late, yo."
124,"Watch out man, I'mma talk to his ass."
125,"What you doing here, bro?"
126,"You know why the fuck I'm here, man."
127,"Yeah, let me a bogey, Luc."
128,I ain't got no bogey for you.
129,Why the fuck did you take my laptop?
130,"Man, I ain't take a goddamn thing."
131,Kenji.
132,"Yo, I know you was there, man."
133,I know you was at mommy's house.
134,"The fuck you do that for, man?"
135,"You know what, bro?"
136,You got it.
137,I'll see you later.
138,"And as for you, you better find my shit 'cause you best believe, I'm coming back."
139,I don't know what's going on between you two.
140,It ain't got nothing to do with me.
141,"How you doing, Lucas?"
142,I'm all right.
143,I need to ask for an extension on the final.
144,There's a lot of family stuff going on and uh...
145,I know going back to school hasn't been easy for you.
146,"But if you're going to turn this assignment in late, again, I'm going to need a note."
147,A note?
148,"Yeah, like a note from a doctor."
149,All right.
150,"Look, I want you to know something."
151,"That last assignment you turned in, was brilliant."
152,You think so?
153,"Yeah, it was the best in the class."
154,I'm not kidding.
155,Listen.
156,"You give me that note, I'll give you two days."
157,"It's not enough time, man."
158,I know it isn't.
159,But I believe you can do it.
160,Okay.
161,"Hey Lucas, wait up!"
162,What's this?
163,It's a contact at the student health services.
164,Maybe he can help you get that note.
165,"Cool, I'll get in touch."
166,Thanks.
167,"Take care, Lucas."
168,"You, too."
169,"The library is closing in five minutes, five minutes."
