,dialog
0,"the city of a thousand dangers, was lit by a beautiful moon, a mysterious Baghdadi was entering the palace."
1,"Intriguing music OK, the code."
2,"It was something in ""am""."
3,Uh ... Oh yes! I know.
4,"Instag ram, open up!"
5,"Princess Tamtam, open up!"
6,"JeanClaude Van Damme, open yourself!"
7,"Come on, JeanClaude!"
8,"Get Low  Patrols 5, 7, 13 on the hunt."
9,Separate yourself!
10," Fallen between the hands palace guards, the thief was going to be presented to Princess Shallia, that the legend wanted sensible, elegant and refined."
11, Are you stupid or what?
12, Let me explain to you.
13, What? This is the treasure of?
14, From Baghdad.
15, And you will be the prince of?
16, Sorry ?
17, From Baghdad. It's just...
18,I came out...
19, Ah!
20, It's okay...
21," No, it's not ok!"
22,Why do you see us like a vulgar ...
23, Robber?
24,"Yes, here I am, a thief."
25,Everyone thinks so.
26, Tired of going out with a kid.
27," Me, a kid?"
28,After all the efforts what have I done for us?
29,I even accepted the couple therapy.
30," Let's use therapy called ""puppetry""."
31,The goal is to express yourself through your puppet.
32,"Go ahead, hold on."
33,Say what you have on your heart.
34,It's very playful.
35, It's not very similar.
36,Are you ready ?
37,You are immature ...
38,You make fun of and ...
39,Impossible to have a serious conversation.
40," You are immature, you turn all mockery."
41,Impossible to have a serious conversation.
42, Very adult as behavior.
43, Very adult  as  behavior.
44, It's always that.
45, It's always that!
46, Stopped.
47, Stopped.
48, Stopped.
49, Stopped.
50,But stop !
51, But stop !
52,Oh oh !
53,"It's not me, it's the sock."
54,She is only at her head.
55,You do whatever.
56,Do you balance me?
57,Do you want to be confused?
58,Who wears the underpants?
59,"It's okay, it was just for fun."
60," With you, everything is for fun."
61,Nothing is taken seriously.
62,"And now, are you starting to rob us?"
63, I do not steal.
64,I'm bored seriously in the palace.
65,I was going to give everything back.
66," Render what, exactly?"
67,Open Sesame.
68, Exact. Sesame. Of course.
69,That's all ?
70," Yes, finances are bad."
71,We are on the brink of bankruptcy.
72, Why did not you tell me?
73, I tried.
74,But you never listen to me.
75,"Aladdin, I know that the problems of the palace are of little concern to you."
76,But we have homework.
77,The people are counting on us.
78,"At his death, I swore to take good care of the kingdom."
79, Who is it?
80, Ben it's my father!
81,I painted it.
82, Oh yeah anyway.
83,"Intriguing music Despite the humiliation suffered the day before, Aladin had decided to start this day with dignity."
84," It's true   I stole our treasure   I know it   I still disappoint you   You do not trust me anymore   For you, I'm still in childhood   It's true, love hurts  Like  in a song of Tel  I'll do everything   To be   I'll do everything   To be   A good prince   The princess asks you."
85, How long have you been here?
86, It's not my business.
87," Exactly, there is no business."
88,Why...
89," No, I do not judge."
90, There is nothing to judge.
91, I will not talk about it.
92, You can talk about it.
93,"Me, I fully assume."
94,"No, do not talk about it."
95,It never happened to you to want to express yourself in a musical way?
96, The First Lady.
97, Good ...
98,What is urgency?
99, We have a visit.
100,"bugles  Shah Zaman, the beautiful and graceful prince of the province of Zoulaoui, the one whose presence intoxicates the crowds, the one whose reputation shakes the world, who always has the last word, the inventor of ""He who said it is there,"" General of the Air Forces, of land, sea and father."
101,Shah Zaman!
102,Warrior Music  Ouch!
103, Ouch!
104, Ouch!
105," Welcome, dear ..."
106,How should I call you exactly?
107, Quite simply...
108,"Shah Zaman, the magnificent."
109,And glorious prince from the province of Zoulaoui.
110,The one who intoxicates by his presence.
111,"Because it's true, I'm drunk, huh?"
112," YES, IT'S TRUE !"
113, Some call me leap.
114,"Others the versatile, because I versatile."
115,"Others call me jovial, others the modest ..."
116,"I am also the inventor of ""Whoever says who is there""."
117, We're going on Shah Zaman?
118,It's the most userfriendly.
119,"So, dear Shah Zaman, I wish you welcome in my humble country."
120,"Now that we are done the presentations, tell us the purpose of your visit, Sham Sheitan."
121, Shah Zaman.
122,"Prince Shah Zaman, general of the armies of air, of land, father and mother."
123, He said my mother?
124," I came, in 1, to take Baghdad, in 2, marry your wife."
125," Repeat, Rastaman."
126,Aladin hallucinist.
127,He does not believe his ears.
128,"Shah Zaman comes to steal his girlfriend, in front of everybody."
129,Do you believe it?
130, You drunk me with your story.
131, I tell you more adventures of Aladdin.
132, I'm always next to a rehearsal!
133," It's you, the lover."
134, What?
135, Nothing.
136,"It's not that I'm afraid by plane, but that does not reassure me."
137,It makes me feel good to talk.
138," Jester, we did not even take off."
139," Jester, we did not even take off."
140, Stop that.
141, Stop that !
142, Sorry.
143,"Sorry, return to your place to see the security measures."
144, Security measures?
145, It's okay ?
146, It's okay. But this is the first time that I take the plane.
147,"With all the noises, it's really scary."
148,"But otherwise, that's fine."
149,"It's great, yes."
150,Finally my girl left me.
151,She's going to marry another guy.
152,I will try to stop this marriage.
153,It's surely stupid.
154,But it is okay.
155,"It's great, even."
156,Okay okay.
157,It's okay ... it's not ok!
158,I'm not fine ! I'm not fine !
159,"It's not ok, it's not ok."
160, Think of something else.
161,Talk to me.
162,Tell me anything.
163, Ala ... Ah! It has moved.
164, It's nothing. Talk to me.
165,Go.
166, Aladin is facing Shah Zaman.
167,"He tells him : That's enough. You have 3 minutes to clear from my palace, Shakira."
168,"Wake wake, eh eh!"
169," If I believe the noise of the corridor, hearsay, whispers, the nonsense, Aladinde does not seem in a hurry to want to marry you."
170, What's in it?
171,"Now, you clear right away, shawarma."
172, Shawarma?
173,Me ? Shawarma?
174, Yeah.
175,"You, shawarma."
176, Like this ... In front of everyone?
177,Shawarma?
178,"It's not you to me, this shitty sword!"
179,Bring me the scary sword!
180,But it's not the size of the sword that counts.
181, It's always those who have little ones who say that.
182, You're lucky that Wahid holds me back.
183,Leave me...
184,Let me crush his mouth.
185, Now that's enough !
186,I do not intend to give up Baghdad.
187,Aladin will be my husband until death separates us.
188, That's all ? Is that it?
189, Yes.
190,Until death separates you?
191,"Okay, let death separate them!"
192,Kill Aladin!
193,Oh oh oh !
194,My friends...
195,"My loves, my boredom ..."
196,"Look at you. You are skinny, sick, sickly ..."
197,Moche.
198,"Is it for a prince who does not care about you that you want to fight, to perish and die?"
199,I'm just asking the question.
200,I do not have the answer.
201,"Me, Shah Zaman ..."
202,I triple your salary by two.
203,Offer valid within the limit available stocks.
204, You know very little about loyalty and the loyalty of the soldiers of Baghdad.
205,Know that none of these men is not corruptible.
206,"And never, ever, ever they do not ..."
207,Hippolyte?
208,Marc?
209,Alex?
210,Lionel ...
211,"Michel, not you."
212, He's triple the salary.
213," Come on, Aladinde. Confess yourself defeated."
214," You, confess yourself ... Vanquished."
215," It's you, it's ..."
216,If you admit that ...
217,"You, me, vanquished. And shit."
218,Kill him !
219, Aladdin !
220,Aladdin...
221," That's it, the great Aladinde?"
222,Adventures of Aladinde?
223,I saw the 1.
224,"He was fighting, he was slaps, dodging ..."
225,"There, not even a flick."
226,What a disappointment!
227,My faith ...
228,"Now that Baghdad is mine, we will be able to prepare quietly our marriage."
229," Me, marry you? Never."
230,"9 am, 10 am, even midday."
231,It's you...
232, You do not understand anything ?
233,I will never marry you.
234,Never !
235, It's a belligerent.
236,Bring me back this warlike in his apartments.
237,Wahid!
238, Let me go !
239, Bring me this Aladinde dead or alive.
240,Okay.
241, No.
242,Bring that Aladinde to me dead or dead.
243,And take me a wand.
244,Not overcooked.
245," Aladdin, who had once been known braver, fled the palace without even a look."
246,"Oh, yes."
247,"A look, anyway."
248," Here ! There, it's pretty."
249," When Aladin will come to free me, you will pay dearly."
250, To free you from what?
251,You are not my prisoner.
252, Oh?
253," Detach the princess, Strange band! Oh !"
254,"I'm sorry, princess."
255,But that's good.
256,I wanted to talk to you of the wedding date. I think...
257,Oh ! Calms you !
258, You will clear immediately from my palace!
259,If not...
260, If not ?
261, Otherwise I...
262,"""Otherwise I"" ?"
263, I kill that guard.
264, Are you talking about that one?
265,Are you talking about that one?
266,Maybe you're talking about that one?
267, No !
268, Or that one?
269,Maybe you thought of him ...
270,"After, you thought of him, Then, you thought of him."
271,"But the truth, it's because you thought of him."
272, No ! No !
273,Its good. Not him.
274,Okay.
275,"For the wedding date, I was thinking of the 7th."
276,It is...
277,"It's an even number, the 7th."
278,"For food, it's my mom."
279,"For music, it's me."
280,"âª love to sing! Hey, Wahid?"
281, Yes.
282, Yes.
283," I'm singing well, huh?"
284,"  And I type, tap, tap   People who did nothing to me   And I kill, I kill, I kill, it's my way of loving   Ah, you're ... you're crazy, actually."
285, No.
286," You're sick, what?"
287," I like life, I like poetry."
288,"âª like to sing, so if that's it, be sick, yes I am sick."
289," Completely ill   Sometimes, I have a headache   Sometimes, my throat hurts, I do not know, but I'm sick   You have light on no floor, what?"
290,You're mabul.
291,"  It's my pinball ball   It's not cool, it's not cool, it's not cool   Do you think I'm going to marry you?"
292, Yes.
293, I prefer to tap Wahid.
294, That's what we are going to see.
295," Already far, Aladin continued on his way without anything stopping him."
296,What is that ?
297,"Finally, almost nothing."
298,It's not true ?
299,Intriguing music We're leaving on a nice day of shit.
300,"Luck, a CapriSun!"
301,Oh no...
302,There is no straw.
303, Dear Baghdad ...
304," We say ""Bagdadis""."
305,"Wait, what's going on?"
306,"We always said ""Bagdadis""!"
307,Let me go.
308,Let me go !
309, Dear Baghdad ...
310,"We say ""Baghdadas""?"
311, YES !
312, I summoned you to announce you that as long as the princess will refuse me I will torture Baghdadas every day.
313,Yes you ?
314, Ali Belaid of the Gazette from Baghdad.
315,"Shah Zaman, how are you going to choose people to torture?"
316, Simply to the splash.
317, What's the splash?
318," Splash, splash, it'll be you that I will torture."
319, Huh? Me ?
320,It's an example.
321,I will not do it.
322, AH!
323, Yes you ?
324, These measures will start when?
325, From now on.
326,Ask Shah Zaman's Gazette!
327,All about torture do to the people.
328,"Shah Zaman, new prince of Baghdad!"
329, Chauviate him.
330, You're pretty good here?
331,Peck it.
332,You do not know how to peck?
333,"He laughs, the other!"
334,Wring it out.
335, He's laughing here!
336,Dessor it!
337, The people do not give in to torture!
338,"Shah Zaman renamed all streets and avenues ""Shah Zaman""!"
339," Vizir, it's because of Aladinde that you are there?"
340," That's where I'll end my life,  as  other guys finished it."
341, I have a lot of admiration for you.
342, How nice.
343, It is true. The number of people that you made suffer ...
344, I did not count.
345,We know each other ?
346,We would not have crossed at the Salon de la Torture?
347, I go there every year.
348, That's it.
349, The number of bullshit I bought!
350, We go without wanting anything and we come back ...
351," Like me, I have a room filled with bullshit."
352,I do not know what to do with it!
353, the eyebrow peel.
354, I have all the colors.
355,Here.
356,I have one in my pocket.
357,"I swear, look."
358, I never saw it in red.
359, There is only one.
360, A unique model.
361," I do not know, but there is only one."
362, I guess we're not here to talk about rags?
363," No, I took a stand from the city of Baghdad."
364, Oh yeah ?
365, And I want to marry the princess.
366,So I torture the people.
367,Classic.
368,But there is something that I do not understand.
369,"I torture, I torture, they do not care."
370,It never happened to me!
371," I know, it comes from me."
372,I tortured them so much that they are immune.
373, Are they carpenters?
374, What have you done  like  school of dictatorship?
375, I did not go to school.
376,I am an autolib '.
377, An autodidact.
378,"  No, a car ""b"".   No, we say selftaught."
379, The difference ?
380," An autolib ', it's an electric car."
381,An autodidact was done alone.
382, We quibble.
383,"My concern, is that I want the princess agree to marry me."
384, Beware of her.
385,It's a vicious one.
386, I was sure of it.
387," Me, like you, I tried to marry him."
388,You know what she pretended?
