,dialog
0,Baba...
1,"Yes, my son."
2,Tell me a story.
3,Which one?
4,The story of home.
5,Millions of years ago...
6,a meteorite made of vibranium...
7,the strongest substance in the universe...
8,struck the continent of Africa. ..
9,Affecting the plant life around it.
10,And when the time of man came...
11,five tribes settled on it and called it Wakanda.
12,The tribes lived in constant war with each other...
13,until a warrior shaman...
14,received a vision from the Panther Goddess Bast...
15,who led him to the HeartShaped Herb...
16,"a plant that granted him superhuman strength, speed and instincts."
17,The warrior became king...
18,and the first Black Panther...
19,the protector of Wakanda.
20,Four tribes agreed to live under the king's rule...
21,but the Jabari Tribe isolated themselves in the mountains.
22,The Wakandans used vibranium to develop technology...
23,more advanced than any other nation.
24,But as Wakanda thrived...
25,the world around it descended further into chaos.
26,To keep vibranium safe...
27,the Wakandans vowed to hide in plain sight...
28,keeping the truth of their power from the outside world.
29,"And we still hide, Baba?"
30,Yes.
31,"""BOY"". Why?"
32, Lucky shot!
33, That ain't lucky!
34,Whatever! Get outta here!
35,Check up.
36,Pick your man up! He open.
37,Where you at?
38,"Let's go, let's go, let's go."
39,Pass! Pass!
40," Got you, E."
41," E, hurry up!"
42,Watch me get this.
43,Tim Hardaway style.
44,"That's what I call it, baby."
45,Come on.
46,What you got?
47,You ain't got nothing.
48,"Hey, look, if we get in and out quick, won't be no worries."
49,"You in the van, come in through from the west."
50,Come around the corner.
51,Land right here.
52,Me and the twins are pulling up right here.
53,"We're leaving this car behind, okay? We come this..."
54,Hide the straps.
55,"Yo, is it the Feds?"
56,No.
57,It's these two Grace Joneslooking chicks.
58,They're holding spears.
59,Open it.
60,You serious?
61,They won't knock again.
62,Who are you?
63,"Prince N'Jobu, son of Azzuri."
64,Prove to me you are one of us.
65,My King.
66,Leave us.
67,This is James. I trust him with my life. He stays...
68,"with your permission, King T'Chaka."
69,As you wish.
70,At ease.
71,"Come, baby brother."
72,Let me see how you are holding up.
73,You look strong.
74,"Glory to Bast, I am in good health."
75,How is home?
76,Not so good.
77,Baby brother.
78,There has been an attack.
79,This man...
80,Ulysses Klaue...
81,stole a quarter ton of vibranium from us...
82,and triggered a bomb at the border to escape.
83,Many lives were lost.
84,He knew where we hid the vibranium...
85,and how to strike.
86,He had someone on the inside.
87,Why are you here?
88,Because I want you to look me in the eyes...
89,and tell me why you betrayed Wakanda.
90,I did no such thing.
91,Tell him who you are.
92,"Zuri, son of Badu..."
93,What?
94,"James. James, you lied to me?"
95,Leave him.
96,You were Wakandan this whole time?
97,You betrayed Wakanda!
98,How could you lie to me like...
99,Stand down.
100,Did you think that you were the only spy we sent here?
101,Prince N'Jobu...
102,you will return home at once...
103,where you will face the Council...
104,and inform them of your crimes.
105,Check up!
106,"Guard your man, guard your man!"
107,Yo.
108,"The tiny nation of Wakanda is mourning the death of its monarch, King T'Chaka."
109,The beloved ruler was one of many confirmed dead...
110,after a terrorist attack at the United Nations a week ago.
111,The suspect has since been apprehended.
112,Though it remains one of the poorest countries in the world...
113,fortified by mountain ranges...
114,and an impenetrable rainforest...
115,Wakanda does not engage in international trade or accept aid.
116,The succession of the throne...
117,is expected to fall to the oldest of the king's two children...
118,Prince T'Challa.
119,My Prince...
120,coming up on them now.
121,"No need, Okoye."
122,I can handle this alone.
123,I will get Nakia out as quickly as possible.
124,Just don't freeze when you see her.
125,What are you talking about?
126,I never freeze.
127,What's going on?
128,It's the car.
129,It lost power. It won't start.
130,The car no start.
131,What happened?
132,The engine failed.
133,"Ours, too."
134,"What is it, Captain?"
135,Defense positions.
136,Defense positions.
137,Are we under attack?
138,Defense positions.
139,Get around to the side.
140,Defense positions.
141,Hey. Defense positions!
142,No games.
143,What do you see?
144,Come in. Come in.
145,Over there! Look back!
146,Watch out!
147,"T'Challa, no!"
148,This one's just a boy.
149,He got kidnapped as well.
150,Nakia...
151,.33  I wanted...
152, Hey!
153,I have her!
154,Don't move! I will shoot!
155,I will shoot her right now.
156,You froze.
157,Why are you here?
158,You've ruined my mission.
159,"My father is dead, Nakia."
160,I will be crowned king tomorrow.
161,And I wish for you to be there.
162,Carry yourselves home now.
163,Thank you.
164,And take the boy.
165,Get him to his people.
166,Thank you.
167,You will speak nothing of this day.
168,Yes.
169,Thank you.
170,Thank you.
171,Sister Nakia...
172,My Prince...
173,we are home.
174,This never gets old.
175,Queen Mother...
