,dialog
0,"No, I suspect he won't."
1,"Only you can decide what's best for you, Jesse."
2,"Not him, not me."
3,I'm out.
4,"So, what are you gonna do with all that money?"
5,Same thing I do with all the other money.
6,"How about you, teenage retiree?"
7,You'll be living the dream.
8,Not sure I should stick around town.
9,That's a start.
10,Nothing really keeping me here.
11,Where would you go?
12,If you were me.
13, Doesn't matter. I'm not you.
14," Seriously, come on."
15,"Like, if you were my age."
16,Just play along.
17,Make some conversation.
18,Alaska.
19,Yeah?
20,"Yeah, if I were your age, starting fresh, Alaska."
21,It's the last frontier.
22,"Up there, you could be anything you want."
23,Alaska.
24,Start over.
25, Start fresh.
26, One could.
27,Put things right.
28,No.
29,"Sorry, kid, that's the one thing you can never do."
30,"Dude, you suck."
31,"This thing's, like, defective and shit."
32,Think you got Cheeto dust in the controller.
33,"It's a bad carpenter that blames his hammer, yo."
34,Whatever.
35,You're apexing too early.
36,You're apexing too early.
37,"I'm apexing at the apex, bitch."
38,Don't be telling me how to drive and shit.
39,You couldn't drive a twobutton elevator.
40,You couldn't drive Miss Daisy.
41,Whatever that means.
42,You couldn't drive a short bus full of slow kids to the zoo.
43,"Yeah, because I'd be too distracted by you."
44,"You'd be sitting up front, in your special helmet, trying to hump my leg."
45,On account you couldn't drive Thelma and Louise off of that cliff. Apex!
46,I can't apex more than I'm already apexing.
47,You drive like a blind guy with no legs.
48,"Dude, you..."
49,you drive like my dead grandmoms.
50,That's disrespectful.
51,"Dude, you lost?"
52,Who is it?
53,Jesse?
54,Who is it?
55,I gotta get that car off the street.
56,"What the hell, yo?"
57,Come check out what's on TV.
58,"Man, what's wrong with you?"
59,I ain't watching no TV right now.
60,It's the news.
61,Is it true that a military grade firearm was altered and used to carry out this attack?
62,"To the best of my knowledge, it was an M60 machine gun, which, yes, that's strictly a military issue weapon."
63,"As to where he could have obtained such a weapon, or the socalled ""remote control"" aspect of it, anything I could say at this point would just be conjecture, and I'm not going to engage in that. Yes?"
64,Could you tell us more about this person of interest?
65,"We're hearing a lot of conflicting information and I'm unclear whether this person took part in the killings, or whether they were, in fact, I guess the word we keep hearing is ""liberated."" Were they liberated by White from some sort of captivity?"
66,"I'm not prepared, at this time, to say any more than that."
67,"They're a person of interest and they may have information relevant to this case, or other cases the DEA's investigating."
68,"...was, in fact, held in captivity."
69,What were the motives of his captors?
70,Can't speculate on that at this time...
71,"Whoa, whoa, whoa, whoa! Jesse!"
72, Who's there?
73," Hey! It's cool man, it's us!"
74,It's us.
75,"It's us, Jesse, you're safe."
76,It's us.
77,"My stuff's gonna fit you like a T, yo."
78,Not like if you had to borrow it from Sasquatch over here.
79,Can't help it that I'm sized for love.
80,"Yeah, you go love all the giraffes you want, bitch."
81,Me and Jesse are sticking with the ladies.
82,"Yeah, this here's barely worn."
83,How's this working for you?
84,Good?
85,Jesse?
86,Right on.
87,Get you some new clothes then.
88,Shower will make you feel a whole lot better.
89,"Truth be told, you look like you're hurting for one."
90,Church.
91,No offense.
92,"Got you a clean towel, the one on the right. Well, kinda."
93,"And feel free to open up a new bar of Irish Spring, whatever."
94,"It's underneath, you know."
95,"'Cause the old one might have, like, hairs on it and shit, and uh, yo, I got Axe body spray, I got Obsession for Men, I got Tommy Hilfinger."
96,"Feel free to use any of 'em you want, you know? Use 'em all."
97,"Obsession's the bomb, yo."
98,I got it for him for Christmas.
99,"Oh, uh, hey, um..."
100,"Maybe don't, like, shave and whatnot, you know?"
101,"Uh, be less recognizable?"
102,"Jesse, did they really..."
103,What?
104,Did they really keep you in a cage?
105,Yeah!
106,Woo hoo!
107,No!
108," Whoa, dude. Why'd you..."
109," Looking sharp, yo."
110,"Yeah, looking sharp."
111,Feel like a new man?
112,Yeah. Thanks.
113,"Want a little something, take the edge off?"
114,No.
115,"Why'd you, uh, turn off the TV?"
116,News that bad?
117,"There's just, uh... a whole lot of it."
118,Yeah.
119,I gotta get out of here.
120,Where to? You got a plan?
