,dialog
0,"and ever since that day, I've never been able to look at, other gingerbread house the same."
1," Thank you, Ms Howard for that brave for telling me."
2,"Next time on Christmas holiday , we'll be hearing him."
3, Oh my God.
4, Hey baby.
5, There's so much to do.
6, Anything I can help with?
7,Maybe I can go clear up the spare prop area.
8," Yes, there's all this stuff from the feminist show."
9, Okay.
10," That is probably Lloyd, can you let him in, but don't let him talk to me yet."
11, I'll see what I can do.
12," Lacey, Lacey, Lacey, hey Lacey, so I, don't hate me, but I have some changes I'd like to go over with you."
13, No.
14," But, all right, I'll just go over with the actors then, right?"
15," No, no changes."
16, But  It's the morning of...
17,I told you.
18," But  Hey, uh, what can I do with this?"
19, Put it in the back.
20, Argh! I'll have to deflate it.
21," No, he almost broke last time, just put him in the back."
22," Baby, I don't think there's going to be room."
23, Make it fit.
24, Alright.
25," Okay, but anyway, during the last course of Merry Christmas, what does it mean?"
26,"I want the angels to drop to an A, instead of maybe what the  Lloyd."
27, What?
28," I don't care, no!"
29," But what, what, let me just talk to them  No."
30,"and we'll see what they say, right?"
31," It's the morning now, you're going to confuse them, no."
32, But can we just see what happens?
33," Damn it! No, no, Nope."
34, I'm talking alone.
35," Hi, my name is Lacey, and I am the manager, at the little stage theater here in Fort Scott, Kansas."
36,We are so excited to be running for this state grant.
37,"I mean, out of all the other great arts organizations here in Kansas, just to be considered as such an honor."
38,"I mean, my parents ran it for a while after that, but now here I am, myself and my boyfriend, friend, boyfriend, we live together, Christmas."
39,"What does it mean is an original piece, by one of our very own playwrights Lord Schumer."
40,"And we are all very excited, and obvious a little nervous."
41," Terrible idea, but I've passed the theater onto, my daughter and I don't say anything."
42,"Nobody asks for my opinions, so I don't give them."
43,I can be humble.
44, The tour of the little stage.
45,And this is where the magic is conjured.
46," Lacey, my name isn't printed in the program."
47," I just stop by, from time to time just to, make sure that everything is going well."
48,"Just in case I need to take the reins back, momentarily."
49, Look alive Clementine.
50," Jingle bells, you're looking swell."
51,Unlike this backdrop.
52,"Hey Olivia, can I get another pen?"
53," Six hours 'til show time, people."
54,"Get into costume, I want everyone on stage."
55,"For our first talk through in 15 minutes, okay?"
56," Andrew couldn't watch Henry tonight, So he's got to park it in the green room."
57, Okay.
58," Anyone have eyes on my    Hello, hey, look at you."
59,You look beautiful.
60, I look like my mom.
61," I know, your mom is beautiful."
62,Wait  Lloyd.
63,"No not like that, not like that, oh God, damn it, bullshit."
64, Anyone have eyes on my pillow?
65, Where is my beard?
66,I left it right here next to my Clippers last night.
67," Sorry Chloe, I just wanted to be prepared, in case something happened to you on the way over."
68,"Not that I thought that it would, but  This is not all about Eve."
69, I got it warm for you.
70," Uh, hey, I am Amy, do I talk to..."
71," Interviewer You can talk to me ,yeah."
72, Okay.
73,"Hey, hey, I'm Amy, I'm the understudy for everyone."
74,"And as the understudy, I take my job very seriously."
75,"So if anyone is late or is looking a little ill, I just have to be on my A game all the time."
76,"Um, yeah, I've read the script over and over and over again."
77,"So I know everybody's lines, frontwards and backwards."
78,"You know, some might even they say that, I know the script better than the actual cast."
79," Hey, I'm Keith Solomon, I am Lacey's boyfriend, and I can't talk too much about the show, but she wanted me to definitely be sure to say that, it's going to be really great family entertainment."
80,"Oh, can you keep a secret?"
81," Interviewer Oh, yeah."
82,Wow.
83, Yeah.
84, Wow.
85," Hey everyone, how's it going?"
86,"How we doing, merry merry, we're here to spread some Christmas cheer, right?"
87, Lady Well.
88," Can I get anybody, some coffee, some water, anything like that?"
89, Man No.
90," Okay, okay."
91,"Well, let me know if you have any stage fright, or anything like that."
92,"I brought some toms toms with me, kind of subtle that tummy, you know?"
93, How is everyone doing today?
94,"Merry Christmas, cheer."
95, Merry Christmas.
96, Man Merry Christmas.
97," I'm heading to the kitchen, can I grab anyone anything?"
98," Hot, cocoa, hot cocoa."
99," Yeah, can I get like two of those also, like some super hot cocoa?"
100, Yeah.
101," Cool, thank you."
102," Yeah, you welcome."
103," Yeah, yeah, appreciate it."
104,What?
105, Stop!
106, What?
107, I'm Right here.
108, I know.
109,"Just, just cause I'm on a diet, doesn't mean I can't look at the menu, it's all good."
110," This is a real diamond, and it's white gold and it was my Nana's."
111,She  Aaaww!
112, They were married in Europe.
113," Hey yo, Lacey, look."
114,"Hey, I'm so excited for the show tomorrow night."
115,I can't wait to sparkle for you.
116,I'm not going to let you down.
