,dialog
0,LIGHTER CLICKS WINDING MUSIC BOX ALL OUT OF LOVEPLAYING SNIFFING BOTTLES CLATTERING DEADPOOL: Fuck Wolverine.
1,"First, he rides my coattails with the R rating."
2,Then the hairy motherfucker ups the ante by dying.
3,What a dick.
4,"Well, guess what, Wolvie?"
5,"I'm dying in this one, too."
6,"X GOIN' GIVE IT TO YAPLAYING DEADPOOL: To understand why I took a catnap on 1,200 gallons of hightest fuel..."
7,I need to take you back to the dewy slopes of six weeks ago.
8,"I'd gone international, taking out mass murderers, gangsters, unspeakable monsters."
9,People nobody would touch.
10,Except me.
11,I'm gonna touch them all over.
12,"CELL PHONE RINGING DEADPOOL: Hey, it's Gail calling."
13,Love the shiny suit.
14,"Really brings out the sex trafficker in your eyes. SPEAKING CANTONESE IN ENGLISH I don't speak Cantonese, Mister..."
15,"Well, I'm not even gonna attempt that."
16,"But I did take 8th grade Spanish, so..."
17,SPEAKING SPANISH Which literally translates to...
18,"I don't bargain, pumpkin fucker."
19,"CELL PHONE CLATTERS WOMAN SCREAMING GUNS COCKING Oh. Oh, this isn't Gilbert's."
20,I am so sorry.
21,I thought this was an analbleaching party.
22,GUNS FIRING GRUNTING BREATHING HEAVILY GASPS SHUSHING MEN LAUGHING Don't worry.
23,You're not going to die.
24,Although these will kill you.
25,"Hit it, Dolly."
26,9 TO 5PLAYING BOTH GRUNTING WOMAN SCREAMS I'm merely a vessel for the Lord.
27,MEN GROANING Taking the hands out of the guns of the criminals!
28,Whoo! Do not go in there!
29,Let's see Captain America do that.
30,MEN CHEERING CROWD CHEERING Too exotic?
31,"SPEAKING SPANISH SOFT MUSIC PLAYING ALL GRUNTING MUSIC CONTINUES Oh, God! Oh, God, time out! Time out!"
32,"Cut. I've got bad guy blood, right in my open eye."
33,"Oh, that's so gross."
34,GROANING Fuck.
35,Looks like you left a little landing strip there.
36,I like it.
37,"Oh, man!"
38,"DEADPOOL: My world tour brought me home to this guy, Sergei Valishnikov."
39,But we'll get to him in a moment.
40,'Cause I know what you're thinking.
41,"""I'm so glad I left the kiddos at home."" But that's where you'd be wrong."
42,That babysitter of yours is high as fuck right now...
43,"and, believe it or not, Deadpool 2 is a family film."
44,True story.
45,And every good family film starts with a vicious murder.
46,"Bambi, The Lion King, Saw 7."
47,CHUCKLING Holy shit pickles!
48,That guy's on fire.
49,"That's not CGI, folks."
50,He's actually on fire.
51,"Yeah. You know I get paid to take out bad guys, right?"
52,But this guy?
53,He was one of the worst of 'em.
54,"Hurry up and open this fucking door, and let's kill this motherfucker!"
55,ALARM RINGING GUNSHOT BODY THUDS Ugh. So gross.
56,A panic room? Really?
57,Can you come out? WATCH BEEPING I really have to go.
58,It's my anniversary.
59,"GUNS COCKING MAN: ON RADIO Over and over, I hear people say, ""I just don't have enough confidence."" Listen, confidence is not something you have."
60,It's something you create. LAUGHS And you can create it at any moment in time.
61,A sense of confidence is nothing but a sense of power within yourself...
62,a sense of certainty that you can pull something off.
63,DEADPOOL: Start the fucking car!
64,Dopinder!
65,Start the fucking car!
66,SCREAMS MAN: Shoot that motherfucker!
67,Shoot him!
68,"Whoo! Oh, I shit my pants."
69,"Actually, that may have been me."
70,"Oh, mission accomplished?"
71,"Oh, in a George W."
72,sort of way.
73,Fucker can't stay in a panic room forever.
74,"DOPINDER: Oh, you're living the dreams, DP."
75,"It has been quite the run, Dopinder, and who'da thought?"
76,Now I'm talked about in the same sentence as Jesus.
77,"Passion of the Christ, then me."
78,At least domestically.
79,"We beat them overseas, where there's no such thing as religion."
80,"I do want to live the dreams, Pool Boy."
81,Taxiing is not as sexy as it looks.
82,I want to fill my... Pockets?
83,What's your poison?
84,"A little, uh, cokey cokey?"
85,Can't maintain an erection without buying shoes online? HORN HONKS I've never experienced that last one.
86,"Talk to me, Goose."
87,"I was going to say ""soul""."
88,I want to fill my soul.
89,"I want to belong to something, like you, Pool, sir."
90,Dopinder... Hmm?
91,You never cease to surprise me.
92,"You know, the depth of your heart is extraordinary."
93,We all need a sense of belonging.
94,We all need a genuine sense of home.
95,A place in this world.
96,I want to become a contract killer.
97,I'm sorry. What did you say?
98,Remember when I kidnapped Bandhu and threatened him with great violence?
99,You kind of killed him.
100,And then remember the movie Interview with the Vampire?
101,Don't want to.
102,When Tom Cruise fed Kirsten Dunst blood for the first time...
103,"and she looked up at his smooth, handsome face and said..."
104,"""I want some more."" Oh, Pool, picture me, a 10yearold Kirsten Dunst."
105,I'll never not picture that.
106,"But I can't wait to never speak of this, as soon as possible."
107,"We're here. BRAKES SCREECHING GROANS Dopinder, it's me again."
108,"Look, a saner man might discourage you from joining the deadly merc business..."
109,"what, with your concave chest and your paper towel tube arms."
110,But you're an eagle...
111,"and goddamn it, an eagle's gotta soar."
112,"You gotta grab those dreams, grab those dreams by the dick tip..."
113,and make it rain!
114,I don't know what that means.
115,Me neither. BOTH LAUGH I'm gonna see you...
116,EXCLAIMS at the office.
117,In the sky.
118,You're my Tom Cruise!
119,DEADPOOL: And you're my Kristen Dunst!
120,Kristen? Kirsten?
121,Sorry I'm late.
122,There was a bunch of handicapable children stuck in a tree...
123,"and I had to, uh... Uhuh."
124,You're right.
125,I was fighting a caped badass.
126,"But then we discovered his mom is named Martha, too."
127,No.You got me.
128,I was rounding up all the gluten in the world and launching it into space...
129,where it can't not hurt us ever again.
130,Try again.
131,Diarrhea?
132,We can't be sure until I get this suit off...
133,"but, uh, all signs point to yes."
134,Traffic?
135,Hmm?
136,"Kiss me like you miss me, Red."
137,"Well, come here."
138,TAKE ON MEPLAYING VANESSA MOANS I'm gonna shower and get out of this suit.
139,Don't you want your surprise?
140,Do I look like a patient burn victim?
141,"I got one for you, too."
142,"Happy anniversary, baby."
143,"Open, open, open."
144,SkeeBall token.
145,Our first date.
146,Yup.
147,"That's genuine, highgrade lead."
148,"I'll keep it forever. CHUCKLES Thank you, baby."
149,"Open yours. All right, all right."
150,Oh...
151,That's just the most beautiful thing that I've...
152,I don't know what this is.
153,My IUD.
154,A bomb?
155,"No, dick for brains."
156,My birth control device.
157,"What, you mean that your..."
158,Baby factory's open for business.
159,"Oh, my God! BOX CLATTERS VANESSA LAUGHS Oh, my God! I want a boy!"
160,Or a little girl!
161,Definitely one or the other!
162,Oh! And I want our kid to have only one name.
163,Like Cher or Todd.
164,"You gotta pump a baby in me first, cowboy."
165,"Yes, I do."
166,Let's watch some porn and show that bed who's boss.
167,Let's do that.
168,"âª Papa... âª âª Can you hear me? âª âª Papa, can you see me? âª Does this song sound familiar to you?"
169,May.
170,"Connor, if it's a boy."
171,"May, if it's a girl."
172,CHUCKLES So weird. LAUGHS Family was always an Fword to me.
173,My pile of shit father took off and bailed.
174,"I mean, it's not like I have a lot of strong role models to draw off of for Todd."
175,Hey. Look at me.
176,You are not your father.
177,Besides...
178,"I will never, ever let our child be named Todd."
179,"But here's the thing, isn't that how it always works?"
180,"Like in Star Wars, men are destined to become their father..."
181,and then have consensual sex with their sister?
182,"I think you missed big, big chunks of that movie."
183,"No, I'm pretty sure Luke nailed her."
184,"Baby, that's Empire."
185,"The point is, kids..."
186,they give us a chance to be better than we are.
187,Better than we used to be.
188,You're a lot smarter than I look.
189,I'm gonna go make dessert.
190,You get the strapon.
191,Let's make a super baby.
192,"Pretty sure it doesn't work that way, but we can try."
193,VANESSA: What about Krystal?
194,"But with a ""K""?"
195,TIMER TICKING It's too strippery.
196,"Kevin with a ""K""!"
197,"No, too strippery, too."
198,"Uh, Earl!"
199,IN SLOW MOTION He's gonna go straight to jail if we name him Earl.
200,What about Bruce?
201,No.
202,Get down.
203,What? GUN FIRES ALL GRUNTING GUN FIRING Baby? Baby?
204,BREATHING HEAVILY I'm okay.
205,Thank God I didn't have to use the cream cheese spreader.
206,BOTH PANTING GASPS INAUDIBLE MOUTHING Please.
207,Please. Please.
208,"Baby, I'm so sorry."
209,No!
210,"DINGS PANTING HORN BLARING GRUNTS TIRES SCREECHING THUNDER RUMBLES BREATHING HEAVILY ENGINE STALLING YELLS MELANCHOLY MUSIC PLAYING THUNDER RUMBLING HORN BLARES WOMAN SINGING âª Papa, can you hear me? âª Is it just me, or does Do You Want to Build a Snowman? from Frozen..."
211,"sound suspiciously like Papa, Can You Hear Me?"
212,from Yentl?
213,"SNIFFLES âª Papa, can you hear me? âª And nobody fucking realizes it."
