,dialog
0,Just to pick some flowers.
1,Don't wander too far.
2,"âª My wild Irish rose âª âª The sweetest flower That grows âª âª You may search everywhere âª âª But none can compare âª âª With my wild Irish rose âª Well, hi there."
3,Do you want one?
4,You're wondering why I'm wearing such a funny hat.
5,I always wear this hat.
6,"So much, it's a part of my name now."
7,"My friends, my very, very best friends, they just call me Rose the Hat."
8,It looks like a magician's hat.
9,It is.
10,It's a magic hat.
11,Do you wanna see?
12,Nothing up my sleeves.
13,Nothing in my hat.
14,"Don't worry, that's my friend."
15,You're missing the trick.
16,Reach inside.
17,Wow!
18,It's so pretty.
19,Because it's special.
20,"And speaking of special, you're a little magic, too, aren't you?"
21,"The flower in my hand, what color is it?"
22,Purple.
23,"Violet, like you."
24,You don't eat flowers.
25,But you do.
26,But these are special.
27,"Honey, it's the special ones that taste best."
28,I should get back to my mom.
29,"No, stay. Stay awhile."
30,See more magic.
31, Ow.
32," You are a special little thing, aren't you?"
33,"No, no, no. Please."
34,"Hey. It's okay, Doc."
35,It's okay.
36,There.
37,All dry.
38,What happened?
39,"You have to talk to me, Danny."
40,You haven't talked since we left...
41,"Please, Doc."
42,Please.
43,"So, you ain't talking, huh, Doc?"
44,Weren't talking much first time I met you neither.
45,You remember the first time we really talked?
46,When I spoke up inside your head?
47,"Made you feel good, right?"
48,Knowing you weren't alone.
49,"Someone did that for me, too."
50,"And some day, Danny Torrance, you'll teach someone else."
51,I won't.
52,"Oh, you won't, huh?"
53,"I won't shine, I mean."
54,No more. It's dangerous.
55,Reckon it is sometimes.
56,She found me.
57,She'll come back and come back until she gets me.
58,You're right.
59,The Overlook's condemned.
60,Boarded up.
61,"They're starvin' old ghosts, and they're reachin' out for you."
62,"Won't stop with her, either."
63,Pictures in a book.
64,You said they were just pictures in a book and they couldn't hurt me.
65,"Some things, dark things, the shining's like food."
66,"The Overlook, it was always just pictures to me."
67,But I didn't shine like you.
68,Nobody shines like you.
69,"So, you in that damn hotel, you was like a millionwatt battery all plugged in."
70,And it ate it up.
71,World's a hungry place.
72,"And the darkest things are the hungriest, and they'll eat what shines."
73,Swarm it like mosquitoes or leeches.
74,Can't do nothing about that.
75,What you can do is turn what they come for against 'em.
76,"My grandfather, he was a mean son of a bitch."
77,Dark inside.
78,Same type of dark as your dad.
79,"Beat me senseless, and my grandma, too, and when he died, I danced."
80,But he kept on coming back.
81,Standing in my room.
82,Suit all gray and stinkin' from whatever mold was growin' on him in that box.
83,"So, Grandma, she taught me a trick."
84,Gave me a present.
85,I want you to know this box inside and out.
86,Don't just look at it.
87,Touch it.
88,Stick your nose inside and see if there's a smell.
89,Why?
90,Because you're gonna build one just like it in your mind.
91,One even more special.
92,"So next time that bitch comes around, you'll be ready."
93,Let's get you back to Mama.
94,Danny!
95,Danny!
96,Danny!
97,There you are.
98,"Where did you go, huh?"
99,You scared me half to death.
100,Don't you do that to me.
101,You hear?
102,Don't you ever do that to me.
103,Don't ever do that to me.
104,"Eh, what's up, Doc?"
105,What's the bit?
106,What's cookin'?
107,"What's cooking, little friend? Why, you are."
108,Me?
109,"Why, yes."
110,Ouch!
111,You're killing me!
112,Ouch!
113,Agony! Agony!
114,Let me see now.
115,It is obvious that this is no ordinary rabbit.
116,"Therefore, I must dream up a brilliant master strategy, ingenious..."
117,"You okay, Doc?"
118,"Now, what if I lured him..."
119," Yeah, Mom. I'm okay."
120, ...into a rock crusher?
121,"Nah, nah, nah, too complicated."
122,"Yeah, yeah, too complicated. But what if I..."
123,Too much detail.
124,Right.
125,Too much detail.
126,"And what's your name  again, cutie?"
127, Dan.
128,Dan.
129,You're gonna take your medicine.
130,Get off him.
131,Get up. Get out of here.
132,Shit.
133,I think you killed him.
134,What if you killed him?
135,I hope you killed him.
136,You hear me?
137,Let me kiss it better.
138,"No, no, no."
139,"No, no, no."
140,Whoa. What the... No.
141,Mommy?
142, Mommy?
143, Baby.
144,"Here, here."
145,"You can put her money back, Doc."
146,You can do that much.
147,She took mine.
148,She probably bought the coke with it.
149,Doc.
150,âª It's still the same Old story âª âª A fight for love And glory âª âª A case of do or die âª âª The world Will always welcome lovers âª âª As time goes by âª Henri wants us to finish this bottle  and then three more.
151, Andi?
152,Says he'll water his garden with champagne...
153,That's right.
154,...before he'll let the Germans drink it.
155,This sort of takes the sting out of being occupied.
156,You're prettier than your picture.
157," Doesn't it, Mr. Richard?"
158, You said it.
159,And you're older than yours.
160,Are we staying here or going somewhere?
161,Don't you wanna watch the movie?
162,I don't see what the fuss is about.
163,Chat room romance.
164,Little gross. Not interesting.
165,Just watch.
166,"It's interesting, I promise."
167,"Well, it better be, 'cause she's not all that steamy."
168,And there she goes.
169,Aren't you tired?
170,Sleep.
171,Okay.
172,Wait. This is the best part.
173,I watched her do it three times now and it never gets old.
174,"Sleep deeper, deep as you can."
175,The pain you feel is only a dream.
176,You can explain a lost wallet when your wife asks.
177,But you can't explain this.
178,This you'll see every day when you look in the mirror.
179,"And every time you see it, you'll say out loud..."
180,"""I like little girls."" And the next time you go looking for a little girl online, I want you to remember that time you got bitten by a rattlesnake."
181, That is interesting.
182, Mmmhmm.
183,"Excuse me, miss?"
184,"Miss. Miss, you left something in the theater."
185,You wanna leave me alone.
186,"Well, hi there."
187,You wanna let me go.
188,"Oh, no, sweetie."
189,"No, I don't."
190,"Mommy, I made this for you."
191,It's a secret card.
192,"Thank you, Abbadoo."
193,Does anyone know a magic word?
194,Hmm. You.
195,Abracadabra.
196,Abracadabra.
197,That's a great one.
198," One, two, three."
199," Two, three."
200,Abracadabra.
201,"I know magic, too."
202,"Sometimes, if I..."
203,Sorry.
204,Has anyone seen my spoons?
205,I can do that.
206,"That's nice, sweetie."
207, They're on you!
208," Oh, they're on me?"
209,What the hell?
210,Dave...
211,Abracadabra.
212,Oops.
213,"Well, hi there, sleepyhead."
214,Sorry.
215,I had to sleep you pretty hard.
216,You're a tough one.
217,Willful.
218,"You know, I checked."
219,Six men in three months with those little snakebite tattoos on their cheeks.
220,"Why, you've been busy."
221,"Snakebite Andi, that's who you are."
222,"So, who am I?"
223,You're some crazy bitch who kidnapped me.
224,Just the truth from now on.
225,You will only speak the truth.
226,You're the most beautiful woman I've ever seen.
227,My God.
228,"Works a little too well, don't it?"
229,"Here's the deal, Snakebite Andi."
230,You're a pusher. Hmm?
231,You can push people.
232,We haven't had a pusher around here for a little while so I'm gonna offer you a deal I haven't offered anyone in almost 40 years.
233,"How old are you, darlin'?"
234,Fifteen.
235,Fifteen?
236,"Oh, God, what an age."
237,"Springtime of your womanhood, isn't it?"
238,Mmm.
239,"You're not a girl anymore, but you don't have a single dent yet either."
240,Gravity hasn't even noticed you.
241,Not at 15.
242,"Men, though..."
243,"No, no, no. No shame."
244,"You paid that back, didn't you?"
245,That's what I'm offering you.
246,Springtime forever.
247,"Ten years from now, you're still 15."
248,"A hundred, maybe 17."
249,"Eat well, stay young, live long."
250,You like it?
251,Oh. Sorry. I was just...
252,That's okay.
253,People love to look at it.
254,We used to set this up in the library.
255,"Community project, just taking a life all its own."
256,"See, we started with the clock tower there."
257," Oh, yeah."
258, Just keeps growing.
259,Kids call it Teenytown.
260,The kids build this?
261,"With some help, oh, yeah."
262,"Keep it up, build the whole town square."
263,Are you off the bus or riding your thumb?
264,"Yeah, the bus."
265,Oh. Not many ride the bus this far north.
266,Unless they're looking for work.
267,Yeah.
268,"Change of scenery, or you running away from something?"
269,Don't mind me.
270,I hope I'm...
271,New face is all.
272,Yeah.
273,"Guess I'm running away from myself, I guess."
274,"Oh, yeah."
275,Running away from yourself.
276,That is a pickle.
277,You take yourself with you wherever you go.
278, Ain't that the bitch?
279, Mmmhmm.
280,"Rent's 85 a week, payable up front."
281,"Billy paid your first two, rest's on you."
282,"No pets, no parties, no noise."
283,I'm a quiet tenant.
284,Last guy said the same.
285,Math student.
286,"Even let him paint the wall all blackboard, so he could scribble his little puzzles up there."
287,"Wasn't quiet. No, sir."
288,"Didn't even paint over this when he left, but I'm glad he didn't 'cause I can make this easy for ya, so you see it every morning when you wake."
289,You sure you wanna vouch for this pup?
290,Pretty sure.
291,"It's your ass, Billy."
292,"Bleedin' heart, this one."
293,"I'm downstairs, ground floor, if you need anything."
294,"Find me tomorrow, talk about some work."
295,Why are you doing this?
296,You don't know me.
297,"No, I don't."
298,"But I know the look, like I said."
299,And sometimes I get this feeling about people.
300,"Hard to understand, I guess."
301,Easier than you think.
302, Thanks.
303, All right.
304,You ready?
305,She's ready.
306,Who are these people?
307,You'll find out after.
308,"That over there is Grampa Flick, and he'll lead us."
309,Lie down.
310,There.
311,No fear.
312,You understand?
313,We are the True Knot and we endure.
314,We are the chosen ones.
315,We are the fortunate ones.
316,What is tied cannot be untied.
317,Here is a woman.
318,Would she join us?
319,Would she tie her life to our life?
320,Yes.
321,Yes.
322,Say yes.
323,Yes.
324,This one's special.
325,Her name's Violet.
326,There's not much of her left.
327,And she tastes...
328,like flowers.
329,Breathe deep.
330,There. Embrace it.
331,Embrace it.
332,No!
333,No! No!
334,They haven't found us yet.
335,They were used to hearing him cry 'cause I left him alone so much.
336,So they didn't do anything.
337,And they haven't found us yet.
338,Mommy?
339,"Oh, hey."
340,"Uh, you said that you knew my look."
341,"Well, what did you mean?"
342,You're sick.
343,You're tired.
344,I can see that much.
345,I need help.
346,Come on in.
347,We'll talk about it.
348,"God, grant me the serenity to accept the things I cannot change, the courage to change the things I can and the wisdom to know the difference."
349,"Well, Bobbie's got a big birthday today."
350,Three years.
351,Three years sober.
352,Yeah.
353,"Thanks, John."
354,"Well, now for the most important person in the room."
355,"Is, uh, anybody here a newbie?"
356,Somebody got 24 hours?
357,Yeah.
358,"New to town, huh?"
359,"Yeah, I, uh..."
360,Nothing personal.
361,I delivered half the people in the room.
362,"Just new faces pop, that's all."
363,This here is Dan Torrance.
364, He's fresh off the bus.
365," Oh, hey."
366,"Fresh off the ground, by the look."
367,Oh.
368,"There's no judgment here, brother."
369,"I mean, we've all been there."
370," And worse, trust me."
371," Oh, yeah."
372,"If you're looking for a wing to climb under, I can't say you'll do any better than Billy Freeman here."
373,Thank you for your hospitality. I...
374,"I'm a little, uh..."
375,I guess I'm not used to it.
376,"Well, you know we say, ""You can't judge someone till you know their whole story."" You might think you understand,  but you don't."
377, You don't.
378,"So, how are you today?"
379,All right?
380,Train's still running.
381,That's good to hear.
382,You good?
383,Yeah. Yeah.
384,"Well, good to know you, Dan."
385, Yeah.
386, Come again.
387, Thanks.
388, Hope to see you again soon.
389,"I'll come back, yeah."
390,Really good man.
391,He's got a gift...
392,"Yeah. Hey, Billy, hang on."
393,"Hey, Doc."
394,Your watch. Uh...
395,You lost your watch. You were worried about the kid with...
396,Goocher's.
397,What?
398,The kid with Goocher's or Gaucher's. The bone thing.
399,Gaucher's disease.
400,Right.
401,You were washing your hands in the hospital bathroom and you left it on the soap dispenser.
402,"Well, just check on the soap dispenser."
403, It's good to meet you.
404, Yeah.
405,How did you know?
406,I wish I could say. Uh...
407,Lucky guess.
408,My ass.
409,"Intuition, I suppose."
410,Like a feeling in my gut.
411,Maybe a...
412,A lucky guess.
413,What do you wanna do here?
414,What do you mean?
415,I mean here in Frazier.
