,dialog
0,What the fuck is that?
1,Jimmy?
2, What's up?
3, Did I hit something?
4,What the fuck is that?
5,Maybe you got a flat?
6,No.
7,What the fuck?
8,You better pull over and see.
9,He's still alive. You fucking piece of shit!
10,"Die, you motherfucker! Look at me!"
11,"As far back as I can remember, I always wanted to be a gangster."
12,To me...
13,being a gangster was better than being president of the United States.
14,Even before I first wandered into the cabstand for an afterschool job...
15,I knew I wanted to be a part of them.
16,It was there that I knew I belonged.
17,"To me, it meant being somebody in a neighborhood full of nobodies."
18,They weren't like anybody else.
19,They did whatever they wanted.
20,"They doubleparked in front of a hydrant, nobody ever gave them a ticket."
21,"In the summer, when they played cards all night..."
22,nobody ever called the cops.
23,Tony Stacks. How are you?
24,Tuddy Cicero.
25,Could this be the Canarsie Kid?
26, How are you?
27, Good.
28,Tuddy.
29,Tuddy ran the cabstand and the Bella Vista Pizzeria...
30,"and other places for his brother, Paul, who was the boss of the neighborhood."
31,Paulie might have moved slow...
32,but it was only because Paulie didn't have to move for anybody.
33, It's your fault.
34, You started it.
35,I started it? It's your fault.
36,At first my parents loved that I found a job across the street from the house.
37,"My father, who was lrish, was sent to work at the age of 11."
38,He liked that I got myself a job.
39,He always used to say that American kids were spoiled lazy.
40," Bye, Dad."
41, Bye.
42,"See you, Mikey."
43,"Bye, Henry."
44,Henry! Watch how you cross!
45,Bring back milk!
46,My mother was happy after she found out that the Ciceros...
47,came from the same part of Sicily as she did. To my mother...
48,that was the answer to all her prayers.
49,I was the luckiest kid in the world.
50,"I could go anywhere, I could do anything."
51,"I knew everybody, and everybody knew me."
52,Wiseguys would pull up and Tuddy would toss me their keys...
53,and let me park their Cadillacs.
54,"Here I am, this little kid, I can't even see over the steering wheel..."
55,and I'm parking Cadillacs.
56,But it wasn't too long...
57,before my parents changed their minds about my job at the cabstand.
58,For your mother and sister.
59,"For them, the cabstand was supposed to be a parttime job. But for me..."
60,it was definitely fulltime.
61,That's all I wanted to do.
62,"People like my father could never understand, but I was a part of something."
63,I belonged. I was treated like a grownup.
64,Tell him 519.
65,Every day I was learning to score.
66,"A dollar here, a dollar there."
67,I was living in a fantasy.
68,Have a good day at school?
69,My father was always pissed off.
70,Pissed that he made such lousy money...
71,pissed that my kid brother Michael was in a wheelchair.
72,He was pissed that there were seven of us living in such a tiny house.
73,Tell me about this.
74,It's a letter from school.
75,It says you haven't been there in months.
76,In months!
77,You're a bum!
78,Want to grow up to be a bum?
79,"After a while, he was mostly pissed because I hung around the cabstand."
80,He knew what went on at that cabstand.
81,"Every once in a while, I'd have to take a beating. But by then, I didn't care."
82,The way I saw it...
83,everybody takes a beating sometime.
84, I can't make any more deliveries.
85, What? You'll fuck everything up.
86,My dad says he'll kill me. Look.
87,Come on with me.
88," Is that him, kid?"
89, No.
90, How about him?
91, No.
92, That's the guy.
93, Get him.
94,Excuse me.
95, Scumbag.
96," Come here, you piece of shit."
97, Know this kid?
98, Yeah.
99, Know where he lives?
100, Yeah.
101, You deliver mail to his house?
102, Yeah.
103,"From now on, any letter from that school to his house comes directly here."
104, Understand?
105, Yeah.
106,Another letter from that school goes to that kid's house...
107,"in the fucking oven you'll go, head first."
108,That was it. No more letters from truant officers. No letters from school.
109,"In fact, no more letters from anybody."
110,"Finally after a few weeks, my mother went to the post office to complain."
111,How could I go to school after that...
112,and pledge allegiance to the flag and sit through good government bullshit?
113,Paulie hated phones.
114,He wouldn't have one in his house.
115,Mickey called. Want me to call him back?
116,"All right, make the call."
117,He got all his calls second hand.
118,Then you'd have to call the people back...
119,from an outside phone.
120,Got a nickel? Get him on the phone.
121,"There were guys, that's all they did all day, was take care of Paulie's calls."
122,"For a guy who moved all day long, Paulie didn't talk to six people."
123,"If there was a union problem or, say, a beef in the numbers..."
124,only the top guys could meet with Paulie to discuss the problem.
125,Everything was oneonone.
126,Paulie hated conferences.
127,He didn't want anybody hearing what he said...
128,and he didn't want anybody listening to what he was being told.
129,"Hundreds of guys depended on Paulie, he got a piece of everything they made."
130,"It was a tribute, like in the old country, except they were doing it in America."
131,All they got from Paulie was protection from other guys looking to rip them off.
132,That's what it's all about. That's what the FBI could never understand.
133,What Paulie and the Organization does...
134,is offer protection for people who can't go to the cops. That's it.
135,That's all it is. They're like the police department for wiseguys.
136,"People looked at me differently, and they knew I was with somebody."
137,I didn't have to wait in line at the bakery on Sunday mornings for fresh bread.
138,The owner knew who I was with...
139,and he'd come from around the counter.
140,No matter how many were waiting...
141,I was taken care of first.
142,Our neighbors didn't park in our driveway anymore...
143,even though we didn't have a car. At 13...
144,I was making more money than most of the grownups around.
145,I had more money than I could spend.
146,I had it all.
147,"One day, some neighborhood kids carried my mother's groceries all the way home."
148,You know why?
149,It was out of respect.
150,"Hi, Mom, what do you think?"
151," Look at my shoes, aren't they great?"
152, My God.
153,You look like a gangster.
154,They shot me. Help!
155,"Henry, shut the door."
156,That was the first time I had ever seen anyone shot.
157,Can't have that in here. Jesus Christ!
158,I can't have that in this joint.
159,I remember feeling bad about the guy...
160,but I also remember feeling that maybe Tuddy was right.
161,I knew Paulie didn't want anybody dying in the building.
162,You're a real jerk. You wasted eight fucking aprons on this guy.
163,What the hell's wrong with you?
164,I got to toughen this kid up.
165,It was a glorious time.
166,And wiseguys were all over the place.
167,It was before Apalachin and before Crazy Joe...
168,decided to take on a boss and start a war.
169,It was when I met the world.
170,And it was when I first met Jimmy Conway.
171,He couldn't have been more than 28 or 29 at the time...
172,but he was already a legend.
173,He'd walk in the door and everybody who worked the room just went wild.
174,He'd give the doorman $100 just for opening the door.
175,He'd give hundreds to the dealers and the guys who ran the games.
176,The bartender got $100 just for keeping the ice cubes cold.
177,The Irishman is here to take all you guineas' money.
178, Want a drink?
179, Give me a 7 and 7.
180, I'd like you to meet the kid Henry.
181, How you doing?
182, Thank you.
183, Keep them coming.
184,Jimmy was one of the most feared guys in the city.
185,He was first locked up at 11...
186,and he was doing hits for mob bosses when he was 16.
187,"See, hits never bothered Jimmy."
188,It was business.
189,But what Jimmy really loved to do...
190,what he really loved to do was steal.
191,He actually enjoyed it.
192,Jimmy was the kind of guy who rooted for the bad guys in the movies.
193,Give me your wallet.
194,"You might know who we are, but we know who you are. Understand?"
195,He was one of the city's biggest hijackers...
196,"of booze, cigarettes, razor blades, shrimp and lobsters."
197,Shrimp and lobsters were best.
198,They went really fast.
199,Almost all of them were gimmies.
200,"They just gave it up, no problem."
201,They called him Jimmy the Gent.
202,Help the lady.
203,Drivers loved him.
204,They used to tip him off...
205,about the really good loads.
206,"Of course, everybody got a piece."
207,"Thanks, I'll be back for the rest later."
208,"Okay, see you later."
209,"Henry, come here."
210, Say hello to Tommy.
211," How're you doing, Henry?"
212,"You're gonna be working together, okay?"
213,Help him. Go ahead.
214,"Jimmy, you got anything good?"
215,"And when the cops assigned a whole army to stop Jimmy, what did he do?"
216,How're you doing?
217,He made them partners.
218,"I'd complain, but who'd listen?"
219, One Pall Mall.
220, There you go.
221, What do you need?
222, Two Luckies.
223," Here you go, Henry."
224, Thanks a lot.
225,What do you need?
226, One Pall Mall.
227," One Pall Mall, here you go."
228, What are you doing?
229, It's all right.
230, You have permission from your mother?
231, How many cartons you need?
232, Where'd you get the cigarettes?
233, Get him out of here.
234, It's okay.
235, It's not okay.
236, You don't understand.
237, You don't understand. Store's closed.
238, Henry got pinched.
239, Where?
240,"By the factory, selling cigarettes."
241,Henry Hill. The People of the State of New York vs. Henry Hill.
242,Docket number 704162.
243,"Yes, sir. That's me."
244,Just stand there. Now stay there.
245,"Counselor, proceed."
246,Congratulations.
247,Here's your graduation present.
248, What for? I got pinched.
249," Everyone does, but you did it right."
250,"You told them nothing, and they got nothing."
251, I thought you'd be mad.
252," I'm not mad, I'm proud of you."
253,You took your first pinch like a man and learned the two greatest things in life.
254, What?
255, Look at me.
256,Never rat on your friends...
257,and always keep your mouth shut.
258,Here he is.
259,You broke your cherry.
260,Congratulations!
261,"By the time I grew up, there was $30 billion a year in cargo..."
262,moving through ldlewild Airport...
263,"and believe me, we tried to steal every bit of it."
264,"See, you gotta understand, we grew up near the airport."
265,It belonged to Paulie.
266,We had friends and relatives who worked all over the place.
267,They would tip us off about what was coming in and moving out.
268,If any truckers or airlines gave us trouble...
269,Paulie had the union people scare them with a strike. It was beautiful.
270,It was a bigger moneymaker than numbers and Jimmy was in charge of it all.
271,"Whenever we needed money, we'd rob the airport."
272,"To us, it was better than Citibank."
273,You got a phone? Come on!
274,Two niggers just stole my truck.
275,Can you believe that shit?
276,There was Jimmy...
277,and Tommy and me.
278,And there was Anthony Stabile.
279,How're you doing?
280,Frankie Carbone.
281,"And then there was Mo Black's brother, Fat Andy."
282,"And his guys, Frankie the Wop."
283,Freddy No Nose.
284,"And then there was Pete the Killer, who was Sally Balls' brother."
285,Then you had Nickey Eyes...
286,and Mikey Franzese.
287,"That guy, I wanna see him."
288,"Jimmy Two Times, who got that nickname because he said everything twice."
289,"I'm gonna go get the papers, get the papers."
290,What is this? Coats?
291,"Henry, I need suits, not coats."
292,Suits are coming Thursday.
293,But it's the middle of summer.
294,What'll I do with fur coats?
295,You don't want furs? I'll take them away.
296,"No, I want them. We'll hang them in the freezer with the meat. How's that?"
297,"For us, to live any other way was nuts."
298,"To us, those goodygood people who worked shitty jobs for bum paychecks..."
299,"and took the subway to work every day and worried about bills, were dead."
300,They were suckers. They had no balls.
301,"If we wanted something, we just took it."
302,"If anyone complained twice, they got hit so bad they never complained again."
303,It was just all routine.
304,You didn't even think about it.
305,"Frankie, what the fuck does 520 have to do with 469?"
306,I can't believe this guy.
307,What's that got to do with anything?
308,Piece of cake. It's all there.
309,Don't worry about the alarms.
310,I just gotta find a way to get the key.
311," No problem, right?"
312, I'll take care of it.
313, Tell him what you were telling me.
314, Too good to be true.
315,Big score coming from Air France.
316,Bags of money coming in.
317,Tourists and American servicemen change their money...
318,into French money and send it back here.
319, Calm down.
320, It's beautiful.
321,It's totally untraceable. Okay?
322,"The only problem is getting a key, but I've got a plan."
323, Me and Frenchy and this citizen.
324," Yeah, he's a piece of work."
325,"If I'm right, there could be $500,000 coming in, all cash."
326,The best time is probably over a weekend.
327,So maybe Saturday night.
328,There's a Jewish holiday on Monday.
329,They won't find out until Tuesday.
330,Beautiful.
331,What about the security?
332,Security?
333,You're looking at it. It's a joke.
334,I'm the midnighttoeight man.
335,I'm the commandant.
336,He just comes in like he's picking up lost baggage.
337, It's beautiful.
338, It won't be a problem at all.
339, Good.
340, We're on.
341,What's really funny is that fucking bank job in Secaucus.
342,"I'm in the middle of the weeds, lying down."
343,"He says, ""What are you doing?"" I said, ""I'm resting."" ""Here? This ain't no beach or park."" I said, ""I'm resting."" I know I'm resting."
344,"He pulls me in, starts asking questions."
345,"You know, this and that."
346,"""What are you going to tell us?"" I said, ""My usual. Nothing."" ""Why tell you?"" The fuck. He says, ""No, you'll tell me something today."" I said, ""Okay, go fuck your mother."" You saw the paper, Anthony."
347,My head was out like this.
348,"Now I'm coming around, and who do I see in front of me?"
349,"This prick again. He says, ""What do you want to tell me now?"" I said, ""What are you doing here?"
350,"I told you to go fuck your mother."" I thought he was gonna shit."
351,The fuckers. I wish I was big just once.
352,Funny. You're really funny.
353,"What do you mean, I'm funny?"
354,"It's funny, you know. It's a good story."
355,You're a funny guy.
356,You mean the way I talk? What?
357,"It's just, you know. You're just funny."
358,"You know, the way you tell the story and everything."
359,Funny how? What's funny about it?
360," Tommy, you got it all wrong."
361, Anthony.
362,He's a big boy. He knows what he said.
363,What did you say?
364,"Funny, how?"
365,"Just, you know. You're funny."
366,Let me understand this.
367,Maybe I'm a little fucked up.
368,"But, I'm funny, how? Funny like a clown?"
369,I amuse you?
370,I make you laugh?
371,I'm here to fucking amuse you?
372,"What do you mean, funny?"
373,How am I funny?
374,"You know, how you tell a story."
375,"No, I don't know. You said it."
376,How do I know? You said I'm funny.
377,How the fuck am I funny?
378,What the fuck is so funny about me?
379,Tell me what's funny.
380,"Get the fuck out of here, Tommy."
381,Motherfucker! I almost had him!
382,"You stuttering prick, you!"
383,"Frankie, was he shaking?"
384,"I wonder about you sometimes, Henry."
385,You may fold under questioning.
386,Jesus Christ.
387,What the fuck is it with you?
388,I thought I was getting pinched already.
389,He's hanging on my fucking neck like a vulture. What do you want?
390,This guy didn't want to come and give you the check.
391,Could you take care of this?
392,No problem. Tell him to put it on my tab. Of course.
393,That's what I want to talk to you about.
394,It ain't just this one.
395,It's seven big ones you owe me.
396,"$7,000, that ain't peanuts."
397,I don't mean to be out of order...
398,Don't mean to be out of order?
399,It's good you don't mean to be out of order.
400,"Embarrassing me in front of my friends, like I'm a deadbeat."
401,"You know, Sonny, you're a fucking mutt."
402,You know the money we spend in this fucking...
403, Don't be like that.
404, What do you mean?
405,Do you believe this prick?
406,You think this is funny?
407,What the fuck are you looking at?
408,You fucking moron!
409,You don't want to bring the check?
410,Do you believe this prick?
411,"You're supposed to be doing this stuff, too."
412,You're a funny guy.
413," That's it, Henry."
414," No, go back."
415,You want to laugh? This prick last week asked me to christen his kid.
416,"I charged him $7,000."
417,You really are a funny guy.
418,I'm worried. I'm hearing all kinds of fucking bad things.
419,He's treating me like I'm a fucking fag.
420,I got to go on the lam in order to get away from this guy.
421,"This ain't right. I can't go here, I can't go there."
422,You think you're the only one?
423,"I talk to them, they don't listen."
424,"If you tell him, he'll stop."
425,I'll wind up being declared an MIA.
426,They'll find me in the back of a car somewhere in the weeds.
427,You've known this Tommy all your life.
428,Who knows better?
429,This cocksucker's an arch criminal.
430,"When I leave my house, before I get to the car I look over both shoulders."
431,This is no way to live.
432,I'm no fence jumper.
433,"I'm around you all my life, tell me what I gotta do."
434," Whatever I got to do, I'm gonna do."
435, What could I do?
436,"If there was something I could do, I would."
437,I would like to help you out.
438,"Sonny, tell him what we talked about."
439, You think it's all right?
440, Yeah.
441,"Maybe you could come in with me, take a piece of this joint. It'd be good."
442,What are you talking about?
443,You mean the restaurant?
444,It's a classy place. Look at the layout.
445,You've been in there a million times.
446,You know how it looks.
447,Tommy taking over this joint is like putting a silk hat on a pig.
448,"I don't mean no disrespect, but that's the way it is."
449,I know you're his friend.
450,I'm begging you. What can I say?
451,What am I gonna do?
452,What do you want from me?
453,I don't know anything about the restaurant business. Nothing.
454,"All I know is to sit down and order a meal, not how to make a restaurant."
455,Not for you. It's just a place to hang.
456,The chef is great. The shows are good.
457,There's a lot of whores coming in.
458,"I'd love to help you, but what do you want from me? What'll I do?"
459,"Tommy's a bad kid, a bad seed."
460,What am I supposed to do? Shoot him?
461,That wouldn't be a bad idea.
462,I'm sorry I said that. I didn't mean it.
463,I just mean that he's scaring me.
464,"I just need help. Help me, please."
465,You know anything about this restaurant business?
466,He knows everything.
467,He's there 24 hours a day.
468,"Another fucking few minutes, he could be a stool."
469,That's how often he's in there.
470,You want me to be your partner?
471,Is that what you're telling me?
472,What the fuck you think I'm talking about?
473,"Paulie, please. Come on."
474,It's not even fair.
475,You don't understand.
476,You run the joint.
477,"Maybe I'll try to help you, all right."
478,"God bless you, Paulie. I appreciate it."
479,You've always been fair with me.
480,Now the guy's got Paulie as a partner.
481,"Any problems, he goes to Paulie."
482,"Trouble with a bill, he can go to Paulie."
483,"Trouble with the cops, deliveries, Tommy..."
484,he can call Paulie.
485,Now the guy's gotta come up with Paulie's money every week...
486,no matter what.
487,"""Business is bad? Fuck you, pay me."
488,"Had a fire? Fuck you, pay me."
489,"""The place got hit by lightning?"
490,"Fuck you, pay me."" Can I get one of those TVs?"
491,"Also, Paulie could do anything."
492,Especially run up bills on the joint's credit. And why not?
493,Nobody's gonna pay for it anyway.
494,When deliveries are made at the front door...
495,you move the stuff out the back and sell it at a discount.
496,You take a $200 case of booze and sell it for $100.
497,It doesn't matter. It's all profit.
498,"Then finally, when there's nothing left..."
499,Fucking shame.
500,...when you can't borrow another buck or buy another case of booze...
501,you bust the joint out. You light a match.
502,Do you need help reaching anything?
503,You look like you're decorating a Christmas tree.
504,You don't know what you're doing.
505,She's from the Five Towns.
506,Who?
507,"The Jew broad, Diane, I was telling you I'm going to shag."
508,I've been trying to bang her for a fucking month now.
509,She won't go out with me alone.
510, No.
511," No, what?"
512,"No, what? Who the fuck asked you anything?"
513,I didn't ask you.
514,Hear what I'm going to say.
515,"All right, what?"
516,"Okay, what."
517,She don't want to go out with Italians alone.
518,She's prejudiced against Italians.
519,You fucking believe that?
520,In this day and age?
521,What the fuck is this world coming to?
522,"I can't believe this. A Jew broad, prejudiced against Italians."
523,She won't go out with me alone unless her girlfriend comes with us.
524,"So you come along, go out with her girlfriend."
525,See? I knew it.
526,You knew what?
527,What the fuck is wrong with that?
528, When is this?
529, Tomorrow night.
530,"I can't, I gotta meet Tuddy."
531,You could meet Tuddy.
532,You can come early and then still go.
533, Why do you always do this?
534, Don't give me that shit.
535,What did I ask you for?
536,I'm asking you for a favor.
537,I do a lot of fucking favors for you.
538,I'm trying to bang this fucking broad.
539,Help me out.
540,I don't understand you. She's beautiful!
541,Her fucking family lives in the Five Towns.
542,These Jews got money.
543,Maybe the family owns the whole block.
544,You may wind up with a big score.
545,You with your fucking mouth.
546,"I had a meeting with Tuddy at 11:00, and here I am, a backup guy for Tommy."
547,How about it?
548,Did you have enough to eat?
549,It was delicious. I'm just watching my diet.
550,Let me watch your figure.
551,I couldn't wait to get away.
552,I was ordering the dessert when they were eating dinner.
553,"When they were having coffee, I was asking for a check."
554,I had business.
555,Have some coffee. It'll wake you up.
556, Can we have the check?
557, What are you doing?
558, I got to go.
559, We just got here.
560,I got that thing. I gotta go.
561,Wait a couple of minutes.
562,We'll leave together.
563,"This way we don't go out like a bunch of hobos, one at a time."
564,I couldn't stand him.
565,I thought he was really obnoxious.
566,He kept fidgeting around.
567,"You don't mind, do you?"
568,That's very annoying.
569,"Good? You might prefer Manischewitz, but it'd look funny on my table."
570, Ready?
571," Henry, lighten up."
572,We just got here. What are you doing?
573,"Before it was time to go home, he was pushing me into the car..."
574,then pulling me out. It was ridiculous.
575,Diane and Tommy made us promise...
576,to meet them again on Friday night.
577,We agreed.
578,"Of course, when Friday night came around, Henry stood me up."
579,I feel terrible. I don't know where he is.
580,"He really liked you, too."
581,All he did was talk about her.
582,We were a trio instead of a double date that night.
583,He would have called.
584,I hope it's nothing serious.
585,But I made Tommy take me looking for him.
586,"Tommy, what the fuck?"
587,You got some nerve standing me up.
588,Nobody does that to me.
589,"Who do you think you are, Frankie Valli or some kind of big shot?"
590,"Slow down, I forgot."
591,I thought it was next week.
592,"It was this Friday and you agreed, so you're a liar!"
593,We can talk about this. Take it easy.
594,Talk about it?
595,Talk to you after what you just did to me? Forget it.
596,I thought you would stand me up.
597,You looked bored. You didn't say anything.
598,What do you expect?
599,Let me make it up to you.
600,I'll think about it.
601,"I remember, she was screaming on the street, and I mean loud."
602,But she looked good.
603,I'll think about it.
604,"But it'll cost you, Hill. A lot."
605,She had these great eyes just like Liz Taylor's.
606,At least that's what I thought.
607,"Hello, Henry."
608, You're ready?
609, Yeah.
610,Come on.
611," No, wait a minute."
612, What?
613,"Quick, you have to cover that cross."
614,My mother sees that...
615,Karen.
616,Mom.
617," I'd like you to meet my friend, Henry Hill."
618, How do you do?
619, Nice to meet you.
620, My daughter says that you're half Jewish.
621,It's just the good half.
622," Thank you, sir."
623," Bye, see you later, thanks."
624,What're you doing?
625,You're leaving your car?
626,He watches the car for me.
627,It's easier than leaving it at a garage and waiting.
628,"It's a lot quicker that way, you know what I mean?"
629,I like going in this way.
630,It's better than waiting in line.
631,How are you doing? What's up?
632,Here you go.
633, How are you doing?
634, I'm doing all right.
635,Good.
636,"Every time I come here, every time, you two. Don't you work?"
637,"Henry, nice to see you. Hi, how are you?"
638,"Anthony, right in the front."
639,"Anything you need, just let me know."
640,"Tony, thanks a lot. I appreciate it."
641, How are you guys doing?
642, How are you?
643, You gave them $20 each.
644, It's all right.
645,"Henry, this is with Mr. Tony, over there."
646, Where?
647, Over there.
648,"Thanks a lot, Tony."
649, What do you do?
650, What?
651, What do you do?
652, I'm in construction.
653,They don't feel like you're in construction.
654,I'm a union delegate.
655,"Now, ladies and gentlemen..."
656,the Copacabana is proud to present the king of oneliners...
657,Henny Youngman.
658,How are you all? I'm glad to be here.
659,"Take my wife, please."
660,I take my wife everywhere but she finds her way home.
661,"I said, ""Where do you wanna go for our anniversary?"" She said, ""Somewhere I've never been before."" I said, ""Try the kitchen."" Dr. Wellsler is here."
662,Gave a guy six months to live.
663,Couldn't pay his bill.
664,Gave him another six months.
665,I love this crowd.
666,Air France made me.
667,"We walked out with $420,000 without using a gun."
668,And we did the right thing.
669,We gave Paulie his tribute.
670,"$60,000."
671,It's going to be a good summer.
672,I'm proud of you.
673,That is a lot of money for a kid like you.
674,"Anybody asks you where you got it, you got it in Vegas playing craps, all right?"
675,All right.
676,"Check, sir."
