,dialog
0,Fixed & Synced by bozxphd. Enjoy The Flick.
1,"(LOOKING GLASS' ""BRANDY There's a girl in this harbor town."
2,And she works layin' whiskey down.
3,"They say, ""Brandy, fetch another round""."
4,And she serves them whiskey and wine.
5,"The sailors say ""Brandy, you're a fine girl""."
6,"""What a good wife you would be"" EGO: Come on!"
7,MEREDITH:  Slow down!
8,"This way, my river lily! Come on!"
9,Where are you taking me?
10,"Come on, come on."
11,Look. Look!
12," Oh, it's beautiful!"
13,EGO: I was afraid it wouldn't take to the soil...
14,but it rooted quickly.
15,"And soon, it'll be everywhere."
16,All across the universe.
17,"Well, I don't know what you're talking about..."
18,but I like the way you say it.
19, My heart is yours...
20,Meredith Quill.
21,I can't believe I fell in love with a spaceman.
22,"(MUSIC FADING UP, ""BRANDY   Showtime, aholes!"
23,  It will be here any minute.
24,Which will be its loss.
25,I thought your thing was a sword?
26,We've been hired to stop an interdimensional beast...
27,"from feeding on those batteries, and I'm gonna stop it with a sword?"
28,"It's just, swords were your thing and guns were mine."
29,But I guess we're both doing guns now.
30,I just didn't know that.
31,"Drax, why aren't you wearing one of Rocket's aerorigs?"
32,It hurts.
33,It hurts?
34,I have sensitive nipples.
35,"""My nipples hurt! Oh, goodness me!"" What about him? What's he doing?"
36,I'm finishing this so we can listen to tunes while we work.
37,How is that a priority?
38,Blame Quill. He's the one who loves music so much.
39,"No, I actually agree with Drax on this."
40,That's hardly important right now.
41,"Oh, okay. Sure, Quill."
42,"No, seriously, I side with Drax."
43,"No, I understand that."
44,You're being very serious right now.
45,I can clearly see you winking.
46,Damn it. I'm using my left eye?
47,I am Groot.
48, They were not looking at you funny.
49,"  Well, that's intense."
50,"(ELECTRIC LIGHT ORCHESTRA'S ""MR. BLUE SKY"" PLAYING) Groot!"
51,"Groot, get out of the way!"
52,You're gonna get hurt!
53,Hi.
54,No! Spit it out!
55,Come on!
56,Disgusting!
57,The beast's hide is too thick to be pierced from the outside.
58,I must cut through it from the inside.
59,Huh?
60,"   No, no! Drax, wait a minute!"
61,Drax!
62,What is he doing?
63,"He said the skin is too thick to be pierced from the outside, so he..."
64, That doesn't make any sense!
65, I tried telling him that!
66,Skin is the same level of thickness from the inside as from the outside!
67,I realize that.
68,There is a cut on its neck.
69,"Rocket, get it to look up."
70,"Hey, you giant SeaMonkey! Up here!"
71,"Watch it, Quill!"
72,Yes! I have singlehandedly...
73,vanquished the beast!
74,What?
75,What are they called again?
76,Anulax batteries.
77,Harbulary batteries.
78,That's nothing like what I just said.
79,But they're worth thousands of units apiece...
80,which is why the Sovereign hired us to protect them.
81,Careful what you say around these folks.
82,They're easily offended.
83,The cost of transgression is death.
84,"AYESHA: We thank you, Guardians, for putting your lives on the line."
85,We could not risk the lives of our own Sovereign citizens.
86,Every citizen is born exactly as designed by the community.
87,"Impeccable, both physically and mentally."
88,We control the DNA of our progeny...
89,germinating them in birthing pods.
90,I guess I prefer to make people the oldfashioned way.
