,dialog
0,Lumos Maxima.
1,Lumos Maxima.
2,Lumos Maxima.
3,Lumos Maxima.
4,Lumos Maxima!
5,Harry. Harry.
6,"Harry, open the door."
7,Marge. How lovely to see...
8,"Uncle Vernon, I need you to sign this form."
9,What is it?
10,Nothing. School stuff.
11,"Later perhaps, if you behave."
12,I will if she does.
13," Oh, you're still here, are you?"
14, Yes.
15,Don't say yes in that ungrateful way.
16,Damn good of my brother to keep you.
17,He'd have been straight to an orphanage if he'd been dumped on my doorstep.
18,Is that my Dudders?
19,Is that my little neffypooh?
20,"Give us a kiss. Come on. Up, up."
21,Take Marge's suitcase upstairs.
22,Okay.
23,Finish that off for Mommy.
24,"Good boy, Rippypooh."
25," Can I tempt you, Marge?"
26, Just a small one.
27,"Excellent nosh, Petunia."
28,A bit more.
29,"Usually just a fryup for me, what with 12 dogs."
30,Just a bit more. That's a boy.
31,You wanna try a little drop of brandy?
32,A little drop of brandybrandy windywandy for Rippypippypooh?
33,What are you smirking at?
34,"Where did you send the boy, Vernon?"
35,St. Brutus'. It's a fine institution for hopeless cases.
36,"Do they use a cane at St. Brutus', boy?"
37,"Oh, yeah."
38,Yeah. I've been beaten loads of times.
39,Excellent. I won't have this nambypamby...
40,...wishywashy nonsense about not beating people who deserve it.
41,You mustn't blame yourself about how this one turned out.
42,It's all to do with blood.
43,Bad blood will out.
44,"What is it the boy's father did, Petunia?"
45,Nothing. He didn't work.
46,He was unemployed.
47," And a drunk too, no doubt?"
48, That's a lie.
49, What did you say?
50, My dad wasn't a drunk.
51,"Don't worry. Don't fuss, Petunia."
52,I have a very firm grip.
53,I think it's time you went to bed.
54,"Quiet, Vernon. You, clean it up."
55,"Actually, it's nothing to do with the father."
56,It's all to do with the mother.
57,You see it all the time with dogs.
58,"If something's wrong with the bitch, then something's wrong with the pup."
59,Shut up! Shut up!
60,Right.
61,Let me tell you...
62,Vernon!
63,"Vernon! Vernon, do something!"
64,Stop!
65,"I've got you, Marge. I've got you."
66," Hold on, hold on."
67, Get off.
68, Don't you dare!
69, Sorry.
70,"Oh, Vernon."
71,"Oh, God."
72,Marge!
73,Please!
74,Marge!
75,Come back!
76,You bring her back!
77,You bring her back now.
78, You put her right!
79, No. She deserved what she got.
80, Keep away from me.
81, You can't do magic outside school.
82, Yeah? Try me.
83, They won't let you back now.
84,You've nowhere to go.
85,I don't care.
86,Anywhere is better than here.
87,"""Welcome to the Knight Bus..."
88,...emergency transport for the stranded witch or wizard.
89,"My name is Stan Shunpike, and I will be your conductor for this evening."" What you doing down there?"
90, I fell over.
91, What you fall over for?
92, I didn't do it on purpose.
93," Well, come on, then."
94,Let's not wait for the grass to grow.
95, What you looking at?
96, Nothing.
97,"Well, come on, then. In."
98,"No, no, no. I'll get this."
99,You get in.
100,Come on.
101,"Come on. Move on, move on."
102," Take her away, Ern."
103," Yeah, take it away, Ernie."
104,It's going to be a bumpy ride.
105, What did you say your name was?
106, I didn't.
107, Whereabouts are you headed?
108, The Leaky Cauldron. That's in London.
109,"You hear that? ""The Leaky Cauldron."
110,"That's in London."" The Leaky Cauldron."
111,If you have pea soup...
112,...make sure you eat it before it eats you.
113, But the Muggles. Can't they see us?
114, Muggles?
115,"They don't see nothing, do they?"
116,"No, but if you jab them with a fork, they feel."
117,"Ernie, little old lady at 12 o'clock!"
118,"Ten, nine, eight..."
119,"...seven, six, five..."
120,"...four, three, three and a half..."
121,"...two, one and three quarters."
122,Yes!
123,Who is that?
124,That man.
125,Who is that?
126,Who is...?
127,"That is Sirius Black, that is."
128,Don't tell me you've never been hearing of Sirius Black.
129,He's a murderer.
130,Got himself locked up in Azkaban for it.
131, How did he escape?
132," Well, that's the question, isn't it?"
133,He's the first one that done it.
134,He was a big supporter of...
135,...YouKnowWho.
136,I reckon you've heard of him.
137,Yeah.
138,Him I've heard of.
139,"Ernie, two doubledeckers at 12 o'clock."
140,"They're getting closer, Ernie."
141,"Ernie, they're right on top of us!"
142,Mind your head.
143,"Hey, guys? Guys?"
144,Why the long faces?
145,"Yeah, yeah. Nearly there. Nearly there."
146, The Leaky Cauldron.
147," Next stop, Knockturn Alley."
148,"Mr. Potter, at last."
149," Take it away, Ern."
150," Yeah, take it away, Ernie!"
151,Room 11.
152,Hedwig.
153,"Right smart bird you got there, Mr. Potter."
154,He arrived here just five minutes before yourself.
155,"As Minister for Magic, it is my duty to inform you, Mr. Potter..."
156,...earlier this evening your uncle's sister was located...
157,"...a little south of Sheffield, circling a chimney stack."
158,The Accidental Magic Reversal Department was dispatched immediately.
159,She has been properly punctured and her memory modified.
160,She will have no recollection of the incident whatsoever.
161,So that's that...
162,...and no harm done.
163,Pea soup?
164,"No, thank you."
165, Minister?
166, Yes?
167, I don't understand.
168, Understand?
169,I broke the law. Underage wizards can't use magic at home.
170,Come now. The Ministry doesn't send people to Azkaban...
171,...for blowing up their aunts.
172,"On the other hand, running away like that, given the state of things..."
173,"...was very, very irresponsible."
174," ""The state of things,"" sir?"
175, We have a killer on the loose.
176,"Sirius Black, you mean?"
177,But what's he got to do with me?
178,"Nothing, of course. You're safe."
179,And that's what matters.
180,And tomorrow you'll be on your way back to Hogwarts.
181,These are your new schoolbooks.
182,I took the liberty...
183,...of having them brought here.
184,Now Tom will show you to your room.
185,Hedwig.
186,"Oh, by the way, Harry. Whilst you're here, it would be best if you didn't..."
187,...wander.
188,Right! You gonna move that bus or what?
189,Housekeeping.
190,I'll come back later.
191,"I'm warning you, Hermione."
192,"Keep that beast away from Scabbers, or I'll turn it into a tea cozy."
193,"It's a cat, Ronald."
194,What do you expect?
195, It's in his nature.
196, A cat? Is that what they told you?
197, Looks like a pig with hair.
198, That's rich...
199,...coming from the owner of that smelly old shoe brush.
200,"Crookshanks, just ignore the mean little boy."
201,Harry.
202,Harry.
203, Egypt. What's it like?
204, Brilliant. Loads of old stuff...
205,"...like mummies, tombs, even Scabbers enjoyed himself."
206, Egyptians used to worship cats.
207, Along with the dung beetle.
208, Not flashing that clipping again?
209, I haven't shown anyone.
210,"No, not a soul."
211,Not unless you count Tom.
212, The day maid.
213, Night maid.
214, Cook.
215, The bloke who fixed the toilet.
216, Harry.
217, Mrs. Weasley.
218," Good to see you, dear."
219, Good to see you.
220, Got everything?
221, Yes.
222, Yes? All your books?
223, It's all upstairs.
224, Your clothes?
225, Everything.
226, Good boy.
227, Thank you.
228, Harry Potter.
229, Mr. Weasley.
230," Harry, wonder if I might have a word?"
231," Yeah, sure."
232, Hermione.
233," Good morning, Mr. Weasley."
234, Looking forward to a new term?
235, Yeah. It should be great.
236,"Harry, some within the Ministry would strongly discourage me..."
237,...from divulging what I'm about to reveal to you.
238,But I think that you need to know the facts.
239,You are in danger.
240,Grave danger.
241,"Has this anything to do with Sirius Black, sir?"
242,"What do you know about Sirius Black, Harry?"
243, Only that he's escaped from Azkaban.
244, Do you know why?
245,"Thirteen years ago, when you stopped..."
246, Voldemort.
247, Don't say his name.
248,Sorry.
249,When you stopped YouKnowWho...
250,...Black lost everything.
251,"But to this day, he still remains a faithful servant."
252,And in his mind...
253,...you are the only thing that stands in the way...
254,...of YouKnowWho returning to power.
255,And that is why...
256,...he has escaped from Azkaban.
257,To find you.
258,And kill me.
259,"Harry, swear to me that whatever you might hear..."
260,...you won't go looking for Black.
261,Mr. Weasley...
262,...why would I go looking for someone who wants to kill me?
263,Quick. Quick.
264,"Ron, Ron!"
265,"Oh, for goodness' sake!"
266,Don't lose him!
267,I didn't mean to blow her up. I just...
268, I lost control.
269, Brilliant.
270,"Honestly, Ron, it's not funny."
271,Harry was lucky not to be expelled.
272,I was lucky not to be arrested.
273,I still think it was brilliant.
274,Come on. Everywhere else is full.
275,Who do you think that is?
276, Professor R.J. Lupin.
277, Do you know everything?
278,How is it she knows everything?
279," It's on his suitcase, Ronald."
280, Oh.
281, Do you think he's really asleep?
282, Seems to be. Why?
283,I gotta tell you something.
284,Let me get this straight.
285,Sirius Black escaped from Azkaban...
286,...to come after you?
287, Yeah.
288,"But they'll catch Black, won't they?"
289," I mean, everyone's looking for him."
290, Sure.
291,Except no one's ever broken out of Azkaban before...
292,"...and he's a murderous, raving lunatic."
293," Thanks, Ron."
294,Why are we stopping?
295,We can't be there yet.
296,What's going on?
297,I don't know.
298,Maybe we've broken down.
299,"Ouch, Ron. That was my foot."
300,There's something moving out there.
301,I think someone's coming aboard.
302,Bloody hell! What's happening?
303,Harry.
304,"Harry, are you all right?"
305,Thank you.
306,"Here, eat this. It'll help."
307,It's all right. It's chocolate.
308,What was that thing that came?
309,It was a dementor. One of the guards of Azkaban. It's gone now.
310,It was searching the train for Sirius Black.
311,"If you'll excuse me, I need to have a little word with the driver."
312,Eat. You'll feel better.
313,What happened to me?
314,"Well, you sort of went rigid."
315,We thought maybe you were having a fit or something.
316,And did either of you two...
317,...you know...
318,...pass out?
319, No.
320,"I felt weird, though."
321,Like I'd never be cheerful again.
322,But someone was screaming.
323,A woman.
324,"No one was screaming, Harry."
325,Welcome! Welcome to another year at Hogwarts.
326,"Now, I'd like to say a few words..."
327,...before we all become too befuddled by our excellent feast.
328,"First, I'm pleased to welcome Professor R.J. Lupin..."
329,...who's kindly consented to fill the post...
330,...of Defense Against the Dark Arts teacher.
331,"Good luck, professor."
332,"Of course. That's why he knew to give you the chocolate, Harry."
333,Potter. Is it true you fainted?
334," I mean, you actually fainted?"
335," Shove off, Malfoy."
336, How did he find out?
337, Just forget it.
338,Our Care of Magical Creatures teacher...
339,...has decided to retire...
340,...in order to spend more time with his remaining limbs.
341,"Fortunately, I'm delighted to announce..."
342,...that his place will be taken by none other...
343,...than our own Rubeus Hagrid.
344,"Finally, on a more disquieting note..."
345,...at the request of the Ministry of Magic...
346,"...Hogwarts will, until further notice, play host to the dementors of Azkaban..."
347,...until such a time as Sirius Black is captured.
348,The dementors will be stationed at every entrance to the grounds.
349,Now whilst I've been assured...
350,...that their presence will not disrupt our daytoday activities...
351,...a word of caution.
352,Dementors are vicious creatures.
353,They'll not distinguish...
354,...between the one they hunt and the one who gets in their way.
355,"Therefore, I must warn each and every one of you..."
356,...to give them no reason to harm you.
357,It is not in the nature of a dementor to be forgiving.
358,"But you know, happiness can be found..."
359,...even in the darkest of times...
360,...if one only remembers to turn on the light.
361,Fortuna Major.
362,"Here, listen."
363,She just won't let me in.
364, Fortuna Major.
365," No, no. Wait, wait."
366,Watch this.
367, Amazing. Just with my voice.
368, Fortuna Major.
369," Yes, all right. Go in."
370, Thank you.
371,Still doing that after three years.
372, She can't even sing.
373, Exactly.
374," Hey, man."
375," Hey, man."
376," Oh, God."
377, That's awful.
378,Green. That's a monkey.
379, What is that?
380, You call that a monkey?
381,Do not give him one again.
382,"Hey, Neville, try an elephant."
383," Ron, catch."
384, I will.
385,I think we have a winner.
386," Oh, don't try one of them."
387," Oh, no."
388,Look at him. His face.
389,"Welcome, my children."
390,"In this room, you shall explore the noble art of Divination."
391,"In this room, you shall discover if you possess the Sight."
392,Hello. I am Professor Trelawney.
393,Together we shall cast ourselves into the future.
394,"This term, we'll focus on Tasseomancy, the art of reading tea leaves."
395,"So please, take the cup of the person sitting opposite you."
396,What do you see?
397,"The truth lies buried like a sentence deep within a book, waiting to be read."
398,"But first, you must broaden your minds."
399," First, you must look beyond."
400, What a load of rubbish.
401, Where did you come from?
402, Me?
403, I've been here all this time.
404," You, boy..."
405,Is your grandmother quite well?
406,I think so.
407,I wouldn't be so sure of that.
408,Give me the cup.
409,Pity.
410,Broaden your minds.
411,"Your aura is pulsing, dear."
412,Are you in the beyond?
413, I think you are.
414, Sure.
415,Look at the cup.
416,Tell me what you see.
417,Yeah.
418,Harry's got sort of a wonky cross.
419,That's trials and suffering.
420,And that there could be the sun and that's happiness.
421,So...
422,"...you're gonna suffer, but you're gonna be happy about it."
423,Give me the cup.
424,"Oh, my dear boy."
425,My dear...
426,...you have the Grim.
427,The Grin? What's the Grin?
428,"Not the Grin, you idiot. The Grim."
429,"""Taking form of a giant spectral dog."
430,It's among the darkest omens in our world.
431,It's an omen...
432,"...of death."" You don't think that Grim thing's got anything to do with Sirius Black?"
433,"Oh, honestly, Ron. If you ask me, Divination's a woolly discipline."
434,"Now, Ancient Runes, that's a fascinating subject."
435,Ancient Runes? Exactly how many classes are you taking?
436,A fair few.
437,Hang on. That's not possible.
438,Ancient Runes is in the same time as Divination.
439,You have to be in two classes at once.
440,Don't be silly. How could anyone be in two classes at once?
441,"""Broaden your minds. Use your Inner Eye to see the future."" That's it. Come on, now. Come closer."
442,"Less talking, if you don't mind."
443,I got a real treat for you today.
444,A great lesson. So follow me.
445,"Right, you lot. Less chattering."
446,Form a group over there.
447,And open your books to page 49.
448,Exactly how do we do that?
449,"Just stroke the spine, of course."
450,Goodness me.
451," Don't be such a wimp, Longbottom."
452, I'm okay. Okay.
453, I think they're funny.
454," Oh, yeah. Terribly funny."
455,"Witty. God, this place has gone to the dogs."
456,Wait until Father hears Dumbledore's got this oaf teaching classes.
457,"Shut up, Malfoy."
458,Dementor! Dementor!
459, Just ignore him.
460, You're supposed to stroke it.
461,Yeah.
462,Isn't he beautiful?
463,Say hello to Buckbeak.
464,"Hagrid, exactly what is that?"
465,"That, Ron, is a hippogriff."
466,First thing you wanna know is they're very proud creatures.
467,Very easily offended.
468,You do not want to insult a hippogriff.
469,It may be the last thing you ever do.
470,"Now, who'd like to come and say hello?"
471,"Well done, Harry. Well done."
472,Come on now.
473,Now...
474,...you have to let him make the first move. It's only polite. So...
475,...step up. Give him a nice bow.
476,Then you wait and see if he bows back.
477,"If he does, you can go and touch him."
478,"If not... Well, we'll get to that later."
479,Just make your bow.
480,Nice and low.
481,"Back off, Harry. Back off."
482,Keep still.
483,Keep still.
484,"Well done, Harry. Well done."
485,"Here, you big brute, you."
486,Right. I think you can go and pat him now.
487,Go on. Don't be shy.
488,"Nice and slow, now."
489,Nice and slow. Slow.
490,"Not so fast, Harry."
491,"Slow down, Harry. That's it..."
492,Nice and slow.
493,Now let him come to you.
494,"Slowly, now, slowly, slowly..."
495,That's it...
496,Yes!
497,"Well done! Well done, Harry, well done!"
498,Does he get to fly?
499, I think he may let you ride him now.
500, What?
501, Come on.
502," Hey, hey, hey!"
503,"Put you over here, just behind the wing joint."
504,"Don't pull out any of his feathers, because he won't thank you for that."
505,"Well done, Harry, and well done, Buckbeak."
506,"That was wicked, Harry!"
507,"Oh, please."
508,"Well done, well done."
509, How am I doing me first day?
510," Brilliant, professor."
511,"You're not dangerous at all, are you, you great ugly brute!"
512,"Malfoy, no..."
513,No!
514,Buckbeak!
515,"Whoa, whoa, whoa..."
516,Whoa! Buckbeak!
517,"Away, you silly creature..."
518, It's killed me!
519, Calm down. It's just a scratch!
520,Hagrid!
521, He has to be taken to the hospital.
522, I'm the teacher. I'll do it.
523, You're gonna regret this.
524, Class dismissed!
525,You and your bloody chicken!
526,"Does it hurt terribly, Draco?"
527,It comes and it goes.
528,"Still, I consider myself lucky."
529,Madam Pomfrey said another minute and I could've lost my arm.
530, I can't do homework for weeks.
531, Listen to the idiot.
532," He's really laying it on thick, isn't he?"
533, At least Hagrid didn't get fired.
534,I hear Draco's father's furious.
535,We haven't heard the end of this.
536, He's been sighted!
537, Who?
538,Sirius Black!
539,Dufftown? That's not far from here.
540,"You don't think he'd come to Hogwarts, do you?"
541, With dementors at every entrance?
542, Dementors?
543,He slipped past them once.
544,Who's to say he won't do it again?
545,That's right. Black could be anywhere.
546,It's like trying to catch smoke.
547,Like trying to catch smoke with your bare hands.
548,"Intriguing, isn't it?"
549,Would anyone like to venture a guess...
550,...as to what is inside?
551," That's a boggart, that is."
552," Very good, Mr. Thomas."
553,"Now, can anybody tell me what a boggart looks like?"
554, No one knows.
555, When did she get here?
556,Boggarts are shapeshifters.
557,They take the shape of whatever a person fears the most.
558, That's what makes them so...
559," So terrifying, yes, yes, yes..."
560,"Luckily, a very simple charm exists to repel a boggart."
561,Let's practice it now.
562,"Without wands, please."
563,After me. Riddikulus!
564, Riddikulus!
565, Very good.
566,A little louder and very clear.
567,Listen:  Riddikulus!
568, Riddikulus!
569, This class is ridiculous.
570, Very good.
571,"So much for the easy part. You see, the incantation alone is not enough."
572,What really finishes a boggart is laughter.
573,You need to force it to assume a shape you find truly amusing.
574,"Let me explain. Neville, would you join me, please?"
575,"Come on, don't be shy. Come on."
576,Come on.
577,"Hello. Neville, what frightens you most of all?"
578,Professor Snape.
579, Sorry?
580, Professor Snape.
581,"Professor Snape. Yes, frightens all."
582, You live with your grandmother.
583," I don't want it to turn into her, either."
584,No...
585,...it won't. I want you to picture her clothes.
586,"Only her clothes, very clearly, in your mind."
587, She carries a red handbag...
588, We don't need to hear.
589,"As long as you see it, we'll see it."
590,"Now, when I open that wardrobe..."
591,...here's what I want you to do. Excuse me.
592,Imagine Professor Snape in your grandmother's clothes.
593,Can you do that?
594,Yes. Wand at the ready.
595,"One, two, three."
596,"Think, Neville, think."
597,Riddikulus!
598,"Wonderful, Neville, wonderful!"
599,Incredible! Okay...
600,"...to the back, Neville."
601,"Everyone, form a line..."
602,Form a line!
603,I want everyone to picture the thing they fear the very most...
604,...and turn it into something funny.
605,Next! Ron!
606,Concentrate. Face your fear.
607,Be brave!
608,"Wand at the ready, Ron."
609,Riddikulus!
610,Yes!
611,"You see? Very good, very good!"
612,"Marvelous! Absolutely, very, very enjoyable! Parvati! Next!"
613,Show us what you see.
614,Keep your nerve. Steady.
615,Riddikulus!
616,"And next! Step up, step up!"
617,"Wonderful, wonderful!"
618,Here!
619,Riddikulus!
620,Right. Sorry about that.
621,That's enough for today.
622,Collect your books from the back.
623,That's the end of the lesson.
624,Thank you! Sorry!
625,"Sorry, you can have too much of a good thing."
626,"Remember, these visits to Hogsmeade village are a privilege."
627,Should your behavior reflect poorly on the school...
628,...that privilege shall not be extended again.
629,"No permission form signed, no visiting the village."
630,"That's the rule, Potter."
631,"Those with permission, follow me."
632,"Those without, stay put."
633,"I thought if you signed it, then I could..."
634,I can't. Only a parent or a guardian can sign.
635,"Since I am neither, it would be inappropriate."
636,"I'm sorry, Potter."
637,That's my final word.
638,"Forget about it, guys. See you later."
639,"Professor, can I ask you something?"
640,"You want to know why I stopped you facing that boggart, yes?"
641,I thought it'd be obvious.
642,I assumed it would take the shape of Lord Voldemort.
643,I did think of Voldemort at first.
644,But then I remembered that night on the train...
645,...and the dementor.
646, I'm very impressed.
647,That suggests what you fear the most is fear itself.
648,This is very wise.
649,Before I fainted...
650,...I heard something.
651,A woman...
652,...screaming.
653,Dementors force us to relive our very worst memories.
654,Our pain becomes their power.
655,I think it was my mother...
656,...the night she was murdered.
657,"The very first time I saw you, Harry, I recognized you immediately."
658,"Not by your scar, by your eyes."
659,"They're your mother, Lily's."
660,Yes.
661,"Oh, yes. I knew her."
662,Your mother was there for me at a time when no one else was.
663,Not only was she a singularly gifted witch...
664,...she was also an uncommonly kind woman.
665,She had a way of seeing the beauty in others...
666,"...even, and most especially, when that person could not see it in themselves."
667,"And your father, James, on the other hand..."
668,...he...
669,"He had a certain, shall we say, talent for trouble."
670,"A talent, rumor has it, he passed on to you."
