,dialog
0,YTS.MX Official YIFY movies site: YTS.MX Space has beckoned to us from the dawn of time.
1,The is the story of our greatest adventure when humans first stepped off the Earth into the unknown.
2,Firing chain is armed.
3,No unexpected error.
4,Discovery's computer is now controlling.
5,Water system is being activated.
6,"T minus 10 seconds, go for main engine start, seven, six, five, three engines up and burning, three, two, one, and liftoff of Space Shuttle Discovery."
7,"Beginning America's new journey to the Moon, Mars, and beyond."
8,Rocket Men The Conquerors of Space In the beginning...
9,It's my pleasure to introduce these seven men who have been selected to begin training for orbital space flight.
10,John H. Glenn.
11,Virgil I. Grissom.
12,Alan B. Shepard.
13,"Once upon a time, almost 50 years ago, a group of men were called upon to risk their lives on a mission to the skies as rocketmen."
14,"Walter M. Schirra They call themselves star voyagers, astronauts."
15,"These, ladies and gentlemen, are the nation's Mercury astronauts."
16,Everything they do to get into space will be new.
17,Every step they take a first.
18,There are no mobile phones.
19,"Testing, testing. Testing, testing."
20,Computers are the size of station wagons.
21,And no one knows if a human can survive beyond the confines of Earth.
22,"It is the height of the Cold War, a huge arsenal of missiles points towards the Soviet Union."
23,"The fight is for the hearts of men, the frontier is not Earth, but space."
24,"To win it, men must ride a rocket to the skies."
25,"Four, three, two, one, liftoff."
26,"On the last day of January 1961, America's first rocketman is ready."
27,The spacecraft is to reach a maximum altitude of 120 statute miles.
28,"Four and a half minutes of weightlessness, a velocity of almost 5,000 miles per hour."
29,"The big question is, will the star voyager survive?"
30,The spacecraft traveled 40 miles higher and a 120 miles farther than scheduled.
31,It sustained 18 G instead of the normal 11.
32,"But Ham is fine, and made the trip into space and back safely."
33,"Ham, a fouryearold chimpanzee, is America's first astronaut, and an instant celebrity."
34,He is also proof that you can survive in space provided the rocket doesn't kill you first.
35,It's time for man to take his chance.
36,The first is Alan Shepard.
37,"Better you than me, pal."
38,"Nine, eight, seven, six, five, four, three, two, one, ignition."
39,"All right, now, liftoff and the clock has started."
40,"This is Freedom 7, the fuel is go, On the periscope, what a beautiful view."
41,Cabin holding at 5.5.
42,"Just a glimpse at the wonder of space, but it changes the world."
43,"My condition is still good, I'm getting ready for impact."
