,dialog
0,"âª Loving strangers âª Oh, oh âª Loving strangers âª Oh, oh âª Loving strangers âª Love, your love âª Loving strangers âª Oh, oh, oh âª' Oh..."
1,  Yeah.
2, I know you're a good person.
3,So how long are you staying in Rome?
4,I fly back to Moscow tomorrow.
5,What a coincidence! So do I.
6, You fly to Moscow?
7, Back to Spain.
8, This is my hotel.
9, Mine is down there on the left.
10," So, this is closer."
11," For you, yes."
12, For you too.
13, No.
14,"Come on. Please, just a little stop, to drink the last one."
15,We drank plenty in the bar.
16,"Mm, yes, but we only talked about Russia and Spain, not about us."
17,I prefer not to talk about us.
18,It's a deal.
19, What is?
20, We don't talk.
21,"We can stay without talking, you know? And even better."
22,"See, that's my room."
23,It's got two flags.
24,"Must be a reason, no?"
25,"Yes, one for Europe and one for Rome."
26,I'm talking about what's in the middle.
27, The middle flag is missing.
28," Uhhuh, exactly."
29,That's because of you.
30,You have to come up and hang it there.
31, And what do I hang there?
32, I don't know.
33,"Your clothes, for example."
34,You are long enough.
35,Hm. Come on.
36, I've never gone up to a woman's room.
37,It's just a hotel room in Rome.
38,"If you keep pulling, youâll win and weâll end up in your hotel."
39, You choose.
40,       Drink?
41, Wine.
42,Wine.
43,"Sorry, what was your name?"
44,I told you twice already.
45,Maybe at the third time I get it.
46,Natasha.
47,Natasha.
48,Was that the name you said before?
49,But you are not saying it right.
50,It's Natasha.
51,Sha.
52, Sha.
53, Sha.
54,"Mm. And you are Alba, which is Spanish for dawn."
55,That's my big moment. You'll see.
56,Tonight is the first night of the summer.
57,"Ah, yes, that's right, in Europe."
58,"In Russia, summer has already begun, the first of June."
59,Really? Do you have summer in Russia?
60,"Of course. Well, it's Russian summer."
61,Mmhm.
62,And this is my last night in Rome.
63,Mine too.
64,"You're not on your own, little Russian."
65,"You know for sure this is the shortest night of the year, here and in Russia, so we have to make the most of it."
66,I'm not...
67, I'm not a...
68, What?
69,"Come on, you're a woman, and...and Iâm a woman and we were drinking alone at a bar and we exchanged looks and felt attracted to one another."
70,Isn't that how it works?
71,It's the first time in my life I look like this at a woman.
72,Uhhuh.
73,Never before a woman looked at me this way.
74,It's not the first time you look at a woman like this.
75, But every woman is different.
76,  Would you like to see me naked?
77,Mmhm. I would love to.
78,    Here?
79,Wherever you like.
80,Do you prefer inside?
81, Yes.
82," OK, let's go inside then."
83,I think it'll work better if you undress me.
84,   Shh.
85, It's OK.
86,Shh. It's OK.
87,It's OK.
88,"We'll stay like this, close but not touching, while you relax."
89,Yes?
90, It's better if you're asleep.
91,That way we don't have to say goodbye.
92,You're right.
93,I'll say a few words.
94,"Goodbye, Alba."
95,I don't want to imagine what might have happened.
96,"This secret will stay there, sleeping with you."
97,"Thank you, Alba."
98,Goodbye.
99, Who changed my ring tone?
100,What the hell happened?
101,  Who is it?
102," 'Natasha  Natasha, right."
103,I think Iâve left my mobile in your room.
104, Did you hear it ringing?
105," Yes, it woke ma up, actually."
106,Sorry.
107,It must have fallen out of my bag.
108,I'm very tired and I want to goto my hotel.
109,Come in and take it.
110,It's waiting for you under the bed.
111,I'd rather not coma in again.
112,Why? What happened?
113,"Nothing. Nothing, actually."
114,Nothing we have to regret.
115, Why did you chew up my panties?
116, I didn't chew anything.
117,See the state you left them in.
118,(Man singing Italian opera and wheeling trolley)  Good evening.
119,Good evening.
120,"How thoughtful, Natasha!"
121,I wasn't expecting this.
122,"Hey, come in and leave it in the terrace."
123,"Sorry, madam. It's for this room."
124,"But if you want, I can come afterwards and take your order."
125, Feeling hungry?
126," No, no."
127, You heard. Whatâs your name?
128, Max.
129,"Max, we are not hungry right now but in a couple of hours we will."
130,You just call me. I'm free all night.
131,I mean I'm on duty the whole night.
132,It's there.
133,Where is your hotel?
134, This is Tevere...
135,Mmhm.
136,...and you get to my hotel this way.
137,This is the Roma of the Caesars.
138,Yes. It's a map to lose yourself.
139,Where should we lose ourselves?
140,Choose.
141,"We have, um...the gardens."
142,"Tempio della Fortuna, Tempio della Ninfa."
143,"My hotel is called ""Ninfa""."
144, And yours?
145, Pompeo.
146,"Look, it's this way."
147,"You pass through the gardens, and...and here we are, we are on top of the theatre."
148,"No, we are...we are inside of Teatro di Pompeo."
149,Wow!
150, Historyâs looking at us  Mmhm.
151,We are surrounded.
152, Can you feel it?
153, How could I not?
154, I think you like history.
155, Yes.
156,That's good.
157,    Alba Hm?
158,"This stays hers, OK? In this room."
159,In Rome.
160, Within these four walls.
161, Mmhm.
162,"But since we're here, let's have some fun, no?"
163,All I ask is that this doesn't affect my life.
164, And how do you do that?
165," By agreeing, the two of us."
166,"You also have a life outside of all this that you want to protect, don't you?"
167,Hm.
168,Very far from yours.
169,But tomorrow Rome will send each of us to an opposite end of Europe.
170, What if I'm not Russian?
171," Coma on, you have to be Russian."
172, I love that.
173,"  Well, then I am."
174,Whatâs great is not knowing each otherâs name.
175,But don't we?
176,Donât tell me you gave me your real name.
177,So your name isn't Natasha?
178,I knew it.
179,Alba is the name I was going to call my daughter.
180,What happened to her?
181,Alba never saw the dawn.
182,I'm sorry.
183,"That put an end to the worst time of my life, when my Alba died inside of me."
184,My mother took me to Marbella one summer when I was 16.
185,"She was almost broke and what little money she had left she spent on fortunehunting, and she was lucky."
186,"An Arab sheik, Hamir Osemin, he...he bumped into us one day when we were shopping and we spent the rest of the summer in his yacht."
187,That winter he invited us to Saudi Arabia.
188,He has a palace.
189,"Even if I describe it to you, you could never imagine the luxury."
190,He bought my mother everything.
191,"So she left there with bracelets, necklaces and rings worth a small fortune."
192,She left?
193, What about you?
194, I stayed.
195,Hamir persuaded my mother to leave me there in exchange for a monthly allowance for four years.
196,That was the deal.
197,I was all he was interested in.
198,So you accepted?
199,"You can't imagine how easy it was for ma, falling into that type of lifestyle."
200,I had everything I wanted!
201,Hamir bought me a purebred horse that only I was allowed to ride.
202,I began to love him like a child.
203,Everyone around me was very nice.
204,"Also, Hamir's other wives treated me like a real princess."
205,And he got you pregnant?
206,That was at the and.
207,Hamir started to get annoyed with me because I didn't get pregnant.
208,That was when I wanted to leave.
209,But I couldn't.
210,"I'd married him so I was his property, like my horse."
211,He sold him to punish me.
212,"Hamir got his way, because shortly afterwards he got me pregnant."
213,He was over the moon.
214,"He began treating me royally again, this time like a queen."
215,Then I realised that as soon as my child was born...
216,"Well, I'd be shut up with the rest of his harem."
217,"The day the doctor told me I was expecting a girl, an Egyptian nurse who I'd told the story to helped me escape in a Greek ship."
218,I arrived in Athens at dawn so I decided to call her Alba.
219,How did you lose her?
220,I'd found out that Hamir had gone to the authorities.
221,There was a warrant out for my arrest in Saudi Arabia.
222,"I knew that if I'd had Alba, ha..."
223,He couldn't have rested until I was caught.
224,I was only 18 so I got an abortion.
225,I sold my necklace and managed to start a new life in Spain.
226,What about your mother?
227,I've never seen her again.
228,And is that how you became a lesbian?
229,This is how I became a woman.
230,What about you?
231,How did you become a woman?
232,I don't feel like talking about my life.
233,You owe me.
234,What do I owe to you?
235,The truth or a lie?
236,Whatever you prefer.
237,Why? Do you think I lied to you?
238,It's the Agora in Athens.
239,Did you know that?
240,"Which came first, the picture or your story? Who inspired who?"
241,"Hm, good question."
242,This picture has been hanging here since before you were born.
243,"Long before, and it's been waiting for me all this time."
244,Let's make a deal. No stories.
245,"Just tell me where you live, your area and everything, so I can get an idea of your surroundings."
246,Hm?
247, First go to Moscow.
248, You have the biggest map in the world.
