,dialog
0,My name is Captain James Tiberius Kirk of the United Federation of Planets.
1,I am appearing before you as a neutral representative of the Fibonan Republic.
2,"I bring you a message of goodwill and present to you esteemed members of the Teenaxi Delegation, a gift from the Fibonan High Council with the highest regard."
3,What's wrong with it?
4,"Uh, excuse me?"
5,Why don't they want it anymore?
6,"Uh, well, this was once a piece of an ancient weapon, and now they offer it as a symbol of..."
7,Of peace.
8,"In the Fibonan culture, to surrender a weapon is an offer of truce."
9,How did they come by it?
10,They told me they acquired it a long time ago.
11,"So they stole it, then."
12,"No, they, um... Well, I don't know."
13,You don't know the Fibonans like we do!
14,"Yeah, that's very true."
15,"Your Excellency, this gift..."
16,They're a crowd of untrustworthy thieves who want to see us murdered in our own beds!
17,This beloved artifact is a symbol of trust and peace.
18,They want to chop us into pieces and roast us over a fire!
19,"No, no... I don't think that's true."
20,And eat us!
21,What?
22,Scotty! Get me out of here!
23, That was quick.
24, Scotty!
25,"There's quite a bit of surface interference, sir."
26,Scotty!
27,Get it off of me!
28,I ripped my shirt again.
29,How'd it go?
30,"Captain, did you manage to broker a treaty with the Teenaxi?"
31,Uh... Let's just say I came up short.
32,"Will you, uh, log that and put it in the vault, Spock? Thank you."
33,"Jim, you look like crap."
34,"Thank you, Bones."
35,You got that little vein popping out of your temple again. You okay?
36,Never better!
37,Just another day in the fleet.
38,"Captain's Log, Stardate 2263.2."
39,"Today is our 966th day in deep space, a little under three years into our fiveyear mission."
40,"The more time we spend out here, the harder it is to tell where one day ends and the next one begins."
41,It can be a challenge to feel grounded when even gravity is artificial.
42,"But, well, we do what we can to make it feel like home."
43,"The crew, as always, continues to act admirably despite the rigors of our extended stay here in outer space."
44,And the personal sacrifices they have made.
45,We continue to search for new life forms in order to establish firm diplomatic ties.
46,Our extended time in uncharted territory has stretched the ship's mechanical capacities.
47,"But fortunately our engineering department, led by Mr. Scott, is more than up to the job."
48,"The ship aside, prolonged cohabitation has definitely had effects on interpersonal dynamics."
49,"Some experiences for the better, and some for the worse."
50,"As for me, things have started to feel a little episodic."
51,"The farther out we go, the more I find myself wondering what it is we're trying to accomplish."
52,"If the universe is truly endless, then are we not striving for something forever out of reach?"
53,"The Enterprise is scheduled for a reprovisioning stop at Yorktown, the Federation's newest and most advanced starbase."
54,Perhaps a break from routine will offer up some respite from the mysteries of the unknown.
55,Sorry I'm late.
56,"Keenser's leaking some kind of highly acidic green goo, and Scotty's terrified he's gonna sneeze on the warp core and kill us all."
57,What the hell are you drinking?
58,"Uh, I'm pretty sure it's the rest of that Saurian brandy we picked up on Thasus."
59,"My God, man, are you trying to go blind?"
60,That stuff's illegal.
61,"Besides, I found this in Chekov's locker."
62, Wow.
63, Right?
64,"I mean, I always assumed he'd be  a vodka man."
65," A vodka guy, exactly."
66,I wanted to have something appropriate for your birthday.
67,"Uh, that's in a couple days."
68,You know I don't care about that.
69,I know. I know you don't like celebrating it on the day because it's also the day your pa bit the dust.
70,I was being sensitive.
71,Did they teach you about bedside manner in medical school?
72,It's just your southern charm.
73," Oh, yeah. That's good."
74, Ooh.
75,Lordy!
76,Are you gonna call your mom?
77,"Yeah, of course. I'll call her on the day."
78,I'm one year older.
79,"Yep, that's usually how it works."
80,A year older than he ever got to be.
81,He joined Starfleet because he...
82,He believed in it.
83,I joined on a dare.
84,You joined to see if you could live up to him.
85,"Uh, you spent all this time trying to be George Kirk and now you're wondering just what it means to be Jim."
86,Why you're out here.
87,To perfect eyesight and a full head of hair.
88,Kirk here.
89,"Captain, approaching Yorktown base."
90,"I'm on my way, Mr. Sulu."
91,"Let's keep this birthday thing under wraps, huh?"
92,"Yeah, you know me. Mr. Sensitive."
93,Wow. That is impressive.
94,"Aye, she's a beauty, isn't she?"
95,What a damn monstrosity!
96,Couldn't we just rent some space on a planet?
97,Showing geographical favoritism among inducted Federation worlds could cause diplomatic tension.
98,"Oh, you don't think that looks tense?"
99,Looks like a damn snow globe in space just waiting to break!
100,"Oh, that's the spirit, Bones."
101,Spock!
102,Do you have a moment?
103,"Of course, Nyota."
104,I think you should have this back.
105,"After all, it belonged to your mother."
106,It's not in the Vulcan custom to receive again that which was given as a gift.
107,You guys break up?
108,What'd you do?
109,"A typically reductive inquiry, Doctor."
110,"You know, Spock, if an Earth girl says, uh, ""It's me, not you,"" it's definitely you."
111,Excuse me. Commander Spock?
112,May we have a moment of your time?
113,This is wonderful!
114,You know I've never been here?
115,What I hear is that the bars here are excellent.
116,I'm so glad you guys could come.
117,Thank you for bringing this to my attention.
118,Live long and prosper.
119,Live long and prosper.
120,IFF alert on incoming vessel.
121,Unidentified. NonFederation.
122,"Attention, unidentified vessel."
123,You are not authorized for approach.
124,Power down and await instructions.
125,"Unidentified vessel, please comply."
126,Speak normally.
127,Language analysis complete.
128,Is this working?
129,We were on a science mission inside the nebula.
130,Our ship suffered a critical malfunction.
131,I took an escape pod before the ship crash landed on a nearby planet.
132,We need a ship capable of navigating the nebula.
133,You must have someone who can help us.
134,"We tracked her stranded ship to a sector of uncharted nebula, here at 210 mark 14."
135," Uh, longrange scan?"
136, No data.
137,The nebula is too dense.
138,It's uncharted space.
139,"Well, the Enterprise does have the best navigational system in the fleet."
140,She could handle it.
141,The only ship here with more advanced technology is still under construction.
142,But it's not just the ship that I'm sending.
143, I'll gather the crew.
144, Captain.
145,Starfleet command sent me your application for the Vice Admiral position here at this installation.
146,"Yes, ma'am. Um..."
147,"If I may, I would recommend Commander Spock replace me as Captain of the Enterprise."
148,He is an exemplary Starfleet officer.
149,He'd make a great captain.
150,"It isn't uncommon, you know, even for a captain, to want to leave."
151,There is no relative direction in the vastness of space.
152,"There is only yourself, your ship, your crew."
153,"It's easier than you think, to get lost."
154, It's not about...
155, I'll bring it up with the General Council.
156,We'll discuss it when you return.
157,Ma'am.
158, Mr. Spock.
159, Captain.
160, I was thinking...
161, Perhaps there...
162," No, please."
163," Captain, after you."
164,I insist.
165,"After this mission, we should, uh, sit down."
166,There's something I need to talk to you about.
167,I as well have something to share.
168,We make a good team. Right?
169,I believe we do.
170,I insist.
171,"Lieutenant Uhura, open a shipwide channel."
172,"Yes, Captain."
173,"Attention, crew of the Enterprise."
174,Our mission is straightforward.
175,Rescue a crew stranded on a planet in uncharted space.
176,"Our trajectory will take us through an unstable nebula, one which will disable all communications with Starfleet."
177,We're gonna be on our own.
178,"The Enterprise has something no other ship in the fleet has, you."
179,"And as we've come to understand, there is no such thing as the unknown, only the temporarily hidden."
180,Kirk out.
181,"Mmm. Readings indicate cloud density diminishing, sir."
182,This is Altamid.
183,My ship is stranded here.
184,Approaching Altamid. ClassM planet.
185,Massive subterranean development.
186,But limited to no life forms on the surface.
187,"Proximity alert, sir!"
188,We have an unknown ship heading right for us.
189," Lieutenant Uhura, hail them."
190," Yes, Captain."
191,No response.
192,I am picking up some kind of signal.
193,They're jamming us.
194,"Magnify, Mr. Sulu."
195,What is this?
196,Shields up! Red alert!
197,Fire at will.
198,"Sir, our phasers are having minimal effect and our torpedos can't track their movements!"
199,Fire everything we've got.
200,"Captain, we are not equipped for this manner of engagement."
201,"Shield frequencies have no effect, sir!"
202,They took out the dish!
203,Shields are inoperable!
204," Warp us out of here, Mr. Sulu."
205," Yes, sir."
206,Why the hell aren't we moving?
207,"I can't engage the warp drive, sir!"
208,"Scotty, I need warp now!"
209,"I cannae, sir! The nacelles, they've..."
210,They've gone!
211,"Security, engage all emergency procedures."
212,Active protocol 28 Code One Alpha Zero.
213,All personnel to alert stations.
214,"Sir, I have hull breaches in levels 12 to 15, Captain! There's a chance I can reroute the energy reserves from the warp core to the impulse engines."
215,"If we can get back into the nebula, maybe we could lose them."
216,"Do whatever you have to, Scotty."
217,Wee man! Let's go.
218,Fit the plasma conduits and stand by to reroute on my mark!
219, Captain.
220," Go, Spock."
221,I have identified the individual who appears to be leading the attack party.
222,He infiltrated the archive vault and removed the artifact from our mission on Teenax.
223,Hold your distance until...
224,Spock!
225,Spock!
226,"You two, with me."
227,"Sulu, you have the conn."
228,"Yes, sir."
229,My God.
230,What the hell?
231,Doctor?
232,"Doctor, we must evacuate now!"
233,Captain Kirk.
234,Yes! We are at 100% impulse.
235,"Great work, Mr. Scott!"
236,Maximum impulse towards the nebula.
237,Aye.
238,Kirk to Bridge.
239,We are losing the inertial dampeners!
240,"Systems are failing shipwide, Captain."
241,"Emergency bulkheads are sealing, but structural integrity is at 18% and falling, sir!"
242,"Abandon ship, Mr. Sulu."
243,Sound the alarm.
244,Abandon ship. All personnel.
245,We need to give those pods a chance to escape.
246,Can you lead those ships away?
247,Impulse engines are still trying to draw power from the warp reserve.
248,We cannot move until the saucer is separated.
249,I'll handle it.
250,"Ayeaye, sir."
251,Abandon ship.
252,All personnel evacuate immediately.
253,"You okay? Oh, my God."
254,Get him up. Help him up.
255,Got you.
256,We've got to get you guys to an escape pod. Go.
257,Go! Ensign Syl.
258,I need your help.
259,"Yes, sir."
260,My God.
261,"Spock, they're taking the crew!"
262,Abandon ship.
263,All personnel evacuate immediately.
264,Are you okay?
265,The saucer should be free by now!
266,"I know, Mr. Sulu."
267,The Captain should be there!
268,All personnel evacuate immediately.
269,Impulse engines drawing power from auxiliary generators.
270,Captain!
271,How many of the crew are still aboard the saucer?
272,None.
273,"But if I'm reading this correctly, the intruders are taking them."
274,"Captain, we are caught in the planet's gravity."
275,We cannot pull away.
276,Get to your Kelvin Pods.
277," Yes, sir."
278," Aye, Captain."
279,"Come on, let's go!"
280,Let's go.
281,Come on.
282,Chekov!
283,You knew. You knew we'd be attacked.
284,You don't understand.
285,Captain! Captain Kirk!
286,Yes. I lied.
287,Our ship was attacked.
288,"Chekov, check the comms for survivors."
289," Aye, Captain."
290, Who is he?
291,His name is Krall.
292,He took my crew. Like he took yours.
293,How did he know so much about the Enterprise?
294,"All I know is that if I did this, he would set them free."
295,"Chekov, are you picking anything up on those scanners?"
296,"Nothing, sir."
297, What if they...
298," No, no."
299,He was taking them.
300,We have to find that saucer.
301,Even minimal scanning systems will have more range than a tricorder.
302,"Aye, Captain, it's possible."
303,Captain.
304,I was protecting my crew.
305,What is your name?
306,How do you know our language?
307,I know your kind.
308,I am Lieutenant Nyota Uhura of the U.S.S. Enterprise.
309,And you have committed an act of war against the...
310,Federation!
311,Federation is an act of war.
312,You attacked us.
313,Your captain...
314,Why did you sacrifice yourself for him?
315,He would have done the same.
316,"And if he made it off of that ship, he will come for us."
317,"I am counting on it, Lieutenant Uhura."
318,I can't believe it.
319,"My God, Spock."
320,God...
321,Sit down over here.
322,"Okay. Okay, sit. Easy."
323,Okay.
324,"Now, just try and relax."
325,You're gonna be okay.
326,The forced optimism in your voice suggests that you are trying to elicit a sense of calm in order to...
327,I'll cut the horseshit.
328,"Doctor, I fail to see how excrement of any kind bears relevance on our current situation."
329,"Whoa, whoa, what the hell are you doing?"
330,"We must keep moving, Doctor."
331,"Spock, this thing's punctured your iliac region!"
332,Time is a critical factor.
333,That's exactly what I'm trying to tell you.
334,"Look, if I can't take this out, you're gonna die."
335,"Okay? If I take it out and can't stop the bleeding, you're gonna die."
336,I can see no appeal in either option.
337,"Believe it or not, neither can I."
338,"So, if I remember correctly, the Vulcans have their hearts where humans have their livers."
339,"That is correct, Doctor."
340,That explains a thing or two.
341,"You know, you're lucky."
342,An inch to the left...
343,And you'd be dead already.
344,"I just don't get it, Spock."
345,"I mean, what did they attack us for?"
346,"I mean, they do all this for some doodad that the tiny critters didn't want?"
347,"It is unwise to trivialize that which one simply does not understand, Doctor."
348,We can safely assume it is more important than a doodad.
349,"I think you just managed to insult me twice, Spock."
350,Okay.
351,"All right, Spock, I just got one question."
352, What's your favorite color?
353, I fail to see the relevance.
354,Ow!
355,Yeah. They say it hurts less if it's a surprise.
